0	Index      	 *	Score 	Summary	Detail	
35	16414 14424	   	211.71	DCR|3VULN|2DMG|2CDMG|2ZMB|1AAC	1MBVNT|2AAC|369VULN|4RCVC|56DMG|69BPWR|79CDMG|89ZMB|aRCR
36	12243 21217	 * 	211.28	ACR|2VULN|2DMG|1MDPS|2ASPD|1AART|1NUKE	1MBVNT|2RPLT|39VULN|4RCR|5AART|69ASPD|79DMG|8MDPS|9BPWR|aNUKE
37	16431 74513	 * 	211.27	DCR|2VULN|2DMG|2AAC|2CDMG|1ASPD	1MBVNT|2aAAC|38VULN|4DUST|58CDMG|6RCR|78DMG|8BPWR|9ASPD
38	11534 14322	 * 	210.78	DCR|4VULN|2AART|2DUR	1MBVNT|28DUR|357aVULN|49AART|6RCR
39	11534 18133	 * 	210.75	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1MBVNT|2DUR|35VULN|49AART|6RCR|7ASPD|8LWND|aMDPS
40	11534 18333	   	210.75	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1MBVNT|2DUR|35VULN|49AART|6RCR|7ASPD|8LHND|aMDPS
41	11534 13348	   	210.42	DCR|3VULN|2AART|3DUR|1ZMB	1MBVNT|278DUR|357VULN|49AART|6RCR|7BPWR|aZMB
42	11821 24516	 * 	210.26	ACR|3ASPD|2VULN|2DMG|1CDMG|2DUR	1MBVNT|28DUR|389ASPD|4RCR|5CDMG|6aVULN|78DMG|8BPWR
43	11534 14378	   	210.19	DCR|4VULN|1AART|3DUR|1ZMB	1MBVNT|289DUR|3579VULN|4AART|6RCR|9BPWR|aZMB
44	11534 18144	 * 	210.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1MBVNT|2DUR|35VULN|4AART|6RCR|79ASPD|8LWND|aDMG
45	11534 18344	   	210.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1MBVNT|2DUR|35VULN|4AART|6RCR|79ASPD|8LHND|aDMG
46	64843 31222	 * 	210.09	DCR|2VULN|1MDPS|1AART|1DMG|1NUKE|1CDMG|1ZMB	1AART|2MBVNT|3CDMG|4MDPS|59VULN|6ZMB|7DMG|8RCR|aNUKE
47	11534 14428	   	209.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|357VULN|4AART|6RCR|8MLV|9CDMG|aASPD
48	11534 18821	   	209.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|358VULN|4AART|6RCR|7ASPD|9RPLT|aCDMG
49	11534 14128	   	209.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|357VULN|4AART|6RCR|8ERES|9CDMG|aASPD
50	11534 18132	 * 	209.75	DCR|3VULN|2AART|1ASPD|1DUR	1MBVNT|2DUR|35aVULN|49AART|6RCR|7ASPD|8LWND
51	11534 18332	   	209.75	DCR|3VULN|2AART|1ASPD|1DUR	1MBVNT|2DUR|35aVULN|49AART|6RCR|7ASPD|8LHND
52	11534 18812	 * 	209.52	DCR|4VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|358aVULN|4AART|6RCR|7ASPD|9BEXP
53	11534 18822	   	209.52	DCR|4VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|358aVULN|4AART|6RCR|7ASPD|9RPLT
54	11534 18842	   	209.52	DCR|4VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|358aVULN|4AART|6RCR|7ASPD|9LHND
55	11534 18832	   	209.42	DCR|4VULN|1AART|1ASPD|1DUR	1MBVNT|2DUR|358aVULN|4AART|6RCR|7ASPD|9DUST
56	12243 21332	 * 	209.15	ACR|3VULN|2DMG|2ASPD|1AART	1MBVNT|2RPLT|38aVULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9MLV
57	11533 13385	   	209.11	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	1MBVNT|278DUR|37VULN|4AART|5RCVC|6RCR|7BPWR|9ASPD|aDMG
58	12243 21322	   	209.05	ACR|3VULN|2DMG|2ASPD|1AART	1MBVNT|2RPLT|38aVULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9TLV
59	11534 14352	 * 	208.96	DCR|5VULN|1AART|2DUR	1MBVNT|28DUR|3579aVULN|4AART|6RCR
60	11534 18143	 * 	208.89	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	1MBVNT|2DUR|35VULN|4AART|6RCR|79ASPD|8LWND|aMDPS
61	11534 18343	   	208.89	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	1MBVNT|2DUR|35VULN|4AART|6RCR|79ASPD|8LHND|aMDPS
62	61212 34362	 * 	208.72	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1AAC	1AART|28AME|3RCVC|48CDMG|5AAC|6RCR|78ASPD|8BPWR|9DMG|aVULN
63	63212 34362	   	208.72	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1AAC	1AART|28CGEN|3RCVC|48CDMG|5AAC|6RCR|78ASPD|8BPWR|9DMG|aVULN
64	64433 16232	 * 	208.17	DCR|2VULN|1MDPS|2ASPD|3ZMB|1AART|1DUR	1AART|2MBVNT|39ASPD|4DUR|579ZMB|6MDPS|89VULN|9BPWR|aRCR
65	11534 18425	   	207.93	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1MBVNT|29DUR|35VULN|4AART|6RCR|7ASPD|8DMG|aAAC
66	11871 21347	   	207.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4BEXP|5CDMG|689VULN|7RCR|aAART
67	11534 18142	 * 	207.90	DCR|3VULN|2ASPD|1AART|1DUR	1MBVNT|2DUR|35aVULN|4AART|6RCR|79ASPD|8LWND
68	11534 18342	   	207.90	DCR|3VULN|2ASPD|1AART|1DUR	1MBVNT|2DUR|35aVULN|4AART|6RCR|79ASPD|8LHND
69	11831 21347	   	207.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4DUST|5CDMG|689VULN|7RCR|aAART
70	15811 21347	   	207.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2DUST|3ASPD|4DUR|5CDMG|689VULN|7RCR|aAART
71	12243 21331	 * 	207.56	ACR|2VULN|2DMG|2ASPD|1AART|1CDMG	1MBVNT|2RPLT|38VULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9MLV|aCDMG
72	64454 11133	 * 	207.48	DCR|2VULN|2AART|1MDPS|2ASPD|2ZMB	17AART|2MBVNT|39ASPD|49ZMB|59VULN|6MDPS|8RCR|9BPWR|aCGEN
73	64454 11134	   	207.48	DCR|2VULN|2AART|1MDPS|2ASPD|2ZMB	17AART|2MBVNT|39ASPD|49ZMB|59VULN|6MDPS|8RCR|9BPWR|aBEXP
74	12243 21321	   	207.46	ACR|2VULN|2DMG|2ASPD|1AART|1CDMG	1MBVNT|2RPLT|38VULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9TLV|aCDMG
75	12243 21371	   	207.46	ACR|2VULN|2DMG|2ASPD|1AART|1CDMG	1MBVNT|2RPLT|38VULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9ERES|aCDMG
76	64454 11131	   	207.38	DCR|2VULN|2AART|1MDPS|2ASPD|2ZMB	17AART|2MBVNT|39ASPD|49ZMB|59VULN|6MDPS|8RCR|9BPWR|aLEGI
77	64454 11132	   	207.38	DCR|2VULN|2AART|1MDPS|2ASPD|2ZMB	17AART|2MBVNT|39ASPD|49ZMB|59VULN|6MDPS|8RCR|9BPWR|aTLV
78	11534 13326	 * 	207.04	DCR|3VULN|1AART|3DUR|1CDMG|1AAC	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aAAC
79	11533 14371	   	206.88	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|289DUR|379VULN|4AART|5RCVC|6RCR|9BPWR|aDMG
80	11534 13342	   	206.86	DCR|3VULN|2AART|3DUR|1AAC	1MBVNT|278DUR|357VULN|49AART|6RCR|7BPWR|aAAC
81	11533 13625	   	206.83	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|27aDUR|37VULN|4AART|5RCVC|6RCR|7aBPWR|8aMULARM|9aDMG
82	16121 24517	   	206.80	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR|1AAC	1MBVNT|2AAC|38DUR|4RCR|5CDMG|68VULN|78DMG|8BPWR|9ASPD|aAART
83	11534 14372	   	206.63	DCR|4VULN|1AART|3DUR|1AAC	1MBVNT|289DUR|3579VULN|4AART|6RCR|9BPWR|aAAC
84	16414 14156	 * 	206.38	DCR|4VULN|2DMG|1CDMG|1AAC	1MBVNT|2AAC|3689VULN|4RCVC|56DMG|6BPWR|7CDMG|aRCR
85	16431 72364	 * 	206.21	DCR|2VULN|2ASPD|1AART|1CDMG|1AAC|1DUR	1MBVNT|2AAC|3aVULN|4aDUST|5CDMG|6RCR|7AART|8DUR|9aASPD|aBPWR
86	11534 18146	   	206.14	DCR|2VULN|2AART|2ASPD|1DUR	1MBVNT|2DUR|35VULN|4aAART|6RCR|79ASPD|8LWND
87	11534 18346	   	206.14	DCR|2VULN|2AART|2ASPD|1DUR	1MBVNT|2DUR|35VULN|4aAART|6RCR|79ASPD|8LHND
88	11831 77342	   	206.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4DUST|5CDMG|6RCR|789VULN|aDMG
89	12825 52211	 * 	205.69	DCR|3VULN|2DMG|3ZMB|1DUR	1MBVNT|2RPLT|367ZMB|47DMG|578VULN|7BPWR|9DUR|aRCR
90	11533 14373	   	205.64	DCR|3VULN|1MDPS|1AART|3DUR	1MBVNT|289DUR|379VULN|4AART|5RCVC|6RCR|9BPWR|aMDPS
91	11534 13424	   	205.54	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MLV|9CDMG|aZMB
92	11534 13124	   	205.44	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8ERES|9CDMG|aZMB
93	11534 13724	   	205.44	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8TLV|9CDMG|aZMB
94	11534 13387	   	205.38	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9ASPD|aRCVC
95	16471 82323	   	205.37	DCR|2VULN|2DMG|2AAC|2CDMG|1ASPD	1MBVNT|2aAAC|37VULN|4BEXP|57CDMG|67DMG|7BPWR|8ASPD|9RCR
96	64224 13374	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2MBVNT|347FEWX|57VULN|6RCR|7BPWR|8aDMG|9ASPD
97	11534 14323	   	205.27	DCR|3VULN|2AART|2DUR|1ZMB	1MBVNT|28DUR|357VULN|49AART|6RCR|aZMB
98	11871 74232	   	205.25	DCR|2DMG|2ASPD|1AART|1CDMG|2DUR	1MBVNT|29DUR|39ASPD|4BEXP|5CDMG|6RCR|79DMG|8AART|9BPWR|aFEWX
99	11871 74233	   	205.25	DCR|2DMG|2ASPD|1AART|1CDMG|2DUR	1MBVNT|29DUR|39ASPD|4BEXP|5CDMG|6RCR|79DMG|8AART|9BPWR|aLHND
100	11871 74234	   	205.25	DCR|2DMG|2ASPD|1AART|1CDMG|2DUR	1MBVNT|29DUR|39ASPD|4BEXP|5CDMG|6RCR|79DMG|8AART|9BPWR|aLWND
101	16442 14424	 * 	205.24	DCR|3VULN|2ASPD|2CDMG|1AAC|2ZMB	1MBVNT|2AAC|369VULN|46ASPD|5DMSP|69BPWR|79CDMG|89ZMB|aRCR
102	16448 41425	 * 	205.19	DCR|2VULN|2DMG|2AAC|1AART|1ASPD	1MBVNT|28AAC|39VULN|4ASPD|59DMG|6RCR|79CGEN|9BPWR|aAART
103	64424 16412	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5aVULN|6RCR|78DMG|9FEWX
104	64424 16422	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5aVULN|6RCR|78DMG|9RPLT
105	64424 16442	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5aVULN|6RCR|78DMG|9LHND
106	64843 31234	 * 	205.13	DCR|2DMG|1MDPS|3CDMG|1VULN|1AART|2ZMB	1AART|2MBVNT|39aCDMG|4MDPS|5VULN|6aZMB|7aDMG|8RCR|aBPWR
107	11533 13341	   	205.12	DCR|2VULN|2AART|1DMG|3DUR	1MBVNT|278DUR|37VULN|49AART|5RCVC|6RCR|7BPWR|aDMG
108	64424 16242	   	205.09	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5aVULN|6RCR|79DMG|8DUST
109	64424 16432	   	205.09	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5aVULN|6RCR|78DMG|9DUST
110	16431 74514	   	205.09	DCR|2VULN|2DMG|2CDMG|1ASPD|1AAC	1MBVNT|2AAC|38VULN|4DUST|58CDMG|6RCR|78DMG|8BPWR|9ASPD|aLIT
111	11534 14353	   	205.04	DCR|4VULN|1AART|2DUR|1ZMB	1MBVNT|28DUR|3579VULN|4AART|6RCR|aZMB
112	18228 23621	 * 	204.49	DCR|2DMG|1VULN|2CDMG|1AART|1ASPD	1MBVNT|29ERES|3LIT|49DMG|5ASPD|6VULN|79CDMG|8RCR|9BPWR|aAART
113	12243 31354	 * 	204.27	ACR|3VULN|3DMG|1AART|2ZMB	1MBVNT|2RPLT|38aVULN|4RCR|5AART|68ZMB|78aDMG|8aBPWR|9aLWND
114	12243 21318	 * 	204.24	ACR|3ASPD|2VULN|2DMG|1AART	1MBVNT|2RPLT|38VULN|4RCR|5AART|68aASPD|78DMG|8BPWR|9BEXP
115	11831 21647	   	204.21	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1MBVNT|2DUR|38ASPD|4DUST|5CDMG|69VULN|7RCR|aAART
116	11871 21342	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4BEXP|5CDMG|689VULN|7RCR|aDMG
117	11535 14371	   	204.17	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|289DUR|379VULN|4AART|59AELBLL|6RCR|9BPWR|aDMG
118	11831 21342	   	204.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4DUST|5CDMG|689VULN|7RCR|aDMG
119	15811 21342	   	204.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUST|3ASPD|4DUR|5CDMG|689VULN|7RCR|aDMG
120	11534 13314	   	204.07	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9LHND|aASPD
121	11534 13315	   	204.07	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9LHND|aDMG
122	11534 13331	   	204.07	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9DMSP|aDMG
123	11534 13354	   	204.07	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9FEWX|aASPD
124	11534 13355	   	204.07	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9FEWX|aDMG
125	11534 13381	   	204.07	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9ASPD|aLWND
126	11534 13382	   	204.07	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9ASPD|aLHND
127	11534 13383	   	204.07	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9ASPD|aAME
128	11534 13384	   	204.07	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9ASPD|aBEXP
129	11534 13388	   	204.07	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9ASPD|aCGEN
130	16448 41624	   	204.04	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1MBVNT|2AAC|39VULN|48ASPD|59DMG|6RCR|79CGEN|9BPWR|aDUR
131	11844 31764	   	204.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5DMG|6MLV|7RCR|8CDMG|9VULN|aAART
132	11534 13364	   	203.97	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9DUST|aASPD
133	11534 13365	   	203.97	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9DUST|aDMG
134	11534 13386	   	203.97	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9ASPD|aTLV
135	11534 13824	   	203.97	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|279DUR|357VULN|4AART|6RCR|7BPWR|8DUST|aASPD
136	11534 13825	   	203.97	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|279DUR|357VULN|4AART|6RCR|7BPWR|8DUST|aDMG
137	11844 21764	   	203.90	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5DMG|6ERES|7RCR|8CDMG|9VULN|aAART
138	11533 13343	   	203.88	DCR|2VULN|2AART|1MDPS|3DUR	1MBVNT|278DUR|37VULN|49AART|5RCVC|6RCR|7BPWR|aMDPS
139	16431 74524	   	203.85	DCR|2VULN|2DMG|1MDPS|2CDMG|1AAC	1MBVNT|2AAC|38VULN|4DUST|58CDMG|6RCR|78DMG|8BPWR|9LHND|aMDPS
140	64424 16132	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2MBVNT|3ASPD|4AME|5aVULN|6RCR|7DMG|8LWND
141	64424 16332	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2MBVNT|3ASPD|4AME|5aVULN|6RCR|7DMG|8LHND
142	64424 16413	 * 	203.63	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|78DMG|9FEWX|aMDPS
143	64424 16443	   	203.63	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|78DMG|9LHND|aMDPS
144	64424 16243	   	203.53	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|79DMG|8DUST|aMDPS
145	64424 16433	   	203.53	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|78DMG|9DUST|aMDPS
146	16414 14434	   	203.10	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC|1ZMB	1MBVNT|2AAC|36VULN|4RCVC|56DMG|6BPWR|7CDMG|8ZMB|9ASPD|aRCR
