0	Index      	 *	Score 	Summary	Detail	
170	31413 25121	   	155.15	ACR|2VULN|2DMG|2CDMG|1SELL	1RPLT|29BEXP|39DMG|4LWND|5RCR|68VULN|79CDMG|9BPWR|aSELL
171	31413 24621	   	155.15	ACR|2VULN|2DMG|2CDMG|1SELL	1RPLT|29BEXP|39DMG|4LWND|5RCR|67VULN|89CDMG|9BPWR|aSELL
172	13132 35515	 * 	155.04	DCR|3VULN|1DMG|2CDMG	1DUST|289VULN|3CGEN|45CDMG|6BASICY|7RCR|aDMG
173	36463 21223	   	155.03	DCR|2DMG|1AART|1VULN|1ZMB	1RPLT|2LIT|3MLV|4AART|5VULN|6LWND|79DMG|8RCR|aZMB
174	52113 11532	   	155.00	DCR|3VULN|2DMG|1DUR	1CGEN|2aDMG|3DUR|456VULN|7LHND|8LIT|9RCR
175	52113 61532	 * 	155.00	DCR|3DMG|2VULN|1DUR	1CGEN|26aDMG|3DUR|45VULN|7LHND|8LIT|9RCR
176	52412 61311	   	155.00	DCR|3DMG|2VULN|1DUR	1CGEN|236DMG|4DUR|5FEWX|7aVULN|8LWND|9RCR
177	52413 61311	   	155.00	DCR|3DMG|2VULN|1DUR	1CGEN|236DMG|4DUR|5BEXP|7aVULN|8LWND|9RCR
178	33413 25124	   	154.95	ACR|2VULN|2DMG|1AART|2CDMG|2MSE	1RPLT|29MSE|39DMG|4LWND|5RCR|68VULN|79CDMG|9BPWR|aAART
179	31353 25523	   	154.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2BEXP|3DUST|4DUR|5DMG|6VULN|7CDMG|8RCR|9AART|aZMB
180	32653 15211	 * 	154.91	ACR|2DMG|1AART|2ZMB|1DUR|1ASPD	1RPLT|2aDUST|3RCR|4DUR|5aDMG|6ASPD|7LIT|8aZMB|9AART|aBPWR
181	52412 61211	   	154.90	DCR|3DMG|2VULN|1DUR	1CGEN|236DMG|4DUR|5FEWX|7aVULN|8DUST|9RCR
182	52413 61211	   	154.90	DCR|3DMG|2VULN|1DUR	1CGEN|236DMG|4DUR|5BEXP|7aVULN|8DUST|9RCR
183	31653 25122	 * 	154.84	ACR|2VULN|1DMG|2CDMG|2DUR	1RPLT|29BEXP|3RCR|49DUR|5DMG|68VULN|79CDMG|9BPWR|aRCVC
184	31653 25123	   	154.84	ACR|2VULN|1DMG|2CDMG|2DUR	1RPLT|29BEXP|3RCR|49DUR|5DMG|68VULN|79CDMG|9BPWR|aLHND
185	13316 71484	   	154.68	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5MBVNT|6DMG|7LWND|8AART|9RCR|aRMIN
186	13316 21441	   	154.68	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5MBVNT|6LWND|7CGEN|8AART|9RCR|aDMG
187	32653 25122	   	154.64	ACR|2VULN|1DMG|2CDMG|2DUR	1RPLT|29DUST|3RCR|49DUR|5DMG|68VULN|79CDMG|9BPWR|aRCVC
188	32653 25123	   	154.64	ACR|2VULN|1DMG|2CDMG|2DUR	1RPLT|29DUST|3RCR|49DUR|5DMG|68VULN|79CDMG|9BPWR|aLHND
189	31653 25121	   	154.59	ACR|2VULN|1DMG|2CDMG|2DUR|1SELL	1RPLT|29BEXP|3RCR|49DUR|5DMG|68VULN|79CDMG|9BPWR|aSELL
190	13316 31441	   	154.58	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5MBVNT|6ERES|7LWND|8AART|9RCR|aDMG
191	13316 71481	   	154.58	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5MBVNT|6DMG|7LWND|8AART|9RCR|aNUKE
192	13316 71482	   	154.58	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5MBVNT|6DMG|7LWND|8AART|9RCR|aERES
193	13316 81441	   	154.58	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5MBVNT|6TLV|7LWND|8AART|9RCR|aDMG
194	13311 14432	   	154.56	DCR|4VULN|1AART|1DUR	1DUST|2346VULN|5DUR|7LHND|8BELT|9RCR|aAART
195	31433 25114	   	154.49	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2BEXP|3DMG|49FEWX|5RCR|68VULN|7CDMG|aAART
196	31433 25124	   	154.49	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|68VULN|7CDMG|9RCVC|aAART
197	31433 25162	   	154.49	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|68VULN|7CDMG|9BELT|aAART
198	41352 22325	   	154.48	DCR|2DMG|1AART|1VULN|2ZMB	1LIT|25DMG|3AART|48ZMB|6VULN|7NUKE|9ERES|aRCR
199	31153 35513	   	154.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2BEXP|3VULN|4DUR|5DMG|6LHND|7CDMG|8RCR|9ZMB|aAART
200	32653 25121	   	154.39	ACR|2VULN|1DMG|2CDMG|2DUR|1SELL	1RPLT|29DUST|3RCR|49DUR|5DMG|68VULN|79CDMG|9BPWR|aSELL
201	16161 26133	   	154.39	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	1DUST|2RCVC|3AART|4CDMG|58VULN|6LIT|7RCR|9DUR|aASPD
202	32153 35513	   	154.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2DUST|3VULN|4DUR|5DMG|6LHND|7CDMG|8RCR|9ZMB|aAART
203	12161 26133	   	154.29	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	12DUST|3AART|4CDMG|58VULN|6LIT|7RCR|9DUR|aASPD
204	32326 42124	 * 	154.08	DCR|3DMG|1AART|3ASPD	1RPLT|237DUST|478DMG|5AART|678ASPD|78BPWR|9DMSP|aRCR
205	32326 42151	   	154.08	DCR|3DMG|1AART|3ASPD	1RPLT|237DUST|478DMG|5AART|678ASPD|78BPWR|9BELT|aRCR
206	56321 22251	 * 	154.03	DCR|2AART|1DMG|1VULN|1FLTHEA|1DUR|1SELL	1CGEN|2VULN|3RCVC|4FLTHEA|5SELL|6DUR|7aAART|8DMG|9RCR
207	41342 63212	   	153.99	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2DMG|3AART|4LWND|5CANHEL|6ZMB|7RCR|8VULN|9RMIN|aCDMG
208	12161 26215	   	153.89	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	12DUST|3AART|4CDMG|5VULN|68LIT|7RCR|9ZMB|aDMG
209	41342 63222	   	153.89	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2DMG|3AART|4LWND|5CANHEL|6ZMB|7RCR|8VULN|9ERES|aCDMG
210	16122 35361	   	153.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2RCVC|3AART|49VULN|5DUR|6LHND|7RCR|8CGEN|aDMG
211	16122 35633	   	153.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2RCVC|3AART|4aVULN|5DUR|6LHND|7RCR|8BEXP|9DMG
212	12122 35361	   	153.76	DCR|2VULN|1AART|1DMG|1DUR	12DUST|3AART|49VULN|5DUR|6LHND|7RCR|8CGEN|aDMG
213	12122 35633	   	153.76	DCR|2VULN|1AART|1DMG|1DUR	12DUST|3AART|4aVULN|5DUR|6LHND|7RCR|8BEXP|9DMG
214	13151 54172	   	153.66	DCR|2VULN|1AART|2CDMG|1DUR	19DUST|29VULN|3CGEN|4AIRHEA|5MBVNT|6RCR|7AART|89CDMG|9BPWR|aDUR
215	31433 24316	   	153.49	ACR|2VULN|2AART|1DMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67VULN|89AART|aLHND
216	31433 24312	   	153.39	ACR|2VULN|2AART|1DMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67VULN|89AART|aERES
217	31433 24313	   	153.39	ACR|2VULN|2AART|1DMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67VULN|89AART|aMBVNT
218	31433 24314	   	153.39	ACR|2VULN|2AART|1DMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67VULN|89AART|aTLV
219	31433 54312	   	153.39	ACR|2DMG|2AART|1VULN	1RPLT|2BEXP|36DMG|4FEWX|5RCR|7VULN|89AART|aERES
220	31433 54313	   	153.39	ACR|2DMG|2AART|1VULN	1RPLT|2BEXP|36DMG|4FEWX|5RCR|7VULN|89AART|aMBVNT
221	56124 21322	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2aVULN|3ERES|4BELT|5CDMG|6DMG|7AART|8BEXP|9RCR
222	41352 21141	   	153.23	DCR|2DMG|1AART|1VULN|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7MLV|8RMIN|9RCR|aLHND
223	41352 21142	   	153.23	DCR|2DMG|1AART|1VULN|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7MLV|8RMIN|9RCR|aFEWX
224	41352 21143	   	153.23	DCR|2DMG|1AART|1VULN|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7MLV|8RMIN|9RCR|aCGEN
225	41352 23141	   	153.23	DCR|2DMG|1AART|1VULN|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7CGEN|8RMIN|9RCR|aLHND
226	41352 23142	   	153.23	DCR|2DMG|1AART|1VULN|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7CGEN|8RMIN|9RCR|aFEWX
227	41352 23143	   	153.23	DCR|2DMG|1AART|1VULN|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7aCGEN|8RMIN|9RCR
228	13323 36212	   	153.12	DCR|4VULN|1AART	1aDUST|235aVULN|4RCVC|6RMIN|7RCR|8aLIT|9AART|aBPWR
229	13513 36212	   	153.12	DCR|4VULN|1AART	1aDUST|245aVULN|3RCVC|6RMIN|7RCR|8aLIT|9AART|aBPWR
230	32626 23622	   	153.11	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RPLT|2DUST|3RCR|4ERES|5LWND|6VULN|7ZMB|8CDMG|9AART|aDMG
231	35621 23622	   	153.11	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RPLT|2LWND|3RCR|4ERES|5DUST|6VULN|7ZMB|8CDMG|9AART|aDMG
232	11361 24353	   	153.10	DCR|2VULN|2DMG|1CDMG|1ASPD	1DUST|2LWND|3aVULN|4aFEWX|5LIT|6aDMG|7ASPD|8CDMG|9RCR|aBPWR
233	22361 24353	   	153.10	DCR|2VULN|2DMG|1CDMG|1ASPD	1LWND|2DUST|3aVULN|4aFEWX|5LIT|6aDMG|7ASPD|8CDMG|9RCR|aBPWR
234	13313 24311	 * 	153.09	DCR|5VULN|1FLTHEA	1DUST|23459VULN|6LSRREG|7DLOT|8RCR|aFLTHEA
235	31653 31533	   	153.08	ACR|2VULN|1AART|1DMG|1DUR	1RPLT|2BEXP|3RCR|4DUR|5DMG|6CGEN|7ERES|8aVULN|9AART
236	32632 55331	   	153.08	ACR|2VULN|1AART|1DMG|1DUR	1RPLT|2DUST|3RCR|4BELT|56VULN|7RCVC|8DMG|9AART|aDUR
237	56221 12252	 * 	153.03	DCR|2VULN|1AART|1DMG|1FLTHEA|1SELL	1CGEN|23VULN|4FLTHEA|5SELL|6DUST|7AART|8DMG|9RCR|aCANSTR
238	13313 36211	   	153.02	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8LIT|9AART|aBELT
239	13313 36213	   	153.02	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8LIT|9AART|aRPLT
240	13313 36214	   	153.02	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8LIT|9AART|aBEXP
241	13313 36621	   	153.02	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8BEXP|9AART|aCGEN
242	13313 36622	   	153.02	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8aBEXP|9AART
243	13613 36212	   	153.02	DCR|4VULN|1AART	13aDUST|245aVULN|6RMIN|7RCR|8aLIT|9AART|aBPWR
244	32632 54331	   	152.98	ACR|2VULN|1AART|1DMG|1DUR	1RPLT|27DUST|3RCR|4BELT|56VULN|8DMG|9AART|aDUR
245	21253 62151	   	152.97	DCR|2AART|2VULN|1DMG	1LWND|2LHND|3BEXP|47AART|5ERES|68VULN|9RCR|aDMG
246	21255 32151	   	152.97	DCR|2AART|2VULN|1DMG	1LWND|2LHND|3BEXP|47AART|58VULN|6ERES|9RCR|aDMG
247	13313 36215	   	152.92	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8LIT|9AART|aMBVNT
248	13313 36216	   	152.92	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8LIT|9AART|aSNIHEL
249	13313 36321	   	152.92	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8MBVNT|9AART|aCGEN
250	13313 36322	   	152.92	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8MBVNT|9AART|aBEXP
251	13313 36624	   	152.92	DCR|4VULN|1AART	1aDUST|2345VULN|6RMIN|7RCR|8BEXP|9AART
252	31653 15311	   	152.84	ACR|1AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1RPLT|2BEXP|3RCR|4DUR|5DMG|6ASPD|7VULN|8ZMB|9DUST|aAART
253	13313 36323	   	152.82	DCR|4VULN|1AART	1aDUST|2345VULN|6RMIN|7RCR|8MBVNT|9AART
254	41531 21153	   	152.80	DCR|2VULN|2DMG|1CDMG|1ASPD	1LIT|2aDMG|3ERES|4ASPD|5CDMG|67VULN|8DUST|9RCR
255	13313 36626	   	152.77	DCR|4VULN|1AART|1SELL	1DUST|2345VULN|6RMIN|7RCR|8BEXP|9AART|aSELL
256	13523 36347	   	152.76	DCR|3VULN|2DMG	1aDUST|25aVULN|34RCVC|6RMIN|7RCR|8MBVNT|9aDMG|aBPWR
257	12161 41611	   	152.76	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1SELL	12DUST|3AART|49CDMG|5VULN|6SELL|7ZMB|8DMG|aRCR
258	52324 22226	   	152.70	DCR|3VULN|2DMG|1ASPD	13CGEN|26DMG|4RCVC|569VULN|6BPWR|7ASPD|8BELT|aRCR
259	52341 22226	   	152.70	DCR|3VULN|2DMG|1ASPD	13CGEN|26DMG|469VULN|5RCVC|6BPWR|7ASPD|8BELT|aRCR
260	13623 36347	   	152.66	DCR|3VULN|2DMG	13aDUST|25aVULN|4RCVC|6RMIN|7RCR|8MBVNT|9aDMG|aBPWR
261	13323 36623	   	152.57	DCR|3VULN|1AART|1FLTHEA	1DUST|235VULN|4RCVC|6RMIN|7RCR|8BEXP|9AART|aFLTHEA
262	13513 36623	   	152.57	DCR|3VULN|1AART|1FLTHEA	1DUST|245VULN|3RCVC|6RMIN|7RCR|8BEXP|9AART|aFLTHEA
263	31632 36326	   	152.48	ACR|2VULN|1AART|1DMG|1DUR	1RPLT|2BEXP|3RCR|4BELT|59VULN|6LEGI|7DUR|8DMG|aAART
264	31653 24111	   	152.48	ACR|2VULN|1AART|1DMG|1DUR	1RPLT|2BEXP|3RCR|4DUR|5DMG|67VULN|8FEWX|9DUST|aAART
265	13323 36328	   	152.47	DCR|3VULN|1AART|1CDMG	1DUST|235VULN|4RCVC|6RMIN|7RCR|8MBVNT|9AART|aCDMG
266	13513 36328	   	152.47	DCR|3VULN|1AART|1CDMG	1DUST|245VULN|3RCVC|6RMIN|7RCR|8MBVNT|9AART|aCDMG
267	13613 36623	   	152.47	DCR|3VULN|1AART|1FLTHEA	13DUST|245VULN|6RMIN|7RCR|8BEXP|9AART|aFLTHEA
268	13313 36226	   	152.42	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8LIT|9FEWX|aAART
269	13313 36256	   	152.42	DCR|4VULN|1AART	1DUST|2345VULN|6RMIN|7RCR|8LIT|9BEXP|aAART
