0	Index      	 *	Score 	Summary	Detail	
163	42431 22361	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|27DMG|3AART|4CDMG|5VULN|6FEWX|8DUR|9RCR|aCGEN
164	42431 22362	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|27DMG|3AART|4CDMG|5VULN|6FEWX|8DUR|9RCR|aLWND
165	42431 22363	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|27DMG|3AART|4CDMG|5VULN|6FEWX|8DUR|9RCR|aMLV
166	42431 23533	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LIT|2aDMG|3AART|4CDMG|5VULN|6FEWX|7ASPD|8BELT|9RCR
167	42636 12213	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2DMG|34VULN|5DUR|6RPLT|7AART|8RCR|9DUST|aCDMG
168	31133 41256	   	162.60	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1BELT|2DUR|3AART|4ZMB|58aVULN|6DUST|7ASPD|9RCR
169	61516 13312	   	162.57	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2RMIN|3DUR|4CDMG|58AART|6RCR|7DUST|9DMG|aVULN
170	31133 51323	   	162.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BELT|2DUR|3AART|4ZMB|5VULN|6ERES|7aDMG|8RCR|9LIT
171	33336 71484	   	162.38	DCR|2VULN|1AART|1DMG|2ZMB	1BELT|2AART|39DUST|49ZMB|5MBVNT|6RPLT|7RCR|89VULN|9BPWR|aDMG
172	12413 42123	 * 	162.38	DCR|2DMG|1AART|1VULN|3DUR	1DUST|2VULN|345DUR|6RCR|7aDMG|8AART|9RPLT
173	42632 23622	 * 	162.23	ACR|2VULN|2DMG|2CDMG|1DUR	169LIT|29DMG|34VULN|5RCR|7ERES|89CDMG|9BPWR|aDUR
174	42632 31622	   	162.23	ACR|2VULN|2DMG|2CDMG|1DUR	179LIT|29DMG|34VULN|5RCR|6ERES|89CDMG|9BPWR|aDUR
175	12364 51321	   	162.07	DCR|4VULN|2DMG	1DUST|2578VULN|34DMG|6LHND|9RCR|aRMIN
176	12364 51323	   	162.07	DCR|4VULN|2DMG	1DUST|2578VULN|34DMG|6LHND|9RCR|aLWND
177	42632 61312	   	162.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2DMG|34VULN|5RCR|6BEXP|7DUR|8LWND|9AART|aCDMG
178	12311 13336	   	162.02	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1DUST|2VULN|3DMG|4CDMG|5ZMB|6RPLT|7RCR|89DUR|aAART
179	12364 51322	   	161.97	DCR|4VULN|2DMG	1DUST|2578VULN|34DMG|6LHND|9RCR|aERES
180	26211 23321	   	161.94	ACR|2AART|2VULN|1CDMG|1ZMB|1SELL	1TLV|2aVULN|3RMIN|4RCR|58AART|6ZMB|7CDMG|9SELL
181	12311 13522	   	161.86	DCR|2VULN|2DMG|1CDMG|1ZMB	1aDUST|29VULN|3aDMG|4CDMG|5ZMB|6RPLT|7RCR|8aLHND|aBPWR
182	26211 23354	 * 	161.80	ACR|2AART|1VULN|2CDMG|2ZMB|1DUR	19TLV|2VULN|3RMIN|4RCR|58AART|69ZMB|79CDMG|9BPWR|aDUR
183	26211 41531	   	161.80	ACR|3VULN|1AART|1DMG	1TLV|26aVULN|3RMIN|4RCR|5AART|7DMSP|8CGEN|9DMG
184	12311 13121	   	161.76	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|29VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|aFEWX
185	12311 13123	   	161.76	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|29VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|aRMIN
186	12311 13142	   	161.76	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|2aVULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|9LIT
187	12311 13125	   	161.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|29VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|aERES
188	12125 32364	 * 	161.61	DCR|3DMG|2VULN|1CDMG	1DUST|26VULN|3LWND|4BELT|578DMG|9RCR|aCDMG
189	62362 11314	 * 	161.61	DCR|3VULN|2DMG|1CDMG	1FEWX|28aVULN|34DMG|5DUST|6LHND|7CDMG|9RCR
190	52311 13122	   	161.52	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|29VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|aAART
191	52615 13122	   	161.52	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|29VULN|3CDMG|4ZMB|58DMG|6RPLT|7RCR|aAART
192	12311 13126	   	161.52	DCR|2VULN|2DMG|1CDMG|1ZMB|1SELL	1DUST|29VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|aSELL
193	22321 33336	   	161.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1TLV|2ZMB|36VULN|4LHND|5AART|7DMG|8RCR|9BEXP|aASPD
194	25613 23363	   	161.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2RPLT|3DMG|4ZMB|5MLV|6aVULN|7RCR|8DUR|9AART
195	25621 23363	   	161.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2RPLT|3DMG|4MLV|5ZMB|6aVULN|7RCR|8DUR|9AART
196	12364 33325	 * 	161.22	DCR|3VULN|3DMG	1DUST|259VULN|348DMG|6MLV|7RCVC|aRCR
197	61516 12423	 * 	161.20	DCR|2DMG|1AART|3CDMG|1DUR	1aFEWX|2RMIN|3DUR|49aCDMG|5AART|6RCR|7MBVNT|8aDMG|aBPWR
198	63231 42411	   	161.17	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|2ERES|3RMIN|468VULN|5AART|7ZMB|9RCR|aCDMG
199	12333 15443	   	161.16	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1DUST|27VULN|3DMG|45DUR|6LHND|8ZMB|9RCR|aAART
200	12264 13322	   	161.16	DCR|3VULN|1DMG|1CDMG|2DUR	1aDUST|29aVULN|3RMIN|4DMG|5CDMG|6RPLT|7RCR|8aDUR|aBPWR
201	31136 43267	   	161.15	DCR|3VULN|1AART|2DUR|1ZMB	1BELT|28DUR|3AART|4ZMB|5MBVNT|68MLV|78aVULN|8BPWR|9RCR
202	42236 11163	 * 	161.15	4VULN|3DMG|1AART|2DUR	137LIT|27aDMG|4AART|578aVULN|6RMIN|7aBPWR|9aDUR
203	26361 33141	   	161.12	DCR|3DMG|1AART|1VULN|1DUR	1TLV|2VULN|36FEWX|489DMG|5AART|7DUR|aRCR
204	22321 35411	   	161.07	DCR|3VULN|1AART|1CDMG|1ZMB	1TLV|2ZMB|368VULN|4LHND|5AART|7ERES|9RCR|aCDMG
205	22341 35411	   	161.07	DCR|3VULN|1AART|1CDMG|1ZMB	1TLV|2ZMB|368VULN|4BEXP|5AART|7ERES|9RCR|aCDMG
206	13231 42411	   	161.07	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|2ERES|3RMIN|468VULN|5AART|7ZMB|9RCR|aCDMG
207	23231 42411	   	161.07	DCR|3VULN|1AART|1CDMG|1ZMB	1TLV|2DUST|3RMIN|468VULN|5AART|7ZMB|9RCR|aCDMG
208	33432 33632	   	160.98	DCR|2VULN|1AART|1DMG|1ZMB|1SELL	1BELT|2AART|3SELL|48LIT|58VULN|6RCR|78LWND|8BPWR|9ZMB|aDMG
209	12361 21154	   	160.65	DCR|2VULN|2DMG|1AART|1DUR	1DUST|27VULN|34DMG|5RCVC|6DUR|8FEWX|9AART|aRCR
210	12361 22254	   	160.65	DCR|2VULN|2DMG|1AART|1DUR	1DUST|28VULN|34DMG|5RCVC|6DUR|7LWND|9AART|aRCR
211	42623 12234	 * 	160.61	DCR|2DMG|2AART|1VULN|1DUR	1LIT|29DMG|3VULN|4DUR|5RCVC|6RPLT|7aAART|8RCR
212	26212 35331	 * 	160.60	ACR|4VULN|2CDMG|1ZMB	1TLV|2689VULN|3RMIN|4RCR|5aCDMG|7ZMB
213	12311 13366	   	160.58	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1DUST|2VULN|3DMG|4CDMG|59ZMB|6RPLT|7RCR|8DUR|aAART
214	31133 36346	   	160.56	DCR|3VULN|1AART|1ZMB|1DUR	1BELT|2DUR|3AART|4ZMB|58aVULN|69LHND|7RCR
215	12362 21154	   	160.55	DCR|2VULN|2DMG|1AART|1DUR	15DUST|27VULN|34DMG|6DUR|8FEWX|9AART|aRCR
216	12362 22254	   	160.55	DCR|2VULN|2DMG|1AART|1DUR	15DUST|28VULN|34DMG|6DUR|7LWND|9AART|aRCR
217	26212 32221	   	160.52	ACR|3VULN|1AART|1CDMG|1DUR	1TLV|269VULN|3RMIN|4RCR|5CDMG|7BEXP|8AART|aDUR
218	26212 34223	   	160.52	ACR|3VULN|1AART|1CDMG|1DUR	1TLV|269VULN|3RMIN|4RCR|5CDMG|7DUR|8AART|aLIT
219	62361 21125	   	160.50	DCR|3DMG|2VULN|2DUR	18aFEWX|27VULN|34aDMG|5RCVC|6aDUR|9RCR|aBPWR
220	42632 62221	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2DMG|34VULN|5RCR|6BEXP|7AART|8DUR|9DUST|aZMB
221	31133 36356	   	160.46	DCR|3VULN|1AART|1ZMB|1DUR	1BELT|2DUR|3AART|4ZMB|58aVULN|6LHND|7RCR|9ERES
222	26212 34222	   	160.42	ACR|3VULN|1AART|1CDMG|1DUR	1TLV|269VULN|3RMIN|4RCR|5CDMG|7DUR|8AART|aNUKE
223	12311 13362	 * 	160.36	DCR|2DMG|1VULN|2ZMB|1CDMG|2DUR	1aDUST|2VULN|3aDMG|4CDMG|59ZMB|6RPLT|7RCR|8aDUR|aBPWR
224	12311 13332	 * 	160.33	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	1aDUST|2VULN|3aDMG|4CDMG|5ZMB|6RPLT|7RCR|89aDUR|aBPWR
225	62364 21321	   	160.30	DCR|3VULN|2DMG|2DUR	1FEWX|257VULN|34DMG|68DUR|9RCR|aRMIN
226	62364 21323	   	160.30	DCR|3VULN|2DMG|2DUR	1FEWX|257VULN|34DMG|68DUR|9RCR|aLWND
227	42632 12131	   	160.23	ACR|2VULN|2DMG|1AART	1LIT|29DMG|34VULN|5RCR|6RPLT|7AART|8LHND|aCGEN
228	42632 12132	   	160.23	ACR|2VULN|2DMG|1AART	1LIT|29DMG|34VULN|5RCR|6RPLT|7AART|8LHND|aLWND
229	42632 12133	   	160.23	ACR|2VULN|2DMG|1AART	1LIT|29DMG|34VULN|5RCR|6RPLT|7AART|8LHND|aMLV
230	42632 12135	   	160.23	ACR|2VULN|2DMG|1AART	1aLIT|29DMG|34VULN|5RCR|6RPLT|7AART|8LHND
231	12413 62231	 * 	160.23	DCR|2VULN|1DMG|3DUR|1CDMG|1ZMB	1DUST|2aVULN|345DUR|6ZMB|7RCR|8CDMG|9DMG
232	32162 41522	   	160.20	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1BELT|2ERES|3RCVC|4AART|5ASPD|69VULN|7RCR|8DUR|aDMG
233	62364 21322	   	160.20	DCR|3VULN|2DMG|2DUR	1FEWX|257VULN|34DMG|68DUR|9RCR|aERES
234	33133 51351	   	160.18	DCR|2DMG|1AART|1VULN|2ZMB	1BELT|2AART|39BEXP|49ZMB|5VULN|6ERES|79DMG|8RCR|9BPWR|aRCVC
235	33133 51353	   	160.18	DCR|2DMG|1AART|1VULN|2ZMB	1BELT|2AART|39BEXP|49ZMB|5VULN|6ERES|79DMG|8RCR|9BPWR|aRPLT
236	33133 51354	   	160.18	DCR|2DMG|1AART|1VULN|2ZMB	1BELT|2AART|39BEXP|49ZMB|5VULN|6ERES|79DMG|8RCR|9BPWR|aCGEN
237	26211 23512	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2VULN|3RMIN|4RCR|5AART|6ZMB|7CDMG|8DUR|9DMG|aRCVC
238	26211 23513	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2VULN|3RMIN|4RCR|5AART|6ZMB|7CDMG|8DUR|9DMG|aLWND
239	26211 23514	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2VULN|3RMIN|4RCR|5AART|6ZMB|7CDMG|8DUR|9DMG|aMLV
240	26211 23516	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2VULN|3RMIN|4RCR|5AART|6ZMB|7CDMG|8DUR|9DMG|aLHND
241	33133 51352	   	160.08	DCR|2DMG|1AART|1VULN|2ZMB	1BELT|2AART|39BEXP|49ZMB|5VULN|6ERES|79DMG|8RCR|9BPWR|aDUST
242	33133 51355	   	160.08	DCR|2DMG|1AART|1VULN|2ZMB	1BELT|2AART|39BEXP|49ZMB|5VULN|6ERES|79DMG|8RCR|9BPWR|aTLV
243	31123 61256	   	160.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2DUR|3AART|4CGEN|5aVULN|6NUKE|7DMG|8ZMB|9RCR
244	31133 61356	   	160.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2DUR|3AART|4ZMB|5aVULN|6NUKE|7DMG|8RMIN|9RCR
245	26211 23511	   	160.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2VULN|3RMIN|4RCR|5AART|6ZMB|7CDMG|8DUR|9DMG|aDUST
246	14314 35323	 * 	160.05	ACR|3VULN|1DMG|1CDMG|1ZMB	129DUST|368VULN|4RCR|5CDMG|7ZMB|aDMG
247	26211 43136	   	160.02	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1TLV|26VULN|3RMIN|4RCR|5AART|7DUR|8DMG|9BEXP|aASPD
248	42522 22235	   	160.02	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	16LIT|2DMG|34DUR|5RCR|78VULN|9ASPD|aAART
249	26212 31353	   	160.00	ACR|3VULN|1AART|2CDMG	19TLV|26aVULN|3RMIN|4RCR|59CDMG|79CGEN|8AART|9BPWR
250	65214 31222	   	160.00	ACR|3VULN|1AART|2CDMG	1FEWX|2CGEN|3RMIN|4RCR|57CDMG|69aVULN|8AART
251	31113 61256	   	159.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2DUR|3AART|4TLV|5aVULN|6NUKE|7DMG|8ZMB|9RCR
252	12311 13262	   	159.93	DCR|3DMG|1VULN|1CDMG|1ZMB	1aDUST|2VULN|39aDMG|4CDMG|5ZMB|6RPLT|7RCR|8aFEWX|aBPWR
253	62311 22315	   	159.93	DCR|3VULN|1DMG|1CDMG|1ZMB	1FEWX|28aVULN|3DMG|4CDMG|5ZMB|6MLV|7RCR|9RMIN
254	62311 22344	   	159.93	DCR|3VULN|1DMG|1CDMG|1ZMB	1FEWX|28aVULN|3DMG|4CDMG|5ZMB|6MLV|7RCR|9LWND
255	62311 22355	   	159.93	DCR|3VULN|1DMG|1CDMG|1ZMB	1FEWX|28aVULN|3DMG|4CDMG|5ZMB|6MLV|7RCR|9CGEN
256	62311 22364	   	159.93	DCR|3VULN|1DMG|1CDMG|1ZMB	1FEWX|28aVULN|3DMG|4CDMG|5ZMB|6MLV|7RCR|9LHND
257	62313 62315	   	159.93	DCR|3VULN|1DMG|1CDMG|1ZMB	1FEWX|28aVULN|3DMG|4CDMG|5MLV|6ZMB|7RCR|9RMIN
258	26211 23146	   	159.90	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1TLV|2VULN|3RMIN|4RCR|5AART|6ZMB|7CDMG|8SELL|9DMG|aDUR
259	26212 32225	   	159.90	ACR|3VULN|1AART|2CDMG	1TLV|269VULN|3RMIN|4RCR|5aCDMG|7BEXP|8AART
260	63214 31222	   	159.90	ACR|3VULN|1AART|2CDMG	1FEWX|2ERES|3RMIN|4RCR|57CDMG|69aVULN|8AART
261	62312 62315	   	159.83	DCR|3VULN|1DMG|1CDMG|1ZMB	1FEWX|28aVULN|3DMG|4CDMG|5TLV|6ZMB|7RCR|9RMIN
262	62312 62325	   	159.83	DCR|3VULN|1DMG|1CDMG|1ZMB	1FEWX|28aVULN|3DMG|4CDMG|5TLV|6ZMB|7RCR|9MLV
263	12311 22164	   	159.83	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|29aVULN|3DMG|4CDMG|5ZMB|6MLV|7RCR|8FEWX
264	12311 22364	   	159.83	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|29aVULN|3DMG|4CDMG|5ZMB|6MLV|7RCR|8LHND
265	12313 62164	   	159.83	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|29aVULN|3DMG|4CDMG|5MLV|6ZMB|7RCR|8FEWX
266	12313 62364	   	159.83	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|29aVULN|3DMG|4CDMG|5MLV|6ZMB|7RCR|8LHND
267	13214 31222	   	159.80	ACR|3VULN|1AART|2CDMG	1DUST|2ERES|3RMIN|4RCR|57CDMG|69aVULN|8AART
268	23214 31222	   	159.80	ACR|3VULN|1AART|2CDMG	1TLV|2DUST|3RMIN|4RCR|57CDMG|69aVULN|8AART
269	26211 46111	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|26VULN|3RMIN|4RCR|5AART|79LHND|8DMG|aCDMG
270	26211 41341	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|26VULN|3RMIN|4RCR|5AART|7DMSP|8LHND|9DMG|aCDMG
271	12312 62164	   	159.73	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|29aVULN|3DMG|4CDMG|5TLV|6ZMB|7RCR|8FEWX
272	26211 41141	   	159.69	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|26VULN|3RMIN|4RCR|5AART|7DMSP|8DUST|9DMG|aCDMG
273	26211 42412	   	159.68	ACR|3VULN|1AART|1ZMB|1ASPD	1TLV|268VULN|39RMIN|4RCR|5AART|7ZMB|aASPD
274	26211 52432	   	159.68	ACR|3VULN|1AART|1ZMB|1ASPD	1TLV|289VULN|36RMIN|4RCR|5AART|7ZMB|aASPD
275	12364 61321	   	159.67	DCR|4VULN|2DMG	1DUST|2578VULN|34DMG|6BEXP|9LHND|aRCR
276	61516 13123	   	159.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1FEWX|2RMIN|3DUR|4CDMG|5AART|6RCR|7DUST|89VULN|aZMB
277	22436 25212	   	159.63	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2ZMB|3DUST|4ASPD|5AART|6BEXP|7RCR|8CDMG|9DMG|aVULN
278	13216 11146	 * 	159.59	ACR|2DMG|1AART|1VULN|1CDMG	1aDUST|2ERES|3RMIN|4RCR|5AART|6aSNIHEL|7CDMG|8VULN|9aDMG|aBPWR
279	23216 11146	   	159.59	ACR|2DMG|1AART|1VULN|1CDMG	1aTLV|2DUST|3RMIN|4RCR|5AART|6aSNIHEL|7CDMG|8VULN|9aDMG|aBPWR
280	23216 42212	   	159.59	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2DUST|3RMIN|4RCR|5AART|6aVULN|7ERES|8CDMG|9DMG
281	12364 14231	   	159.54	DCR|3VULN|2DMG|1ASPD|1DUR	18DUST|258VULN|34DMG|6ASPD|78LIT|8BPWR|9DUR|aRCR
282	12364 21531	   	159.44	DCR|3VULN|2DMG|1ASPD|1DUR	1DUST|257VULN|34DMG|6DUR|8LIT|9ASPD|aRCR
