0	Index      	 *	Score 	Summary	Detail	
38	26211 25212	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2aVULN|3RMIN|4RCR|5AART|6ZMB|7DUST|8CDMG|9DMG
39	26211 23142	   	170.55	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1TLV|2aVULN|3RMIN|4RCR|5AART|6ZMB|7CDMG|8SELL|9DMG
40	12151 43411	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	14DUST|268VULN|3LWND|5AART|7DMG|9RCR|aCDMG
41	12621 43411	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|268VULN|3DMSP|4LEGI|5AART|7DMG|9RCR|aCDMG
42	15321 43411	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMSP|368VULN|4LEGI|5AART|7DMG|9RCR|aCDMG
43	26221 43411	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|268VULN|3RMIN|4LEGI|5AART|7DMG|9RCR|aCDMG
44	12354 13322	   	170.03	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1aDUST|29VULN|3aDMG|4ASPD|5CDMG|6RPLT|7RCR|8aDUR|aBPWR
45	14321 43411	   	170.03	DCR|3VULN|1AART|1DMG|1CDMG	12DUST|368VULN|4LEGI|5AART|7DMG|9RCR|aCDMG
46	22321 33316	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|2ZMB|36aVULN|49LHND|5AART|7DMG|8RCR
47	22321 34346	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|2ZMB|36aVULN|4LHND|5AART|7RCVC|8RCR|9DMG
48	22321 36346	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|2ZMB|36aVULN|47LHND|5AART|8RCR|9DMG
49	22321 21346	 * 	169.63	DCR|2AART|2VULN|1DMG|2ZMB	1TLV|26ZMB|3aVULN|4LHND|57AART|8RCR|9DMG
50	22321 23366	   	169.63	DCR|2AART|2VULN|1DMG|2ZMB	1TLV|26ZMB|3aVULN|4LHND|59AART|7DMG|8RCR
51	12364 21321	 * 	169.00	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6DUR|9RCR|aRMIN
52	12364 21323	   	169.00	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6DUR|9RCR|aLWND
53	12364 21324	   	169.00	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6DUR|9RCR|aFEWX
54	12364 21325	   	169.00	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6DUR|9RCR|aBEXP
55	12364 21322	   	168.90	DCR|4VULN|2DMG|1DUR	1DUST|2578VULN|34DMG|6DUR|9RCR|aERES
56	26211 41432	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1TLV|269VULN|3RMIN|4RCR|5AART|7DMSP|8ASPD|aDMG
57	26221 41341	   	168.32	DCR|2AART|2VULN|1DMG|1CDMG	1TLV|26VULN|3RMIN|4LEGI|57AART|8RCR|9DMG|aCDMG
