0	Index      	 *	Score 	Summary	Detail	
38	33215 42633	   	169.11	DCR|3VULN|2DMG|1CDMG	18BEXP|278VULN|3FEWX|4LHND|58DMG|6RCR|8BPWR|9CDMG|aCGEN
39	36313 35334	 * 	168.74	ACR|2VULN|2DMG|2CDMG|2ASPD	1BEXP|24CDMG|3aDMG|5RCR|68ASPD|79VULN
40	62123 22212	 * 	168.73	ACR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6VULN|7aAART|8DUR|9DMG
41	31311 15341	 * 	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	12BEXP|38aVULN|47CDMG|5ZMB|6RCR|9DMG
42	33311 15341	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	13BEXP|28aVULN|47CDMG|5ZMB|6RCR|9DMG
43	52114 86131	   	168.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2MBVNT|3ZMB|4CDMG|5TLV|69VULN|7RCR|8AART|aDMG
44	52211 86131	   	168.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2MBVNT|3TLV|4CDMG|5ZMB|69VULN|7RCR|8AART|aDMG
45	61421 22324	   	168.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2CGEN|3BELT|48aVULN|5AART|6DMG|7RCR|9LHND
46	61421 22363	   	168.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2aCGEN|3BELT|489VULN|5AART|6DMG|7RCR
47	31421 22461	   	168.42	DCR|3VULN|1AART|1DMG|1DUR	12BEXP|3BELT|489VULN|5AART|6DMG|7RCR|aDUR
48	62123 22216	   	168.29	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6VULN|7AART|8DUR|9DMG|aZMB
49	31261 13366	 * 	168.13	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	128BEXP|39DUR|4VULN|5RCR|69DMG|79ZMB|9BPWR|aAART
50	62123 34712	   	168.13	ACR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUR|7VULN|8aAART|9DMG
51	36313 35152	 * 	167.95	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	19BEXP|24CDMG|39DMG|5RCR|6ASPD|7VULN|89LHND|9BPWR|aAART
52	62123 22614	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6aVULN|7AART|8BEXP|9DMG
53	36313 35162	   	167.75	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	1BEXP|24CDMG|39DMG|5RCR|6ASPD|7VULN|8LHND|aAART
54	62123 34716	   	167.69	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUR|7VULN|8AART|9DMG|aZMB
55	32131 43421	   	167.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7AART|8DMG|aASPD
56	53161 12336	 * 	167.40	ACR|3VULN|1AART|1DMG|1ZMB	1MLV|2LEGI|3ZMB|489VULN|5RCR|6DMG|7CGEN|aAART
57	36123 22416	 * 	167.32	DCR|2DMG|2AART|1VULN|1CDMG	1BEXP|2CDMG|3LWND|49DMG|5LHND|6VULN|7aAART|8RCR
58	53261 13336	   	167.30	ACR|3VULN|1AART|1DMG|1ZMB	1MLV|2LEGI|3TLV|489VULN|5RCR|6DMG|7ZMB|aAART
