0	Index      	 *	Score 	Summary	Detail	
161	36313 43333	   	162.96	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1BEXP|24CDMG|3DMG|5RCR|6CGEN|7AART|8ZMB|9DUR|aVULN
162	62183 24118	 * 	162.92	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|46aVULN|5CDMG|7LWND|8AART|9MLV
163	62183 14133	   	162.92	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|49aVULN|5CDMG|6MLV|7CGEN|8AART
164	62128 13231	   	162.88	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|56aVULN|7ZMB|8DUR|9DMG
165	62128 82231	   	162.88	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|57aVULN|6ZMB|8DUR|9DMG
166	62128 83431	   	162.88	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|58aVULN|6ZMB|7DUR|9DMG
167	62173 13431	   	162.88	ACR|3VULN|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|4LHND|5DUR|68aVULN|7ZMB|9DMG
168	62178 13231	   	162.88	ACR|3VULN|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|4LHND|56aVULN|7ZMB|8DUR|9DMG
169	62182 13231	   	162.88	ACR|3VULN|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|46aVULN|5LHND|7ZMB|8DUR|9DMG
170	62188 13231	   	162.88	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|45aVULN|6LWND|7ZMB|8DUR|9DMG
171	36313 33322	   	162.86	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8ZMB|9VULN|aDUST
172	36313 33343	   	162.86	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8ZMB|9DUST|aVULN
173	62173 12314	   	162.82	ACR|3VULN|1AART|2ASPD|1DUR	19ASPD|2MBVNT|3RCR|4LHND|5DUR|67aVULN|8AART
174	62183 24128	   	162.82	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|46aVULN|5CDMG|7LWND|8AART|9TLV
175	36126 22411	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|3LWND|49DMG|5DUR|6VULN|7AART|8RCR|aRCVC
176	36126 22412	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|3LWND|49DMG|5DUR|6VULN|7AART|8RCR|aMLV
177	36126 22413	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|3LWND|49DMG|5DUR|6VULN|7AART|8RCR|aFEWX
178	36323 42411	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|39DMG|4VULN|5LHND|6DUR|7AART|8RCR|aRCVC
179	36323 42412	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|39DMG|4VULN|5LHND|6DUR|7AART|8RCR|aMLV
180	36323 42413	   	162.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|39DMG|4VULN|5LHND|6DUR|7AART|8RCR|aFEWX
181	62128 13332	   	162.80	ACR|5VULN|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5689aVULN|7ZMB
182	62188 13332	   	162.80	ACR|5VULN|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4589aVULN|6LWND|7ZMB
183	62128 82332	   	162.80	ACR|5VULN|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5789aVULN|6ZMB
184	62186 13231	   	162.78	ACR|3VULN|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|46aVULN|5DUST|7ZMB|8DUR|9DMG
185	36313 33321	   	162.72	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD|1SELL	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8ZMB|9VULN|aSELL
186	16326 32411	   	162.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2CDMG|39DMG|4VULN|5DUR|6DUST|7AART|8RCR|aRCVC
187	16326 32412	   	162.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2CDMG|39DMG|4VULN|5DUR|6DUST|7AART|8RCR|aMLV
188	16326 32413	   	162.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2CDMG|39DMG|4VULN|5DUR|6DUST|7AART|8RCR|aFEWX
189	33235 42242	   	162.71	DCR|2VULN|2DMG|1AART	1BEXP|27VULN|38FEWX|4DUST|59DMG|6RCR|aAART
190	65132 61111	   	162.71	ACR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1ASPD|29LHND|3ZMB|4RCR|5LIT|69DMG|7MLV|89VULN|9BPWR|aDUR
191	62188 22311	   	162.68	ACR|4VULN|1AART|1ASPD	1ASPD|2MBVNT|3RCR|4578VULN|6CANSTR|9AART|aCGEN
192	62128 32323	   	162.68	ACR|4VULN|1AART|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|578aVULN|6ERES|9AART
193	13633 16352	   	162.67	DCR|2VULN|2DMG|1AART|1SELL	159LHND|2SELL|3DUST|4RMIN|6RCR|79VULN|89DMG|9BPWR|aAART
194	65132 62111	   	162.61	ACR|2VULN|2DMG|1ZMB|1ASPD|1DUR	1ASPD|29LHND|3ZMB|4RCR|5LIT|69DMG|7ERES|89VULN|9BPWR|aDUR
195	62188 22312	   	162.58	ACR|4VULN|1AART|1ASPD	1ASPD|2MBVNT|3RCR|4578VULN|6CANSTR|9AART|aTLV
196	62188 22314	   	162.58	ACR|4VULN|1AART|1ASPD	1ASPD|2MBVNT|3RCR|4578VULN|6CANSTR|9AART|aBASHEA
197	31341 16341	 * 	162.54	DCR|4VULN|1DMG|1ZMB|1SELL	12BEXP|378aVULN|4SELL|5ZMB|6RCR|9DMG
198	33341 16341	 * 	162.54	DCR|4VULN|1DMG|1ZMB|1SELL	13BEXP|278aVULN|4SELL|5ZMB|6RCR|9DMG
199	66322 16133	   	162.51	DCR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2CDMG|39aVULN|4TLV|5CGEN|6RCR|7BEXP|8AART
200	52134 81312	 * 	162.42	DCR|4VULN|1DMG|1ZMB|1ASPD	1MLV|2MBVNT|3ZMB|467aVULN|5DMG|8ASPD|9RCR
201	62128 16314	   	162.40	ACR|3VULN|1AART|3ASPD	19aASPD|2MBVNT|3RCR|4LWND|56aVULN|7aBEXP|8AART|aBPWR
202	51311 12341	   	162.33	DCR|3VULN|1DMG|1CDMG|1ZMB	1MLV|27CGEN|38aVULN|4CDMG|5ZMB|6RCR|9DMG
203	51311 13341	   	162.33	DCR|3VULN|1DMG|1CDMG|1ZMB	1MLV|2CGEN|38aVULN|4CDMG|5ZMB|6RCR|7RCVC|9DMG
204	51311 14341	   	162.33	DCR|3VULN|1DMG|1CDMG|1ZMB	17MLV|2CGEN|38aVULN|4CDMG|5ZMB|6RCR|9DMG
205	53631 13362	 * 	162.25	ACR|4VULN|1DMG|2ZMB	19MLV|2LEGI|389aVULN|4TLV|5RCR|6DMG|79ZMB|9BPWR
206	62185 22213	   	162.22	ACR|3VULN|1AART|2ASPD|1DUR	18ASPD|2MBVNT|3RCR|478VULN|5RCVC|68CANSTR|8BPWR|9AART|aDUR
207	63132 64121	 * 	162.20	ACR|1AART|1VULN|1DMG|2ZMB|1FLTHEA|1ASPD	1ASPD|2LEGI|3aZMB|4RCR|5LIT|6DMG|7VULN|8AART|9FLTHEA
208	62128 15314	   	162.20	ACR|3VULN|1AART|3ASPD	19aASPD|2MBVNT|3RCR|4LWND|56aVULN|7aDUST|8AART|aBPWR
209	36313 35234	   	162.13	ACR|2VULN|2DMG|2CDMG|1ASPD	18BEXP|24CDMG|3aDMG|5RCR|6ASPD|79VULN
210	52134 81317	   	161.97	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1MLV|2MBVNT|3ZMB|467VULN|5DMG|8ASPD|9RCR|aCDMG
211	36313 33113	   	161.92	ACR|2DMG|1AART|2CDMG|2DUR|1ASPD	1aBEXP|24CDMG|3aDMG|5RCR|6ASPD|7AART|8FEWX|9aDUR|aBPWR
212	66342 13321	   	161.91	DCR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2CDMG|348VULN|5LWND|6RCR|7RPLT|9AART|aERES
213	66342 13323	   	161.91	DCR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2CDMG|348VULN|5LWND|6RCR|7RPLT|9AART|aTLV
214	53631 13363	 * 	161.80	ACR|3VULN|1DMG|2ZMB|1CDMG	19MLV|2LEGI|389VULN|4TLV|5RCR|6DMG|79ZMB|9BPWR|aCDMG
215	62123 22612	   	161.79	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6VULN|7aAART|8BEXP|9DMG
216	31261 13652	   	161.79	ACR|2VULN|3CDMG|1DMG|1ZMB|1DUR	129BEXP|3DUR|49VULN|5RCR|6DMG|7ZMB|89aCDMG|9BPWR
217	53161 12333	   	161.79	ACR|3VULN|2DMG|1ZMB	1MLV|2LEGI|3ZMB|489VULN|5RCR|6aDMG|7CGEN
218	52135 16421	   	161.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1MLV|2MBVNT|3ZMB|49VULN|5DUST|6DMG|7RCR|8AART|aASPD
219	62123 62222	 * 	161.72	ACR|3DMG|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6LIT|789DMG|aAART
220	62183 12312	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|478VULN|5CDMG|6MLV|9LHND|aAART
221	62183 22312	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|468VULN|5CDMG|7CGEN|9LHND|aAART
222	62183 25312	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|468VULN|5CDMG|7MLV|9LHND|aAART
223	62183 72312	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|478VULN|5CDMG|6CGEN|9LHND|aAART
224	33612 25134	   	161.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|25VULN|3LIT|4ASPD|6ZMB|7DMG|8AART|9DUR|aRCR
225	33115 42622	 * 	161.67	DCR|4VULN|3DMG|1MSE	18BEXP|278aVULN|3MSE|4LHND|589DMG|6RCR|8BPWR
226	62128 32422	   	161.60	ACR|3VULN|1AART|3ASPD	18aASPD|2MBVNT|3RCR|4LWND|578VULN|68ERES|8BPWR|9AART
227	66312 15331	 * 	161.58	DCR|2VULN|3CDMG|1DMG|2ASPD	18ASPD|247CDMG|3aVULN|5LWND|6RCR|9DMG
228	31421 22264	   	161.48	DCR|3VULN|1AART|1DMG	12BEXP|3BELT|49aVULN|5AART|6DMG|7RCR|8FEWX
229	31421 22424	   	161.48	DCR|3VULN|1AART|1DMG	12BEXP|3BELT|48aVULN|5AART|6DMG|7RCR|9LHND
230	31421 22463	   	161.48	DCR|3VULN|1AART|1DMG	12BEXP|3BELT|489VULN|5AART|6DMG|7RCR|aCGEN
231	66342 12312	   	161.41	DCR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2CDMG|348VULN|5LWND|6RCR|7CGEN|9LHND|aAART
232	66333 32724	   	161.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2CDMG|37VULN|4CANHEL|59DMG|6MBVNT|8ZMB|aRCR
233	62123 22616	   	161.35	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6VULN|7AART|8BEXP|9DMG|aZMB
234	62123 42316	   	161.35	ACR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6LHND|7AART|8VULN|9DMG|aZMB
235	63261 63111	   	161.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LEGI|3TLV|48VULN|5RCR|6BELT|7CDMG|9DMG|aAART
236	63631 63111	   	161.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LEGI|38VULN|4TLV|5RCR|6BELT|7CDMG|9DMG|aAART
237	62424 48312	 * 	161.18	DCR|3DMG|3CDMG|3ASPD	19aASPD|2MBVNT|3BELT|49aDMG|568CDMG|7RCR|9aBPWR
238	36313 52234	   	161.16	ACR|2DMG|1AART|1VULN|2CDMG|1SELL	1BEXP|24CDMG|3aDMG|5RCR|6RCVC|7VULN|8SELL|9AART
239	62123 83412	   	161.09	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUST|7VULN|8aAART|9DMG
240	61333 13653	 * 	161.02	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	1ASPD|2CGEN|36VULN|47ZMB|5LIT|8AART|9RCR|aDMG
241	62181 43511	   	160.89	ACR|2DMG|1AART|1VULN|2ASPD	19ASPD|2MBVNT|3RCR|4VULN|5BEXP|6RMIN|7AART|8aDMG
242	62123 35448	   	160.87	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUR|7ZMB|8VULN|9aDMG
243	62123 35474	   	160.87	ACR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUR|7ZMB|89VULN|aDMG
244	62422 35162	 * 	160.82	DCR|2VULN|2DMG|2ZMB|2ASPD	1aASPD|2MBVNT|3BELT|4aDMG|56VULN|7ERES|8aZMB|9RCR|aBPWR
245	36313 15162	   	160.81	ACR|2DMG|1AART|1VULN|2CDMG	1BEXP|24CDMG|39DMG|5RCR|6RMIN|7VULN|8LHND|aAART
246	36313 46332	   	160.71	ACR|2DMG|1AART|1VULN|2CDMG	1BEXP|24CDMG|37DMG|5RCR|6CGEN|8LEGI|9VULN|aAART
247	62138 43442	   	160.65	ACR|1AART|1VULN|3ASPD|1DMG|2DUR	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|7aDUR|8VULN|9AART
248	62123 83416	   	160.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUST|7VULN|8AART|9DMG|aZMB
249	62173 12337	   	160.62	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|4LHND|5DUR|67VULN|8AART|9CGEN|aDMG
250	62173 12361	   	160.62	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2MBVNT|3RCR|4LHND|5DUR|67VULN|8AART|9DMSP|aDMG
251	52234 83332	   	160.60	ACR|4VULN|1DMG|1ZMB	1MLV|2MBVNT|3TLV|4RCR|5DMG|689aVULN|7ZMB
252	31261 13363	 * 	160.58	ACR|3DMG|1VULN|2ZMB|2DUR	128BEXP|39DUR|4VULN|5RCR|69aDMG|79ZMB|9BPWR
253	62128 13734	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|4LWND|56VULN|7ZMB|8CDMG|aDMG
254	62182 13734	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|46VULN|5LHND|7ZMB|8CDMG|aDMG
255	62123 25434	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|4LWND|5CDMG|68VULN|7ZMB|aDMG
256	62123 25484	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	1aASPD|2MBVNT|3RCR|4LWND|5CDMG|68VULN|7ZMB|9DMG
257	62128 84434	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|4LWND|58VULN|6ZMB|7CDMG|aDMG
258	62182 84434	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|48VULN|5LHND|6ZMB|7CDMG|aDMG
259	62183 24234	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|46VULN|5CDMG|7LWND|8ZMB|aDMG
260	62183 24284	   	160.54	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	1aASPD|2MBVNT|3RCR|46VULN|5CDMG|7LWND|8ZMB|9DMG
261	62141 42286	   	160.52	ACR|2DMG|1AART|1VULN|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4BELT|5ERES|6aDMG|7DUR|8AART|9VULN
262	33612 11781	   	160.52	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|256VULN|3LIT|4ASPD|7MBVNT|8DMG|9RCR|aAART
263	33612 12481	   	160.52	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|256VULN|3LIT|4ASPD|7DMG|8MBVNT|9RCR|aAART
264	62123 62238	   	160.52	ACR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6LIT|78DMG|9aVULN
265	62183 62231	   	160.52	ACR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|49VULN|5CDMG|6LIT|78DMG|aFEWX
266	62183 62232	   	160.52	ACR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|49VULN|5CDMG|6LIT|78DMG|aMLV
267	62183 62233	   	160.52	ACR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|49VULN|5CDMG|6LIT|78DMG|aLHND
268	62184 84211	   	160.52	ACR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4aVULN|5RPLT|68DMG|7BEXP|9CDMG
269	62124 27454	   	160.49	ACR|2DMG|1AART|1VULN|2ASPD	19ASPD|2MBVNT|3RCR|4LWND|5RPLT|69LHND|79DMG|8AART|9BPWR|aVULN
270	32131 43422	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7AART|8DMG|aLWND
271	32131 43423	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7AART|8DMG|aFEWX
272	32131 43424	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7AART|8DMG|aRMIN
273	32131 43425	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1aBEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7AART|8DMG
274	32131 43436	   	160.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1BEXP|2TLV|3ZMB|4VULN|5RCR|6DUR|7AART|8aDMG|9CGEN
275	32131 23421	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2TLV|3ZMB|49VULN|5RCR|6FEWX|7AART|8DMG|aASPD
276	63133 42431	   	160.48	ACR|3VULN|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2LEGI|3ZMB|4RCR|5LWND|6DUR|78aVULN|9DMG
277	62183 28234	   	160.44	ACR|2VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|46VULN|5CDMG|7LEGI|8ZMB|aDMG
278	63625 21222	 * 	160.43	DCR|4VULN|1DMG|2ASPD	15ASPD|2LEGI|367aVULN|4LWND|8RCR|9DMG
279	62183 62234	   	160.42	ACR|2VULN|2DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|49VULN|5CDMG|6LIT|78DMG|aERES
280	32131 43426	   	160.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7AART|8DMG|aERES
281	32131 43441	   	160.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|4aVULN|5RCR|6DUR|7AART|8DMG|9DUST
282	32131 43451	   	160.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|4aVULN|5RCR|6DUR|7AART|8DMG|9LEGI
283	62422 16254	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3BELT|4DMG|5aVULN|6BEXP|7AART|8CDMG|9RCR
284	62422 46254	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3BELT|4DMG|5aVULN|6LWND|7AART|8CDMG|9RCR
285	62423 46254	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3BELT|4DMG|5BEXP|6aVULN|7AART|8CDMG|9RCR
286	62424 37454	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3BELT|4DMG|5CDMG|6BEXP|7AART|8aVULN|9RCR
287	62128 16311	   	160.29	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|4LWND|56VULN|7BEXP|8AART|aDMG
288	62128 45311	   	160.29	ACR|2DMG|1AART|1VULN|2ASPD	19ASPD|2MBVNT|3RCR|4LWND|5VULN|6RMIN|7aDMG|8AART
289	62171 12311	   	160.29	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|4LHND|5BEXP|67VULN|8AART|aDMG
290	62178 32311	   	160.29	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|4LHND|57VULN|6BEXP|8AART|aDMG
291	62181 17311	   	160.29	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|46VULN|5BEXP|7LWND|8AART|aDMG
292	62182 16311	   	160.29	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|46VULN|5LHND|7BEXP|8AART|aDMG
293	62182 32311	   	160.29	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|47VULN|5LHND|6BEXP|8AART|aDMG
294	66333 34613	 * 	160.24	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	18ASPD|2CDMG|3VULN|4CANHEL|5DMG|6MBVNT|7AART|9RCR|aZMB
295	36313 35231	   	160.20	ACR|3VULN|1DMG|2CDMG|1ASPD	18BEXP|24CDMG|3DMG|5RCR|6ASPD|79aVULN
296	62128 15311	   	160.19	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|4LWND|56VULN|7DUST|8AART|aDMG
297	62176 12311	   	160.19	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|4LHND|5DUST|67VULN|8AART|aDMG
298	62182 15311	   	160.19	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|46VULN|5LHND|7DUST|8AART|aDMG
299	62182 62311	   	160.19	ACR|2VULN|1AART|1DMG|2ASPD	19ASPD|2MBVNT|3RCR|47VULN|5LHND|6DUST|8AART|aDMG
300	62138 52242	   	160.19	ACR|2VULN|1AART|1DMG|2ASPD	14ASPD|2MBVNT|3RCR|4BPWR|5DMG|6DUST|7BEXP|8AART|9aVULN
301	31331 12166	 * 	160.18	DCR|2VULN|1AART|2CDMG|2ZMB	125BEXP|39VULN|49ZMB|6RCR|7RPLT|89CDMG|9BPWR|aAART
302	33331 12166	   	160.18	DCR|2VULN|1AART|2CDMG|2ZMB	135BEXP|29VULN|49ZMB|6RCR|7RPLT|89CDMG|9BPWR|aAART
303	66242 22331	 * 	160.17	DCR|2DMG|1VULN|2CDMG|2ASPD|1DUR	13ASPD|23CDMG|3BPWR|4DUR|5LWND|6LIT|7RCR|8aDMG|9VULN
304	52234 83333	   	160.15	ACR|3VULN|1DMG|1CDMG|1ZMB	1MLV|2MBVNT|3TLV|4RCR|5DMG|689VULN|7ZMB|aCDMG
305	62138 43422	   	160.15	ACR|2VULN|3ASPD|1DMG|1ZMB|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|7DUR|8aVULN|9ZMB
306	62138 43424	   	160.15	ACR|2DMG|1VULN|3ASPD|1ZMB|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5aDMG|7DUR|8VULN|9ZMB
307	62138 43472	   	160.15	ACR|2VULN|3ASPD|1DMG|1ZMB|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|7DUR|89VULN|aZMB
308	62138 42352	   	160.15	ACR|2DMG|1VULN|3ASPD|1ZMB|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|58DMG|7VULN|9DUR|aZMB
309	62138 42452	   	160.15	ACR|2VULN|3ASPD|1DMG|1ZMB|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|78VULN|9DUR|aZMB
310	16323 16133	   	160.08	DCR|2VULN|1AART|1DMG|1CDMG	159LHND|2CDMG|3DMG|4aVULN|6RCR|7BEXP|8AART
311	62137 22434	   	159.99	ACR|2VULN|2DMG|3ASPD	148ASPD|2MBVNT|3RCR|48BPWR|5LWND|68VULN|78CGEN|9aDMG
312	62138 45431	   	159.95	ACR|1AART|3ASPD|1DMG|1CDMG|1ZMB|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5DMG|7CDMG|8ZMB|9AART|aDUR
313	31311 15344	   	159.93	DCR|2VULN|1DMG|2CDMG|1ZMB|1ASPD	12BEXP|38VULN|47CDMG|5ZMB|6RCR|9DMG|aASPD
314	33311 15344	   	159.93	DCR|2VULN|1DMG|2CDMG|1ZMB|1ASPD	13BEXP|28VULN|47CDMG|5ZMB|6RCR|9DMG|aASPD
315	62138 42611	   	159.89	ACR|2VULN|2DMG|3ASPD	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78VULN|9aBEXP
316	62138 42612	   	159.89	ACR|2VULN|2DMG|3ASPD	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78VULN|9BEXP|aMGNSTR
317	62138 42614	   	159.89	ACR|2VULN|2DMG|3ASPD	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78VULN|9BEXP|aCGEN
318	62138 42643	   	159.89	ACR|2VULN|2DMG|3ASPD	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78VULN|9aMLV
319	62138 42644	   	159.89	ACR|2VULN|2DMG|3ASPD	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78VULN|9MLV|aLWND
320	32131 44322	   	159.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7DMG|8AART|aLWND
321	32131 44323	   	159.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7DMG|8AART|aFEWX
322	32131 44324	   	159.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3ZMB|49VULN|5RCR|6DUR|7DMG|8AART|aRMIN
