0	Index      	 *	Score 	Summary	Detail	
36	14111 23153	   	226.46	DCR|3VULN|3DMG|1MDPS|1AART|2ZMB	14aVULN|24aDMG|3AART|4aBPWR|5MDPS|6LIT|7CGEN|8aZMB|9RCR
37	14111 35153	   	226.36	DCR|3VULN|3DMG|1MDPS|1AART|2ZMB	14aVULN|24aDMG|3AART|4aBPWR|5MDPS|6TLV|7LIT|8aZMB|9RCR
38	14112 34213	   	226.28	DCR|1SPLARM|2VULN|2DMG|1AART|1CDMG|1SELL	14VULN|24DMG|3AART|4BPWR|57ERES|6SELL|8RCR|9CDMG|aSPLARM
39	14113 43141	   	226.21	DCR|3VULN|1SPLARM|2DMG|1AART	146VULN|24DMG|3AART|4BPWR|5RMIN|7LWND|8SPLARM|9RCR|aDUST
40	14113 43142	   	226.21	DCR|3VULN|1SPLARM|2DMG|1AART|1MSE	146VULN|24DMG|3AART|4BPWR|5RMIN|7LWND|8SPLARM|9RCR|aMSE
41	35331 53151	   	225.86	DCR|3VULN|2AART|1DMG|1CDMG|1DUR|1SELL	19AART|2DUR|3SELL|458VULN|6RCR|7CDMG|aDMG
42	14112 41263	   	225.64	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9MULFIG|aZMB
43	33366 35332	   	224.88	DCR|3VULN|2AART|2DMG|2DUR	12AART|369VULN|4LWND|5RMIN|79DMG|89DUR|9BPWR|aRCR
44	11423 33144	   	224.87	DCR|3VULN|1SPLARM|1AART|1DMG|1CDMG	123VULN|4RMIN|5DMG|6AART|7LWND|8SPLARM|9RCR|aCDMG
45	14166 11233	   	224.77	DCR|1SPLARM|2VULN|2AART|1DMG|1CDMG|1SELL	14VULN|2DMG|35AART|6ERES|7CDMG|8RCR|9SELL|aSPLARM
46	14113 43332	   	224.76	DCR|4VULN|2DMG|1AART|2DUR	1469VULN|24DMG|3AART|49BPWR|5RMIN|79LWND|89DUR|aRCR
47	13333 25452	   	224.66	DCR|4VULN|2DMG|1AART|2DUR	1589VULN|29DUR|3AART|4CGEN|6BEXP|79DMG|9BPWR|aRCR
48	14113 21144	   	224.62	DCR|1SPLARM|2VULN|2DMG|1AART|1CDMG	14VULN|24DMG|3AART|4BPWR|5RMIN|6DUST|7RCVC|8SPLARM|9RCR|aCDMG
49	11463 13221	 * 	224.52	DCR|4VULN|2CDMG|1DMG|2DUR|2ZMB	123aVULN|4aZMB|5DMG|67CDMG|8RCR|9aDUR|aBPWR
50	14113 43114	   	224.31	DCR|3VULN|1SPLARM|2DMG|1AART	146VULN|24DMG|3AART|4BPWR|5RMIN|7LWND|8SPLARM|9RPLT|aRCR
51	14116 11263	   	223.88	DCR|2VULN|2AART|2DMG|1CDMG|1ZMB	14VULN|24DMG|35AART|4BPWR|6ERES|7CDMG|8RCR|9MULFIG|aZMB
52	11463 13222	   	223.79	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	123VULN|4ZMB|5DMG|67CDMG|8RCR|9DUR|aAART
53	14113 41211	   	222.84	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|79CDMG|8RCR|aRCVC
54	14113 41216	   	222.84	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|79CDMG|8RCR|aFEWX
55	14112 41211	   	222.74	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|79CDMG|8RCR|aRCVC
56	14112 41216	   	222.74	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|79CDMG|8RCR|aFEWX
57	14112 41261	   	222.74	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|7aCDMG|8RCR|9MULFIG
58	14115 41211	   	222.74	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5TLV|79CDMG|8RCR|aRCVC
59	14113 41212	   	222.74	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5RMIN|79CDMG|8RCR|aSELL
60	14113 41213	   	222.74	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|79CDMG|8RCR|aERES
61	14113 41215	   	222.74	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|79CDMG|8RCR|aDUST
62	14112 41212	   	222.64	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5ERES|79CDMG|8RCR|aSELL
63	14112 41213	   	222.64	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5aERES|79CDMG|8RCR
64	14112 41215	   	222.64	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|79CDMG|8RCR|aDUST
65	14115 41212	   	222.64	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5TLV|79CDMG|8RCR|aSELL
66	14115 41213	   	222.64	DCR|3VULN|2DMG|1AART|2CDMG	146VULN|24DMG|3AART|4BPWR|5TLV|79CDMG|8RCR|aERES
67	14111 53315	 * 	222.31	DCR|2MDPS|3VULN|2DMG|1AART	147VULN|24DMG|3AART|4BPWR|5aMDPS|6RCR|8LWND|9LIT
68	14111 53115	   	222.11	DCR|2MDPS|3VULN|2DMG|1AART|1MSE	147VULN|24DMG|3AART|4BPWR|5aMDPS|6RCR|8MSE|9LIT
69	35331 53153	 * 	221.64	DCR|4VULN|2AART|1CDMG|1DUR|1SELL	19AART|2DUR|3SELL|458aVULN|6RCR|7CDMG
70	14111 54212	 * 	221.54	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1CDMG	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7BELT|8RPLT|9CDMG|aASPD
71	14111 51353	 * 	221.26	DCR|2VULN|2AART|2DMG|1MDPS|1ASPD	14VULN|24DMG|39AART|4BPWR|5MDPS|6RCR|7LWND|8CANSTR|aASPD
72	14111 52353	   	221.16	DCR|2VULN|2AART|2DMG|1MDPS|1ASPD	14VULN|24DMG|39AART|4BPWR|5MDPS|6RCR|7LEGI|8CANSTR|aASPD
73	14111 21552	   	221.02	DCR|3VULN|3DMG|1MDPS|1AART|1DUR	147VULN|24aDMG|3AART|4BPWR|5MDPS|6LIT|8DUR|9RCR
74	14116 11211	   	220.98	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6ERES|79CDMG|8RCR|aRCVC
75	14116 11216	   	220.98	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6ERES|79CDMG|8RCR|aFEWX
76	14116 11261	   	220.98	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6ERES|7aCDMG|8RCR|9MULFIG
77	14116 61211	   	220.98	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6TLV|79CDMG|8RCR|aRCVC
78	14116 11212	   	220.88	DCR|2VULN|2AART|2DMG|2CDMG|1SELL	14VULN|24DMG|35AART|4BPWR|6ERES|79CDMG|8RCR|aSELL
79	14116 11213	   	220.88	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6aERES|79CDMG|8RCR
80	14116 11215	   	220.88	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6ERES|79CDMG|8RCR|aDUST
81	14116 61212	   	220.88	DCR|2VULN|2AART|2DMG|2CDMG|1SELL	14VULN|24DMG|35AART|4BPWR|6TLV|79CDMG|8RCR|aSELL
82	14116 61213	   	220.88	DCR|2VULN|2AART|2DMG|2CDMG	14VULN|24DMG|35AART|4BPWR|6TLV|79CDMG|8RCR|aERES
83	11216 16242	   	220.46	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DMG	127VULN|3ASPD|47MLV|5RCVC|67CDMG|7BPWR|8RCR|9DMG|aMDPS
84	33336 35143	   	220.41	DCR|1SPLARM|2VULN|2AART|1DMG|2DUR	12AART|36VULN|4aDUR|5RMIN|7DMG|8SPLARM|9RCR
85	11423 13242	   	220.26	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DMG	123VULN|4RMIN|5DMG|67CDMG|8RCR|9ASPD|aMDPS
86	14113 25412	   	219.88	DCR|3VULN|2DMG|1MDPS|1AART	148VULN|24DMG|3AART|4BPWR|5RMIN|6DUST|7RCR|9LWND|aMDPS
87	14112 25412	   	219.78	DCR|3VULN|2DMG|1MDPS|1AART	148VULN|24DMG|3AART|4BPWR|5ERES|6DUST|7RCR|9LWND|aMDPS
88	14112 65132	   	219.78	DCR|3VULN|2DMG|1MDPS|1AART	149VULN|24DMG|3AART|4BPWR|5ERES|6LHND|7RCR|8DUST|aMDPS
89	14113 25432	   	219.78	DCR|3VULN|2DMG|1MDPS|1AART	148VULN|24DMG|3AART|4BPWR|5RMIN|6DUST|7RCR|9LEGI|aMDPS
90	14112 25432	   	219.68	DCR|3VULN|2DMG|1MDPS|1AART	148VULN|24DMG|3AART|4BPWR|5ERES|6DUST|7RCR|9LEGI|aMDPS
91	14112 25532	   	219.68	DCR|3VULN|2DMG|1MDPS|1AART	149VULN|24DMG|3AART|4BPWR|5ERES|6DUST|7RCR|8LEGI|aMDPS
92	14116 24132	   	219.54	DCR|3VULN|2AART|2DMG|1DUR	148VULN|24DMG|35AART|4BPWR|6BEXP|7DUR|9AME|aRCR
93	14111 51253	   	219.31	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG	14aVULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7LWND|8CDMG|9FEWX
94	14111 53521	   	219.31	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG	147VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8RPLT|9CDMG|aBEXP
95	14111 53522	   	219.31	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG	147VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8RPLT|9CDMG|aRCVC
96	14111 52253	   	219.21	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG	14aVULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7LEGI|8CDMG|9FEWX
97	14111 53523	   	219.21	DCR|3VULN|1MDPS|2DMG|1AART|1CDMG	147VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8RPLT|9CDMG|aTLV
98	14111 53313	   	219.11	DCR|4VULN|1MDPS|2DMG|1AART	147aVULN|24DMG|3AART|4aBPWR|5MDPS|6RCR|8aLWND|9aLIT
99	14142 31214	 * 	219.04	DCR|3DMG|2VULN|1AART|1ASPD	1aVULN|29aDMG|3AART|4DUST|5ASPD|6BELT|7RCR|8aLHND|aBPWR
100	14111 53322	   	218.91	DCR|4VULN|1MDPS|2DMG|1AART	147aVULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8LWND|9DMSP
101	14111 53412	   	218.91	DCR|4VULN|1MDPS|2DMG|1AART	147aVULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8MLV|9AME
102	14111 53533	   	218.91	DCR|4VULN|2DMG|1MDPS|1AART	1479VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8RPLT|aRMIN
103	35331 53142	   	218.88	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB|1DUR|1SELL	1AART|2DUR|3SELL|458VULN|6RCR|7CDMG|9ZMB|aMDPS
104	14111 53212	   	218.81	DCR|4VULN|1MDPS|2DMG|1AART	147aVULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8ERES|9AME
105	14111 53243	   	218.81	DCR|4VULN|1MDPS|2DMG|1AART	1479VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8ERES|aRMIN
106	14111 53531	   	218.81	DCR|4VULN|2DMG|1MDPS|1AART|1MSE	1479VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8RPLT|aMSE
107	14111 53532	   	218.81	DCR|4VULN|1MDPS|2DMG|1AART	1479VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8RPLT|aERES
108	14111 53312	   	218.71	DCR|3VULN|3DMG|1MDPS|1AART	147VULN|24aDMG|3AART|4BPWR|5MDPS|6RCR|8LWND|9LIT
109	14111 53241	   	218.71	DCR|4VULN|2DMG|1MDPS|1AART	1479VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|8ERES|aDUST
