0	Index      	 *	Score 	Summary	Detail	
160	14115 25333	   	215.45	DCR|2VULN|2AART|2DMG|1CDMG	14VULN|24DMG|39AART|4BPWR|5TLV|6DUST|7RCR|8RPLT|aCDMG
161	14111 52122	   	215.42	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD|1ZMB	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7LEGI|8TLV|9ZMB|aASPD
162	14111 52422	   	215.42	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1ZMB	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7LEGI|8ERES|9ZMB|aASPD
163	14113 41262	   	215.41	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9LWND|aMLV
164	14113 41263	   	215.41	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9LWND|aLHND
165	11463 13252	   	215.38	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	123VULN|4ZMB|5DMG|67CDMG|8RCR|9DUST|aAART
166	14115 41231	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5TLV|7CDMG|8RCR|9MLV|aAME
167	14115 41233	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5TLV|7CDMG|8RCR|9MLV|aLIT
168	14113 41221	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9TLV|aAME
169	14113 41223	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9TLV|aLIT
170	14113 41226	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9TLV|aBEXP
171	14113 41241	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9ERES|aAME
172	14113 41243	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9ERES|aLIT
173	14113 41252	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9MBVNT|aMLV
174	14113 41253	   	215.31	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9MBVNT|aLHND
175	11423 31254	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	123VULN|4RMIN|5aDMG|6AART|7CDMG|8RCR|9MBVNT
176	14112 41221	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9TLV|aAME
177	14112 41223	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9TLV|aLIT
178	14112 41241	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|59ERES|7CDMG|8RCR|aRCVC
179	14112 41262	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9MULFIG|aMBVNT
180	14115 41221	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|59TLV|7CDMG|8RCR|aRCVC
181	14113 41224	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9TLV|aDUST
182	14113 41225	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9TLV|aERES
183	14113 41232	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9SELL|aAME
184	14113 41233	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9SELL|aVENFST
185	14113 41235	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9SELL|aDUST
186	14113 41236	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9SELL|aLIT
187	14112 41224	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9TLV|aDUST
188	14112 41225	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5aERES|7CDMG|8RCR|9TLV
189	14112 41226	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9TLV|aMSE
190	14112 41232	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9SELL|aAME
191	14112 41235	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9SELL|aDUST
192	14112 41236	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9SELL|aLIT
193	14112 41242	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|59ERES|7CDMG|8RCR|aSELL
194	14112 41243	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|59aERES|7CDMG|8RCR
195	14115 41222	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|59TLV|7CDMG|8RCR|aSELL
196	14115 41223	   	215.11	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|59TLV|7CDMG|8RCR|aERES
197	33336 35141	   	215.07	DCR|1SPLARM|2VULN|2AART|1DMG|1DUR	12AART|36VULN|4DUR|5RMIN|7DMG|8SPLARM|9RCR|aDUST
198	33336 35142	   	215.07	DCR|1SPLARM|2VULN|2AART|1DMG|1DUR|1MSE	12AART|36VULN|4DUR|5RMIN|7DMG|8SPLARM|9RCR|aMSE
199	11423 31231	   	215.06	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	123VULN|4RMIN|5aDMG|6AART|7CDMG|8RCR|9SELL
200	14163 41231	   	215.06	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|2aDMG|3AART|5RMIN|7CDMG|8RCR|9SELL
201	35331 52511	   	215.03	DCR|3VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1AART|28DUR|3SELL|457VULN|6RCR|9CDMG|aDMG
202	33313 43146	 * 	214.96	DCR|3VULN|1SPLARM|2AART|1ZMB	12AART|36aVULN|4ZMB|5RMIN|7LWND|8SPLARM|9RCR
203	14162 41231	   	214.96	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	146VULN|2aDMG|3AART|5ERES|7CDMG|8RCR|9SELL
204	14112 34214	   	214.96	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	14aVULN|24DMG|3AART|4BPWR|57ERES|6SELL|8RCR|9CDMG
205	14112 34232	   	214.96	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	149VULN|24DMG|3AART|4BPWR|57ERES|6SELL|8RCR|aCDMG
206	33156 41222	   	214.69	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	12AART|3MLV|4ASPD|56VULN|7CDMG|8RCR|9TLV|aMDPS
207	14166 11222	   	214.59	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	14VULN|2DMG|35AART|6ERES|7CDMG|8RCR|9TLV|aMDPS
208	14112 34233	   	214.56	DCR|4VULN|2DMG|1AART|1SELL	149aVULN|24DMG|3AART|4BPWR|57ERES|6SELL|8RCR
209	11463 22242	 * 	214.56	DCR|3VULN|2ASPD|1DMG|1CDMG|1ZMB	123VULN|4ZMB|5DMG|69ASPD|7LIT|8CDMG|aRCR
210	11463 22622	   	214.56	DCR|3VULN|2ASPD|1DMG|1CDMG|1ZMB	123VULN|4ZMB|5DMG|68ASPD|7LIT|9CDMG|aRCR
211	14111 54112	   	214.27	DCR|1SPLARM|2VULN|1MDPS|2DMG|1AART	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7BELT|8SPLARM|9RPLT|aDUST
212	14111 54113	   	214.27	DCR|1SPLARM|2VULN|1MDPS|2DMG|1AART	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7BELT|8SPLARM|9RPLT|aBASFIG
213	14111 54123	   	214.27	DCR|1SPLARM|2VULN|1MDPS|2DMG|1AART	14VULN|24DMG|3AART|4BPWR|5MDPS|6RCR|7BELT|8SPLARM|9DUST|aLWND
