0	Index      	 *	Score 	Summary	Detail	
39	54432 31114	 * 	174.76	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2aVULN|3aDMG|4MBVNT|5CDMG|6LIT|7RCR|8aBEXP|9AART|aBPWR
40	35134 13133	   	174.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2RCVC|3ZMB|4CDMG|5aVULN|6RCR|7DMG|8FEWX|9AART
41	31332 26142	   	174.10	DCR|4VULN|2DMG|1DUR	19LHND|2589VULN|3LIT|4LWND|69DMG|7RCR|9BPWR|aDUR
42	35422 14133	   	174.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2RCVC|3DMG|4DUST|5CDMG|6RCR|7aVULN|8ZMB|9AART
43	61152 61133	 * 	173.96	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|2DMSP|3LWND|47SNIHEL|57DMG|6AART|7BPWR|8RCR|9aVULN
44	63362 13423	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9CGEN|aDUR
45	41332 26142	   	173.90	DCR|4VULN|2DMG|1DUR	19DUST|2589VULN|3LIT|4LWND|69DMG|7RCR|9BPWR|aDUR
46	13321 44331	   	173.87	ACR|2VULN|2DMG|1AART|2DUR	15aBEXP|2aDUR|37DMG|4RCR|6CGEN|8aVULN|9AART|aBPWR
47	13322 12565	 * 	173.83	ACR|3DMG|2VULN|1CDMG|1DUR|1SELL	1aBEXP|2DUR|37aDMG|4RCR|5CDMG|6FEWX|8aVULN|9SELL|aBPWR
48	64362 13231	   	173.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2FEWX|34VULN|5CDMG|6RCR|7DMG|8DUR|9AART|aCGEN
49	64362 13232	   	173.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2FEWX|34VULN|5CDMG|6RCR|7DMG|8DUR|9AART|aDMSP
50	64362 13233	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2FEWX|34VULN|5CDMG|6RCR|7DMG|8DUR|9AART|aDUST
51	31322 42225	   	173.07	DCR|3VULN|2DMG|1AART	1LHND|245VULN|3LIT|6aDMG|7AART|8RMIN|9RCR
52	31322 42425	   	173.07	DCR|3VULN|2DMG|1AART	1LHND|245VULN|3LIT|6aDMG|7AART|8CGEN|9RCR
53	63362 16133	   	172.91	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2LWND|34aVULN|5CDMG|6RCR|7DUST|8ZMB|9AART
54	11322 42435	 * 	172.85	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1BEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8AART|9aZMB
55	41613 43311	   	172.70	ACR|3VULN|1AART|1DMG|1ZMB	17DUST|269VULN|3RMIN|4RCR|5AART|8ZMB|aDMG
56	64323 13361	 * 	172.48	ACR|1AART|1VULN|1DMG|1FLTHEA|2DUR|1ZMB|1ASPD	1ASPD|2FEWX|3VULN|4RCR|5AART|67DUR|8DMG|9FLTHEA|aZMB
57	11321 55341	   	172.44	ACR|2VULN|2DMG|1AART|1ZMB	15BEXP|28VULN|3aDMG|4RCR|6DMSP|7ZMB|9AART
58	26362 13413	   	172.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9ZMB|aRCVC
59	64323 13335	   	172.23	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	19ASPD|29FEWX|3VULN|4RCR|5AART|67DUR|89DMG|9BPWR|aCGEN
