0	Index      	 *	Score 	Summary	Detail	
163	26362 13423	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1NUKE|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9CGEN|aDUR
164	63362 11511	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7SNIHEL|8AART|9DMG|aMLV
165	63362 11513	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7SNIHEL|8AART|9DMG|aCGEN
166	63362 13422	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9CGEN|aLEGI
167	63362 13433	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9RPLT|aTLV
168	54134 11232	   	166.87	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|25aVULN|3ZMB|4CDMG|6LIT|7RCR|8DMG|9DUR
169	41332 26143	   	166.87	DCR|4VULN|2DMG	19aDUST|2589VULN|3LIT|4LWND|69DMG|7RCR|9BPWR
170	11322 63532	   	166.84	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|8DUR|9AART|aERES
171	11322 63533	   	166.84	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|8DUR|9AART|aDUST
172	11322 64532	   	166.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|27VULN|3DMG|4RCR|5CDMG|6RCVC|8DUR|9AART|aERES
173	11322 64533	   	166.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|27VULN|3DMG|4RCR|5CDMG|6RCVC|8DUR|9AART|aDUST
174	11322 63335	 * 	166.81	ACR|3DMG|1VULN|2ZMB|1CDMG	1aBEXP|2VULN|37aDMG|4RCR|5CDMG|6RCVC|8ERES|9aZMB|aBPWR
175	13322 64136	   	166.67	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1BEXP|2DUR|3DMG|4RCR|5aCDMG|6RCVC|7VULN|8ZMB|9AART
176	31332 26116	   	166.51	DCR|3VULN|2DMG|1CDMG	1LHND|258VULN|3LIT|4LWND|6aDMG|7RCR|9CDMG
177	33322 26116	   	166.51	DCR|3VULN|2DMG|1CDMG	1LHND|2FEWX|3LIT|458VULN|6aDMG|7RCR|9CDMG
178	63362 13315	   	166.48	DCR|3VULN|1DMG|2ASPD|1CDMG	1aASPD|2LWND|34aVULN|5CDMG|6RCR|7DMG|8aTLV|9RCVC|aBPWR
179	11321 41343	   	166.44	ACR|3VULN|1AART|1DMG|1DUR	15BEXP|278VULN|3DMG|4RCR|6CGEN|9AART|aDUR
180	63322 41341	   	166.44	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|2LWND|378VULN|4RCR|56CGEN|9AART|aDMG
181	64322 31341	   	166.44	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|26FEWX|378VULN|4RCR|5CGEN|9AART|aDMG
182	63362 13131	   	166.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8FEWX|9AART|aCGEN
183	63513 13133	   	166.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|25LWND|3CDMG|4aVULN|6RCR|7DMG|8FEWX|9AART
184	41332 26116	   	166.41	DCR|3VULN|2DMG|1CDMG	1DUST|258VULN|3LIT|4LWND|6aDMG|7RCR|9CDMG
185	42322 26116	   	166.41	DCR|3VULN|2DMG|1CDMG	1DUST|2LHND|3LIT|458VULN|6aDMG|7RCR|9CDMG
186	11253 52226	   	166.37	DCR|3DMG|1AART|1VULN|2DUR|1SELL	19BEXP|2VULN|3SELL|4LEGI|5AART|679DMG|89DUR|9BPWR|aRCR
187	11322 53235	   	166.34	ACR|2VULN|2DMG|2ZMB|1CDMG	17aBEXP|28VULN|3aDMG|4RCR|5CDMG|6MLV|9aZMB|aBPWR
188	63362 13135	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8FEWX|9AART|aDUST
189	63362 13136	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8FEWX|9AART|aMBVNT
190	31332 36146	 * 	166.27	DCR|4VULN|1AART|2ASPD	19LHND|2589VULN|3LIT|4LWND|69ASPD|7RCR|9BPWR|aAART
191	11321 62235	   	166.24	ACR|2VULN|2DMG|2ZMB|1CDMG	15aBEXP|28VULN|3aDMG|4RCR|6CDMG|7TLV|9aZMB|aBPWR
192	11321 64335	   	166.24	ACR|2VULN|2DMG|2ZMB|1CDMG	15aBEXP|27VULN|3aDMG|4RCR|6CDMG|8ERES|9aZMB|aBPWR
193	26362 16133	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1NUKE|2LWND|34aVULN|5CDMG|6RCR|7DUST|8ZMB|9AART
194	63362 13612	   	165.85	DCR|2VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8ZMB|9aDUR
195	11322 21265	   	165.83	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2VULN|3DMG|4RCR|5CDMG|6LIT|7DUR|8aAART|9ASPD
196	63513 13224	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|259LWND|3CDMG|48VULN|6RCR|7DMG|aAART
197	31322 25356	   	165.42	DCR|3VULN|1AART|1DMG|1DUR	1LHND|245VULN|3LIT|6AART|7DUR|8RCR|9LWND|aDMG
198	31322 26516	   	165.42	DCR|3VULN|1AART|1DMG|1DUR	1LHND|245VULN|3LIT|6AART|7BEXP|8RCR|9DUR|aDMG
199	31364 23273	   	165.42	DCR|3DMG|1AART|1VULN|1DUR	16LHND|2VULN|3LIT|456DMG|6BPWR|7RCR|8MBVNT|9DUR|aAART
200	31322 25366	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1LHND|245VULN|3LIT|6AART|7DUR|8RCR|9DUST|aDMG
201	64323 13311	 * 	165.30	ACR|1AART|1VULN|1DMG|3DUR|1CDMG|1ASPD	1ASPD|2FEWX|3VULN|4RCR|5AART|679DUR|8DMG|aCDMG
202	11321 63625	   	165.28	ACR|2DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	15BEXP|2VULN|37DMG|4RCR|6CDMG|8ASPD|9ZMB|aFLTHEA
203	11322 52246	   	165.16	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1BEXP|28VULN|3aDMG|4RCR|5CDMG|6MLV|7DUR|9ASPD
204	64323 12412	 * 	165.16	ACR|2AART|2VULN|1CDMG|1DUR|1ASPD	1ASPD|2FEWX|38VULN|4RCR|59AART|6DUR|7LSRICY|aCDMG
205	11322 21235	   	165.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	19BEXP|2aVULN|3DMG|4RCR|5CDMG|6LIT|7DUR|8AART
206	11634 43553	   	165.03	DCR|3VULN|2AART|1DMG	1BEXP|239VULN|4MBVNT|5FEWX|68AART|7DMG|aRCR
207	13322 42451	   	164.93	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6ERES|8AART|9VULN|aCGEN
208	13322 42452	   	164.93	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6ERES|8AART|9VULN|aDMSP
209	11322 65132	   	164.86	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2VULN|3DMG|4RCR|5CDMG|6RCVC|7LWND|8ZMB|9aAART
210	12322 64132	   	164.86	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2LHND|3DMG|4RCR|5CDMG|6RCVC|7VULN|8ZMB|9aAART
211	32134 11516	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|5VULN|6RCR|7SNIHEL|8aAART|9DMG
212	13322 42453	   	164.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6ERES|8AART|9VULN|aDUST
213	11341 23143	   	164.81	DCR|2AART|2VULN|1DMG|1DUR	1aBEXP|2aVULN|3DMG|49AART|5DUR|6BELT|7RCR|8aDUST|aBPWR
214	63362 12633	   	164.79	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7TLV|8AART|9ZMB|aDUR
215	11322 24616	   	164.79	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1BEXP|2VULN|3DMG|4RCR|5CDMG|6LIT|7ASPD|8ZMB|9AART|aDUR
216	64332 13413	   	164.71	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|3VULN|4aRCVC|5CDMG|6RCR|7DMG|8AART|9ZMB
217	64323 21321	   	164.63	ACR|2VULN|2AART|1DMG|1ASPD	1ASPD|28FEWX|37VULN|4RCR|59AART|6CGEN|aDMG
218	12322 42436	   	164.59	ACR|3DMG|1AART|1CDMG|1ZMB	1BEXP|2LHND|37aDMG|4RCR|5CDMG|6ERES|8AART|9ZMB
219	63362 13263	   	164.58	DCR|3VULN|1DMG|2CDMG|1ASPD	1ASPD|2LWND|348VULN|5aCDMG|6RCR|7DMG|9LHND
220	64362 13312	   	164.58	DCR|3VULN|1DMG|2CDMG|1ASPD	1ASPD|2FEWX|348VULN|5aCDMG|6RCR|7DMG|9BELT
221	64323 41121	   	164.53	ACR|2AART|2VULN|1DMG|1ASPD	1ASPD|27FEWX|36VULN|4RCR|59AART|8ERES|aDMG
222	64323 41221	   	164.53	ACR|2AART|2VULN|1DMG|1ASPD	1ASPD|27FEWX|36VULN|4RCR|59AART|8TLV|aDMG
223	64323 42321	   	164.53	ACR|2AART|2VULN|1DMG|1ASPD	1ASPD|28FEWX|36VULN|4RCR|59AART|7ERES|aDMG
224	64323 43321	   	164.53	ACR|2AART|2VULN|1DMG|1ASPD	1ASPD|28FEWX|36VULN|4RCR|59AART|7TLV|aDMG
225	64323 51321	   	164.53	ACR|2AART|2VULN|1DMG|1ASPD	1ASPD|28FEWX|37VULN|4RCR|59AART|6ERES|aDMG
226	11322 13231	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|28VULN|3DMG|4RCR|5CDMG|6FEWX|7ASPD|9AART|aCGEN
227	11322 13232	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|28VULN|3DMG|4RCR|5CDMG|6FEWX|7ASPD|9AART|aDMSP
228	11322 23515	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2aVULN|3DMG|4RCR|5CDMG|67LIT|8DUR|9AART
229	11322 24115	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2aVULN|3DMG|4RCR|5CDMG|6LIT|7ASPD|8RMIN|9AART
230	11322 52231	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|28VULN|3DMG|4RCR|5CDMG|6MLV|7DUR|9AART|aCGEN
231	11322 52232	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|28VULN|3DMG|4RCR|5CDMG|6MLV|7DUR|9AART|aDMSP
232	64321 52231	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2FEWX|38VULN|4RCR|5BEXP|6CDMG|7DMG|9AART|aCGEN
233	64321 52232	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2FEWX|38VULN|4RCR|5BEXP|6CDMG|7DMG|9AART|aDMSP
234	11321 63531	   	164.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	15aBEXP|2VULN|37DMG|4RCR|6CDMG|8DUR|9AART
235	11321 63534	   	164.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	15BEXP|2VULN|37DMG|4RCR|6CDMG|8DUR|9AART|aMLV
236	11321 64531	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	15aBEXP|27VULN|3DMG|4RCR|6CDMG|8DUR|9AART
237	12322 21515	   	164.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2LHND|38DMG|4RCR|5CDMG|6LIT|7DUR|9AART|aVULN
238	12322 52254	   	164.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2LHND|3aDMG|4RCR|5CDMG|6MLV|7DUR|8VULN|9AART
239	13322 22255	   	164.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6LIT|8MLV|9AART|aVULN
240	13322 53254	   	164.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|3aDMG|4RCR|5CDMG|6MLV|7LWND|8VULN|9AART
241	32134 13132	   	164.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|5VULN|6RCR|7DMG|8FEWX|9aAART
242	52134 13132	   	164.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DMSP|2LWND|3ZMB|4CDMG|5VULN|6RCR|7DMG|8FEWX|9aAART
243	54131 13132	   	164.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DMSP|2VULN|3ZMB|4CDMG|5LWND|6RCR|7DMG|8FEWX|9aAART
244	11322 13233	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|28VULN|3DMG|4RCR|5CDMG|6FEWX|7ASPD|9AART|aDUST
245	11322 13236	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|28VULN|3DMG|4RCR|5CDMG|6FEWX|7ASPD|9AART|aMBVNT
246	11322 52233	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|28VULN|3DMG|4RCR|5CDMG|6MLV|7DUR|9AART|aDUST
247	11322 54633	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2aVULN|3DMG|4RCR|5CDMG|6MLV|7ASPD|8TLV|9AART
248	13322 42231	   	164.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6ERES|8VULN|9AART|aCGEN
249	13322 42232	   	164.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6ERES|8VULN|9AART|aDMSP
250	64321 52233	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2FEWX|38VULN|4RCR|5BEXP|6CDMG|7DMG|9AART|aDUST
251	11321 63532	   	164.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	15BEXP|2VULN|37DMG|4RCR|6CDMG|8DUR|9AART|aERES
252	11321 63533	   	164.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	15BEXP|2VULN|37DMG|4RCR|6CDMG|8DUR|9AART|aDUST
253	11321 64532	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	15BEXP|27VULN|3DMG|4RCR|6CDMG|8DUR|9AART|aERES
254	11321 64533	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	15BEXP|27VULN|3DMG|4RCR|6CDMG|8DUR|9AART|aDUST
255	13322 22655	   	164.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6LIT|8ERES|9AART|aVULN
256	11321 63335	   	164.30	ACR|3DMG|1VULN|2ZMB|1CDMG	15aBEXP|2VULN|37aDMG|4RCR|6CDMG|8ERES|9aZMB|aBPWR
257	32134 13661	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|59VULN|6RCR|7aDMG|8RPLT
258	32422 14132	   	164.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	12LHND|3DMG|4DUST|5CDMG|6RCR|7VULN|8ZMB|9aAART
259	52422 14132	   	164.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DMSP|2LWND|3DMG|4DUST|5CDMG|6RCR|7VULN|8ZMB|9aAART
260	13322 42233	   	164.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6ERES|8VULN|9AART|aDUST
261	21422 14132	   	164.14	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1NUKE|2CGEN|3DMG|4DUST|5CDMG|6RCR|7VULN|8ZMB|9aAART
262	15134 13413	   	164.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2RCVC|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9RPLT|aDUR
263	35134 13413	   	164.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2RCVC|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9RPLT|aDUR
264	35134 13423	   	164.13	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1LHND|2RCVC|3ZMB|4CDMG|5VULN|6RCR|7DMG|8AART|9CGEN|aDUR
265	63523 14133	 * 	164.07	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	15ASPD|2LWND|3CDMG|45BEXP|5BPWR|6RCR|7aVULN|8ZMB|9AART
266	21422 22635	 * 	164.01	DCR|3DMG|2VULN|1CDMG	1NUKE|2aCGEN|37aDMG|46DUST|5CDMG|8RCR|9aVULN|aBPWR
267	22422 22635	   	164.01	DCR|3DMG|2VULN|1CDMG	1NUKE|2aMLV|37aDMG|46DUST|5CDMG|8RCR|9aVULN|aBPWR
268	32432 66233	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	12LHND|3DMG|4MBVNT|5CDMG|6ASPD|7RCR|8aVULN|9AART
269	11322 12233	   	163.81	ACR|2DMG|1AART|1VULN|2CDMG	1BEXP|2VULN|37DMG|4RCR|5aCDMG|6FEWX|8CGEN|9AART
270	11322 15236	   	163.81	ACR|2VULN|1AART|1DMG|2CDMG	1BEXP|28VULN|3DMG|4RCR|5aCDMG|6FEWX|7RMIN|9AART
271	11322 12454	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2VULN|37DMG|4RCR|5CDMG|6FEWX|8SNIHEL|9DUR|aAART
272	11322 12642	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2VULN|37DMG|4RCR|5CDMG|6FEWX|8DUR|9ERES|aAART
273	12322 42232	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2LHND|37DMG|4RCR|5CDMG|6ERES|8VULN|9DUR|aAART
274	13322 12542	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6FEWX|8VULN|9ERES|aAART
275	11322 42136	   	163.71	ACR|2DMG|1AART|1VULN|2CDMG	1BEXP|2VULN|37DMG|4RCR|5aCDMG|6ERES|8FEWX|9AART
276	13322 42222	   	163.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|37DMG|4RCR|5CDMG|6ERES|8VULN|9DUST|aAART
277	11322 32432	   	163.59	ACR|2AART|1VULN|1DMG|1CDMG|2DUR	1BEXP|2VULN|3DMG|4RCR|5CDMG|6CGEN|78DUR|9aAART
278	64332 13411	   	163.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|3VULN|4RCVC|5CDMG|6RCR|7DMG|8AART|9ZMB|aBEXP
279	64332 13412	   	163.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|3VULN|4RCVC|5CDMG|6RCR|7DMG|8AART|9ZMB|aLHND
280	64332 13432	   	163.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|3VULN|4RCVC|5CDMG|6RCR|7DMG|8AART|9RPLT|aZMB
281	13322 32115	   	163.51	ACR|2DMG|1AART|1CDMG|1ZMB|1DUR|1ASPD	1BEXP|2DUR|39DMG|4RCR|5CDMG|6CGEN|7AART|8ASPD|aZMB
282	63323 36324	   	163.51	ACR|2VULN|2DMG|2ASPD|2DUR	19ASPD|2LWND|39VULN|4RCR|5aDUR|6LHND|7DLOT|89DMG|9BPWR
283	63362 14332	   	163.31	DCR|4VULN|1CDMG|1ZMB|1ASPD	1ASPD|2LWND|347aVULN|5CDMG|6RCR|8LIT|9ZMB
284	31363 36141	 * 	163.13	DCR|4VULN|1DMG|2ASPD	19LHND|289aVULN|3LIT|4DMG|5RMIN|69ASPD|7RCR|9BPWR
285	13322 42246	   	163.12	ACR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1BEXP|2DUR|37aDMG|4RCR|5CDMG|6ERES|8VULN|9ASPD
286	61354 13213	   	163.09	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2DMSP|3AART|47VULN|5ZMB|6CDMG|8RCR|9CGEN|aDUR
287	61354 13231	   	163.09	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2DMSP|3AART|47VULN|5ZMB|6CDMG|8RCR|9DUR|aRPLT
288	61354 13233	   	163.09	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2DMSP|3AART|47VULN|5ZMB|6CDMG|8RCR|9DUR|aLIT
289	35422 15233	   	163.08	DCR|2VULN|1AART|1DMG|1CDMG	1LHND|2RCVC|3DMG|4DUST|5CDMG|6RCR|7RMIN|8aVULN|9AART
290	41322 11531	   	163.07	DCR|4VULN|1AART|1CDMG	1DUST|2458VULN|3LIT|6CDMG|7AART|9RCR|aLWND
291	41322 11532	   	163.07	DCR|4VULN|1AART|1CDMG	1DUST|2458VULN|3LIT|6CDMG|7AART|9RCR|aDMSP
292	41322 11533	   	163.07	DCR|4VULN|1AART|1CDMG	1DUST|2458VULN|3aLIT|6CDMG|7AART|9RCR
293	31322 25125	   	163.02	DCR|3VULN|1AART|1DMG|1DUR	1LHND|245VULN|3LIT|6AART|7DUR|8FEWX|9RCR|aDMG
294	31322 26626	   	163.02	DCR|3VULN|1AART|1DMG|1DUR	1LHND|245VULN|3LIT|6AART|7BEXP|8DUR|9RCR|aDMG
295	61354 13232	   	162.99	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2DMSP|3AART|47VULN|5ZMB|6CDMG|8RCR|9DUR|aDUST
296	41322 11536	   	162.97	DCR|4VULN|1AART|1CDMG	1aDUST|2458VULN|3LIT|6CDMG|7AART|9RCR
297	15134 13136	 * 	162.91	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1BEXP|2RCVC|3ZMB|4aCDMG|5VULN|6RCR|7DMG|8FEWX|9AART
298	35134 13136	   	162.91	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1LHND|2RCVC|3ZMB|4aCDMG|5VULN|6RCR|7DMG|8FEWX|9AART
299	61632 31614	   	162.90	DCR|2VULN|1AART|2ASPD|1CDMG|2DUR	1aASPD|2DMSP|3aVULN|4MBVNT|5CDMG|6LIT|7RCR|8aDUR|9AART|aBPWR
300	41613 13621	   	162.82	ACR|2VULN|1AART|3DUR|1CDMG|1ASPD	18DUST|28VULN|3RMIN|4RCR|5AART|678DUR|8BPWR|9ASPD|aCDMG
301	64322 62332	   	162.76	ACR|2VULN|2AART|1CDMG|1ASPD|1DUR	1ASPD|2FEWX|38VULN|4RCR|5CGEN|6CDMG|7DUR|9aAART
302	43613 21531	 * 	162.68	ACR|4VULN|1AART|1DUR	19aDUST|2DUR|3RMIN|4RCR|5AART|69aERES|789aVULN|9aBPWR
303	63362 11521	   	162.51	DCR|3VULN|1AART|1CDMG|1ASPD	1ASPD|29LWND|34aVULN|5CDMG|6RCR|7SNIHEL|8AART
304	61314 13235	   	162.48	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	1ASPD|2DMSP|3AART|4FEWX|59ZMB|6CDMG|7VULN|8RCR|aDMG
305	61354 11211	   	162.48	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	1ASPD|2DMSP|3AART|4VULN|57ZMB|6CDMG|8RCR|9CGEN|aDMG
306	31322 32225	   	162.42	DCR|3VULN|1AART|1DMG|1ASPD	1LHND|245VULN|3LIT|6ASPD|7AART|8RMIN|9RCR|aDMG
307	31322 32425	   	162.42	DCR|3VULN|1AART|1DMG|1ASPD	1LHND|245VULN|3LIT|6ASPD|7AART|8CGEN|9RCR|aDMG
308	31325 62225	   	162.42	DCR|3VULN|1AART|1DMG|1ASPD	1LHND|246VULN|3LIT|5ASPD|7AART|8RMIN|9RCR|aDMG
309	11342 13516	   	162.41	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|2VULN|3aDMG|47AART|5RMIN|6LIT|8RCR|9DUR
310	11321 65132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	15BEXP|2VULN|3DMG|4RCR|6CDMG|7LWND|8ZMB|9aAART
311	11323 25132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	16BEXP|2VULN|3DMG|4RCR|5LWND|7CDMG|8ZMB|9aAART
312	11323 53132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2VULN|3DMG|4RCR|57LWND|6CDMG|8ZMB|9aAART
313	11325 25132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	16BEXP|2VULN|3DMG|4RCR|5LHND|7CDMG|8ZMB|9aAART
314	11325 52132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2VULN|3DMG|4RCR|57LHND|6CDMG|8ZMB|9aAART
315	11325 53132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	17BEXP|2VULN|3DMG|4RCR|5LHND|6CDMG|8ZMB|9aAART
316	12321 64132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	15BEXP|2LHND|3DMG|4RCR|6CDMG|7VULN|8ZMB|9aAART
317	12325 64132	   	162.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BEXP|25LHND|3DMG|4RCR|6CDMG|7VULN|8ZMB|9aAART
318	13323 35613	 * 	162.33	ACR|2DMG|2AART|2CDMG|1DUR	18BEXP|2DUR|38DMG|4RCR|5LWND|6LIT|78CDMG|8BPWR|9aAART
319	63323 53133	   	162.31	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|27LWND|3aVULN|4RCR|5DUR|6CDMG|8ZMB|9AART
320	64323 13622	 * 	162.29	ACR|2VULN|1AART|3ASPD|3DUR	189ASPD|2FEWX|38VULN|4RCR|5AART|678DUR|8BPWR|aLWND
321	64323 13623	   	162.29	ACR|2VULN|1AART|3ASPD|3DUR	189ASPD|2FEWX|38VULN|4RCR|5AART|678DUR|8BPWR|aBELT
322	11322 12113	   	162.28	ACR|2VULN|2DMG|1CDMG|1ZMB	1BEXP|2aVULN|37DMG|4RCR|5CDMG|6FEWX|8ZMB|9LIT
