0	Index      	 *	Score 	Summary	Detail	
167	14142 12226	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2FEWX|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aTLV
168	32633 14221	 * 	178.04	DCR|3VULN|3AART|1DMG|1ASPD	128VULN|347AART|5ERES|6ASPD|9DMG|aRCR
169	33311 11555	   	177.97	DCR|3VULN|2DMG|1AART	19aVULN|2LIT|3AART|49BEXP|5MLV|6TLV|79DMG|8RCR|9BPWR
170	12321 25431	 * 	177.67	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|25VULN|3CDMG|4CGEN|6aZMB|7AART|8RCR|9DMG
171	12431 25431	   	177.67	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|25VULN|3CGEN|4CDMG|6aZMB|7AART|8RCR|9DMG
172	35331 25431	   	177.67	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	15VULN|2MLV|3DUR|4CDMG|6aZMB|7AART|8RCR|9DMG
173	12231 25431	   	177.57	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|25VULN|3TLV|4CDMG|6aZMB|7AART|8RCR|9DMG
174	33215 12514	   	177.57	DCR|3VULN|3DMG|3DUR	167VULN|2LIT|378DMG|4LEGI|567DUR|67BPWR|9BEXP|aRCR
175	33215 12524	   	177.57	DCR|3VULN|3DMG|3DUR	167VULN|2LIT|378DMG|4LEGI|567DUR|67BPWR|9FEWX|aRCR
176	33215 12534	   	177.57	DCR|3VULN|3DMG|3DUR	167VULN|2LIT|378DMG|4LEGI|567DUR|67BPWR|9LWND|aRCR
177	12125 21263	   	177.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|23aVULN|4MBVNT|5ZMB|6LHND|7RCR|8AART|9DMG
178	32436 62432	 * 	177.49	DCR|5VULN|2DMG	1267aVULN|37DMG|47CGEN|5MBVNT|7BPWR|8RCR|9BEXP
179	26125 11263	   	177.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|23aVULN|4MBVNT|5ZMB|6DUR|7RCR|8AART|9DMG
180	32436 62422	   	177.39	DCR|5VULN|2DMG	1267aVULN|37DMG|47CGEN|5MBVNT|7BPWR|8RCR|9LEGI
181	33363 24123	   	177.31	DCR|4VULN|1AART|1CDMG|1DUR	158aVULN|2LIT|3AART|4DUR|6BEXP|7RCR|9CDMG
182	31125 45418	   	177.13	DCR|3VULN|1DMG|2CDMG|2ZMB|1ASPD	138VULN|2BEXP|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR|9ASPD|aDMG
183	31125 45436	 * 	177.06	DCR|5VULN|2CDMG|2ZMB	1389aVULN|2BEXP|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR
184	32225 45418	   	177.03	DCR|3VULN|1DMG|2CDMG|2ZMB|1ASPD	128VULN|3DUST|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR|9ASPD|aDMG
185	32215 24232	 * 	176.99	ACR|3VULN|2DMG|1AART	128VULN|3DUST|4RCR|5CGEN|6FEWX|7aDMG|9AART
186	32215 24632	 * 	176.99	ACR|3DMG|2VULN|1AART	12VULN|3DUST|4RCR|5CGEN|6FEWX|78aDMG|9AART
187	32225 45436	   	176.96	DCR|5VULN|2CDMG|2ZMB	1289aVULN|3DUST|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR
188	33363 61221	   	176.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9CDMG|aFEWX
189	33363 61224	   	176.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	15VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9CDMG|aLWND
190	33363 61226	   	176.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9CDMG|aRCVC
191	33313 61226	   	176.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15VULN|2LIT|3AART|4BEXP|6RCR|7DMG|8ASPD|9CDMG|aDUR
192	33343 61226	   	176.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15VULN|2LIT|3AART|4FEWX|6RCR|7DMG|8ASPD|9CDMG|aDUR
193	33364 61223	   	176.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1aVULN|2LIT|3AART|4DUR|5DMSP|6RCR|7DMG|8ASPD|9CDMG
194	33363 61222	   	176.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9CDMG|aLEGI
195	33363 61225	   	176.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9CDMG|aDUST
196	12115 24233	   	176.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|238VULN|4RCR|5CGEN|6LHND|7DMG|9ZMB|aAART
197	12151 22442	   	176.82	DCR|5VULN|1AART|1ASPD|1DUR	1DUR|23569VULN|4ASPD|7LIT|8RCR|aAART
198	32141 22442	   	176.82	DCR|5VULN|1AART|1ASPD|1DUR	12569VULN|3ASPD|4DUR|7LIT|8RCR|aAART
199	11142 12611	   	176.82	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR|1ZMB	17DUR|2BEXP|37VULN|4RCR|5AART|67ASPD|7BPWR|8CDMG|9RCVC|aZMB
200	12112 64233	   	176.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|238VULN|4RCR|5LHND|6ERES|7DMG|9ZMB|aAART
201	21146 24233	   	176.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2DUR|368VULN|4RCR|5CGEN|7DMG|9ZMB|aAART
202	26115 14233	   	176.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|238VULN|4RCR|5CGEN|6DUR|7DMG|9ZMB|aAART
203	12112 12511	   	176.72	ACR|3VULN|2DMG|2DUR|1ZMB	19DUR|239VULN|4RCR|5LHND|6BELT|7CGEN|89DMG|9BPWR|aZMB
204	16143 13511	   	176.72	ACR|3VULN|2DMG|2DUR|1ZMB	19DUR|2LWND|359VULN|4RCR|6BELT|7RMIN|89DMG|9BPWR|aZMB
205	21143 64233	   	176.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2DUR|358VULN|4RCR|6ERES|7DMG|9ZMB|aAART
206	32613 31523	   	176.63	DCR|3VULN|2AART|1DMG	129VULN|38AART|4ERES|59LWND|6RCR|79CGEN|9BPWR|aDMG
207	21143 13511	   	176.62	ACR|3VULN|2DMG|2DUR|1ZMB	1LEGI|29DUR|359VULN|4RCR|6BELT|7RMIN|89DMG|9BPWR|aZMB
208	33313 66223	   	176.61	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	15aVULN|2LIT|3AART|4BEXP|6RCR|7ZMB|8ASPD|9CDMG
209	23353 65132	   	176.57	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1LEGI|2DMG|3DUR|49CDMG|5ASPD|6AART|7aVULN|8RCR
210	32632 41136	   	176.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	12VULN|34AART|5DUST|6DUR|7CDMG|8RCR|9DMG|aMLV
211	32632 41133	   	176.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	12VULN|34AART|5DUST|6DUR|7CDMG|8RCR|9DMG|aMBVNT
212	32632 41134	   	176.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	12VULN|34AART|5aDUST|6DUR|7CDMG|8RCR|9DMG
213	32613 31553	   	176.43	DCR|3VULN|2AART|1DMG	129VULN|38AART|4ERES|5LWND|6RCR|7CGEN|aDMG
214	16134 21623	   	176.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2LWND|36VULN|4CGEN|5RCR|7ZMB|89DMG|aAART
215	21134 24633	   	176.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LEGI|2DUR|36VULN|4CGEN|5RCR|78DMG|9ZMB|aAART
216	32641 41131	   	176.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3AART|45FEWX|6DUR|7CDMG|8RCR|9DMG|aZMB
217	32661 41131	   	176.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3AART|4RMIN|5MLV|6DUR|7CDMG|8RCR|9DMG|aZMB
218	32442 31521	   	176.20	DCR|3VULN|2DMG|2DUR|1ZMB	128VULN|35DMG|45DUR|5BPWR|6LIT|7RCR|9ZMB|aCGEN
219	32442 31522	   	176.10	DCR|3VULN|2DMG|2DUR|1ZMB	128VULN|35DMG|45DUR|5BPWR|6LIT|7RCR|9ZMB|aTLV
220	32636 12173	 * 	176.09	DCR|5VULN|2AART	1267aVULN|34AART|5RPLT|8MBVNT|9RCR
221	12152 25511	 * 	176.07	DCR|4VULN|1DMG|2ASPD|1ZMB|1DUR	1DUR|2356VULN|45ASPD|5BPWR|7DMG|8TLV|9RCR|aZMB
222	11142 21311	   	176.07	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2BEXP|3aVULN|4RCR|5AART|6LWND|7TLV|8aDMG|9MBVNT|aBPWR
223	11142 61311	   	176.07	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2BEXP|3aVULN|4RCR|5AART|6LHND|7TLV|8aDMG|9MBVNT|aBPWR
224	14142 21311	   	176.07	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2FEWX|3aVULN|4RCR|5AART|6LWND|7TLV|8aDMG|9MBVNT|aBPWR
225	14142 61311	   	176.07	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2FEWX|3aVULN|4RCR|5AART|6LHND|7TLV|8aDMG|9MBVNT|aBPWR
226	14142 12531	   	176.04	ACR|2VULN|1AART|1DMG|3DUR|2ASPD	179DUR|2FEWX|37VULN|4RCR|5AART|67ASPD|7BPWR|8LIT|aDMG
227	36315 42133	   	175.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	17VULN|2LWND|3CDMG|45AART|6DUR|8RCR|9DMG|aMBVNT
228	62315 42133	   	175.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LWND|27VULN|3CDMG|45AART|6DUR|8RCR|9DMG|aMBVNT
229	32412 22512	   	175.92	DCR|4VULN|2DMG|1CDMG	1278VULN|35DMG|45FEWX|5BPWR|6LHND|9RCR|aCDMG
230	32422 22512	   	175.92	DCR|4VULN|2DMG|1CDMG	1278VULN|35DMG|45BEXP|5BPWR|6LHND|9RCR|aCDMG
231	51432 22512	   	175.92	DCR|4VULN|2DMG|1CDMG	12BEXP|35DMG|4578VULN|5BPWR|6LHND|9RCR|aCDMG
232	26315 42133	   	175.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LEGI|27VULN|3CDMG|45AART|6DUR|8RCR|9DMG|aMBVNT
233	32411 22612	   	175.82	DCR|4VULN|2DMG|1CDMG	1257VULN|38DMG|4FEWX|6LHND|9RCR|aCDMG
234	32412 52512	   	175.82	DCR|4VULN|2DMG|1CDMG	1278VULN|35DMG|45FEWX|5BPWR|6DUST|9RCR|aCDMG
235	32421 22612	   	175.82	DCR|4VULN|2DMG|1CDMG	1257VULN|38DMG|4BEXP|6LHND|9RCR|aCDMG
236	32422 52512	   	175.82	DCR|4VULN|2DMG|1CDMG	1278VULN|35DMG|45BEXP|5BPWR|6DUST|9RCR|aCDMG
237	36312 12663	   	175.72	DCR|3VULN|2AART|1CDMG|1ZMB	167VULN|25LWND|3CDMG|4aAART|8RCR|9ZMB
238	62312 12663	   	175.72	DCR|3VULN|2AART|1CDMG|1ZMB	15LWND|267VULN|3CDMG|4aAART|8RCR|9ZMB
239	32411 52612	   	175.72	DCR|4VULN|2DMG|1CDMG	1257VULN|38DMG|4FEWX|6DUST|9RCR|aCDMG
240	32421 52612	   	175.72	DCR|4VULN|2DMG|1CDMG	1257VULN|38DMG|4BEXP|6DUST|9RCR|aCDMG
241	12113 12542	 * 	175.68	ACR|4VULN|1DMG|1CDMG|2DUR	16DUR|2378VULN|4RCR|5MLV|9DMG|aCDMG
242	12115 12542	   	175.68	ACR|4VULN|1DMG|1CDMG|2DUR	16DUR|2378VULN|4RCR|5CGEN|9DMG|aCDMG
243	12111 26154	   	175.68	ACR|4VULN|1DMG|1CDMG|2DUR	16DUR|2389VULN|4RCR|5RCVC|7CDMG|aDMG
244	46623 12321	 * 	175.66	DCR|3DMG|1AART|2ZMB|1CDMG|1ASPD	1NUKE|25ZMB|3AART|457DMG|5BPWR|6ASPD|8RCR|9CDMG|aBELT
245	46623 12322	   	175.66	DCR|3DMG|1AART|2ZMB|1CDMG|1ASPD	1NUKE|25ZMB|3AART|457DMG|5BPWR|6ASPD|8RCR|9CDMG|aLIT
246	46623 12323	   	175.66	DCR|3DMG|1AART|2ZMB|1CDMG|1ASPD	1NUKE|25ZMB|3AART|457DMG|5BPWR|6ASPD|8RCR|9CDMG|aBEXP
247	34361 42131	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	17VULN|25FEWX|3CDMG|4AART|6DUR|8RCR|9DMG|aZMB
248	36312 42131	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	17VULN|25LWND|3CDMG|4AART|6DUR|8RCR|9DMG|aZMB
249	62312 42131	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15LWND|27VULN|3CDMG|4AART|6DUR|8RCR|9DMG|aZMB
250	36331 21612	   	175.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18VULN|28LWND|3CDMG|4LEGI|5AIRHEA|68DMG|7AART|8BPWR|9ASPD|aRCR
251	62331 21612	   	175.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18LWND|28VULN|3CDMG|4LEGI|5AIRHEA|68DMG|7AART|8BPWR|9ASPD|aRCR
252	26313 42131	   	175.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LEGI|27VULN|3CDMG|4AART|5DMSP|6DUR|8RCR|9DMG|aZMB
253	36315 12623	   	175.47	DCR|3VULN|2AART|1CDMG|1ZMB|1SELL	167VULN|2LWND|3CDMG|45AART|8RCR|9SELL|aZMB
254	62315 12623	   	175.47	DCR|3VULN|2AART|1CDMG|1ZMB|1SELL	1LWND|267VULN|3CDMG|45AART|8RCR|9SELL|aZMB
255	11141 21311	   	175.47	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2BEXP|3aVULN|4RCR|5LWND|6AART|7TLV|8aDMG|9MBVNT|aBPWR
256	11144 21311	   	175.47	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2BEXP|3aVULN|4RCR|5LHND|6AART|7TLV|8aDMG|9MBVNT|aBPWR
257	14141 21311	   	175.47	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2FEWX|3aVULN|4RCR|5LWND|6AART|7TLV|8aDMG|9MBVNT|aBPWR
258	14144 21311	   	175.47	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2FEWX|3aVULN|4RCR|5LHND|6AART|7TLV|8aDMG|9MBVNT|aBPWR
259	16141 21311	   	175.47	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2LWND|3aVULN|4RCR|5LHND|6AART|7TLV|8aDMG|9MBVNT|aBPWR
260	21141 21311	   	175.37	ACR|2VULN|2DMG|1AART|2DUR	1LEGI|2aDUR|3aVULN|4RCR|5LWND|6AART|7TLV|8aDMG|9MBVNT|aBPWR
261	21144 21311	   	175.37	ACR|2VULN|2DMG|1AART|2DUR	1LEGI|2aDUR|3aVULN|4RCR|5LHND|6AART|7TLV|8aDMG|9MBVNT|aBPWR
262	32626 33431	   	175.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|3AART|49DMG|5DUR|6RPLT|7ZMB|8CGEN|aRCR
263	32412 41623	 * 	175.27	DCR|3VULN|3DMG|1CDMG	128VULN|358DMG|458FEWX|58BPWR|6RCVC|7BELT|9CDMG|aRCR
264	23522 42343	   	175.22	DCR|3VULN|2DMG|1AART|1SELL	1LEGI|2aDMG|36BELT|4SELL|59aVULN|7AART|8RCR|aBPWR
265	34361 22135	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|25FEWX|3CDMG|4AART|6DUST|8RCR|9aDMG
266	36312 22135	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|25LWND|3CDMG|4AART|6DUST|8RCR|9aDMG
267	62312 22135	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	15LWND|27VULN|3CDMG|4AART|6DUST|8RCR|9aDMG
268	26313 22135	   	175.06	DCR|2VULN|2DMG|1AART|1CDMG	1LEGI|27VULN|3CDMG|4AART|5DMSP|6DUST|8RCR|9aDMG
269	12314 15131	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|26VULN|3CDMG|4DMSP|5AART|7FEWX|8RCR|9DMG|aZMB
270	12314 32131	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|27VULN|3CDMG|4DMSP|5AART|6LWND|8RCR|9DMG|aZMB
271	34314 42131	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	17VULN|2FEWX|3CDMG|4DMSP|5AART|6DUR|8RCR|9DMG|aZMB
272	26331 21662	   	174.98	DCR|2VULN|2DMG|1AART|2CDMG	1LEGI|28VULN|38CDMG|4LHND|5AIRHEA|68DMG|7AART|8BPWR|9CGEN|aRCR
273	11146 36311	   	174.97	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2BEXP|3aVULN|4RCR|5CGEN|6FEWX|7AART|8aDMG|9MBVNT|aBPWR
274	12314 22131	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|27VULN|3CDMG|4DMSP|5AART|6DUST|8RCR|9DMG|aZMB
275	32442 13233	   	174.78	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	12VULN|35DMG|45DUR|5BPWR|6ASPD|7TLV|8LHND|9RCR|aAART
276	33363 61251	   	174.75	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	15VULN|2LIT|3aAART|4DUR|6RCR|7DMG|8ASPD|9LHND
277	33363 61211	   	174.65	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	15VULN|2LIT|3aAART|4DUR|6RCR|7DMG|8ASPD|9VENICY
278	51623 21141	   	174.62	DCR|2AART|2DMG|1VULN|1CDMG	125BEXP|3aAART|45DMG|5BPWR|6RCR|7CDMG|8VULN|9CGEN
279	51623 21261	   	174.62	DCR|2AART|2DMG|1VULN|1CDMG	125BEXP|3aAART|45DMG|5BPWR|6RCR|7CDMG|8CGEN|9VULN
280	33432 32561	   	174.60	DCR|4VULN|2DMG|2DUR	1378VULN|27LIT|4aDUR|5LHND|67DMG|7BPWR|9RCR
281	34314 22135	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|2FEWX|3CDMG|4DMSP|5AART|6DUST|8RCR|9aDMG
282	33361 11552	   	174.55	DCR|2VULN|2DMG|1AART|2DUR	19VULN|2LIT|3AART|49DUR|5aMLV|6TLV|79DMG|8RCR|9BPWR
283	51623 21161	   	174.52	DCR|2AART|2DMG|1VULN|1CDMG	125BEXP|3aAART|45DMG|5BPWR|6RCR|7CDMG|8VULN|9TLV
284	33361 11551	   	174.45	DCR|2VULN|2DMG|1AART|2DUR	19VULN|2LIT|3AART|49DUR|5MLV|6aTLV|79DMG|8RCR|9BPWR
285	12335 23623	   	174.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|3CDMG|4LHND|59DMG|6ZMB|7RCR|8BEXP|aAART
286	31115 33223	   	174.40	ACR|4VULN|1AART|1DMG	1379VULN|2BEXP|4RCR|59CGEN|69MLV|8AART|9BPWR|aDMG
287	36115 33423	   	174.40	ACR|4VULN|1AART|1DMG	1379VULN|2LWND|4RCR|59CGEN|69MLV|8AART|9BPWR|aDMG
288	32442 22513	   	174.40	DCR|4VULN|2DMG|2DUR	1278VULN|35DMG|45DUR|5BPWR|6LHND|9RCR|aTLV
289	34112 53331	 * 	174.38	ACR|2VULN|2DMG|1AART|1CDMG	13VULN|2FEWX|4RCR|5DLOT|6CDMG|7CGEN|89DMG|aAART
290	21134 24233	   	174.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2DUR|368VULN|4CGEN|5RCR|7DMG|9ZMB|aAART
291	33363 61236	   	174.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	15VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9RMIN|aZMB
292	33361 11553	   	174.30	DCR|2VULN|2DMG|1AART|2DUR|1SELL	19VULN|2LIT|3AART|49DUR|5MLV|6TLV|79DMG|8RCR|9BPWR|aSELL
293	26115 33423	   	174.30	ACR|4VULN|1AART|1DMG	1LEGI|2379VULN|4RCR|59CGEN|69MLV|8AART|9BPWR|aDMG
294	32215 33423	   	174.30	ACR|4VULN|1AART|1DMG	1279VULN|3DUST|4RCR|59CGEN|69MLV|8AART|9BPWR|aDMG
295	32212 56331	   	174.28	ACR|2VULN|2DMG|1AART|1CDMG	12VULN|3DUST|4RCR|5DLOT|6CDMG|7CGEN|89DMG|aAART
296	33363 61214	   	174.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	15VULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9VENICY|aZMB
297	31113 13252	   	174.20	ACR|4VULN|1AART|1DMG	1379VULN|2BEXP|4RCR|5LWND|6RCVC|8AART|aDMG
298	31113 43252	   	174.20	ACR|4VULN|1AART|1DMG	1379VULN|26BEXP|4RCR|5LWND|8AART|aDMG
299	31113 64252	   	174.20	ACR|4VULN|1AART|1DMG	1369VULN|2BEXP|4RCR|57LWND|8AART|aDMG
300	31115 33253	   	174.20	ACR|4VULN|1AART|1DMG	1379VULN|2BEXP|4RCR|5CGEN|6MLV|8AART|aDMG
301	31613 63252	   	174.20	ACR|4VULN|1AART|1DMG	1679VULN|23BEXP|4RCR|5LWND|8AART|aDMG
302	34113 13452	   	174.20	ACR|4VULN|1AART|1DMG	1379VULN|2FEWX|4RCR|5LWND|6RCVC|8AART|aDMG
303	36111 13452	   	174.20	ACR|4VULN|1AART|1DMG	1379VULN|2LWND|4RCR|5RCVC|6LHND|8AART|aDMG
304	62111 13452	   	174.20	ACR|4VULN|1AART|1DMG	1LWND|2379VULN|4RCR|5RCVC|6LHND|8AART|aDMG
305	32443 33431	   	174.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|39DMG|4DUR|5AART|6RPLT|7ZMB|8CGEN|aRCR
306	11142 43313	   	174.13	ACR|3VULN|1AART|1DMG|2DUR	18DUR|2BEXP|369VULN|4RCR|5AART|7LWND|aDMG
307	12642 43313	   	174.13	ACR|3VULN|1AART|1DMG|2DUR	18DUR|269VULN|3BEXP|4RCR|5AART|7LWND|aDMG
308	33365 14123	   	174.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	18aVULN|2LIT|3AART|4DUR|5ZMB|6TLV|7RCR|9CDMG
309	26111 13452	   	174.10	ACR|4VULN|1AART|1DMG	1LEGI|2379VULN|4RCR|5RCVC|6LHND|8AART|aDMG
310	26112 33452	   	174.10	ACR|4VULN|1AART|1DMG	1LEGI|2379VULN|4RCR|5LHND|6RCVC|8AART|aDMG
311	26113 33422	   	174.10	ACR|4VULN|1AART|1DMG	1LEGI|2379VULN|4RCR|59MLV|69TLV|8AART|9BPWR|aDMG
312	31113 63225	   	174.10	ACR|4VULN|1AART|1DMG	1367VULN|2BEXP|4RCR|5LWND|8AART|9AIRHEA|aDMG
313	32213 13452	   	174.10	ACR|4VULN|1AART|1DMG	1279VULN|3DUST|4RCR|5LWND|6RCVC|8AART|aDMG
314	32213 53452	   	174.10	ACR|4VULN|1AART|1DMG	1279VULN|3DUST|4RCR|56LWND|8AART|aDMG
315	32215 33453	   	174.10	ACR|4VULN|1AART|1DMG	1279VULN|3DUST|4RCR|5CGEN|6MLV|8AART|aDMG
316	36112 33452	   	174.10	ACR|4VULN|1AART|1DMG	1379VULN|2LWND|4RCR|5LEGI|6RCVC|8AART|aDMG
317	62112 33452	   	174.10	ACR|4VULN|1AART|1DMG	1LWND|2379VULN|4RCR|5LEGI|6RCVC|8AART|aDMG
318	32442 22212	   	174.05	DCR|3VULN|2DMG|1CDMG|2DUR	127VULN|35DMG|45DUR|5BPWR|68LHND|9RCR|aCDMG
319	26113 33452	   	174.00	ACR|4VULN|1AART|1DMG	1LEGI|2379VULN|4RCR|5MLV|6TLV|8AART|aDMG
320	32415 12612	   	173.95	DCR|3VULN|2DMG|1CDMG|2DUR	127VULN|38DMG|4FEWX|56DUR|9RCR|aCDMG
321	32425 12612	   	173.95	DCR|3VULN|2DMG|1CDMG|2DUR	127VULN|38DMG|4BEXP|56DUR|9RCR|aCDMG
322	32641 31132	   	173.93	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|45FEWX|6LWND|7CDMG|8RCR|9DMG
323	32646 33132	   	173.93	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4FEWX|5CDMG|6LWND|7RCVC|8RCR|9DMG
324	32661 31132	   	173.93	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4RMIN|5MLV|6LWND|7CDMG|8RCR|9DMG
325	32663 51132	   	173.93	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4RMIN|5LWND|6CGEN|7CDMG|8RCR|9DMG
326	32621 11482	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4DMG|5MLV|6BEXP|7MBVNT|8RCR|9CDMG
327	32646 23132	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4FEWX|5CDMG|6DUST|7RCVC|8RCR|9DMG
328	32646 32133	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	127VULN|3AART|4FEWX|5CDMG|6LWND|8RCR|9DMG|aMBVNT
329	32641 61132	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|45FEWX|6DUST|7CDMG|8RCR|9DMG
330	32642 31132	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4FEWX|5CGEN|6ERES|7CDMG|8RCR|9DMG
331	32661 61132	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4RMIN|5MLV|6DUST|7CDMG|8RCR|9DMG
332	32662 51132	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4RMIN|5DUST|6CGEN|7CDMG|8RCR|9DMG
333	32663 41132	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3AART|4RMIN|5LWND|6ERES|7CDMG|8RCR|9DMG
334	12321 25433	   	173.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|25VULN|3CDMG|4CGEN|6ZMB|7AART|8RCR|9DMG|aDMSP
335	12321 25436	   	173.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|25VULN|3CDMG|4CGEN|6ZMB|7AART|8RCR|9DMG|aMLV
336	12431 25433	   	173.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|25VULN|3CGEN|4CDMG|6ZMB|7AART|8RCR|9DMG|aDMSP
