0	Index      	 *	Score 	Summary	Detail	
1	51421 36216	 * 	326.34	DCR|DCR|3VULN|2TLV	1MBVNT|27TLV|3AME|47aVULN|5BELT|67LHND|7BPWR|89RCR
2	51421 36217	   	311.31	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LHND|7BPWR|89RCR|aDUR
3	44121 23215	   	308.96	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2LEGI|3DMG|4aVULN|5BELT|6TLV|7CGEN|89RCR
4	24121 23215	   	302.25	DCR|DCR|2VULN|1TLV|1DMG	1ZMB|2LEGI|3DMG|4aVULN|5BELT|6TLV|7CGEN|89RCR
5	51421 36215	   	301.65	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LHND|7BPWR|89RCR|aFEWX
6	51421 36211	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LHND|7BPWR|89RCR|aDUST
7	51421 36212	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LHND|7BPWR|89RCR|aLSRREG
8	51421 36213	   	301.55	DCR|DCR|2TLV|2VULN|1MSE	1MBVNT|27TLV|3AME|47VULN|5BELT|67LHND|7BPWR|89RCR|aMSE
9	51421 36214	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LHND|7BPWR|89RCR|aMULARM
10	51421 36218	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LHND|7BPWR|89RCR|aLSRHEA
11	51421 56211	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LWND|7BPWR|89RCR|aDUST
12	51421 56212	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LWND|7BPWR|89RCR|aLSRREG
13	51421 56213	   	301.55	DCR|DCR|2TLV|2VULN|1MSE	1MBVNT|27TLV|3AME|47VULN|5BELT|67LWND|7BPWR|89RCR|aMSE
14	51421 56214	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3AME|47VULN|5BELT|67LWND|7BPWR|89RCR|aMULARM
15	51621 36211	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3CGEN|47VULN|5BELT|67LHND|7BPWR|89RCR|aDUST
16	51621 36212	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3CGEN|47VULN|5BELT|67LHND|7BPWR|89RCR|aLSRREG
17	51621 36213	   	301.55	DCR|DCR|2TLV|2VULN|1MSE	1MBVNT|27TLV|3CGEN|47VULN|5BELT|67LHND|7BPWR|89RCR|aMSE
18	51621 36214	   	301.55	DCR|DCR|2TLV|2VULN	1MBVNT|27TLV|3CGEN|47VULN|5BELT|67LHND|7BPWR|89RCR|aMULARM
19	51421 24216	   	301.45	DCR|DCR|2TLV|2VULN	1MBVNT|26TLV|3AME|4aVULN|5BELT|7LWND|89RCR
20	52321 24216	   	301.45	DCR|DCR|2TLV|2VULN	1MBVNT|2RMIN|36TLV|4aVULN|5BELT|7LWND|89RCR
21	52321 75212	   	301.45	DCR|DCR|2TLV|2VULN	1MBVNT|2RMIN|3aTLV|4aVULN|5BELT|6AETHUN|7RCVC|89RCR|aBPWR
22	51621 23216	   	301.35	DCR|DCR|2TLV|2VULN	1MBVNT|26TLV|3CGEN|4aVULN|5BELT|7DUST|89RCR
23	52321 27216	   	301.35	DCR|DCR|2TLV|2VULN	1MBVNT|2RMIN|36TLV|4aVULN|5BELT|7DUST|89RCR
24	51128 16414	   	301.32	DCR|3VULN|2TLV|1DMG|1AEPOI	1MBVNT|27TLV|3DMG|458VULN|6RCR|9AEPOI|aRAT
25	51128 16424	   	301.32	DCR|3VULN|2TLV|1DMG|1AEBURN	1MBVNT|27TLV|3DMG|458VULN|6RCR|9AEBURN|aRAT
26	51128 13271	 * 	301.03	DCR|2TLV|2VULN|2DMG|2AEPOI|1CDMG	1MBVNT|29TLV|39DMG|45VULN|6RCR|7CGEN|89AEPOI|9BPWR|aCDMG
27	51128 13273	 * 	301.03	DCR|3TLV|2VULN|2DMG|2AEPOI	1MBVNT|29aTLV|39DMG|45VULN|6RCR|7CGEN|89AEPOI|9BPWR
28	51128 18121	   	300.16	DCR|3VULN|2TLV|1DMG|2DUR	1MBVNT|29TLV|3DMG|459VULN|6RCR|79DUR|8RMIN|9BPWR|aRAT
29	51421 38216	   	299.94	DCR|DCR|3VULN|1TLV	1MBVNT|2TLV|3AME|47aVULN|5BELT|6LHND|89RCR
30	54538 12441	 * 	298.50	ACR|DCR|2TLV|1VULN|1AEPOI	1MBVNT|2ZMB|3DUST|48RCR|5VULN|69TLV|7AME|aAEPOI
31	54538 13441	   	298.50	ACR|DCR|2TLV|1VULN|1AEPOI	1MBVNT|2ZMB|3DUST|48RCR|5VULN|69TLV|7RMIN|aAEPOI
32	56113 15124	 * 	296.72	DCR|2TLV|2VULN|3DMG|1CDMG	1MBVNT|239DMG|4BEXP|59TLV|6RCR|79VULN|8RMIN|9BPWR|aCDMG
33	56143 15124	   	296.72	DCR|2TLV|2VULN|3DMG|1CDMG	1MBVNT|239DMG|4FEWX|59TLV|6RCR|79VULN|8RMIN|9BPWR|aCDMG
