0	Index      	 *	Score 	Summary	Detail	
39	15124 45742	   	256.14	DCR|DCR|1VULN|1MLV|2RAT	1LWND|2MBVNT|3FEWX|4MLV|57RAT|6LIT|8aRCR|9VULN
40	36511 34223	 * 	255.88	DCR|3VULN|1TLV|1DMG|1AAC	1BBNT|2AAC|3BEXP|4DMG|5RAT|67aVULN|8TLV|9RCR
41	15116 14742	   	255.42	DCR|DCR|1VULN|1TLV	17LWND|2MBVNT|3FEWX|4LIT|5RAT|6TLV|8aRCR|9VULN
42	42334 12342	   	255.32	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8LHND|9VULN
43	42334 12712	   	255.32	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8VULN|9LWND
44	42334 12762	   	255.32	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8VULN|9LHND
45	42364 12712	   	255.32	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4LHND|5RAT|6aRCR|7TLV|8VULN|9LWND
46	45234 42412	   	255.32	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8FEWX|9LWND
47	45234 42462	   	255.32	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8FEWX|9LHND
48	45614 42412	   	255.32	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3MBVNT|4RAT|5LIT|6VULN|7aRCR|8FEWX|9LWND
49	62334 12342	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8LHND|9VULN
50	62334 12712	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8VULN|9LWND
51	62334 12762	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8VULN|9LHND
52	62364 12712	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4LHND|5RAT|6aRCR|7TLV|8VULN|9LWND
53	65234 42412	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8FEWX|9LWND
54	65234 42462	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8FEWX|9LHND
55	65614 42412	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3MBVNT|4RAT|5LIT|6VULN|7aRCR|8FEWX|9LWND
56	42334 12642	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8BEXP|9VULN
57	42364 12442	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4LHND|5RAT|6aRCR|7TLV|8BEXP|9VULN
58	42384 12342	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4BEXP|5RAT|6aRCR|7TLV|8LHND|9VULN
59	42384 12442	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4BEXP|5RAT|6aRCR|7TLV|8FEWX|9VULN
60	45234 22342	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8LHND|9VULN
61	45234 22442	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8FEWX|9VULN
62	45234 22712	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6DUST|7aRCR|8VULN|9LWND
63	45234 42612	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8BEXP|9LWND
64	45614 22342	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3MBVNT|4RAT|5LIT|6DUST|7aRCR|8LHND|9VULN
65	45614 22442	   	255.22	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3MBVNT|4RAT|5LIT|6DUST|7aRCR|8FEWX|9VULN
66	62334 12642	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8BEXP|9VULN
67	62364 12442	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4LHND|5RAT|6aRCR|7TLV|8BEXP|9VULN
68	62384 12342	   	255.22	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4BEXP|5RAT|6aRCR|7TLV|8LHND|9VULN
