0	Index      	 *	Score 	Summary	Detail	
43	15231 21521	   	176.43	DCR|3VULN|2AART|1DMG	1FEWX|259VULN|3aAART|4DMG|6RCR|7DUST|8MLV
44	15231 22321	   	176.43	DCR|3VULN|2AART|1DMG	1FEWX|259VULN|3aAART|4DMG|6RCR|7LHND|8NUKE
45	15231 22522	   	176.43	DCR|3VULN|2AART|1DMG	1FEWX|259VULN|3aAART|4DMG|6RCR|7LHND|8LSRREG
46	15231 23613	   	176.43	DCR|3VULN|2AART|1DMG	18FEWX|25aVULN|37AART|4DMG|6RCR|9MBVNT
47	15231 23623	   	176.43	DCR|3VULN|2AART|1DMG	18FEWX|25aVULN|37AART|4DMG|6RCR|9TLV
48	15231 23653	   	176.43	DCR|3VULN|2AART|1DMG	18FEWX|25aVULN|37AART|4DMG|6RCR|9ERES
49	15231 26121	   	176.43	DCR|3VULN|2AART|1DMG	1FEWX|258VULN|3aAART|4DMG|6RCR|7ERES|9LHND
50	15265 21221	   	176.43	DCR|3VULN|2AART|1DMG	1FEWX|249VULN|3aAART|5DMG|6RCR|7DUST|8CGEN
51	15265 22321	   	176.43	DCR|3VULN|2AART|1DMG	1FEWX|249VULN|3aAART|5DMG|6RCR|7LHND|8NUKE
52	15231 21322	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|259VULN|3aAART|4DMG|6RCR|7DUST|8LSRHEA
53	15231 23133	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|25aVULN|37AART|4DMG|6RCR|89ERES
54	15231 24321	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|259VULN|3aAART|4DMG|6RCR|7LEGI|8NUKE
55	15231 24522	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|259VULN|3aAART|4DMG|6RCR|7LEGI|8LSRREG
56	15231 26141	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|258VULN|3aAART|4DMG|6RCR|7ERES|9DUST
57	15231 26621	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|259VULN|3aAART|4DMG|6RCR|7ERES|8DUST
58	15265 21322	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|249VULN|3aAART|5DMG|6RCR|7DUST|8LSRHEA
59	15265 23133	   	176.33	DCR|3VULN|2AART|1DMG	1FEWX|24aVULN|37AART|5DMG|6RCR|89ERES
60	15231 23353	   	176.28	DCR|3VULN|2AART|1DMG|1SELL	1FEWX|25aVULN|37AART|4DMG|6RCR|8LWND|9SELL
61	15231 25623	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|25aVULN|3AART|4DMG|6RCR|7BEXP|8BELT|9ZMB
62	15231 22526	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|259VULN|3AART|4DMG|6RCR|7LHND|8LSRREG|aZMB
63	46332 34232	 * 	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1AIRHEA|2CDMG|3DUR|49DMG|58aVULN|6RCR|7LIT
64	15626 22323	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|249VULN|3ZMB|5AART|6RCR|7LHND|8DMG|aDUST
65	15231 25413	   	174.75	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1FEWX|25VULN|38AART|4DMG|6RCR|7BEXP|9ASPD|aDUR
66	15231 23225	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8CGEN|9LHND|aCDMG
67	15231 23261	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8CGEN|9CDMG|aLWND
68	15231 23262	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8CGEN|9CDMG|aLIT
69	15231 23263	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8CGEN|9CDMG|aBELT
70	15231 23264	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8aCGEN|9CDMG
71	15231 23265	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8CGEN|9CDMG|aLHND
72	15231 23325	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9RMIN|aCDMG
73	15231 23335	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9MLV|aCDMG
74	15231 23365	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9CGEN|aCDMG
75	15231 23663	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	18FEWX|25VULN|37AART|4DMG|6RCR|9CDMG|aCGEN
76	15231 21425	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|38AART|4DMG|6RCR|7DUST|9RMIN|aCDMG
77	15231 21435	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|38AART|4DMG|6RCR|7DUST|9MLV|aCDMG
78	15231 22532	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|3aAART|4DMG|6RCR|7LHND|8LSRREG|9CDMG
79	15231 23125	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8ERES|9LHND|aCDMG
80	15231 23161	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8ERES|9CDMG|aLWND
81	15231 23162	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8ERES|9CDMG|aLIT
82	15231 23163	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8ERES|9CDMG|aBELT
83	15231 23164	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8ERES|9CDMG|aCGEN
84	15231 23165	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8ERES|9CDMG|aRMIN
85	15231 23245	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8CGEN|9DUST|aCDMG
86	15231 23312	 * 	174.42	DCR|2AART|2VULN|1DMG|2ASPD	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9aASPD
87	15231 23661	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	18FEWX|25VULN|37AART|4DMG|6RCR|9CDMG|aDUST
88	15231 23662	   	174.42	DCR|2AART|2VULN|1DMG|1CDMG	18FEWX|25VULN|37AART|4DMG|6RCR|9CDMG|aERES
89	15265 23312	   	174.42	DCR|2AART|2VULN|1DMG|2ASPD	1FEWX|24VULN|37AART|5DMG|6RCR|8LWND|9aASPD
90	15231 23145	   	174.32	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|37AART|4DMG|6RCR|8ERES|9DUST|aCDMG
91	15231 24532	   	174.32	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|3aAART|4DMG|6RCR|7LEGI|8LSRREG|9CDMG
92	15231 22451	   	173.95	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|25VULN|3AART|49DMG|6RCR|7aLHND|8DUR
93	15231 22452	   	173.95	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|25VULN|3AART|49DMG|6RCR|7LHND|8DUR|aRCVC
94	15231 22453	   	173.95	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|25VULN|3AART|49DMG|6RCR|7LHND|8DUR|aRPLT
95	15231 21262	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|25VULN|3AART|49DMG|6RCR|7DUST|8CGEN|aASPD
96	15231 21562	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|25VULN|3AART|49DMG|6RCR|7DUST|8MLV|aASPD
97	15231 22152	   	173.85	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|25VULN|3AART|49DMG|6RCR|7LHND|8DUST|aDUR
98	15231 22362	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|25VULN|3AART|49DMG|6RCR|7LHND|8NUKE|aASPD
99	15231 25363	   	173.85	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|25VULN|3AART|49DMG|6RCR|7BEXP|8NUKE|aDUR
100	15234 12252	   	173.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1FEWX|2VULN|3AART|4aDMG|5ZMB|6BEXP|7CDMG|8ASPD|9RCR
101	15234 12253	   	173.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2aVULN|3AART|4DMG|5ZMB|6BEXP|7CDMG|8ASPD|9RCR
102	15231 24362	   	173.75	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|25VULN|3AART|49DMG|6RCR|7LEGI|8NUKE|aASPD
103	15231 26216	   	173.75	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|25VULN|3AART|4aDMG|6RCR|7ERES|8TLV|9ASPD
