0	Index      	 *	Score 	Summary	Detail	
38	32521 11442	 * 	186.30	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2ERES|3aVULN|4RCR|5LIT|6FEWX|7aDMG|8MLV|9aCDMG|aBPWR
39	32521 31442	   	186.20	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2ERES|3aVULN|4RCR|5LIT|6DUST|7aDMG|8MLV|9aCDMG|aBPWR
40	32521 11542	   	186.20	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2ERES|3aVULN|4RCR|5LIT|6FEWX|7aDMG|8TLV|9aCDMG|aBPWR
41	32521 31542	   	186.10	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2ERES|3aVULN|4RCR|5LIT|6DUST|7aDMG|8TLV|9aCDMG|aBPWR
42	33222 56112	 * 	184.82	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2VENICY|3LIT|4569VULN|7RCR|8DMG|aASPD
43	33222 56116	   	184.82	DCR|4VULN|1AART|1DMG|1DUR	1AART|2VENICY|3LIT|4569VULN|7RCR|8DMG|aDUR
44	32522 61315	   	184.79	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|25ERES|358VULN|4RCR|5BPWR|6FEWX|7ASPD|9DMG|aCDMG
45	34125 21216	   	184.49	ACR|3DMG|2VULN|1AART	1AART|28aBEXP|3ERES|4RCR|59aDMG|6RCVC|7aVULN|aBPWR
46	33222 56632	 * 	184.30	DCR|5VULN|1AART|1CDMG	1AART|2VENICY|3LIT|4568aVULN|7RCR|9CDMG
47	31626 31315	 * 	184.09	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1AART|2FEWX|36ZMB|4RCR|5ASPD|78VULN|9DMG|aCDMG
48	31625 31335	   	184.09	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1AART|2FEWX|36ZMB|4RCR|5DMG|78VULN|9ASPD|aCDMG
49	32325 52113	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ERES|3DUR|4RCR|5aDMG|69VULN|7BELT|8ZMB
50	32525 24113	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ERES|39VULN|4RCR|5aDMG|6BELT|7DUR|8ZMB
51	32525 31343	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2ERES|38VULN|4RCR|5aDMG|6ZMB|7ASPD|9FEWX
52	32333 61346	   	183.97	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|67VULN|8CDMG|9DMG|aRCR
53	31625 21312	   	183.59	ACR|2VULN|2DMG|1AART|2ZMB	1AART|2FEWX|3aZMB|4RCR|59DMG|6RCVC|78VULN
54	31523 31315	   	183.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3ASPD|4RCR|5RCVC|6ZMB|78VULN|9DMG|aCDMG
