0	Index      	 *	Score 	Summary	Detail	
168	31533 31364	   	178.16	ACR|3VULN|2AART|1ZMB|1ASPD|1DUR	14AART|2FEWX|3ASPD|5RCR|6ZMB|789VULN|aDUR
169	32522 41212	   	178.15	ACR|3VULN|2AART|2CDMG	1aAART|258ERES|358VULN|4RCR|58BPWR|6RCVC|78CDMG|9LWND
170	32522 61323	   	178.08	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1AART|25ERES|358VULN|4RCR|5BPWR|6FEWX|7ASPD|9DUR|aDMG
171	32526 51223	   	178.08	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1AART|2ERES|367VULN|4RCR|5ASPD|8FEWX|9DUR|aDMG
172	32526 51323	   	177.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1AART|2ERES|367VULN|4RCR|5ASPD|8MBVNT|9DUR|aDMG
173	16134 32611	 * 	177.89	ACR|3DMG|2VULN|2CDMG|1DUR	1RMIN|24aDMG|3TLV|5RCR|6aCDMG|7BEXP|8DUR|9aVULN|aBPWR
174	33222 56114	   	177.88	DCR|4VULN|1AART|1DMG	1AART|2VENICY|3LIT|4569VULN|7RCR|8DMG|aLHND
175	32525 51223	   	177.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1AART|2ERES|367VULN|4RCR|5DMG|8FEWX|9RPLT|aFLTHEA
176	31425 21362	   	177.81	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2FEWX|3MLV|4RCR|5DMG|6RCVC|789VULN|aZMB
177	31625 21361	   	177.81	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2FEWX|3ZMB|4RCR|5DMG|6RCVC|789VULN|aLIT
178	31625 21363	   	177.81	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2FEWX|3ZMB|4RCR|5DMG|6RCVC|789VULN|aLWND
179	16134 33611	   	177.79	ACR|3DMG|2VULN|2CDMG|1DUR	1RMIN|24aDMG|3TLV|5RCR|6aCDMG|7DUST|8DUR|9aVULN|aBPWR
180	33222 56113	   	177.78	DCR|4VULN|1AART|1DMG	1AART|2VENICY|3LIT|4569VULN|7RCR|8DMG|aDUST
181	32525 51123	   	177.75	ACR|3VULN|1AART|1DMG|1FLTHEA	1AART|2ERES|367VULN|4RCR|5DMG|8DUST|9RPLT|aFLTHEA
182	31125 21362	   	177.71	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2FEWX|3ERES|4RCR|5DMG|6RCVC|789VULN|aZMB
183	32125 21362	   	177.71	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2ERES|3FEWX|4RCR|5DMG|6RCVC|789VULN|aZMB
184	32525 61343	   	177.65	ACR|3VULN|1AART|1DMG|1CDMG	1AART|26ERES|379VULN|4RCR|5DMG|8MBVNT|aCDMG
185	16346 31211	   	177.58	DCR|2VULN|2DMG|1AART|2CDMG	156RMIN|28DMG|38CDMG|48VULN|7AART|8BPWR|9RCR|aLHND
186	16346 31212	   	177.58	DCR|2VULN|2DMG|1AART|2CDMG	156RMIN|28DMG|38CDMG|48VULN|7AART|8BPWR|9RCR|aBEXP
187	16346 31213	   	177.58	DCR|2VULN|2DMG|1AART|2CDMG	156RMIN|28DMG|38CDMG|48VULN|7AART|8BPWR|9RCR|aMGNSTR
188	32561 23313	 * 	177.56	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1AART|2ERES|36VULN|4DMG|5CDMG|7LWND|8DUR|9RCR|aFLTHEA
189	32535 51342	   	177.52	DCR|4VULN|1AART|1DMG|1DUR	1AART|2ERES|3679VULN|4DUR|5DMG|8MBVNT|aRCR
190	32563 61412	   	177.52	DCR|4VULN|1AART|1DMG|1DUR	1AART|2ERES|3678VULN|4DMG|5MBVNT|9DUR|aRCR
191	32561 21313	   	177.46	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1AART|2ERES|36VULN|4DMG|5CDMG|7DUST|8DUR|9RCR|aFLTHEA
192	33222 56124	 * 	177.43	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2VENICY|3LIT|456VULN|7RCR|8DMG|9BEXP|aCDMG
193	33222 56353	   	177.43	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2VENICY|3LIT|456VULN|7RCR|8RPLT|9CDMG|aDMG
194	31125 52362	   	177.41	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2FEWX|3ERES|4RCR|5DMG|689VULN|7RCVC|aZMB
195	32125 52362	   	177.41	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2ERES|3FEWX|4RCR|5DMG|689VULN|7RCVC|aZMB
196	31626 31323	   	177.38	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	1AART|2FEWX|36ZMB|4RCR|5ASPD|78VULN|9DUR|aDMG
197	31625 51311	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27FEWX|3ZMB|4RCR|59DMG|68VULN|aLIT
198	31625 51313	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27FEWX|3ZMB|4RCR|59DMG|68VULN|aLWND
199	35623 26213	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2LWND|3ZMB|4RCR|5BELT|6MLV|7aDMG|89VULN
200	35625 21213	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2LWND|3ZMB|4RCR|5aDMG|6BELT|7CGEN|89VULN
201	35625 22213	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2LWND|3ZMB|4RCR|5aDMG|6BELT|7MLV|89VULN
202	45232 51213	   	177.22	ACR|2VULN|3CDMG|1AART|2DUR|1ZMB	18DUR|2BEXP|38VULN|4RCR|5RCVC|68aCDMG|7AART|8BPWR|9ZMB
203	32425 52113	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|3LWND|4RCR|5aDMG|69VULN|7BELT|8ZMB
204	32525 25113	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|39VULN|4RCR|5aDMG|6BELT|7BEXP|8ZMB
205	32525 53112	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|36VULN|4RCR|59DMG|7LHND|8DMSP|aZMB
206	32525 53212	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|36VULN|4RCR|59DMG|78LHND|aZMB
207	35125 52113	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2LWND|3ERES|4RCR|5aDMG|69VULN|7BELT|8ZMB
208	35623 16213	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2LWND|3ZMB|4RCR|5BELT|6TLV|7aDMG|89VULN
209	32522 56112	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|25ERES|35VULN|4RCR|5BPWR|6LHND|79DMG|8DMSP|aZMB
210	32522 56212	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|25ERES|35VULN|4RCR|5BPWR|68LHND|79DMG|aZMB
211	32525 61212	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1AART|26ERES|37VULN|4RCR|59DMG|8FEWX|aZMB
212	31625 31342	   	177.03	ACR|2VULN|1AART|3ZMB|1DMG	1AART|29FEWX|36aZMB|4RCR|5DMG|78VULN
213	34625 31212	   	177.03	ACR|2DMG|1AART|3ZMB|1VULN	1AART|28BEXP|36aZMB|4RCR|59DMG|7VULN
214	35625 31112	   	177.03	ACR|2DMG|1AART|3ZMB|1VULN	1AART|2LWND|36aZMB|4RCR|59DMG|7VULN|8DMSP
215	32525 61112	   	176.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|26ERES|37VULN|4RCR|59DMG|8DUST|aZMB
216	32325 56233	 * 	176.80	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|2DUR	1AART|28ERES|38DUR|4RCR|5DMG|6VULN|78CDMG|8BPWR|9DUST|aFLTHEA
217	32325 53163	 * 	176.64	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	19AART|2ERES|3DUR|4RCR|5DMG|6VULN|7FEWX|8CDMG|aFLTHEA
218	42215 47343	 * 	176.59	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2LHND|38aVULN|4MBVNT|5RCR|6DMG|79AART
219	13323 15415	   	176.56	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RMIN|27FEWX|3RCVC|4RCR|57VULN|67ZMB|7BPWR|8AART|9DMG|aCDMG
220	33222 44334	   	176.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2VENICY|3LIT|45VULN|6RCR|7DMG|89DUR|aCDMG
221	16234 11412	 * 	176.37	DCR|2VULN|2DMG|1AART|2ZMB	1RMIN|29DMG|35VULN|4ERES|6aZMB|7RCR|8AART
222	31523 31323	   	176.33	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1AART|2FEWX|3ASPD|4RCR|5RCVC|6ZMB|78VULN|9DUR|aDMG
223	31623 61323	   	176.33	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1AART|2FEWX|3ZMB|4RCR|5RCVC|6ASPD|78VULN|9DUR|aDMG
224	32522 61362	   	176.18	ACR|4VULN|1AART|1ZMB|1ASPD	1AART|25ERES|3589VULN|4RCR|5BPWR|6FEWX|7ASPD|aZMB
225	31533 31326	   	176.16	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD|1DUR	14AART|2FEWX|3ASPD|5RCR|6ZMB|78VULN|9DUR|aCDMG
226	31633 61326	   	176.16	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD|1DUR	14AART|2FEWX|3ZMB|5RCR|6ASPD|78VULN|9DUR|aCDMG
227	32325 31236	   	176.10	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	1AART|2ERES|3DUR|4RCR|5DMG|6ZMB|78ASPD|9VULN|aCDMG
228	23583 81233	   	176.04	ACR|2VULN|2DMG|1AART|1FLTHEA|1SELL	18CGEN|2MBVNT|38VULN|4RCR|5SELL|68DMG|7AART|8BPWR|9DUST|aFLTHEA
229	63543 81233	   	176.04	ACR|2VULN|2DMG|1AART|1FLTHEA|1SELL	18MLV|2MBVNT|38VULN|4RCR|5SELL|68DMG|7AART|8BPWR|9DUST|aFLTHEA
230	31626 21323	   	176.03	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1AART|2FEWX|3ZMB|4RCR|5ASPD|6RCVC|78VULN|9DUR|aDMG
231	42215 42343	   	175.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2LHND|37aVULN|4MBVNT|5RCR|6DMG|89AART
232	32333 41615	   	175.98	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|7VULN|8DMSP|9DMG|aCDMG
233	23525 81242	   	175.97	DCR|3VULN|2DMG|1AART	1CGEN|2MBVNT|345VULN|69DMG|7RCR|8LIT|aAART
234	31425 21314	   	175.68	ACR|2VULN|2DMG|1AART|1DUR	1AART|2FEWX|3MLV|4RCR|59DMG|6RCVC|78VULN|aDUR
235	31533 31311	   	175.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ASPD|5RCR|6ZMB|78VULN|9DMG|aCGEN
236	31533 31312	   	175.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ASPD|5RCR|6ZMB|78VULN|9DMG|aDMSP
237	31533 31314	   	175.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ASPD|5RCR|6ZMB|78VULN|9DMG|aLHND
238	31633 61311	   	175.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ZMB|5RCR|6ASPD|78VULN|9DMG|aCGEN
239	31633 61312	   	175.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ZMB|5RCR|6ASPD|78VULN|9DMG|aDMSP
240	31633 61314	   	175.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ZMB|5RCR|6ASPD|78VULN|9DMG|aLHND
241	31125 21314	   	175.58	ACR|2VULN|2DMG|1AART|1DUR	1AART|2FEWX|3ERES|4RCR|59DMG|6RCVC|78VULN|aDUR
242	32125 21314	   	175.58	ACR|2VULN|2DMG|1AART|1DUR	1AART|2ERES|3FEWX|4RCR|59DMG|6RCVC|78VULN|aDUR
243	31533 31313	   	175.53	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ASPD|5RCR|6ZMB|78VULN|9DMG|aTLV
244	31533 31316	   	175.53	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ASPD|5RCR|6ZMB|78VULN|9DMG|aERES
245	31633 61313	   	175.53	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ZMB|5RCR|6ASPD|78VULN|9DMG|aTLV
246	31633 61316	   	175.53	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2FEWX|3ZMB|5RCR|6ASPD|78VULN|9DMG|aERES
247	31133 41364	   	175.51	DCR|3VULN|2AART|1ZMB|1DUR	14AART|2FEWX|3ERES|5ZMB|6RCR|789VULN|aDUR
248	32133 41364	   	175.51	DCR|3VULN|2AART|1ZMB|1DUR	14AART|2ERES|3FEWX|5ZMB|6RCR|789VULN|aDUR
249	32523 41225	   	175.42	ACR|3VULN|1AART|3CDMG	1AART|28ERES|389VULN|4RCR|56RCVC|78aCDMG|8BPWR
250	31125 52314	   	175.28	ACR|2VULN|2DMG|1AART|1DUR	1AART|2FEWX|3ERES|4RCR|59DMG|68VULN|7RCVC|aDUR
251	32125 52314	   	175.28	ACR|2VULN|2DMG|1AART|1DUR	1AART|2ERES|3FEWX|4RCR|59DMG|68VULN|7RCVC|aDUR
252	16233 13661	 * 	175.23	DCR|3VULN|2DMG|2CDMG	1RMIN|2aDMG|38aVULN|4ERES|5MBVNT|6RCR|7LWND|9aCDMG|aBPWR
253	16233 14661	   	175.23	DCR|3VULN|2DMG|2CDMG	1RMIN|2aDMG|38aVULN|4ERES|5MBVNT|6RCR|7LHND|9aCDMG|aBPWR
254	23522 81513	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	15CGEN|2MBVNT|34VULN|69DMG|7RCR|8AART|aCDMG
255	32525 51321	   	175.10	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2ERES|367VULN|4RCR|5DMG|8MBVNT|9ZMB|aCGEN
256	32525 51322	   	175.10	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2ERES|367VULN|4RCR|5DMG|8MBVNT|9ZMB|aDMSP
257	32525 51324	   	175.10	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2ERES|367VULN|4RCR|5DMG|8MBVNT|9ZMB|aMGNSTR
258	31533 31362	 * 	175.08	ACR|3VULN|2AART|2ZMB|1ASPD	14AART|2FEWX|3ASPD|5RCR|6aZMB|789VULN
259	31633 61362	   	175.08	ACR|3VULN|2AART|2ZMB|1ASPD	14AART|2FEWX|3aZMB|5RCR|6ASPD|789VULN
260	32525 51323	   	175.00	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2ERES|367VULN|4RCR|5DMG|8MBVNT|9ZMB|aTLV
261	31625 31326	 * 	174.95	ACR|2AART|2VULN|1DMG|2ZMB	1aAART|2FEWX|36ZMB|4RCR|5DMG|78VULN|9RPLT
262	32563 34712	   	174.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2ERES|3aVULN|4DMG|5MBVNT|6ZMB|7CDMG|8DUR|9RCR
263	33222 56123	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2VENICY|3LIT|456VULN|7RCR|8DMG|9BEXP|aZMB
264	33222 56335	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2VENICY|3LIT|456VULN|7RCR|8RPLT|9ZMB|aDMG
265	32561 22336	   	174.77	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|2ERES|36VULN|4DMG|57CDMG|8DUR|9ASPD|aRCR
266	32653 11413	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|3aMLV|4CDMG|5CGEN|6aDMG|7DUST|8aVULN|9RCR|aBPWR
267	16254 13133	 * 	174.66	DCR|3VULN|2DMG|2ZMB|1DUR	1RMIN|2aDMG|358VULN|46ZMB|7RCR|9DUR
268	44213 41216	   	174.65	DCR|3VULN|1AART|2CDMG|2DUR|1ASPD	18DUR|2FEWX|368VULN|4MBVNT|58CDMG|7AART|8BPWR|9RCR|aASPD
269	31325 31332	   	174.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2FEWX|389VULN|4CGEN|5DMG|6ZMB|7ASPD|aRCR
270	31345 31332	   	174.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2FEWX|389VULN|4MLV|5DMG|6ZMB|7ASPD|aRCR
271	32525 23611	 * 	174.55	ACR|2VULN|1AART|3CDMG|1DMG	1AART|2ERES|38VULN|4RCR|5DMG|6BELT|79aCDMG
272	23825 41118	   	174.44	ACR|3VULN|2DMG|1AART|1SELL	17CGEN|2MBVNT|3DUST|47aVULN|5RCR|67DMG|7BPWR|8SELL|9AART
273	45231 51213	   	174.42	ACR|2VULN|3CDMG|1AART|2DUR|1ZMB	18DUR|25BEXP|38VULN|4RCR|68aCDMG|7AART|8BPWR|9ZMB
274	31623 36513	   	174.33	ACR|3DMG|1AART|2ZMB|2DUR	1AART|2aFEWX|36ZMB|4RCR|5RCVC|79aDMG|8aDUR|aBPWR
275	32522 33111	   	174.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|258ERES|35VULN|4RCR|58BPWR|68CANHEL|78DUR|9DMG|aCDMG
276	34325 51312	   	174.17	DCR|3VULN|2DMG|1AART	1AART|2BEXP|367VULN|4CGEN|59DMG|8MBVNT|aRCR
277	35325 51312	   	174.17	DCR|3VULN|2DMG|1AART	1AART|2LWND|367VULN|4CGEN|59DMG|8MBVNT|aRCR
278	16222 65232	 * 	174.12	DCR|3VULN|3DMG	1RMIN|279DMG|37aVULN|479BEXP|5RCVC|6RCR|79BPWR|89LIT
279	32515 51312	   	174.07	DCR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|4LHND|59DMG|8MBVNT|aRCR
280	32563 61212	   	174.07	DCR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|49DMG|5MBVNT|8FEWX|aRCR
281	23525 82412	   	174.02	DCR|4VULN|1AART|1DMG|1DUR	1CGEN|2MBVNT|3458VULN|6DMG|7AART|9DUR|aRCR
282	23514 54213	 * 	174.00	DCR|4VULN|2DMG|1DUR	1aCGEN|2MBVNT|368aVULN|4LIT|5DUR|7RCR|9aDMG|aBPWR
283	32525 36223	   	174.00	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1aAART|2ERES|3VULN|4RCR|5DMG|6ZMB|7CDMG|8RPLT|9ASPD
284	23825 41414	   	173.99	ACR|3VULN|2DMG|1AART	17CGEN|2MBVNT|3DUST|478VULN|5RCR|67DMG|7BPWR|9CANSTR|aAART
285	42215 42345	   	173.98	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2LHND|37VULN|4MBVNT|5RCR|6DMG|89AART|aCDMG
286	32563 61112	   	173.97	DCR|3VULN|2DMG|1AART	1AART|2ERES|367VULN|49DMG|5MBVNT|8DUST|aRCR
287	26361 26313	 * 	173.96	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1CGEN|25DMG|3CDMG|4VULN|6DUST|7AART|8DUR|9RCR|aFLTHEA
288	16222 65333	   	173.92	DCR|3VULN|3DMG	1RMIN|27aDMG|379VULN|47BEXP|5RCVC|6RCR|7BPWR|8CGEN
289	33222 42632	   	173.87	DCR|4VULN|1AART|1CDMG	1AART|2VENICY|37LIT|458aVULN|6RCR|9CDMG
290	32541 51212	   	173.80	DCR|4VULN|2AART|1DUR	17AART|2ERES|3569VULN|4DMSP|8RCR|aDUR
291	32541 61212	   	173.80	DCR|4VULN|2AART|1DUR	17AART|26ERES|3569VULN|4DMSP|6BPWR|8RCR|aDUR
292	32523 41236	   	173.79	ACR|2VULN|1AART|1DMG|2CDMG	1AART|28ERES|38VULN|4RCR|56RCVC|78CDMG|8BPWR|9DMSP|aDMG
293	32522 11623	   	173.77	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	18AART|25ERES|35VULN|4RCR|5BPWR|6LEGI|7ASPD|9DUR|aDMG
294	33222 44333	   	173.76	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1AART|2VENICY|3LIT|45VULN|6RCR|7DMG|89DUR|aZMB
295	23825 41531	   	173.68	ACR|3VULN|3DMG|1ASPD	1789CGEN|2MBVNT|3DUST|479VULN|5RCR|679DMG|79BPWR|aASPD
296	32525 52121	   	173.64	ACR|2AART|2VULN|1DMG|1CDMG	1aAART|2ERES|36VULN|4RCR|5DMG|7RPLT|8LIT|9CDMG
297	31125 21364	   	173.64	ACR|3VULN|1AART|1DMG|1DUR	1AART|2FEWX|3ERES|4RCR|5DMG|6RCVC|789VULN|aDUR
298	32125 21364	   	173.64	ACR|3VULN|1AART|1DMG|1DUR	1AART|2ERES|3FEWX|4RCR|5DMG|6RCVC|789VULN|aDUR
299	31433 41326	   	173.60	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	14AART|2FEWX|3MLV|5ZMB|6RCR|78VULN|9DUR|aCDMG
300	31625 21326	   	173.60	ACR|2AART|2VULN|1DMG|1ZMB	1aAART|2FEWX|3ZMB|4RCR|5DMG|6RCVC|78VULN|9RPLT
301	31626 51323	   	173.53	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1AART|27FEWX|3ZMB|4RCR|5ASPD|68VULN|9DUR|aDMG
302	32333 41336	   	173.50	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9FEWX|aCDMG
303	31133 41326	   	173.50	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	14AART|2FEWX|3ERES|5ZMB|6RCR|78VULN|9DUR|aCDMG
304	32133 41326	   	173.50	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	14AART|2ERES|3FEWX|5ZMB|6RCR|78VULN|9DUR|aCDMG
305	32323 65113	   	173.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1AART|2ERES|3DUR|4RCR|5BELT|69VULN|7ASPD|8ZMB|aDMG
306	32326 52113	   	173.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1AART|2ERES|3DUR|4RCR|5ASPD|69VULN|7BELT|8ZMB|aDMG
307	32526 24113	   	173.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1AART|2ERES|39VULN|4RCR|5ASPD|6BELT|7DUR|8ZMB|aDMG
308	32333 41356	   	173.40	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9DUST|aCDMG
309	32525 33613	   	173.33	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1AART|29ERES|3VULN|4RCR|5aDMG|6ZMB|7DUR|8ASPD
310	31533 31435	 * 	173.27	ACR|2AART|2VULN|2ZMB|1CDMG|1ASPD	14AART|29FEWX|3ASPD|5RCR|69ZMB|79VULN|8RMIN|9BPWR|aCDMG
311	32532 46312	   	173.25	DCR|2VULN|2DMG|1AART|2DUR	1AART|2ERES|35VULN|45DUR|5BPWR|6RCVC|79DMG|8MBVNT|aRCR
312	23522 81543	   	173.23	DCR|3VULN|1AART|1DMG|1CDMG	15CGEN|2MBVNT|349VULN|6DMG|7RCR|8AART|aCDMG
313	31625 61233	   	173.20	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2FEWX|3ZMB|4RCR|5aDMG|6CGEN|78ASPD|9VULN
314	32425 53132	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ERES|3LWND|4RCR|5DMG|6aVULN|7FEWX|8CDMG|9ZMB
315	35125 53132	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2LWND|3ERES|4RCR|5DMG|6aVULN|7FEWX|8CDMG|9ZMB
316	31425 31233	   	173.20	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2FEWX|3MLV|4RCR|5aDMG|6ZMB|78ASPD|9VULN
317	31622 14243	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2FEWX|3ZMB|4RCR|5AIRHEL|6LWND|7CDMG|8DMG|9aVULN
318	34425 31233	   	173.20	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2BEXP|3MLV|4RCR|5aDMG|6ZMB|78ASPD|9VULN
319	33222 42112	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2VENICY|37LIT|459VULN|6RCR|8DMG|aASPD
320	33222 42116	   	173.12	DCR|3VULN|1AART|1DMG|1DUR	1AART|2VENICY|37LIT|459VULN|6RCR|8DMG|aDUR
321	31125 31233	   	173.10	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2FEWX|3ERES|4RCR|5aDMG|6ZMB|78ASPD|9VULN
322	31622 24243	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2FEWX|3ZMB|4RCR|5AIRHEL|6LEGI|7CDMG|8DMG|9aVULN
323	32125 31233	   	173.10	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2ERES|3FEWX|4RCR|5aDMG|6ZMB|78ASPD|9VULN
324	32425 31323	   	173.10	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2ERES|3LWND|4RCR|5aDMG|6ZMB|79ASPD|8VULN
325	32525 31223	   	173.10	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2ERES|3VULN|4RCR|5aDMG|6ZMB|79ASPD|8BEXP
326	34125 31233	   	173.10	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2BEXP|3ERES|4RCR|5aDMG|6ZMB|78ASPD|9VULN
327	35125 31323	   	173.10	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1AART|2LWND|3ERES|4RCR|5aDMG|6ZMB|79ASPD|8VULN
328	32525 31361	   	173.10	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1AART|2ERES|38VULN|4RCR|5DMG|6ZMB|79ASPD|aLIT
329	32525 31362	   	173.10	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1AART|2ERES|38VULN|4RCR|5DMG|6ZMB|79ASPD|aRMIN
330	31433 41311	   	173.08	DCR|2AART|2VULN|1DMG|1ZMB	14AART|2FEWX|3MLV|5ZMB|6RCR|78VULN|9DMG|aCGEN
331	31433 41312	   	173.08	DCR|2AART|2VULN|1DMG|1ZMB	14AART|2FEWX|3MLV|5ZMB|6RCR|78VULN|9DMG|aDMSP
332	31433 41314	   	173.08	DCR|2AART|2VULN|1DMG|1ZMB	14AART|2FEWX|3MLV|5ZMB|6RCR|78VULN|9DMG|aLHND
333	32325 52433	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1AART|2ERES|3DUR|4RCR|5aDMG|68VULN|7BELT|9MLV
334	32325 52613	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1AART|2ERES|3DUR|4RCR|5aDMG|69VULN|7BELT|8MLV
335	33222 44315	   	173.02	DCR|3VULN|1AART|1DMG|1DUR	1AART|2VENICY|3LIT|45aVULN|6RCR|7DMG|8DUR|9ERES
