0	Index      	 *	Score 	Summary	Detail	
40	26122 31241	   	274.70	DCR|3VULN|2MLV|2ASPD|1CDMG	19ASPD|24MLV|348VULN|4BPWR|5RPLT|6RCR|7DUR|aCDMG
41	23522 33251	   	274.69	DCR|3VULN|2DMG|2ASPD|1MLV	19ASPD|248VULN|34DMG|4BPWR|5RPLT|6RCR|7MLV|aERES
42	23522 33253	   	274.69	DCR|3VULN|2DMG|2ASPD|1MLV	19ASPD|248VULN|34DMG|4BPWR|5RPLT|6RCR|7MLV|aAME
43	23522 33254	   	274.69	DCR|3VULN|2DMG|2ASPD|1MLV	19ASPD|248VULN|34DMG|4BPWR|5RPLT|6RCR|7MLV|aDUST
44	23522 32112	   	274.61	DCR|4VULN|2DMG|1ASPD	1ASPD|2479VULN|34DMG|4BPWR|5RPLT|6RCR|8AART|aLHND
45	23522 32115	   	274.61	DCR|4VULN|2DMG|1ASPD	1ASPD|2479VULN|34DMG|4BPWR|5RPLT|6RCR|8AART|aBEXP
46	23522 32116	   	274.61	DCR|4VULN|2DMG|1ASPD	1ASPD|2479VULN|34DMG|4BPWR|5RPLT|6RCR|8AART|aLIT
47	23522 32152	   	274.61	DCR|4VULN|2DMG|1ASPD	1ASPD|247aVULN|34DMG|4BPWR|5RPLT|6RCR|8AART|9AAC
48	23522 32111	   	274.51	DCR|4VULN|2DMG|1ASPD	1ASPD|2479VULN|34DMG|4BPWR|5RPLT|6RCR|8AART|aMULHEA
49	23522 32113	   	274.51	DCR|4VULN|2DMG|1ASPD	1ASPD|2479VULN|34DMG|4BPWR|5RPLT|6RCR|8AART|aAME
50	23522 32114	   	274.51	DCR|4VULN|2DMG|1ASPD	1ASPD|2479VULN|34DMG|4BPWR|5RPLT|6RCR|8AART|aERES
51	26122 33451	   	274.42	DCR|3VULN|3MLV|1DMG|1ASPD	1ASPD|247MLV|349VULN|4BPWR|5RPLT|6RCR|8BEXP|aDMG
52	26122 33561	   	274.42	DCR|3VULN|3MLV|1DMG|1ASPD	1ASPD|247MLV|349VULN|4BPWR|5RPLT|6RCR|8FEWX|aDMG
53	26122 33661	   	274.32	DCR|3VULN|3MLV|1DMG|1ASPD	1ASPD|247MLV|349VULN|4BPWR|5RPLT|6RCR|8LEGI|aDMG
54	61162 32532	   	274.27	ACR|DCR|3VULN|1MLV|1CDMG	123VULN|2BPWR|49RCR|5DMSP|6MDPS|7AAC|8MLV|aCDMG
55	53522 33253	   	274.03	DCR|4VULN|2DMG|1MLV|2RPLT	1CGEN|2489VULN|34DMG|4BPWR|5aRPLT|6RCR|7MLV
56	23522 31451	   	273.26	DCR|4VULN|2DMG|1ASPD	1ASPD|248aVULN|34DMG|4BPWR|5RPLT|6RCR|7DUR|9CGEN
57	53522 31241	   	273.26	DCR|4VULN|2DMG|1ASPD	1CGEN|248aVULN|34DMG|4BPWR|5RPLT|6RCR|7DUR|9ASPD
58	23521 11632	   	273.16	DCR|4VULN|2DMG|1ASPD	1ASPD|2467VULN|34DMG|4BPWR|5BASARM|8DUR|9RCR|aRPLT
59	23523 11632	   	273.16	DCR|4VULN|2DMG|1ASPD	1ASPD|2467VULN|34DMG|4BPWR|5CANSTR|8DUR|9RCR|aRPLT
60	23524 11632	   	273.16	DCR|4VULN|2DMG|1ASPD	1ASPD|2467VULN|34DMG|4BPWR|5SNITOX|8DUR|9RCR|aRPLT
61	26123 12232	   	273.09	DCR|4VULN|2MLV|2ASPD	17ASPD|24MLV|3467VULN|47BPWR|57FRZARM|8FEWX|9RCR|aRPLT
62	26121 12232	   	272.89	DCR|4VULN|2MLV|2ASPD	17ASPD|24MLV|3467VULN|47BPWR|57CANTOX|8FEWX|9RCR|aRPLT
63	26124 12232	   	272.89	DCR|4VULN|2MLV|2ASPD	17ASPD|24MLV|3467VULN|47BPWR|57CANARM|8FEWX|9RCR|aRPLT
64	26323 33261	   	272.89	DCR|4VULN|2MLV|2ASPD	19ASPD|29MLV|3ERES|4LHND|5RPLT|6RCR|789aVULN|9BPWR
65	26333 33261	   	272.89	DCR|4VULN|2MLV|2ASPD	19ASPD|29MLV|3ERES|4LWND|5RPLT|6RCR|789aVULN|9BPWR
66	26341 33261	   	272.89	DCR|4VULN|2MLV|2ASPD	19ASPD|29MLV|3ERES|4RPLT|5LWND|6RCR|789aVULN|9BPWR
