0	Index      	 *	Score 	Summary	Detail	
160	45522 11313	 * 	154.22	DCR|2AART|1VULN|1DMG|2DUR	14DUR|2BASICY|3DMG|5aAART|6RCR|7LHND|8LIT|9VULN
161	45522 13113	   	154.22	DCR|2AART|1VULN|1DMG|2DUR	14DUR|2BASICY|3DMG|5aAART|6RCR|7LIT|8BEXP|9VULN
162	43233 22421	 * 	154.20	DCR|4VULN|2ZMB|2DUR	19DUR|29ZMB|3FEWX|4BEXP|5RMIN|679aVULN|8RCR|9BPWR
163	41311 34236	 * 	154.15	ACR|2AART|1VULN|3ASPD|1ZMB|1DUR	1DUR|246ASPD|36ERES|5RCR|6BPWR|78AART|9VULN|aZMB
164	43123 22421	   	154.10	DCR|4VULN|2ZMB|2DUR	19DUR|29ZMB|3DUST|4FEWX|5RMIN|679aVULN|8RCR|9BPWR
165	22351 31121	   	154.08	ACR|2DMG|1AART|1VULN|2DUR	1RCVC|2aDUR|36DMG|467ERES|5RCR|6BPWR|8AART|9VULN
166	46351 31121	   	154.08	ACR|2DMG|1AART|1VULN|2DUR	1aDUR|2DMSP|36DMG|467ERES|5RCR|6BPWR|8AART|9VULN
167	21123 51627	 * 	154.03	DCR|3VULN|1DMG|3DUR	1RCVC|289BEXP|3LHND|489VULN|589DUR|6RCR|7MBVNT|89BPWR|aDMG
168	42123 63533	   	154.02	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	14DUR|2DUST|3LHND|5AART|6VULN|7RCR|8RCVC|9DMG|aCDMG
169	42323 63533	   	154.02	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	14DUR|2DUST|3LWND|5AART|6VULN|7RCR|8RCVC|9DMG|aCDMG
170	14441 13131	   	154.02	DCR|2DMG|1AART|1CDMG|1ZMB	12CGEN|3AART|4aDMG|5CDMG|6RCR|7ZMB|8RMIN|9LIT
171	25441 13131	   	154.02	DCR|2DMG|1AART|1CDMG|1ZMB	1RCVC|2MLV|3AART|4aDMG|5CDMG|6RCR|7ZMB|8RMIN|9LIT
172	51234 13334	   	153.97	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	13FEWX|2ASPD|4AART|5RPLT|6VULN|7DMG|8RCR|9DUR|aCDMG
173	45522 11223	 * 	153.95	DCR|2DMG|1AART|1CDMG|2DUR	14DUR|2BASICY|39DMG|5AART|6RCR|7LHND|8LWND|aCDMG
174	11613 12264	   	153.91	ACR|2AART|2VULN|1DUR|1ASPD	1aCGEN|2BEXP|3RCR|4aERES|57AART|6ASPD|8DUR|9aVULN|aBPWR
175	13545 43314	   	153.90	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	19CGEN|2SELL|3aVULN|4MBVNT|5RCR|6AART|7DMG|8ZMB
176	13545 43321	   	153.90	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1CGEN|2SELL|39VULN|4MBVNT|5RCR|6AART|7DMG|8ZMB|aLWND
177	13545 43322	   	153.90	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1aCGEN|2SELL|39VULN|4MBVNT|5RCR|6AART|7DMG|8ZMB
178	13545 43323	   	153.90	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1CGEN|2SELL|39VULN|4MBVNT|5RCR|6AART|7DMG|8ZMB|aRMIN
179	13545 43334	   	153.90	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1CGEN|2SELL|3aVULN|4MBVNT|5RCR|6AART|7DMG|8ZMB|9RCVC
180	23651 23352	   	153.89	ACR|2VULN|2AART|1DMG	1RCVC|2NUKE|36VULN|4ERES|5RCR|79AART|8DMG|aLHND
181	21351 63352	   	153.89	ACR|2DMG|2AART|1VULN	1RCVC|2BEXP|38DMG|46ERES|5RCR|79AART|aVULN
182	23651 23121	   	153.89	ACR|2VULN|2AART|1DMG	1RCVC|2NUKE|36VULN|4ERES|5RCR|79AART|8LHND|aDMG
183	11213 54113	   	153.86	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3FEWX|4ERES|5DUR|6RCR|7AART|89VULN|aDMG
184	16213 54113	   	153.86	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2FEWX|3BEXP|4ERES|5DUR|6RCR|7AART|89VULN|aDMG
185	42333 54113	   	153.86	DCR|2VULN|1AART|1DMG|1DUR	1DUR|2DUST|3LWND|45BEXP|6RCR|7AART|89VULN|aDMG
186	45322 12522	   	153.77	DCR|1AART|1VULN|1DMG|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7aCGEN|8DMG|9VULN
187	45322 15212	   	153.77	DCR|1AART|1VULN|1DMG|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7MLV|8VULN|9DMG|aCGEN
188	11115 54113	   	153.76	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3DUST|4ERES|5DUR|6RCR|7AART|89VULN|aDMG
189	16113 54113	   	153.76	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2FEWX|3DUST|4ERES|5DUR|6RCR|7AART|89VULN|aDMG
190	61213 54113	   	153.76	DCR|2VULN|1AART|1DMG|1DUR	1TLV|2BEXP|3FEWX|4ERES|5DUR|6RCR|7AART|89VULN|aDMG
191	45322 12225	   	153.67	DCR|1AART|1VULN|1DMG|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7CGEN|8TLV|9VULN|aDMG
192	45322 12521	   	153.67	DCR|1AART|1VULN|1DMG|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7CGEN|8DMG|9VULN|aDUST
193	45322 15211	   	153.67	DCR|1AART|1VULN|1DMG|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7MLV|8VULN|9DMG|aDUST
194	51231 36623	 * 	153.64	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	13FEWX|27ASPD|4AART|5VULN|6DMG|8RCR|9DMSP|aCDMG
195	22231 33454	 * 	153.61	DCR|3VULN|1AART|1FLTHEA|1DUR	1RCVC|2DUR|3CGEN|4BEXP|568VULN|7AART|9FLTHEA|aRCR
196	22351 11134	   	153.58	ACR|2VULN|1AART|1DMG|2DUR	1RCVC|2aDUR|3DMG|4aERES|5RCR|6LWND|7TLV|8aVULN|9AART|aBPWR
197	22211 31532	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1RCVC|2DUR|3CGEN|4LWND|567VULN|8RCR|9CDMG|aDMG
198	22221 31532	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1RCVC|2DUR|3CGEN|4FEWX|567VULN|8RCR|9CDMG|aDMG
199	46211 31532	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1DUR|2DMSP|3CGEN|4LWND|567VULN|8RCR|9CDMG|aDMG
200	46221 31532	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1DUR|2DMSP|3CGEN|4FEWX|567VULN|8RCR|9CDMG|aDMG
201	21351 33413	   	153.45	ACR|2DMG|1AART|1VULN|1ZMB	1RCVC|2BEXP|36DMG|46ERES|5RCR|6BPWR|7AART|8VULN|9DLOT|aZMB
202	43622 42331	   	153.37	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|2ZMB|3SELL|4RCVC|5CGEN|6RCR|79VULN|8CDMG|aDMG
203	22261 31532	   	153.37	DCR|3VULN|1DMG|1CDMG|1DUR	1RCVC|2DUR|3CGEN|4DUST|567VULN|8RCR|9CDMG|aDMG
204	43511 43312	   	153.35	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|37CGEN|4ASPD|58VULN|6CDMG|9RCR|aDMG
205	22314 32524	 * 	153.33	DCR|2VULN|1DMG|3DUR|1CDMG|1ZMB	1RCVC|289DUR|3DMG|49LWND|5ZMB|6CDMG|79VULN|9BPWR|aRCR
206	22133 63123	   	153.29	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|68VULN|7RCR|9ASPD|aCDMG
207	22133 63343	   	153.29	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|69VULN|7RCR|8ASPD|aCDMG
208	46133 63123	   	153.29	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2DMSP|3LHND|4BEXP|5AART|68VULN|7RCR|9ASPD|aCDMG
209	22343 42432	   	153.24	DCR|2VULN|2DMG|1ASPD|1DUR|1SELL	1RCVC|2DUR|3aDMG|4ASPD|5SELL|6RCR|79VULN|8CGEN
210	53231 22563	   	153.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	13FEWX|2ZMB|4AART|5VULN|6DMG|7DUR|8LHND|9CDMG|aRCR
211	16621 11362	   	153.18	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|24FEWX|3RCR|5aVULN|6BEXP|7DUR|8DMG|9AART
212	42211 31532	   	153.17	DCR|3VULN|1DMG|1CDMG|1DUR	1DUR|2DUST|34ERES|567VULN|8RCR|9CDMG|aDMG
213	16612 34321	   	153.08	ACR|2VULN|1AART|1DMG|1ASPD	1CGEN|2FEWX|3RCR|4ERES|58VULN|6ASPD|7DMG|9AART|aMLV
214	16613 32263	   	153.08	ACR|2VULN|1AART|1DMG|1DUR	1CGEN|2FEWX|3RCR|4ERES|5DUR|6LWND|78VULN|9AART|aDMG
215	11262 43122	   	153.00	DCR|2VULN|2DMG|1CDMG|1ASPD	1CGEN|2BEXP|3FEWX|4ASPD|58VULN|6CDMG|7aDMG|9RCR
216	16262 43122	   	153.00	DCR|2VULN|2DMG|1CDMG|1ASPD	1CGEN|2FEWX|3BEXP|4ASPD|58VULN|6CDMG|7aDMG|9RCR
217	21321 45352	   	153.00	DCR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2BEXP|3aDMG|4FEWX|58VULN|6CDMG|7DUR|9RCR
218	22331 46352	   	153.00	DCR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2DUR|3aDMG|4BEXP|58VULN|6CDMG|7FEWX|9RCR
219	22331 55352	   	153.00	DCR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2DUR|3aDMG|4BEXP|58VULN|6FEWX|7CDMG|9RCR
220	16612 34322	   	152.98	ACR|2VULN|1AART|1DMG|1ASPD	1CGEN|2FEWX|3RCR|4ERES|58VULN|6ASPD|7DMG|9AART|aDUST
221	16612 34323	   	152.98	ACR|2VULN|1AART|1DMG|1ASPD	1CGEN|2FEWX|3RCR|4ERES|58VULN|6ASPD|7DMG|9AART|aTLV
222	23523 63363	   	152.98	DCR|3VULN|1AART|1DMG	1RCVC|2NUKE|3LIT|489VULN|5DMG|6LHND|7AART|aRCR
223	16162 43122	   	152.90	DCR|2VULN|2DMG|1CDMG|1ASPD	1CGEN|2FEWX|3DUST|4ASPD|58VULN|6CDMG|7aDMG|9RCR
224	51522 43122	   	152.90	DCR|2VULN|2DMG|1CDMG|1ASPD	1FEWX|2ASPD|3CGEN|4DUST|58VULN|6CDMG|7aDMG|9RCR
225	41233 22421	 * 	152.90	DCR|4VULN|2ASPD|2DUR	19DUR|29ASPD|3FEWX|4BEXP|5RMIN|679aVULN|8RCR|9BPWR
226	56331 33523	   	152.88	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2DMSP|36DMG|4AART|5VULN|7LWND|8CDMG|9CGEN|aRCR
227	51112 43122	   	152.80	DCR|2VULN|2DMG|1CDMG|1ASPD	1FEWX|2ASPD|3DUST|4ERES|58VULN|6CDMG|7aDMG|9RCR
228	41123 22421	   	152.80	DCR|4VULN|2ASPD|2DUR	19DUR|29ASPD|3DUST|4FEWX|5RMIN|679aVULN|8RCR|9BPWR
229	16662 23223	 * 	152.78	ACR|2VULN|1AART|2ASPD|1CDMG	1CGEN|2FEWX|3RCR|49ASPD|56VULN|7LWND|8CDMG|aAART
230	56331 33533	   	152.78	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2DMSP|36DMG|4AART|5VULN|7LWND|8CDMG|9TLV|aRCR
231	22133 63136	   	152.76	DCR|2VULN|1AART|1DMG|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|68VULN|7RCR|9DMG|aBELT
232	22133 63155	   	152.76	DCR|2VULN|1AART|1DMG|1DUR	1RCVC|2DUR|3LHND|49BEXP|5AART|68VULN|7RCR|aDMG
233	22121 53362	   	152.76	DCR|2VULN|1AART|1DMG|1DUR	1RCVC|2DUR|3LHND|4aVULN|5FEWX|6RCR|7RMIN|8DMG|9AART
234	42121 54111	   	152.74	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LHND|5FEWX|6RCR|7AART|89VULN|aCDMG
235	42133 54111	   	152.74	DCR|2VULN|1AART|1CDMG|2DUR	15DUR|2DUST|3LHND|4BEXP|6RCR|7AART|89VULN|aCDMG
236	42321 54111	   	152.74	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LWND|5FEWX|6RCR|7AART|89VULN|aCDMG
237	42326 53111	   	152.74	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LWND|5LHND|6RCR|7AART|89VULN|aCDMG
238	52123 54111	   	152.74	DCR|2VULN|1AART|1CDMG|2DUR	1FEWX|2DUST|3LHND|45DUR|6RCR|7AART|89VULN|aCDMG
239	11665 33232	   	152.71	ACR|2VULN|2AART|1ASPD|1DUR	1CGEN|2BEXP|3RCR|4ASPD|5DUR|6LHND|78AART|9aVULN
240	53511 42232	   	152.67	DCR|2VULN|1DMG|2ZMB|1CDMG|1ASPD	1FEWX|27ZMB|3CGEN|4ASPD|59VULN|6CDMG|8RCR|aDMG
241	22133 63131	   	152.66	DCR|2VULN|1AART|1DMG|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|68VULN|7RCR|9DMG|aDLOT
242	22133 63134	   	152.66	DCR|2VULN|1AART|1DMG|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|68VULN|7RCR|9DMG|aAIRHEA
243	22133 63135	   	152.66	DCR|2VULN|1AART|1DMG|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|68VULN|7RCR|9DMG|aDUST
244	46133 63131	   	152.66	DCR|2VULN|1AART|1DMG|1DUR	1DUR|2DMSP|3LHND|4BEXP|5AART|68VULN|7RCR|9DMG|aDLOT
245	25144 44634	 * 	152.63	DCR|3VULN|1DMG|2ZMB	1RCVC|28MLV|3RPLT|4MBVNT|58ZMB|6RCR|789VULN|8BPWR|aDMG
246	11113 23113	   	152.56	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2BEXP|3DUST|4ERES|5AART|6DUR|7RCR|89VULN|aDMG
247	64363 23113	   	152.56	DCR|2VULN|1AART|1DMG|1DUR	1TLV|2CGEN|3DUST|4BEXP|5AART|6DUR|7RCR|89VULN|aDMG
248	43363 41313	   	152.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3ERES|4BEXP|5AART|6CDMG|7VULN|8DMG|9CGEN|aRCR
249	61113 23113	   	152.46	DCR|2VULN|1AART|1DMG|1DUR	1TLV|2BEXP|3DUST|4ERES|5AART|6DUR|7RCR|89VULN|aDMG
250	43212 23461	   	152.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3FEWX|4ERES|56VULN|7LWND|8RCR|9AART|aCDMG
251	14441 11233	   	152.43	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD	12CGEN|3AART|4DMG|5CDMG|6RCR|7RMIN|8ASPD|9LIT|aVULN
252	25441 11233	   	152.43	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD	1RCVC|2MLV|3AART|4DMG|5CDMG|6RCR|7RMIN|8ASPD|9LIT|aVULN
253	21361 22515	 * 	152.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1RCVC|2BEXP|3DMG|4DUST|5VULN|67AART|8CDMG|9DUR|aRCR
254	25561 22111	   	152.35	ACR|2VULN|1AART|1DMG|1ZMB	1RCVC|2MLV|3CGEN|46VULN|5RCR|7ZMB|8ERES|9AART|aDMG
255	14441 12213	   	152.33	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD	12CGEN|3AART|4DMG|5CDMG|6RCR|7RCVC|8ASPD|9DUST|aVULN
256	14441 12233	   	152.33	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD	12CGEN|3AART|4DMG|5CDMG|6RCR|7RCVC|8ASPD|9LEGI|aVULN
257	25441 12213	   	152.33	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD	17RCVC|2MLV|3AART|4DMG|5CDMG|6RCR|8ASPD|9DUST|aVULN
258	25441 12233	   	152.33	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD	17RCVC|2MLV|3AART|4DMG|5CDMG|6RCR|8ASPD|9LEGI|aVULN
259	22121 52232	 * 	152.30	DCR|4VULN|1CDMG|1DUR	1RCVC|2DUR|3LHND|479aVULN|5FEWX|6RCR|8CDMG
260	46121 52232	   	152.30	DCR|4VULN|1CDMG|1DUR	1DUR|2DMSP|3LHND|479aVULN|5FEWX|6RCR|8CDMG
261	56123 52232	   	152.30	DCR|4VULN|1CDMG|1DUR	1FEWX|2DMSP|3LHND|479aVULN|5DUR|6RCR|8CDMG
262	64261 22111	   	152.25	ACR|2VULN|1AART|1DMG|1ZMB	1TLV|23CGEN|46VULN|5RCR|7ZMB|8ERES|9AART|aDMG
263	11113 41323	   	152.08	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2BEXP|3DUST|4ERES|5AART|6CDMG|79VULN|8DMG|aRCR
264	22121 53321	   	152.04	DCR|2VULN|2DMG|2DUR	1RCVC|29DUR|39LHND|4aVULN|5FEWX|6RCR|7RMIN|89DMG|9BPWR
265	46121 53321	   	152.04	DCR|2VULN|2DMG|2DUR	19DUR|2DMSP|39LHND|4aVULN|5FEWX|6RCR|7RMIN|89DMG|9BPWR
266	22321 42324	   	152.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DUR|3DMG|4FEWX|5VULN|6CDMG|7ZMB|8RMIN|9RCR|aAART
267	22321 42424	   	152.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DUR|3DMG|4FEWX|5VULN|6CDMG|7ZMB|8CGEN|9RCR|aAART
268	22331 42424	   	152.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DUR|3DMG|4BEXP|5VULN|6CDMG|7ZMB|8CGEN|9RCR|aAART
269	21324 23462	   	152.03	DCR|2VULN|1AART|1DMG|1ZMB	1RCVC|2BEXP|3DMG|4FEWX|5ZMB|6aVULN|7LWND|8RCR|9AART
270	22324 21224	   	151.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DUR|3DMG|4FEWX|5ZMB|6VULN|7TLV|8CDMG|9RCR|aAART
271	22334 21224	   	151.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DUR|3DMG|4BEXP|5ZMB|6VULN|7TLV|8CDMG|9RCR|aAART
272	41531 21632	 * 	151.88	ACR|2VULN|1DMG|2ASPD|1CDMG|1DUR	1DUR|24ASPD|34CGEN|4BPWR|5RCR|69VULN|7MLV|8CDMG|aDMG
273	22364 21224	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DUR|3DMG|4DUST|5ZMB|6VULN|7TLV|8CDMG|9RCR|aAART
274	53112 23463	   	151.83	DCR|2VULN|1AART|1DMG|1ZMB	1FEWX|2ZMB|3DUST|4ERES|56VULN|7LWND|8RCR|9AART|aDMG
275	53163 22421	   	151.80	DCR|4VULN|1ZMB|1DUR|1ASPD	19FEWX|2ZMB|39DUST|4ASPD|5DUR|679aVULN|8RCR|9BPWR
276	21351 33325	   	151.79	ACR|3DMG|1AART|1CDMG	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9RPLT|aCDMG
277	41511 21632	   	151.78	ACR|2VULN|1DMG|2ASPD|1CDMG|1DUR	1DUR|24ASPD|3CGEN|5RCR|69VULN|7MLV|8CDMG|aDMG
278	41311 34142	 * 	151.76	ACR|1AART|1VULN|3ASPD|1DMG|1DUR	1DUR|246ASPD|36ERES|5RCR|6BPWR|7AART|8VULN|9DMG|aFEWX
279	41311 34143	   	151.76	ACR|1AART|1VULN|3ASPD|1DMG|1DUR	1DUR|246ASPD|36ERES|5RCR|6BPWR|7AART|8VULN|9DMG|aLIT
280	16621 31332	   	151.75	ACR|3VULN|1DMG|1CDMG	1CGEN|24FEWX|3RCR|567VULN|8LHND|9CDMG|aDMG
281	16621 43132	   	151.75	ACR|3VULN|1DMG|1CDMG	1CGEN|24FEWX|3RCR|589VULN|6CDMG|7LHND|aDMG
282	51231 32625	   	151.57	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	13FEWX|2ASPD|4AART|5VULN|6DMG|7DUR|8BELT|9RCR|aCDMG
283	11613 46321	   	151.55	ACR|1AART|1VULN|1DMG|1CDMG|1DUR	1CGEN|2BEXP|3RCR|4ERES|5AART|6CDMG|7DUR|8DMG|9VULN|aLHND
284	11613 46323	   	151.55	ACR|1AART|1VULN|1DMG|1CDMG|1DUR	1CGEN|2BEXP|3RCR|4ERES|5AART|6CDMG|7DUR|8DMG|9VULN|aMLV
285	11613 65333	   	151.55	ACR|1AART|1VULN|1DMG|1CDMG|1DUR	1CGEN|27BEXP|3RCR|4ERES|5AART|6VULN|8DUR|9DMG|aCDMG
286	42123 63151	   	151.55	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9BEXP|aCDMG
287	42123 63163	   	151.55	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9CDMG|aRPLT
288	42323 63151	   	151.55	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9BEXP|aCDMG
289	42323 63163	   	151.55	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9CDMG|aRPLT
290	42123 63611	   	151.54	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LHND|5AART|69VULN|7RCR|8BEXP|aCDMG
291	42323 63611	   	151.54	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LWND|5AART|69VULN|7RCR|8BEXP|aCDMG
292	21123 52322	 * 	151.48	DCR|5VULN|1DUR	1RCVC|2BEXP|3LHND|4789aVULN|5DUR|6RCR
293	11613 23234	   	151.47	ACR|3VULN|1AART|1DUR	19aCGEN|29aBEXP|3RCR|4ERES|5AART|6DUR|7RMIN|89aVULN|9aBPWR
294	42123 63143	   	151.45	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9ERES|aCDMG
295	42123 63162	   	151.45	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2aDUST|3LHND|5AART|68VULN|7RCR|9CDMG
296	42323 63143	   	151.45	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9ERES|aCDMG
297	42323 63162	   	151.45	DCR|2VULN|1AART|1CDMG|2DUR	14DUR|2aDUST|3LWND|5AART|68VULN|7RCR|9CDMG
298	43314 34223	 * 	151.41	ACR|1VULN|1DMG|2CDMG|2ASPD|1ZMB|1DUR	1DUR|2ZMB|3ERES|49ASPD|5RCR|6VULN|7DMG|8aCDMG
299	22351 41431	   	151.38	ACR|2VULN|2DMG|3DUR	1RCVC|279DUR|39DMG|4ERES|5RCR|6LIT|89VULN|9BPWR|aFEWX
300	53231 24253	   	151.32	DCR|1AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	13FEWX|2ZMB|4AART|5VULN|6DMG|7BELT|8RCR|9DUR|aASPD
301	45322 11226	   	151.30	DCR|2DMG|1AART|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7LHND|8LWND|9aDMG
302	25641 22331	   	151.24	ACR|3VULN|1DMG|1ZMB|1ASPD	1RCVC|2MLV|369VULN|4ASPD|5RCR|7ZMB|8LHND|aDMG
303	45322 14112	 * 	151.18	DCR|1AART|1DMG|3DUR|1CDMG|1ZMB	14aDUR|2BASICY|3ZMB|5AART|6RCR|7CDMG|8LHND|9DMG
304	45322 14123	   	151.18	DCR|1AART|1VULN|3DUR|1CDMG|1ZMB	14aDUR|2BASICY|3ZMB|5AART|6RCR|7CDMG|8LHND|9VULN
305	55532 12323	   	151.13	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD	14FEWX|2BASICY|3DMG|5AART|6RCR|7CGEN|8ASPD|9VULN|aCDMG
306	53234 13314	   	151.09	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	13FEWX|2ZMB|4AART|5RPLT|6VULN|7DMG|8RCR|9LWND|aCDMG
307	45322 14212	   	151.08	DCR|1AART|1DMG|3DUR|1CDMG|1ZMB	14aDUR|2BASICY|3ZMB|5AART|6RCR|7CDMG|8DUST|9DMG
308	45322 14223	   	151.08	DCR|1AART|1VULN|3DUR|1CDMG|1ZMB	14aDUR|2BASICY|3ZMB|5AART|6RCR|7CDMG|8DUST|9VULN
309	51231 34226	   	150.96	DCR|2DMG|1AART|1VULN|1ASPD	13FEWX|2ASPD|4AART|5VULN|6aDMG|7BELT|8RCR|9RMIN
310	51231 36613	   	150.89	DCR|1AART|1VULN|1DMG|2ASPD|1ZMB	13FEWX|27ASPD|4AART|5VULN|6DMG|8RCR|9DLOT|aZMB
311	61311 31312	   	150.87	DCR|3VULN|1DMG|1CDMG|1ASPD	1TLV|2BEXP|3ERES|4ASPD|567VULN|8CDMG|9RCR|aDMG
312	51234 13343	   	150.86	DCR|2VULN|1AART|1DMG|1ASPD	13FEWX|2ASPD|4AART|5RPLT|6aVULN|7DMG|8RCR|9DUST
313	43311 41632	   	150.85	DCR|2VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ERES|4ASPD|59VULN|6CDMG|7LIT|8DMG|aRCR
314	26134 24132	   	150.71	ACR|2VULN|1AART|1CDMG|1ASPD|1DUR	1RCVC|2RPLT|3CDMG|4BEXP|5RCR|6AART|7DUR|8ASPD|9aVULN
315	56331 33125	   	150.57	DCR|2AART|2DMG|1VULN	1FEWX|2DMSP|36DMG|49AART|5VULN|7LWND|8ERES|aRCR
316	41212 23462	   	150.39	DCR|3VULN|1AART|1DUR|1ASPD	1DUR|2ASPD|3FEWX|4ERES|56aVULN|7LWND|8RCR|9AART
317	22351 33241	 * 	150.37	ACR|3DMG|1AART|2DUR	1RCVC|28DUR|36aDMG|46ERES|5RCR|6BPWR|7AART|9FEWX
318	22351 33251	   	150.37	ACR|3DMG|1AART|2DUR	1RCVC|28DUR|36aDMG|46ERES|5RCR|6BPWR|7AART|9LHND
319	22351 33213	   	150.27	ACR|3DMG|1AART|2DUR	1RCVC|28DUR|36aDMG|46ERES|5RCR|6BPWR|7AART|9TLV
320	22351 33221	   	150.27	ACR|3DMG|1AART|2DUR	1RCVC|28DUR|36aDMG|46ERES|5RCR|6BPWR|7AART|9LEGI
321	46351 33213	   	150.27	ACR|3DMG|1AART|2DUR	18DUR|2DMSP|36aDMG|46ERES|5RCR|6BPWR|7AART|9TLV
322	46351 33221	   	150.27	ACR|3DMG|1AART|2DUR	18DUR|2DMSP|36aDMG|46ERES|5RCR|6BPWR|7AART|9LEGI
323	16621 43123	   	150.23	ACR|2VULN|1AART|1CDMG|1ZMB	1CGEN|24FEWX|3RCR|58VULN|6CDMG|7LHND|9ZMB|aAART
