0	Index      	 *	Score 	Summary	Detail	
39	22111 64421	   	160.79	DCR|2VULN|2DMG|2ASPD|2DUR	1RCVC|29DUR|3LHND|49ASPD|5aVULN|6LWND|79DMG|8RCR|9BPWR
40	21343 46223	 * 	160.64	DCR|3DMG|1AART|3ASPD|1SELL	1RCVC|28BEXP|389DMG|478ASPD|5SELL|6RCR|8BPWR|aAART
41	22351 33313	   	160.39	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2DUR|36DMG|46ERES|5RCR|6BPWR|7AART|8VULN|9DLOT|aZMB
42	46351 33313	   	160.39	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2DMSP|36DMG|46ERES|5RCR|6BPWR|7AART|8VULN|9DLOT|aZMB
43	41311 34116	 * 	160.29	ACR|2VULN|1AART|3ASPD|1ZMB|1DUR	1DUR|246ASPD|36ERES|5RCR|6BPWR|7AART|89VULN|aZMB
44	23651 23323	   	160.03	ACR|2VULN|2DMG|1AART	1RCVC|2NUKE|36VULN|4ERES|5RCR|7AART|8aDMG|9DMSP
45	23651 23333	   	160.03	ACR|2VULN|2DMG|1AART	19RCVC|2NUKE|36VULN|4ERES|5RCR|7AART|8aDMG
46	11663 22324	 * 	160.02	ACR|2VULN|2AART|2ASPD|1DUR	1aCGEN|2BEXP|3RCR|4aASPD|5TLV|67AART|8DUR|9aVULN|aBPWR
47	22351 22524	 * 	160.02	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1RCVC|28DUR|3DMG|48ERES|5RCR|68VULN|7RPLT|8BPWR|9ASPD|aAART
48	23651 23313	   	159.93	ACR|2VULN|2DMG|1AART	1RCVC|2NUKE|36VULN|49ERES|5RCR|7AART|8aDMG
49	56331 31621	 * 	159.68	DCR|3DMG|1AART|1VULN	1FEWX|29DMSP|36aDMG|4AART|5VULN|7RMIN|8RCR
50	56331 31631	   	159.68	DCR|3DMG|1AART|1VULN	19FEWX|2DMSP|36aDMG|4AART|5VULN|7RMIN|8RCR
51	25432 32353	 * 	159.48	DCR|2DMG|1AART|1VULN|2ZMB	1RCVC|2MLV|3AART|4LIT|5aDMG|67ZMB|8RCR|9VULN
52	64213 15313	 * 	159.48	DCR|3VULN|1AART|1DMG	1TLV|23CGEN|4AART|579VULN|6ERES|8RCR|aDMG
53	25641 22111	   	159.29	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2MLV|36VULN|4ASPD|5RCR|7ZMB|8ERES|9AART|aDMG
54	22133 41355	   	159.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|6CDMG|79VULN|8DMG|aRCR
55	42321 54113	   	159.16	DCR|2VULN|1AART|1DMG|2DUR	14DUR|2DUST|3LWND|5FEWX|6RCR|7AART|89VULN|aDMG
56	16621 33363	   	158.97	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1CGEN|24FEWX|3RCR|56VULN|7AART|8DUR|9CDMG|aZMB
57	22324 23462	   	158.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2DUR|3DMG|4FEWX|5ZMB|6aVULN|7LWND|8RCR|9AART
58	43212 23463	   	158.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2ZMB|3FEWX|4ERES|56VULN|7LWND|8RCR|9AART|aDMG
59	43632 42331	   	158.66	DCR|2VULN|1DMG|1CDMG|2DUR|1ZMB|1SELL	14DUR|2ZMB|3SELL|5CGEN|6RCR|79VULN|8CDMG|aDMG
60	11262 43124	   	158.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2BEXP|3FEWX|4ASPD|58VULN|6CDMG|7DMG|9RCR|aAART
61	42123 63123	   	158.48	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9ASPD|aCDMG
62	42323 63123	   	158.48	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9ASPD|aCDMG
63	42123 63343	   	158.48	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	14DUR|2DUST|3LHND|5AART|69VULN|7RCR|8ASPD|aCDMG
64	42323 63343	   	158.48	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	14DUR|2DUST|3LWND|5AART|69VULN|7RCR|8ASPD|aCDMG
65	51112 43124	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2ASPD|3DUST|4ERES|58VULN|6CDMG|7DMG|9RCR|aAART
66	16613 23325	   	158.38	ACR|2VULN|1AART|1DMG|2DUR	1CGEN|2FEWX|3RCR|4ERES|57DUR|68VULN|9AART|aDMG
67	22311 45312	 * 	158.29	DCR|2VULN|2DMG|1CDMG|2DUR	1RCVC|27DUR|3aDMG|4LWND|58VULN|6CDMG|9RCR
68	22331 45312	   	158.29	DCR|2VULN|2DMG|1CDMG|2DUR	1RCVC|27DUR|3aDMG|4BEXP|58VULN|6CDMG|9RCR
69	21351 33421	   	158.20	ACR|3DMG|1AART|1VULN	1RCVC|2BEXP|36aDMG|46ERES|5RCR|6BPWR|7AART|8VULN|9DMSP
70	21351 33461	   	158.20	ACR|3DMG|1AART|1VULN	1RCVC|29BEXP|36aDMG|46ERES|5RCR|6BPWR|7AART|8VULN
71	21351 33323	   	158.20	ACR|3DMG|1AART|1VULN	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9RPLT|aVULN
72	21351 33331	   	158.20	ACR|3DMG|1AART|1VULN	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aRPLT
73	21351 33332	   	158.20	ACR|3DMG|1AART|1VULN	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aLHND
74	21351 33335	   	158.20	ACR|3DMG|1AART|1VULN	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aCGEN
75	56351 33323	   	158.20	ACR|3DMG|1AART|1VULN	1FEWX|2DMSP|368DMG|46ERES|5RCR|6BPWR|7AART|9RPLT|aVULN
76	56351 33331	   	158.20	ACR|3DMG|1AART|1VULN	1FEWX|2DMSP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aRPLT
77	56351 33332	   	158.20	ACR|3DMG|1AART|1VULN	1FEWX|2DMSP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aLHND
78	22361 45312	   	158.19	DCR|2VULN|2DMG|1CDMG|2DUR	1RCVC|27DUR|3aDMG|4DUST|58VULN|6CDMG|9RCR
79	13543 43481	   	158.14	DCR|3VULN|1AART|1DMG|1SELL	1CGEN|2SELL|39aVULN|4MBVNT|5FEWX|6AART|7DMG|8RCR
80	21351 33333	   	158.10	ACR|3DMG|1AART|1VULN	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aNUKE
81	21351 33334	   	158.10	ACR|3DMG|1AART|1VULN	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aDUST
82	56351 33333	   	158.10	ACR|3DMG|1AART|1VULN	1FEWX|2DMSP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aNUKE
83	66333 26312	   	158.09	DCR|2VULN|2DMG|1CDMG|2DUR	1TLV|25DUR|3ERES|46VULN|7aDMG|8CDMG|9RCR
84	43314 34321	   	158.08	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3ERES|4ASPD|5RCR|689VULN|7DMG|aBEXP
85	43314 34322	   	158.08	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3ERES|4ASPD|5RCR|689VULN|7DMG|aRPLT
86	22133 63115	   	158.06	DCR|2VULN|1AART|1DMG|2DUR	1RCVC|29DUR|3LHND|4BEXP|5AART|68VULN|7RCR|aDMG
87	53234 13334	   	158.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	13FEWX|2ZMB|4AART|5RPLT|6VULN|7DMG|8RCR|9DUR|aCDMG
88	23651 23413	   	158.00	ACR|3VULN|1AART|1DMG	1RCVC|2NUKE|368VULN|4ERES|5RCR|7AART|9TLV|aDMG
