0	Index      	 *	Score 	Summary	Detail	
159	42117 33164	   	170.16	ACR|2DMG|3VULN|1ASPD|1SELL	1RCVC|2MBVNT|368VULN|4aDMG|5RCR|7ASPD|9SELL
160	42334 12237	   	170.09	ACR|1BASARM|1BEXP|1AART|1CDMG	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8NUKE|9BEXP|aAART
161	42334 12637	   	170.09	ACR|1BASARM|1BEXP|1AART|1CDMG	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8AME|9BEXP|aAART
162	42814 12237	   	170.09	ACR|1BASARM|1BEXP|1AART|1CDMG	1RCVC|2MBVNT|3ZMB|4CGEN|5RCR|6CDMG|7BASARM|8NUKE|9BEXP|aAART
163	42334 12261	   	169.80	ACR|1BASARM|1DMG|1CDMG|1VULN	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8NUKE|9VULN|aDMG
164	42334 12468	   	169.80	ACR|1BASARM|1ASPD|1CDMG|1VULN	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8AEFBLL|9ASPD|aVULN
165	42334 12661	   	169.80	ACR|1BASARM|1DMG|1CDMG|1VULN	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7BASARM|8AME|9VULN|aDMG
166	42814 12261	   	169.80	ACR|1BASARM|1DMG|1CDMG|1VULN	1RCVC|2MBVNT|3ZMB|4CGEN|5RCR|6CDMG|7BASARM|8NUKE|9VULN|aDMG
167	45125 23323	   	169.76	ACR|2BEXP|1ASPD|1DMG|1AAC|1VULN	1RCVC|2MLV|36BEXP|4RCR|5VULN|7ASPD|8DMG|9LIT|aAAC
168	42334 11717	 * 	169.75	ACR|2ASPD|2DMG|1CDMG	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|79DMG|8aASPD
169	42314 11717	   	169.65	ACR|2ASPD|2DMG|1CDMG	1RCVC|2MBVNT|3CGEN|4ERES|5RCR|6CDMG|79DMG|8aASPD
170	36525 33323	 * 	169.57	ACR|3AAC|2VULN|1ASPD|1DMG	1DUR|23aAAC|4RCR|56VULN|7ASPD|8DMG|9LIT
171	42117 21417	   	169.38	ACR|2BEXP|2VULN|1ASPD|1DMG	1RCVC|2MBVNT|38VULN|4DMG|5RCR|6aBEXP|7LWND|9ASPD
172	12626 12336	   	169.32	ACR|2BASARM|1CDMG|1VULN	1TLV|23LHND|4RCR|5ZMB|6CDMG|79BASARM|8AME|aVULN
173	42117 11453	   	169.27	ACR|1BASARM|2VULN|1DMG	1RCVC|2MBVNT|38VULN|4DMG|5RCR|6FEWX|7LWND|9BASARM|aRPLT
174	42117 37431	   	169.27	ACR|1BASARM|2VULN|1DMG	1RCVC|2MBVNT|36VULN|4DMG|5RCR|7LIT|8DMSP|9BASARM|aMLV
175	42117 37432	   	169.27	ACR|1BASARM|2VULN|1DMG	1RCVC|2MBVNT|36VULN|4DMG|5RCR|7LIT|8DMSP|9BASARM|aCGEN
176	42117 11452	   	169.17	ACR|1BASARM|2VULN|1DMG	1RCVC|2MBVNT|38VULN|4DMG|5RCR|6FEWX|7LWND|9BASARM|aMDPS
177	21225 23165	 * 	169.02	ACR|4VULN|1ASPD|1DMG	13FEWX|26ZMB|4RCR|5689VULN|6BPWR|7ASPD|aDMG
178	12625 33333	   	168.82	ACR|4VULN|1ASPD|1DMG	1TLV|23LHND|4RCR|569aVULN|7ASPD|8DMG
179	12252 33413	 * 	168.80	ACR|2ASPD|2BEXP|1AART|1AAC	1aTLV|2LHND|3aBEXP|4LEGI|5RCR|6MDPS|7AAC|8AART|9aASPD|aBPWR
