0	Index      	 *	Score 	Summary	Detail	
37	12626 12622	 * 	180.31	ACR|1BASARM|2AART|2CDMG	1TLV|23LHND|4RCR|5ZMB|69CDMG|7BASARM|8aAART
38	21225 22133	   	179.99	ACR|1BASARM|3VULN|1CDMG	13FEWX|26ZMB|4RCR|567VULN|6BPWR|8LIT|9BASARM|aCDMG
39	36525 33312	 * 	179.73	ACR|2DMG|2VULN|1ASPD|2AAC	1DUR|23AAC|4RCR|56VULN|7ASPD|8aDMG|9LHND
40	42354 12543	 * 	179.11	ACR|1BASARM|1DMG|2AAC|1CDMG	1RCVC|2MBVNT|3CGEN|4aAAC|5RCR|6CDMG|7BASARM|8DUR|9DMG
41	45125 23312	 * 	179.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1RCVC|2MLV|36BEXP|4RCR|5VULN|7ASPD|8aDMG|9LHND
42	63132 32421	   	178.98	DCR|2BASARM|2ASPD|1AART|1CDMG	157LWND|2LHND|37ASPD|4AART|67BASARM|7BPWR|8LEGI|9CDMG|aRCR
43	36521 12142	 * 	178.41	ACR|1BASARM|3AAC|1BEXP|1VULN	15DUR|23aAAC|4RCR|6BEXP|7VULN|8DUST|9BASARM
44	36523 12142	   	178.41	ACR|1BASARM|3AAC|1BEXP|1VULN	1DUR|23aAAC|4RCR|5DMSP|6BEXP|7VULN|8DUST|9BASARM
45	42354 12237	 * 	178.40	ACR|1BASARM|1BEXP|1AART|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8NUKE|9BEXP|aAART
46	42354 12261	   	178.10	ACR|1BASARM|1DMG|1CDMG|1AAC|1VULN	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8NUKE|9VULN|aDMG
47	12232 26363	 * 	177.69	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6MDPS|7ASPD|9BASARM|aRCVC
48	12232 26365	   	177.69	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6MDPS|7ASPD|9BASARM|aLIT
49	12232 61363	   	177.69	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6ASPD|7MDPS|9BASARM|aRCVC
50	12232 61365	   	177.69	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6ASPD|7MDPS|9BASARM|aLIT
51	12232 26361	   	177.59	ACR|1BASARM|2BEXP|1ASPD	1TLV|2LHND|38BEXP|4FEWX|5RCR|6MDPS|7ASPD|9BASARM|aERES
