0	Index      	 *	Score 	Summary	Detail	
37	43343 31522	   	213.01	ACR|1BASARM|2ASPD|1VULN|1CDMG	1DUST|2RCR|35ASPD|48ERES|6VULN|7SNIFST|9BASARM|aCDMG
38	43431 36211	 * 	212.24	ACR|1BASARM|2BEXP|1DMG|1AART	18DUST|2RCR|3AME|4RMIN|5AART|6aBEXP|7BASARM|9DMG
39	43221 14223	 * 	211.85	ACR|2VULN|2AART|2BEXP|1ASPD	1DUST|2RCR|34BEXP|5aAART|6LWND|79VULN|8ASPD
40	43221 15223	   	211.85	ACR|2VULN|2AART|2BEXP|1ASPD	1DUST|2RCR|34BEXP|5aAART|6LWND|7ASPD|89VULN
41	43221 63223	   	211.85	ACR|2VULN|2AART|2BEXP|1ASPD	1DUST|2RCR|34BEXP|5aAART|69VULN|7LWND|8ASPD
42	43221 64123	 * 	211.85	ACR|2VULN|2AART|2BEXP|1DMG	1DUST|2RCR|34BEXP|5aAART|67VULN|8LHND|9DMG
43	43221 64213	   	211.85	ACR|2VULN|2AART|2BEXP|1ASPD	1DUST|2RCR|34BEXP|5aAART|67VULN|8ASPD|9LHND
44	43221 65223	   	211.85	ACR|2VULN|2AART|2BEXP|1ASPD	1DUST|2RCR|34BEXP|5aAART|69VULN|7LHND|8ASPD
45	43221 36231	 * 	211.52	ACR|3BEXP|2ASPD|1VULN|1AART	1DUST|2RCR|34aBEXP|5AART|6VENICY|79ASPD|8VULN
46	43221 36411	   	211.52	ACR|3BEXP|2ASPD|1VULN|1AART	1DUST|2RCR|34aBEXP|5AART|6VENICY|78ASPD|9VULN
47	43221 62135	 * 	211.05	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2RCR|34BEXP|5AART|6VULN|7MLV|8RCVC|9CGEN|aBASARM
48	43243 33314	 * 	210.81	ACR|2ASPD|2DMG|1AART|1BEXP|1AAC	1aDUST|2RCR|3BEXP|4BELT|5aDMG|6RPLT|7AART|8AAC|9aASPD|aBPWR
49	43221 55444	 * 	210.39	ACR|3BEXP|2AART|1VULN|1DMG	1DUST|2RCR|349BEXP|58AART|6MBVNT|7VULN|aDMG
50	56214 12323	   	209.93	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|3BPWR|4RCR|6DMG|7VULN|8BASARM|9DUR|aLHND
51	56314 12323	   	209.93	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|4RCR|6DMG|7VULN|8BASARM|9DUR|aLHND
52	43221 32412	 * 	209.86	ACR|2ASPD|2BEXP|1DMG|1AART|1AAC	1DUST|2RCR|34BEXP|5AART|6VENICY|7AAC|8aASPD|9DMG
53	56214 12312	   	209.83	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|3BPWR|4RCR|6DMG|7VULN|8BASARM|9AME|aLHND
54	56214 12321	   	209.83	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|3BPWR|4RCR|6DMG|7VULN|8BASARM|9DUR|aTLV
55	56314 12312	   	209.83	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|4RCR|6DMG|7VULN|8BASARM|9AME|aLHND
56	56314 12321	   	209.83	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|4RCR|6DMG|7VULN|8BASARM|9DUR|aTLV
57	43314 33251	 * 	209.73	ACR|3ASPD|3BEXP|1VULN	16DUST|2RCR|356ASPD|4RCVC|6BPWR|7VULN|89aBEXP
58	56214 12311	   	209.73	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|3BPWR|4RCR|6DMG|7VULN|8BASARM|9AME|aTLV
59	56314 12311	   	209.73	ACR|1BASARM|3BEXP|1VULN|1DMG	1RPLT|235BEXP|4RCR|6DMG|7VULN|8BASARM|9AME|aTLV
60	43243 33241	   	209.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DUST|2RCR|3BEXP|4BELT|5DMG|6RPLT|7AART|8AME|9BASARM|aCDMG
61	43221 22265	   	209.15	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2RCR|34BEXP|5AART|67MLV|8CGEN|9VULN|aBASARM
62	43211 23265	   	209.05	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2RCR|37BEXP|4AEMAG|5AART|6MLV|8CGEN|9VULN|aBASARM
63	43221 22365	   	209.05	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2RCR|34BEXP|5AART|67MLV|8ERES|9VULN|aBASARM
64	43221 62235	   	209.05	ACR|1BASARM|2BEXP|1VULN|1AART	18DUST|2RCR|34BEXP|5AART|6VULN|7MLV|9CGEN|aBASARM
65	43211 23365	   	208.95	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2RCR|37BEXP|4AEMAG|5AART|6MLV|8ERES|9VULN|aBASARM
66	43314 33621	   	208.59	ACR|3ASPD|1VULN|1BASICY|1AART	16DUST|2RCR|356ASPD|4RCVC|6BPWR|7VULN|8AART|9BASICY|aMBVNT
67	43323 16512	 * 	208.52	ACR|2ASPD|2DMG|1VULN|1AART	1DUST|2RCR|35ASPD|4DUR|67DMG|8AART|9CGEN|aVULN
