0	Index      	 *	Score 	Summary	Detail	
37	24214 22321	 * 	200.35	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6DMG|7RCR|8VULN|9MDPS|aNUKE
38	24234 22321	   	200.35	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6DMG|7RCR|8VULN|9MDPS|aNUKE
39	24245 22333	   	199.55	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	19LWND|26ASPD|3ZMB|4AART|58VULN|7RCR|aMDPS
40	62226 42323	   	199.12	DCR|4VULN|1AART|1DMG	1DUST|258aVULN|3DLOT|4DMG|6MLV|7RCR|9AART
41	24245 22321	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LWND|26ASPD|3ZMB|4AART|58VULN|7RCR|9DUR|aLHND
42	24245 22322	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1aLWND|26ASPD|3ZMB|4AART|58VULN|7RCR|9DUR
43	24245 22323	   	198.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR|1MSE	1LWND|26ASPD|3ZMB|4AART|58VULN|7RCR|9DUR|aMSE
44	54332 63333	 * 	197.41	DCR|4VULN|2ASPD|2DUR	13DUR|25ASPD|4578VULN|5BPWR|6LWND|9AME|aRCR
45	32222 12224	   	196.88	DCR|3DMG|2VULN|1AART	179LHND|29VULN|3DLOT|457DMG|679ERES|79BPWR|8RCR|aAART
46	52226 62213	 * 	196.78	DCR|2VULN|2DMG|2CDMG|2DUR	1aDUR|25VULN|3DLOT|4aDMG|6CGEN|7RCR|8LHND|9aCDMG|aBPWR
47	54332 63213	   	196.65	DCR|3VULN|2ASPD|2DUR|1ZMB	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9RCVC|aZMB
48	54332 22522	   	196.45	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	13DUR|25ASPD|45VULN|5BPWR|6DMG|7ZMB|8LWND|9RCR|aRCVC
49	54313 22523	   	196.03	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	13DUR|24ASPD|5aVULN|6DMG|7ZMB|8LWND|9RCR
50	32224 23126	 * 	195.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1LHND|26VULN|3DLOT|4DMG|5MDPS|7AART|8CDMG|9ASPD|aRCR
51	54332 16212	   	194.85	DCR|2VULN|2ASPD|1DMG|3DUR	13aDUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8RMIN|9DMG
52	54332 25122	   	194.45	DCR|2VULN|2ASPD|1DMG|3DUR	139DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|aAELBLL
53	54332 25123	   	194.45	DCR|2VULN|2ASPD|1DMG|3DUR	139DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|aRMIN
54	54332 25121	   	194.35	DCR|2VULN|2ASPD|1DMG|3DUR|1MSE	139DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|aMSE
55	34316 32622	   	194.17	DCR|4VULN|2ASPD|1DUR	1LHND|26ASPD|3DUR|4FEWX|567aVULN|6BPWR|8RPLT|9RCR
56	52225 42323	   	194.14	DCR|3VULN|1AART|1DMG|1DUR	1DUR|28aVULN|3DLOT|4DMG|5RCVC|6MLV|7RCR|9AART
57	34222 22513	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LHND|2ASPD|3ZMB|4BEXP|5aVULN|6DMG|7CGEN|8RCR|9AART
58	64222 22513	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DUST|2ASPD|3ZMB|4BEXP|5aVULN|6DMG|7CGEN|8RCR|9AART
59	24214 22132	 * 	193.24	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6aDMG|7RCR|8CGEN|9VULN
60	24214 22362	   	193.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6aDMG|7RCR|8VULN|9LIT
61	24214 22532	   	193.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6aDMG|7RCR|8RMIN|9VULN
62	24234 22132	   	193.24	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6aDMG|7RCR|8CGEN|9VULN
