0	Index      	 *	Score 	Summary	Detail	
158	52513 32216	 * 	188.71	DCR|1VULN|1AART|1NUKE|1CDMG|2DUR|2ZMB|1AAC	18DUR|2VULN|38ZMB|48FEWX|5AART|6AAC|7RCR|8BPWR|9CDMG|aNUKE
159	32222 22433	   	188.65	DCR|3DMG|1AART|1VULN|1CDMG	17LHND|2VULN|3DLOT|456DMG|8AART|9CDMG|aRCR
160	22516 36321	   	188.61	DCR|2VULN|1ASPD|1NUKE|1CDMG|1ZMB	16LWND|25VULN|3ZMB|46FEWX|6BPWR|7RCR|8ASPD|9CDMG|aNUKE
161	24316 36211	   	188.26	DCR|2VULN|2ASPD|1AART|1DUR	1aLWND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8RMIN|9AART
162	24316 36212	   	188.26	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8RMIN|9AART|aLHND
163	24316 36213	   	188.26	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8RMIN|9AART|aCGEN
164	34316 36211	   	188.26	DCR|2VULN|2ASPD|1AART|1DUR	1LHND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8RMIN|9AART|aLWND
165	34316 36212	   	188.26	DCR|2VULN|2ASPD|1AART|1DUR	1LHND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8RMIN|9AART|aAME
166	24316 36311	   	188.16	DCR|2VULN|2ASPD|1AART|1DUR	1aLWND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8ERES|9AART
167	24316 36312	   	188.16	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8ERES|9AART|aLHND
168	24316 36313	   	188.16	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8ERES|9AART|aCGEN
169	34316 36311	   	188.16	DCR|2VULN|2ASPD|1AART|1DUR	1LHND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8ERES|9AART|aLWND
170	34316 36312	   	188.16	DCR|2VULN|2ASPD|1AART|1DUR	1LHND|26ASPD|3DUR|4FEWX|56VULN|6BPWR|7RCR|8ERES|9AART|aAME
171	54332 21111	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9BEXP|aCGEN
172	54332 21112	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9aBEXP
173	54332 21113	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9BEXP|aRMIN
174	54332 21114	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9BEXP|aFEWX
175	54332 21131	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9LWND|aCGEN
176	54332 21132	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9LWND|aBEXP
177	54332 21133	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9LWND|aLHND
178	54332 21134	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9LWND|aFEWX
179	54332 21152	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9CGEN|aLWND
180	54332 21153	   	187.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9CGEN|aBEXP
181	54313 24111	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|24ASPD|57VULN|6DMG|8RCR|9BEXP|aCGEN
182	54313 24112	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|24ASPD|57VULN|6DMG|8RCR|9aBEXP
183	54313 24113	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|24ASPD|57VULN|6DMG|8RCR|9BEXP|aRMIN
184	54313 24131	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|24ASPD|57VULN|6DMG|8RCR|9LWND|aCGEN
185	54313 24132	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|24ASPD|57VULN|6DMG|8RCR|9LWND|aBEXP
186	54313 24133	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|24ASPD|57VULN|6DMG|8RCR|9LWND|aLHND
187	54332 21151	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR|1SELL	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9CGEN|aSELL
188	62216 22632	   	187.62	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|25VULN|3DLOT|4CGEN|6aDMG|7RCR|8ASPD|9DUR
189	62226 12632	   	187.52	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|25VULN|3DLOT|4aDMG|6ERES|7RCR|8ASPD|9DUR
190	54332 16333	   	187.46	DCR|3VULN|2ASPD|2DUR	13DUR|25ASPD|45aVULN|5BPWR|6BEXP|7RCR|8ERES|9MLV
191	32513 36213	   	187.39	DCR|3VULN|1AART|2DUR|1ZMB	1LHND|26aVULN|3ZMB|4FEWX|56DUR|6BPWR|7RCR|8RMIN|9AART
192	32513 36513	   	187.39	DCR|3VULN|1AART|2DUR|1ZMB	1LHND|26aVULN|3ZMB|4FEWX|56DUR|6BPWR|7RCR|8CGEN|9AART
193	32513 36313	   	187.29	DCR|3VULN|1AART|2DUR|1ZMB	1LHND|26aVULN|3ZMB|4FEWX|56DUR|6BPWR|7RCR|8ERES|9AART
194	52212 25613	   	187.16	DCR|2VULN|2ASPD|1AART|2DUR|1SELL	18DUR|28VULN|3DLOT|4CGEN|5DUST|68ASPD|7SELL|8BPWR|9AART|aRCR
195	54313 16211	   	186.90	DCR|2DMG|2ASPD|1VULN|2DUR	13DUR|24ASPD|5VULN|6BEXP|7RCR|8RMIN|9aDMG
196	54313 16311	   	186.80	DCR|2DMG|2ASPD|1VULN|2DUR	13DUR|24ASPD|5VULN|6BEXP|7RCR|8ERES|9aDMG
197	32662 11121	   	186.41	DCR|3VULN|1AART|1DMG	1LHND|257VULN|3LWND|4AART|6SPLREG|8AME|9RCR|aDMG
198	32662 12321	   	186.41	DCR|3VULN|1AART|1DMG	1LHND|258VULN|3LWND|4AART|6SPLREG|7RMIN|9RCR|aDMG
199	52511 36311	   	186.33	DCR|2DMG|1VULN|1ASPD|2DUR|2ZMB	16DUR|2VULN|35ZMB|46FEWX|6BPWR|7RCR|8ASPD|9aDMG
200	54332 63212	   	186.31	DCR|3VULN|2ASPD|2DUR	13DUR|25ASPD|457VULN|5BPWR|6aLWND|8RCR|9RCVC
201	24243 22131	 * 	186.22	DCR|1MDPS|3CDMG|1VULN|1AART|1ASPD|1ZMB	1LWND|2ASPD|3ZMB|4AART|5MDPS|69aCDMG|7RCR|8VULN
202	34243 22131	   	186.22	DCR|1MDPS|3CDMG|1AART|1VULN|1ASPD|1ZMB	1LHND|2ASPD|3ZMB|4AART|5MDPS|69aCDMG|7RCR|8VULN
203	54332 63211	   	186.21	DCR|3VULN|2ASPD|2DUR|1SELL	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9RCVC|aSELL
204	24262 22523	   	186.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1LWND|2ASPD|3ZMB|48LHND|57aVULN|6DMG|9RCR
205	24242 22311	   	186.06	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB	1LWND|26ASPD|3ZMB|4AART|5BEXP|7RCR|8VULN|9CDMG|aRPLT
206	24242 22312	   	186.06	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB	1LWND|26ASPD|3ZMB|4AART|5BEXP|7RCR|8VULN|9CDMG|aBELT
207	24242 22315	   	186.06	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB	1aLWND|26ASPD|3ZMB|4AART|5BEXP|7RCR|8VULN|9CDMG
208	24316 36121	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	1LWND|26ASPD|38DUR|4FEWX|56VULN|6BPWR|7RCR|9CDMG|aBEXP
209	24316 36122	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	1LWND|26ASPD|38DUR|4FEWX|56VULN|6BPWR|7RCR|9CDMG|aLIT
210	24316 36123	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	1LWND|26ASPD|38DUR|4aFEWX|56VULN|6BPWR|7RCR|9CDMG
211	34316 36121	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	1LHND|26ASPD|38DUR|4FEWX|56VULN|6BPWR|7RCR|9CDMG|aBEXP
212	34316 36122	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	1LHND|26ASPD|38DUR|4FEWX|56VULN|6BPWR|7RCR|9CDMG|aLIT
213	34316 36123	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	1LHND|26ASPD|38DUR|4aFEWX|56VULN|6BPWR|7RCR|9CDMG
214	54332 16222	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8RMIN|9CDMG|aLWND
215	54332 16223	   	185.98	DCR|2VULN|2ASPD|1CDMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6aBEXP|7RCR|8RMIN|9CDMG
216	34243 22163	   	185.96	DCR|1MDPS|2ASPD|1VULN|1AART|1CDMG|1ZMB	1LHND|2aASPD|3ZMB|4AART|5MDPS|6CDMG|7RCR|8VULN|9LWND
217	24242 22313	   	185.96	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB	1LWND|26ASPD|3ZMB|4AART|5BEXP|7RCR|8VULN|9CDMG|aDUST
218	54332 16322	   	185.88	DCR|2VULN|2ASPD|1CDMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8ERES|9CDMG|aLWND
219	54332 16323	   	185.88	DCR|2VULN|2ASPD|1CDMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6aBEXP|7RCR|8ERES|9CDMG
220	24262 22521	   	185.84	DCR|2VULN|2DMG|1ASPD|1ZMB	1LWND|2ASPD|3ZMB|48LHND|57VULN|6aDMG|9RCR
221	62321 22541	   	185.82	DCR|2VULN|2DMG|1ASPD|1DUR	13DUST|2aVULN|4BEXP|5DUR|6aDMG|7ASPD|8RCR|9aLWND|aBPWR
222	62321 22551	   	185.82	DCR|2VULN|2DMG|1ASPD|1DUR	13DUST|2aVULN|4BEXP|5DUR|6aDMG|7ASPD|8RCR|9aFEWX|aBPWR
223	62225 42323	   	185.73	DCR|3VULN|1AART|1DMG	1DUST|28aVULN|3DLOT|4DMG|5RCVC|6MLV|7RCR|9AART
224	54313 16221	   	185.56	DCR|2ASPD|1VULN|1NUKE|1CDMG|2DUR	13DUR|24ASPD|5VULN|6BEXP|7RCR|8RMIN|9CDMG|aNUKE
225	54332 63231	   	185.46	DCR|3VULN|2ASPD|2DUR	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9ERES|aCGEN
226	54332 63232	   	185.46	DCR|3VULN|2ASPD|2DUR	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9ERES|aBEXP
227	54332 63233	   	185.46	DCR|3VULN|2ASPD|2DUR	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9ERES|aLHND
228	54313 16321	   	185.46	DCR|2ASPD|1VULN|1NUKE|1CDMG|2DUR	13DUR|24ASPD|5VULN|6BEXP|7RCR|8ERES|9CDMG|aNUKE
229	22236 61136	   	185.40	DCR|3VULN|1AART|1ASPD	1LWND|28aVULN|3DLOT|4LIT|5AART|6RCVC|7RCR|9ASPD
230	32236 61126	   	185.40	DCR|3VULN|1AART|1ASPD	1LHND|289VULN|3DLOT|4LIT|5AART|6RCVC|7RCR|aASPD
231	22233 33136	   	185.37	DCR|3VULN|1AART|1ASPD	15LWND|28aVULN|3DLOT|4LIT|6RCR|7AART|9ASPD
232	54313 21126	   	185.29	DCR|3ASPD|1VULN|1DMG|3DUR	139DUR|24aASPD|5VULN|6DMG|7DMSP|8RCR
233	52511 36321	   	184.99	DCR|1VULN|1ASPD|1NUKE|1CDMG|2DUR|2ZMB	16DUR|2VULN|35ZMB|46FEWX|6BPWR|7RCR|8ASPD|9CDMG|aNUKE
234	24214 22322	   	184.92	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6DMG|7RCR|8aVULN|9MDPS
235	24234 22322	   	184.92	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6DMG|7RCR|8aVULN|9MDPS
236	32513 36136	 * 	184.92	DCR|3VULN|3DUR|1CDMG|1ZMB	1LHND|269VULN|3ZMB|4FEWX|568DUR|6BPWR|7RCR|aCDMG
237	54333 22523	   	184.27	DCR|2VULN|1ASPD|1DMG|2DUR|1ZMB	13DUR|2ASPD|4aVULN|5RCVC|6DMG|7ZMB|8LWND|9RCR
238	52513 32312	   	184.18	DCR|2VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4FEWX|5AART|6AAC|7RCR|8ASPD|9RPLT
239	52513 32333	   	184.18	DCR|2VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4FEWX|5AART|6AAC|7RCR|8ASPD|9LHND
240	52513 32353	   	184.18	DCR|2VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4FEWX|5AART|6AAC|7RCR|8ASPD|9BEXP
241	22511 46323	 * 	184.11	DCR|2VULN|3ZMB|1ASPD|1CDMG	1LWND|26VULN|35aZMB|4FEWX|7RCR|8ASPD|9CDMG
242	22226 12416	 * 	184.05	DCR|3VULN|1DMG|1CDMG|1DUR	1LWND|25aVULN|3DLOT|4DMG|6ERES|7RCR|8DUR|9CDMG
