0	Index      	 *	Score 	Summary	Detail	
37	14224 36122	   	194.93	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2AEFBLL|3LWND|4RCR|56BEXP|7DMG|8VULN|9BASARM|aLEGI
38	62322 13326	   	194.93	ACR|1BASARM|1VULN|2BEXP|1ASPD	13ERES|2VULN|4RCR|57BEXP|6DUR|8NUKE|9BASARM|aASPD
39	63323 23121	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aFEWX
40	63323 23122	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aLHND
41	63323 23123	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aLWND
42	63323 23126	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aDMSP
43	63523 23121	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|23DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aFEWX
44	63523 23122	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|23DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aLHND
45	63523 23123	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|23DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aLWND
46	63523 23126	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|23DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aDMSP
47	64223 23122	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|2AEFBLL|3LWND|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aLEGI
48	63523 21124	   	194.83	ACR|1BASARM|2BEXP|1VULN|1ASPD	17ERES|23DUST|4RCR|5ASPD|6aBEXP|8VULN|9BASARM
49	63323 23125	   	194.83	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aMDPS
50	63523 23125	   	194.83	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|23DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aMDPS
51	62322 63116	 * 	194.81	ACR|3VULN|2DMG|1AART|1BEXP	13aERES|29aVULN|4RCR|5BEXP|6AART|7LHND|8aDMG|aBPWR
52	13521 31426	   	193.86	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|23DUST|4RCR|57VULN|6RPLT|8CDMG|9BASARM|aASPD
53	63321 31426	   	193.86	ACR|2VULN|1BASARM|1ASPD|1CDMG	13ERES|2DUST|4RCR|57VULN|6RPLT|8CDMG|9BASARM|aASPD
54	62322 25223	   	191.86	ACR|2VULN|1BASARM|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6LWND|8DMG|9BASARM|aRCVC
55	64221 35223	   	191.86	ACR|2VULN|1BASARM|1DMG|1BEXP	1ERES|2AEFBLL|3LWND|4RCR|57VULN|6BEXP|8DMG|9BASARM|aRCVC
56	14223 32623	   	191.86	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aRCVC
57	14223 32223	   	191.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|67VULN|8FEWX|9BASARM|aBEXP
58	14223 32621	   	191.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aFEWX
59	14223 32625	   	191.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|67VULN|8BEXP|9BASARM|aCGEN
60	41523 32223	   	191.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	13DUST|2CGEN|4RCR|5ASPD|67VULN|8FEWX|9BASARM|aBEXP
