0	Index      	 *	Score 	Summary	Detail	
37	21352 33313	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|23LWND|4LHND|5ZMB|6DMG|78RCR|9TLV|aCDMG
38	21353 33313	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|23LWND|4LHND|5AAC|6DMG|78RCR|9TLV|aCDMG
39	24562 33313	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|23BEXP|4LHND|5ZMB|6DMG|78RCR|9TLV|aCDMG
40	24563 33313	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|23BEXP|4LHND|5AAC|6DMG|78RCR|9TLV|aCDMG
41	24622 33313	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|24BEXP|3LHND|5ZMB|6DMG|78RCR|9TLV|aCDMG
42	24623 33313	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|24BEXP|3LHND|5AAC|6DMG|78RCR|9TLV|aCDMG
43	13213 33313	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AAC|2RCVC|3VULN|4DUST|5LHND|6DMG|78RCR|9TLV|aCDMG
44	15163 33313	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AAC|2VULN|3AEFBLL|4BEXP|5LHND|6DMG|78RCR|9TLV|aCDMG
45	23163 33313	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|2ZMB|3AEFBLL|4BEXP|5LHND|6DMG|78RCR|9TLV|aCDMG
46	23561 33235	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1VULN|2ZMB|3TLV|4LHND|5AME|6DMG|79RCR|8LWND|aASPD
47	23541 33135	   	272.30	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1VULN|2ZMB|3TLV|4LEGI|5AME|6DMG|79RCR|8LHND|aASPD
48	23551 33135	   	272.30	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1VULN|2ZMB|3TLV|4DUST|5AME|6DMG|79RCR|8LHND|aASPD
49	15113 33313	   	272.30	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AAC|2VULN|3AEFBLL|4DUST|5LHND|6DMG|78RCR|9TLV|aCDMG
50	23113 33313	   	272.30	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|2ZMB|3AEFBLL|4DUST|5LHND|6DMG|78RCR|9TLV|aCDMG
51	25633 33312	   	272.26	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1SELL	1VULN|2FEWX|3SELL|4CDMG|5LHND|6DMG|78RCR|9TLV|aRMIN
52	25633 33315	   	272.26	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1SELL	1VULN|2FEWX|3SELL|4CDMG|5LHND|6DMG|78RCR|9TLV|aCGEN
53	25633 33311	   	272.16	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1SELL	1VULN|2FEWX|3SELL|4CDMG|5LHND|6DMG|78RCR|9TLV|aERES
54	25633 33314	   	272.16	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1SELL	1VULN|2FEWX|3SELL|4CDMG|5LHND|6DMG|78RCR|9TLV|aLEGI
55	15342 33315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1AAC|2VULN|35ZMB|4LEGI|6LHND|78RCR|9TLV|aLIT
56	15343 23315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1AAC|2VULN|3ZMB|4LEGI|5LHND|6DMSP|78RCR|9TLV|aLIT
57	15343 33315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1AAC|2VULN|3ZMB|4LEGI|56LHND|78RCR|9TLV|aLIT
58	23342 33315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1VULN|25ZMB|3AAC|4LEGI|6LHND|78RCR|9TLV|aLIT
59	23343 23315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1VULN|2ZMB|3AAC|4LEGI|5LHND|6DMSP|78RCR|9TLV|aLIT
60	23343 33315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1VULN|2ZMB|3AAC|4LEGI|56LHND|78RCR|9TLV|aLIT
61	23343 53315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1VULN|2ZMB|3AAC|4LEGI|5LHND|6RCVC|78RCR|9TLV|aLIT
62	23346 33315	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1VULN|2ZMB|35AAC|4LEGI|6LHND|78RCR|9TLV|aLIT
