0	Index      	 *	Score 	Summary	Detail	
1	36356 33311	 * 	239.85	紫4易伤3攻速1基础对甲	179掉矿2679易伤379攻速4核5随机矿79序列升级8双倍秒伤a基础对甲
2	16522 22521	 * 	221.10	紫3易伤2伤害1攻速1暴击1全技能	1双倍秒伤23a易伤4核5攻速6暴击7全技能89伤害
3	36356 33312	 * 	215.43	紫4易伤3攻速1伤害	179掉矿2679易伤379攻速4核5随机矿79序列升级8双倍秒伤a伤害
4	16522 22132	 * 	214.86	紫2易伤2基地爆炸1攻速1伤害1暴击1全技能	1双倍秒伤23易伤4核5攻速6暴击7全技能89基地爆炸a伤害
5	16522 22122	   	214.09	紫3易伤1攻速1伤害1暴击1基地爆炸1全技能	1双倍秒伤239易伤4核5攻速6暴击7全技能8基地爆炸a伤害
6	21112 64252	 * 	212.91	紫1基础对甲3基地爆炸2暴击1全技能	1平台278时间3核458基地爆炸68暴击8序列升级9全技能a基础对甲
7	13336 23314	 * 	212.48	紫2易伤2伤害2基地爆炸1暴击1全技能	1双倍秒伤29基地爆炸39伤害4核5矿等6多重对甲79易伤8全技能9序列升级a暴击
8	13332 23314	   	212.38	紫2易伤2伤害2基地爆炸1暴击1全技能	1双倍秒伤29基地爆炸39伤害4核5等级6多重对甲79易伤8全技能9序列升级a暴击
9	13124 33263	 * 	211.41	紫1基础对甲2基地爆炸1攻速1伤害1全技能	1双倍秒伤24基地爆炸3等级5核6额外掉落7基础对甲8全技能9伤害a攻速
