0	Index      	 *	Score 	Summary	Detail	
32	33431 61122	   	224.32	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MDPS|aCDMG
33	33434 61121	   	224.22	DCR|3DMG|2VULN|1MDPS|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5DUST|6RCR|78aDMG|8BPWR|9MDPS
34	33434 61122	   	224.22	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5DUST|6RCR|78DMG|8BPWR|9MDPS|aCDMG
35	62332 61151	   	223.90	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1ZMB	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ZMB|aAME
36	62332 61152	   	223.90	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1ZMB	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ZMB|aRPLT
37	62332 61153	   	223.80	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1ZMB	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ZMB|aTLV
38	32433 61161	   	223.11	DCR|2DMG|2ASPD|1VULN|1AART|2DUR|1ZMB	18DUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9AART|aTLV
39	32433 61163	   	223.11	DCR|2DMG|2ASPD|1VULN|1AART|2DUR|1ZMB	18DUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9AART|aERES
40	33432 51216	   	222.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR|2ZMB	178DUR|2ASPD|38VULN|48ZMB|5RCVC|6RCR|8BPWR|9DMG|aAART
41	33162 51216	   	222.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR|2ZMB	178DUR|2ASPD|38ZMB|48VULN|5RCVC|6RCR|8BPWR|9DMG|aAART
42	21431 61114	   	222.41	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MLV|aCDMG
43	21431 61134	   	222.31	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9ERES|aCDMG
44	64431 11223	 * 	222.03	DCR|4VULN|2DMG|1NUKE	18DMG|2348VULN|5RMIN|6RCR|789DUST|8BPWR|aNUKE
45	33431 61114	   	221.84	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MLV|aCDMG
46	33431 61134	   	221.74	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9ERES|aCDMG
47	33162 52114	 * 	220.23	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB|1DUR	1DUR|2aASPD|3ZMB|4VULN|5RCVC|6RCR|7aDMG|8ERES|9aCDMG|aBPWR
48	33432 52114	   	220.23	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB|1DUR	1DUR|2aASPD|3VULN|4ZMB|5RCVC|6RCR|7aDMG|8ERES|9aCDMG|aBPWR
49	24432 12433	   	219.21	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|2TLV|57DMG|6RCR|8LHND|9CDMG|aAART
50	23432 15214	   	219.01	DCR|4VULN|2DMG|2CDMG	134aVULN|2CGEN|5aDMG|6RCR|7LHND|8LWND|9aCDMG|aBPWR
51	62332 61125	   	218.99	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9aRMIN
52	23432 11214	   	218.91	DCR|4VULN|2DMG|2CDMG	134aVULN|2CGEN|5aDMG|6RCR|7DUST|8LWND|9aCDMG|aBPWR
53	23432 11414	   	218.91	DCR|4VULN|2DMG|2CDMG	134aVULN|2CGEN|5aDMG|6RCR|7DUST|8FEWX|9aCDMG|aBPWR
54	64431 13333	   	218.89	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|234VULN|5RMIN|6RCR|7TLV|8ZMB|9CDMG|aAART
55	22432 11214	   	218.81	DCR|4VULN|2DMG|2CDMG	134aVULN|2ERES|5aDMG|6RCR|7DUST|8LHND|9aCDMG|aBPWR
56	22432 11414	   	218.81	DCR|4VULN|2DMG|2CDMG	134aVULN|2ERES|5aDMG|6RCR|7DUST|8FEWX|9aCDMG|aBPWR
57	22432 11514	   	218.81	DCR|4VULN|2DMG|2CDMG	134aVULN|2ERES|5aDMG|6RCR|7DUST|8LWND|9aCDMG|aBPWR
58	24432 11214	   	218.81	DCR|4VULN|2DMG|2CDMG	134aVULN|2TLV|5aDMG|6RCR|7DUST|8LWND|9aCDMG|aBPWR
59	23432 12532	 * 	218.47	DCR|3VULN|3DMG|1AART|1SELL	134VULN|2CGEN|57aDMG|6RCR|8SELL|9AART
60	22432 12522	 * 	218.37	DCR|3VULN|3DMG|1AART|1SELL	134VULN|2ERES|579DMG|6RCR|8SELL|aAART
61	24432 12522	 * 	218.37	DCR|3VULN|3DMG|1AART|1SELL	134VULN|2TLV|579DMG|6RCR|8SELL|aAART
62	33431 61124	   	218.30	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR|1AAC|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MDPS|aAAC
63	62332 61115	   	217.73	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MLV|aRMIN
64	62332 61121	   	217.73	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9RMIN|aAME
65	62332 61122	   	217.73	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9RMIN|aRPLT
66	62332 61126	   	217.73	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9RMIN|aLHND
67	64233 61121	   	217.73	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9RMIN|aAME
68	64233 61122	   	217.73	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9RMIN|aRPLT
69	64431 11232	   	217.72	DCR|4VULN|3DMG	18aDMG|2348VULN|5RMIN|6RCR|78DUST|8BPWR|9MLV
70	62332 61123	   	217.63	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9RMIN|aTLV
71	62332 61135	   	217.63	DCR|3VULN|1MDPS|2DMG|2ASPD|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ERES|aRMIN
72	64233 61123	   	217.63	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	18DMG|248VULN|3MDPS|5AAC|6RCR|78ASPD|8BPWR|9RMIN|aTLV
73	64432 32132	 * 	217.33	DCR|3VULN|3DMG|1ASPD|1ZMB	159DMG|234VULN|6ASPD|7LIT|8ZMB|aRCR
74	33161 61162	   	217.26	DCR|2DMG|1VULN|1AART|1ASPD|3DUR|2ZMB	18aDUR|2ASPD|38ZMB|4VULN|5FEWX|6RCR|78DMG|8BPWR|9AART
75	33123 61162	   	217.16	DCR|2DMG|1VULN|1AART|1ASPD|3DUR|2ZMB	18aDUR|2ASPD|38ZMB|4DUST|5VULN|6RCR|78DMG|8BPWR|9AART
76	33161 61152	 * 	217.13	DCR|2DMG|3ZMB|1VULN|1ASPD|1CDMG|2DUR	18DUR|2ASPD|389ZMB|4VULN|5FEWX|6RCR|78DMG|8BPWR|aCDMG
77	33123 61152	   	217.03	DCR|2DMG|3ZMB|1VULN|1ASPD|1CDMG|2DUR	18DUR|2ASPD|389ZMB|4DUST|5VULN|6RCR|78DMG|8BPWR|aCDMG
78	26432 51231	   	216.82	DCR|2VULN|2DMG|1MDPS|1CDMG|2DUR|2ZMB	18VULN|27DUR|38DMG|48ZMB|5RCVC|6RCR|8BPWR|9CDMG|aMDPS
79	23436 12361	 * 	216.62	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	134VULN|2CGEN|5ASPD|6RCR|7DMG|8ZMB|9RCVC|aAART
80	33432 51214	 * 	216.57	DCR|3VULN|1ASPD|1DMG|3DUR|2ZMB	178DUR|2ASPD|38aVULN|48ZMB|5RCVC|6RCR|8BPWR|9DMG
81	33162 51214	   	216.57	DCR|3VULN|1ASPD|1DMG|3DUR|2ZMB	178DUR|2ASPD|38ZMB|48aVULN|5RCVC|6RCR|8BPWR|9DMG
