0	Index      	 *	Score 	Summary	Detail	
148	64431 12132	   	210.18	DCR|3VULN|3DMG|1DUR	17aDMG|234VULN|5RMIN|6RCR|8CGEN|9DUR
149	24432 15312	   	209.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	134VULN|2TLV|5DMG|6RCR|7LHND|8DUR|9CDMG|aAART
150	64431 12111	   	209.90	DCR|3VULN|2DMG|1AART|1NUKE	17DMG|234VULN|5RMIN|6RCR|8CGEN|9NUKE|aAART
151	24432 13233	   	209.83	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	134VULN|27TLV|5DMG|6RCR|8DUR|9CDMG|aAART
152	23432 12212	   	209.58	DCR|3VULN|2DMG|1NUKE|1ZMB	134VULN|2CGEN|57DMG|6RCR|8ZMB|9NUKE|aFEWX
153	23432 12213	   	209.58	DCR|3VULN|2DMG|1NUKE|1ZMB	134VULN|2CGEN|57DMG|6RCR|8ZMB|9NUKE|aDUST
154	23432 12214	   	209.58	DCR|3VULN|2DMG|1NUKE|1ZMB	134VULN|2CGEN|57DMG|6RCR|8ZMB|9NUKE|aRPLT
155	23432 12215	   	209.58	DCR|3VULN|2DMG|1NUKE|1ZMB	134VULN|2CGEN|57DMG|6RCR|8ZMB|9NUKE|aERES
156	23432 12216	   	209.58	DCR|3VULN|2DMG|1NUKE|1ZMB	134VULN|2CGEN|57DMG|6RCR|8ZMB|9NUKE|aLHND
157	32423 61612	 * 	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|28BEXP|37DMG|4ASPD|5VULN|6RCR|9CDMG|aAART
158	21431 61151	   	209.38	DCR|2VULN|2DMG|2ASPD|2ZMB	18VULN|2LEGI|38DMG|49ZMB|5FEWX|6RCR|78ASPD|8BPWR|aRPLT
159	21431 61153	   	209.38	DCR|2VULN|2DMG|2ASPD|2ZMB	18VULN|2LEGI|38DMG|49ZMB|5FEWX|6RCR|78ASPD|8BPWR|aLWND
160	64122 11216	 * 	209.35	ACR|2VULN|2DMG|1AART|1ASPD|3DUR|2ZMB	18DMG|26VULN|38ZMB|4RCR|578DUR|8BPWR|9ASPD|aAART
161	21431 61152	   	209.28	DCR|2VULN|2DMG|2ASPD|2ZMB|1MSE	18VULN|2LEGI|38DMG|49ZMB|5FEWX|6RCR|78ASPD|8BPWR|aMSE
162	22432 12236	   	208.98	DCR|3VULN|2DMG|1CDMG|2DUR	134VULN|2ERES|57DMG|6RCR|8aDUR|9CDMG
163	24432 12236	   	208.98	DCR|3VULN|2DMG|1CDMG|2DUR	134VULN|2TLV|57DMG|6RCR|8aDUR|9CDMG
164	32423 61421	 * 	208.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2BEXP|379DMG|4ASPD|5VULN|6RCR|8AART|aRPLT
165	32423 61422	   	208.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2BEXP|379DMG|4ASPD|5VULN|6RCR|8AART|aFEWX
166	32423 61423	   	208.87	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2BEXP|379DMG|4ASPD|5VULN|6RCR|8AART|aLHND
167	33421 61421	   	208.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3VULN|479DMG|5FEWX|6RCR|8AART|aRPLT
168	33421 61422	   	208.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3VULN|479DMG|5aFEWX|6RCR|8AART
169	33162 52312	   	208.83	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ASPD|3ZMB|4VULN|5RCVC|6RCR|7DMG|8RMIN|9CDMG|aAART
170	33432 52312	   	208.83	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ASPD|3VULN|4ZMB|5RCVC|6RCR|7DMG|8RMIN|9CDMG|aAART
171	33431 61151	   	208.81	DCR|2VULN|2DMG|1ASPD|2DUR|2ZMB	18DUR|2ASPD|38VULN|49ZMB|5FEWX|6RCR|78DMG|8BPWR|aRPLT
172	33431 61153	   	208.81	DCR|2VULN|2DMG|1ASPD|2DUR|2ZMB	18DUR|2ASPD|38VULN|49ZMB|5FEWX|6RCR|78DMG|8BPWR|aLWND
173	33421 61423	   	208.77	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3VULN|479DMG|5FEWX|6RCR|8AART|aDUST
174	26325 52322	   	208.77	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1VULN|2DUR|3AME|4ASPD|5AART|6RCR|7ERES|89aDMG
175	33431 61152	   	208.71	DCR|2VULN|2DMG|1ASPD|2DUR|2ZMB|1MSE	18DUR|2ASPD|38VULN|49ZMB|5FEWX|6RCR|78DMG|8BPWR|aMSE
176	32433 61122	   	208.70	DCR|2DMG|1MDPS|2ASPD|1VULN|1CDMG|2DUR|1ZMB	18DUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9MDPS|aCDMG
177	64431 11312	   	208.56	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|234VULN|5RMIN|6RCR|7DUST|8LHND|9CDMG|aAART
178	64431 13133	   	208.46	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1DMG|234VULN|5RMIN|6RCR|7TLV|8AAC|9CDMG|aAART
