0	Index      	 *	Score 	Summary	Detail	
1	22412 26511	 * 	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1FEWX|2CDMG|3CANSTR|4DUR|58VULN|6DMG|7RCR|9MBVNT|aMDPS
2	36531 16311	 * 	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1RCR|2TBNT|3DUR|4LHND|567VULN|8CDMG|9BBNT|aMDPS
3	21632 12163	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2RMIN|3CDMG|4DUR|5AEBURN|6RCR|79VULN|8LWND|aMDPS
4	21632 12363	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2RMIN|3CDMG|4DUR|5AEBURN|6RCR|79VULN|8LHND|aMDPS
5	22232 12163	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2CDMG|3MLV|4DUR|5AEBURN|6RCR|79VULN|8LWND|aMDPS
6	22232 12363	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2CDMG|3MLV|4DUR|5AEBURN|6RCR|79VULN|8LHND|aMDPS
7	22532 12163	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2CDMG|3RMIN|4DUR|5AEBURN|6RCR|79VULN|8LWND|aMDPS
8	22532 12363	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2CDMG|3RMIN|4DUR|5AEBURN|6RCR|79VULN|8LHND|aMDPS
9	61321 32111	 * 	357.35	DCR|4VULN|1MDPS|2TLV|1DUR	1RCVC|28LIT|38TLV|478aVULN|5MDPS|6RCR|8BPWR|9DUR
