0	Index      	 *	Score 	Summary	Detail	
32	61134 23413	   	216.02	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	12DUR|2BPWR|3BEXP|4AART|5RCR|6TLV|7VULN|8CDMG|9ASPD|aBASARM
33	63134 23413	   	216.02	ACR|1BASARM|1VULN|1AART|1ASPD|1CDMG|1BEXP	12DUR|3BEXP|4AART|5RCR|6TLV|7VULN|8CDMG|9ASPD|aBASARM
34	31134 43413	   	215.92	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	12DUST|2BPWR|3BEXP|4AART|5RCR|6VULN|7MLV|8CDMG|9ASPD|aBASARM
35	31134 23413	   	215.82	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	12DUST|2BPWR|3BEXP|4AART|5RCR|6TLV|7VULN|8CDMG|9ASPD|aBASARM
36	31134 53413	   	215.82	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	12DUST|2BPWR|3BEXP|4AART|5RCR|6ERES|7VULN|8CDMG|9ASPD|aBASARM
37	11121 14346	 * 	214.44	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG|1BEXP	1CDMG|2BEXP|3LIT|4ERES|5RCR|6LHND|7BASARM|8ASPD|9VULN|aDMG
38	21315 53111	   	214.12	ACR|1BASARM|1BASICY|1VULN|1AART|1BEXP|1CDMG	1RMIN|2BEXP|3CDMG|4RCR|5FEWX|6BASICY|7LIT|8BASARM|9VULN|aAART
39	11514 16131	 * 	214.04	ACR|2ASPD|1DMG|1BASICY|2CDMG|1AART|1BEXP	16CDMG|2BEXP|3aASPD|4RCR|56LHND|6BPWR|7BASICY|8AART|9DMG
40	11512 12222	 * 	213.79	ACR|1BASARM|2ASPD|2BEXP|1CDMG|1SELL	1CDMG|28BEXP|39ASPD|4RCR|5SELL|6DMSP|7ERES|aBASARM
41	11512 13422	 * 	213.79	ACR|1BASARM|2ASPD|2BEXP|1CDMG|1SELL	1CDMG|27BEXP|39ASPD|4RCR|5SELL|6DMSP|8TLV|aBASARM
42	11512 13522	 * 	213.79	ACR|1BASARM|2ASPD|2BEXP|1CDMG|1SELL	1CDMG|27BEXP|38ASPD|4RCR|5SELL|6DMSP|9TLV|aBASARM
43	11512 61222	 * 	213.69	ACR|1BASARM|2ASPD|2BEXP|1CDMG|1SELL	1CDMG|28BEXP|39ASPD|4RCR|5SELL|67ERES|aBASARM
44	11512 63622	 * 	213.69	ACR|1BASARM|2ASPD|2BEXP|1CDMG|1SELL	1CDMG|27BEXP|39ASPD|4RCR|5SELL|6ERES|8AEMAG|aBASARM
45	11321 13115	 * 	213.13	ACR|2VULN|3BEXP|1ASPD|1DMG|1CDMG|1AAC	1CDMG|246BEXP|3aVULN|5RCR|7DMG|8AAC|9ASPD
46	13431 25313	   	213.10	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1CDMG|24VULN|3FEWX|5RCR|6DUR|7AART|8CGEN|9ASPD|aBASARM
47	13431 25213	   	213.00	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1CDMG|24VULN|3FEWX|5RCR|6DUR|7AART|8AME|9ASPD|aBASARM
48	13431 25513	   	213.00	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1CDMG|24VULN|3FEWX|5RCR|6DUR|7AART|8ERES|9ASPD|aBASARM
49	11515 53313	 * 	212.85	ACR|3ASPD|2CDMG|1BASICY|1VULN|1BEXP	19CDMG|2BEXP|389ASPD|4RCR|5FEWX|6BASICY|79LIT|9BPWR|aVULN
50	13231 64331	 * 	212.00	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1CDMG|24VULN|3LEGI|5RCR|6RPLT|7BASARM|8AART|9LHND|aDMG
51	13231 64341	   	212.00	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1CDMG|24VULN|3LEGI|5RCR|6RPLT|7BASARM|8AART|9FEWX|aDMG
52	13231 64351	   	212.00	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1CDMG|24VULN|3LEGI|5RCR|6RPLT|7BASARM|8AART|9LWND|aDMG
53	13231 64363	   	212.00	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1CDMG|24VULN|3LEGI|5RCR|6RPLT|7BASARM|8AART|9ASPD|aDUR
54	14331 51613	   	212.00	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	1CDMG|2DUR|34VULN|5RCR|6AME|7FEWX|8AART|9ASPD|aBASARM
55	13611 15333	   	211.70	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|2VULN|3AME|4RCR|5ZMB|69BEXP|7AART|8DUST|aBASARM
56	11321 13315	   	210.87	ACR|2VULN|3BEXP|2DMG|2CDMG	19CDMG|246BEXP|3aVULN|5RCR|79DMG|89FEWX|9BPWR
57	11321 13613	   	210.77	ACR|2VULN|3BEXP|2DMG|2CDMG	19CDMG|246BEXP|39VULN|5RCR|79DMG|8LEGI|9BPWR|aLWND
58	11321 13614	   	210.77	ACR|2VULN|3BEXP|2DMG|2CDMG	19CDMG|246BEXP|39VULN|5RCR|79DMG|8LEGI|9BPWR|aLHND
59	13611 12633	   	210.70	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|2VULN|3AME|4RCR|5ZMB|69BEXP|7DUST|8AART|aBASARM
60	11611 24633	   	210.70	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1CDMG|29BEXP|3TLV|4RCR|5ZMB|6DUST|7VULN|8AART|aBASARM
61	32311 14633	   	210.70	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1DUST|2ERES|3CDMG|4RCR|5ZMB|69BEXP|7VULN|8AART|aBASARM
62	11321 13612	   	210.67	ACR|2VULN|3BEXP|2DMG|2CDMG	19CDMG|246BEXP|39VULN|5RCR|79DMG|8LEGI|9BPWR|aERES
63	11516 26131	   	210.43	ACR|2ASPD|1DMG|1BASICY|1AART|1BEXP|1CDMG	1CDMG|2BEXP|3aASPD|4RCR|5RCVC|6LWND|7BASICY|8AART|9DMG
64	13231 64322	   	210.00	ACR|2VULN|1BASARM|1BASICY|1AART|1CDMG	1CDMG|24VULN|3LEGI|5RCR|6RPLT|7BASARM|8AART|9RMIN|aBASICY
65	13511 34324	   	209.72	ACR|2ASPD|1VULN|2BEXP|2CDMG|1AART	19CDMG|2VULN|39ASPD|4RCR|5ZMB|6AIRARM|7RCVC|89BEXP|9BPWR|aAART
66	13611 15353	   	209.49	ACR|1BASARM|2VULN|1AART|1BEXP|1CDMG	1CDMG|29VULN|3AME|4RCR|5ZMB|6BEXP|7AART|8DUST|aBASARM
67	13511 15312	 * 	209.33	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2VULN|39ASPD|4RCR|5ZMB|6BEXP|7AART|8CGEN|aDMG
68	11121 14366	 * 	209.23	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1CDMG|2aBEXP|3LIT|4ERES|5RCR|6aLHND|7BASARM|8aASPD|9RMIN|aBPWR
69	11511 56212	   	209.23	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG|1BEXP	1CDMG|2BEXP|39ASPD|4RCR|5ZMB|6AME|7AART|8VULN|aDMG
70	13511 15212	   	209.23	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG|1BEXP	1CDMG|2VULN|39ASPD|4RCR|5ZMB|6BEXP|7AART|8AME|aDMG
71	13511 15512	   	209.23	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2VULN|39ASPD|4RCR|5ZMB|6BEXP|7AART|8ERES|aDMG
72	11121 14326	   	209.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1CDMG|2aBEXP|3LIT|4ERES|5RCR|6aLHND|7BASARM|8aASPD|9MDPS|aBPWR
73	11121 44326	   	209.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1CDMG|2aBEXP|3LIT|4ERES|5RCR|6aFEWX|7BASARM|8aASPD|9MDPS|aBPWR
74	11321 13344	   	208.85	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	1CDMG|246BEXP|3VULN|5RCR|7DMG|8FEWX|9ASPD|aAART
75	11321 13644	   	208.75	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	1CDMG|246BEXP|3VULN|5RCR|7DMG|8LEGI|9ASPD|aAART
76	11514 52131	   	208.63	ACR|2ASPD|1DMG|1BASICY|1AART|1BEXP|1CDMG	1CDMG|2BEXP|3aASPD|4RCR|5LHND|6BASICY|7AART|8DMSP|9DMG
77	11514 52322	   	208.63	ACR|2ASPD|1DMG|1BASICY|1AART|1BEXP|1CDMG	1CDMG|2BEXP|3aASPD|4RCR|5LHND|6BASICY|7AART|8DMG|9ZMB
78	11514 52332	   	208.63	ACR|2ASPD|1DMG|1BASICY|1AART|1BEXP|1CDMG	1CDMG|2BEXP|3aASPD|4RCR|5LHND|6BASICY|7AART|8DMG|9CGEN
79	13611 12653	   	208.49	ACR|1BASARM|2VULN|1AART|1BEXP|1CDMG	1CDMG|29VULN|3AME|4RCR|5ZMB|6BEXP|7DUST|8AART|aBASARM
80	32311 14653	   	208.49	ACR|1BASARM|2VULN|1AART|1BEXP|1CDMG	1DUST|2ERES|3CDMG|4RCR|5ZMB|6BEXP|79VULN|8AART|aBASARM
81	11511 53612	   	208.23	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG|1BEXP	1CDMG|2BEXP|39ASPD|4RCR|5ZMB|6AME|7VULN|8AART|aDMG
82	21315 53161	 * 	208.08	ACR|1BASARM|1ASPD|2CDMG|1BASICY|1BEXP	1RMIN|2BEXP|39CDMG|4RCR|5FEWX|6BASICY|7LIT|8BASARM|aASPD
83	11514 51131	   	207.63	ACR|2ASPD|1DMG|1BASICY|1AART|1BEXP|1CDMG	1CDMG|2BEXP|3aASPD|4RCR|5LHND|6BASICY|7DMSP|8AART|9DMG
84	11514 16123	 * 	207.43	ACR|2ASPD|2AART|1BASICY|2CDMG|1BEXP	16CDMG|2BEXP|39ASPD|4RCR|56LHND|6BPWR|7BASICY|8aAART
85	11321 25323	   	206.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6DUST|7AART|8CGEN|9ZMB|aBASARM
86	11421 56223	   	206.80	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1CDMG|24BEXP|3FEWX|5RCR|6AME|7AART|8VULN|9ZMB|aBASARM
87	11321 25223	   	206.70	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6DUST|7AART|8AME|9ZMB|aBASARM
88	11321 25523	   	206.70	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6DUST|7AART|8ERES|9ZMB|aBASARM
89	13511 15161	   	206.66	ACR|2VULN|2BEXP|1ASPD|2CDMG|1AART	1aCDMG|2aVULN|3ASPD|4RCR|5ZMB|6aBEXP|7AART|89RMIN|aBPWR
90	11321 13454	 * 	206.55	ACR|3BEXP|1VULN|3CDMG|1ASPD|1DMG	189CDMG|246BEXP|3VULN|5RCR|7DMG|aASPD
91	13512 15612	   	206.32	ACR|2VULN|2BEXP|1ASPD|2CDMG|1AART|1SELL	1aCDMG|2aVULN|3ASPD|4RCR|5SELL|6DMSP|7AART|8ERES|9aBEXP|aBPWR
92	11514 52311	 * 	205.88	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART|1CDMG	1CDMG|2aBEXP|3ASPD|4RCR|5LHND|6BASICY|7AART|8DMG|9LWND
93	11321 51623	   	205.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6AME|7FEWX|8AART|9ZMB|aBASARM
94	21315 53115	   	205.78	ACR|1BASARM|1BASICY|1VULN|1BEXP|1CDMG|1AAC	1RMIN|2BEXP|3CDMG|4RCR|5FEWX|6BASICY|7LIT|8BASARM|9VULN|aAAC
95	13514 51112	   	205.72	ACR|2ASPD|2AART|1VULN|1BEXP|1CDMG	1CDMG|2VULN|3aASPD|4RCR|5LHND|6VENTOX|78AART|9BEXP
96	11321 54623	   	205.70	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6AME|7DUST|8AART|9ZMB|aBASARM
97	13511 15342	 * 	205.58	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1CDMG|2VULN|3ASPD|4RCR|5ZMB|69BEXP|7AART|8CGEN|aDMG
98	11321 13456	 * 	205.55	ACR|3BEXP|1VULN|3CDMG|1DMG|1BASICY	189CDMG|246BEXP|3VULN|5RCR|7DMG|aBASICY
99	13511 15242	   	205.48	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1CDMG|2VULN|3ASPD|4RCR|5ZMB|69BEXP|7AART|8AME|aDMG
100	13511 13135	 * 	205.30	ACR|2DMG|1VULN|1ASPD|2CDMG|1BEXP|1AAC	17CDMG|2VULN|3ASPD|4RCR|5ZMB|6BEXP|8aDMG|9AAC
101	13231 64312	 * 	205.25	ACR|4VULN|1BASARM|1AART|1CDMG	1CDMG|249aVULN|3LEGI|5RCR|6RPLT|7BASARM|8AART
