0	Index      	 *	Score 	Summary	Detail	
55	42143 31336	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1AART	1DMG|29TLV|38VULN|4aBEXP|56RCR|7AART
56	42143 32633	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1DUR	1DMG|29TLV|37VULN|4BEXP|56RCR|8RAT|aDUR
57	42143 31331	   	265.37	ACR|DCR|2VULN|2TLV|1DMG|1AART|1SELL	1DMG|29TLV|38VULN|4BEXP|56RCR|7AART|aSELL
58	42143 31333	   	265.37	ACR|DCR|2VULN|2TLV|1DMG|1AART	1DMG|29TLV|38VULN|4BEXP|56RCR|7AART|aAEWIND
59	42143 31334	   	265.37	ACR|DCR|2VULN|2TLV|1DMG|1AART	1DMG|29TLV|38VULN|4BEXP|56RCR|7AART|aERES
60	42153 31336	   	265.37	ACR|DCR|2VULN|2TLV|1DMG|1AART	1DMG|29TLV|38VULN|4LEGI|56RCR|7AART|aBEXP
61	42153 31331	   	265.27	ACR|DCR|2VULN|2TLV|1DMG|1AART|1SELL	1DMG|29TLV|38VULN|4LEGI|56RCR|7AART|aSELL
62	42153 31333	   	265.27	ACR|DCR|2VULN|2TLV|1DMG|1AART	1DMG|29TLV|38VULN|4LEGI|56RCR|7AART|aAEWIND
63	42153 31334	   	265.27	ACR|DCR|2VULN|2TLV|1DMG|1AART	1DMG|29TLV|38VULN|4LEGI|56RCR|7AART|aERES
64	25236 26231	 * 	264.91	DCR|4VULN|3DMG|2DUR	1358VULN|289DMG|48DUR|6RCR|7RCVC|8BPWR|aFEWX
65	25236 26232	   	264.81	DCR|4VULN|3DMG|2DUR	1358VULN|289DMG|48DUR|6RCR|7RCVC|8BPWR|aERES
66	25236 26233	   	264.81	DCR|4VULN|3DMG|2DUR|1MSE	1358VULN|289DMG|48DUR|6RCR|7RCVC|8BPWR|aMSE
67	25236 33242	   	264.71	DCR|4VULN|3DMG|2DUR	1358VULN|28aDMG|48DUR|6TBNT|7RCR|8BPWR|9AME
68	42143 33142	   	263.63	ACR|DCR|3VULN|1TLV|1DMG	1DMG|2TLV|38aVULN|4BEXP|56RCR|7CGEN|9LIT
69	42143 35223	   	263.63	ACR|DCR|3VULN|1TLV|1DMG	1DMG|2TLV|38aVULN|4BEXP|56RCR|7FEWX|9RCVC
70	42153 33142	   	263.53	ACR|DCR|3VULN|1TLV|1DMG	1DMG|2TLV|38aVULN|4LEGI|56RCR|7CGEN|9LIT
71	25363 21114	 * 	263.13	DCR|3VULN|2DMG|2DUR|2AART	189VULN|29DMG|3ASPD|4CGEN|57AART|69DUR|9BPWR|aRCR
72	25236 26212	   	262.90	DCR|4VULN|2DMG|2DUR|1CDMG	1358VULN|28DMG|48DUR|6RCR|7RCVC|8BPWR|9BEXP|aCDMG
73	25236 26221	   	262.80	DCR|4VULN|2DMG|2DUR|1AART	1358VULN|28DMG|48DUR|6RCR|7RCVC|8BPWR|9AEBURN|aAART
74	22236 33631	   	262.08	DCR|DCR|2VULN|1TLV	13VULN|2ERES|4TLV|5ASPD|6TBNT|7aRCR|8RAT|9DMSP
75	42143 31353	   	262.08	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9ASPD|aFEWX
76	42143 31352	   	261.98	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9ASPD|aERES
77	42153 31353	   	261.98	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9ASPD|aFEWX
78	42153 31352	   	261.88	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9ASPD|aERES
79	25235 33211	 * 	260.50	DCR|4VULN|3DUR|2DMG	138aVULN|28DMG|458DUR|6TBNT|7RCR|8BPWR|9DUST
80	42143 36333	   	259.17	ACR|DCR|2VULN|2DMG|1TLV	1aDMG|2TLV|3aVULN|4aBEXP|56RCR|7RPLT|8BOSS|9BBNT|aBPWR
81	42143 36132	   	259.08	ACR|DCR|2VULN|2DMG|1TLV	19DMG|2TLV|3aVULN|48BEXP|56RCR|7RPLT
82	42153 36232	   	258.97	ACR|DCR|2VULN|2DMG|1TLV	19DMG|2TLV|3aVULN|4LEGI|56RCR|7RPLT|8RCVC
83	35213 36413	   	258.09	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1AAC	1DUST|2DMG|37VULN|4RMIN|56RCR|8MLV|9DUR|aAAC
84	41143 31331	   	258.01	ACR|DCR|3VULN|1DMG|1AART	1DMG|2CGEN|38aVULN|4BEXP|56RCR|7AART|9ASPD
85	41153 31331	   	257.91	ACR|DCR|3VULN|1DMG|1AART	1DMG|2CGEN|38aVULN|4LEGI|56RCR|7AART|9ASPD
86	36263 31361	   	257.11	ACR|DCR|3VULN|1TLV|1AART|1AAC	1DUST|2CGEN|38aVULN|4AAC|56RCR|7AART|9TLV
87	42143 32411	   	257.09	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4BEXP|56RCR|8MLV|9RCVC|aLHND
88	42143 32412	   	257.09	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4BEXP|56RCR|8MLV|9RCVC|aCGEN
89	42143 32422	   	257.09	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4BEXP|56RCR|8MLV|9MGNSTR|aRPLT
90	42143 32431	   	257.09	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4BEXP|56RCR|8MLV|9BELT|aFEWX
91	25235 33241	   	257.04	DCR|3VULN|3DUR|2DMG|1MLV	138VULN|28DMG|458DUR|6TBNT|7RCR|8BPWR|9MLV|aLWND
92	25235 33243	   	257.04	DCR|3VULN|3DUR|2DMG|1MLV	138VULN|28DMG|458DUR|6TBNT|7RCR|8BPWR|9MLV|aBEXP
93	42143 32421	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4BEXP|56RCR|8MLV|9MGNSTR|aMGNBOS
94	42143 32423	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4BEXP|56RCR|8MLV|9MGNSTR|aDLOT
95	42143 32433	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1MSE	1DMG|2TLV|37VULN|4BEXP|56RCR|8MLV|9BELT|aMSE
96	42153 32411	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4LEGI|56RCR|8MLV|9RCVC|aLHND
97	42153 32412	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4LEGI|56RCR|8MLV|9RCVC|aCGEN
98	42153 32422	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4LEGI|56RCR|8MLV|9MGNSTR|aRPLT
99	42153 32431	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4LEGI|56RCR|8MLV|9FEWX|aLIT
100	21132 32445	   	256.91	ACR|DCR|3VULN|1TLV|1CDMG	136VULN|2AEPOI|4aRCR|5BBNT|7MDPS|8TLV|9CDMG
101	42153 32421	   	256.89	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4LEGI|56RCR|8MLV|9MGNSTR|aMGNBOS
102	42153 32423	   	256.89	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4LEGI|56RCR|8MLV|9MGNSTR|aDLOT
103	42153 32432	   	256.89	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1DMG|2TLV|37VULN|4LEGI|56RCR|8MLV|9FEWX|aDUST
104	12116 31611	 * 	256.84	DCR|DCR|1VULN|2MLV|1TLV	1DMSP|2BBNT|3LHND|4ERES|59MLV|67RCR|8VULN|aTLV
105	25245 31223	 * 	256.56	DCR|4VULN|2DMG|3ASPD|1AART	1389VULN|29DMG|4AART|58AEFRZ|689ASPD|7BBNT|89BPWR|aRCR
106	11124 31345	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1DMSP|2DUR|37VULN|4DUST|5CGEN|6aRCR|8BBNT|9CDMG
107	42143 31633	   	256.23	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1DMG|2TLV|3VULN|4BEXP|56RCR|7AART|8LHND|9CDMG|aDUR
108	42643 31333	   	256.23	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1DMG|2TLV|3LWND|4BEXP|56RCR|7AART|8VULN|9CDMG|aDUR
109	42143 31225	   	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1DMG|2TLV|3VULN|4BEXP|56RCR|7AART|8ERES|9CDMG|aDUR
110	42153 31225	   	256.03	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1DMG|2TLV|3VULN|4LEGI|56RCR|7AART|8ERES|9CDMG|aDUR
111	25241 32343	 * 	255.99	DCR|4VULN|2DMG|2AART	1358VULN|27DMG|49AART|6ASPD|aRCR
112	22231 33631	   	255.14	DCR|DCR|2VULN|1TLV|1AAC	13VULN|2ERES|4TLV|5AAC|6TBNT|7aRCR|8RAT|9DMSP
113	22231 33661	 * 	255.14	DCR|DCR|2VULN|1TLV|2AAC	13VULN|2ERES|4TLV|59AAC|6TBNT|7aRCR|8RAT
114	42143 31321	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9FEWX|aLHND
115	42143 31323	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9FEWX|aRAT
116	42143 31325	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9FEWX|aBELT
117	42143 31343	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9CGEN|aFEWX
118	42143 31363	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9RMIN|aFEWX
119	42143 32113	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9CGEN|aAAC
120	42143 32135	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9DUR|aCGEN
121	42143 32152	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9LWND|aCDMG
122	42143 32153	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9LWND|aAAC
123	42143 32162	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9FEWX|aCDMG
124	42143 32163	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8LHND|9FEWX|aAAC
125	42143 32511	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8AAC|9DUR|aLIT
