0	Index      	 *	Score 	Summary	Detail	
170	42153 33133	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|38VULN|4LEGI|56RCR|7CGEN|9FEWX|aAAC
171	42153 33143	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|38VULN|4LEGI|56RCR|7CGEN|9LIT|aDUR
172	42153 33153	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7CGEN|9AART|aFEWX
173	42153 35213	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|38VULN|4LEGI|56RCR|7FEWX|9CGEN|aAAC
174	42153 36213	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|3aVULN|4LEGI|56RCR|7RPLT|8RCVC|9DUR
175	42643 32231	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|3LWND|4BEXP|56RCR|78VULN|9DUR|aDUST
176	42653 32213	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|3LWND|4LEGI|56RCR|78VULN|9CGEN|aAAC
177	42653 32222	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|3LWND|4LEGI|56RCR|78VULN|9FEWX|aCDMG
178	42653 32223	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|3LWND|4LEGI|56RCR|78VULN|9FEWX|aAAC
179	41143 31362	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2CGEN|38VULN|4BEXP|56RCR|7AART|9TLV|aERES
180	25443 31332	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	18VULN|2DMG|3AME|4BEXP|56RCR|7AART|9TLV|aERES
181	25453 31333	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	18VULN|2DMG|3AME|4LEGI|56RCR|7AART|9TLV|aFEWX
182	35453 32231	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1MSE	1DUST|2DMG|3TLV|4LHND|56RCR|78VULN|9DUR|aMSE
183	41153 31362	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2CGEN|38VULN|4LEGI|56RCR|7AART|9TLV|aERES
184	42143 31211	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|3aVULN|4BEXP|56RCR|7AART|8ERES|9AEBURN
185	42143 31311	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART|1SELL	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9AEBURN|aSELL
186	42143 31313	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9AEBURN|aAEWIND
187	42143 31314	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4BEXP|56RCR|7AART|9AEBURN|aERES
188	42143 32252	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|37VULN|4BEXP|56RCR|8AME|9AART|aERES
189	42143 32313	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4BEXP|56RCR|8MSE|9CGEN|aAAC
190	42143 32343	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4BEXP|56RCR|8MSE|9ERES|aAAC
191	42143 32353	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4BEXP|56RCR|8MSE|9LWND|aAAC
192	42143 32363	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4BEXP|56RCR|8MSE|9FEWX|aAAC
193	42143 32521	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8AAC|9RAT|aDUST
194	42143 32522	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8AAC|9RAT|aRMIN
195	42143 32523	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8AAC|9RAT|aAME
196	42143 32531	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4BEXP|56RCR|8AAC|9AETHUN|aLIT
197	42143 32532	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4BEXP|56RCR|8AAC|9AETHUN|aMSE
198	42153 31236	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|3aVULN|4LEGI|56RCR|7AART|8ERES|9FEWX
199	42153 31316	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9AEBURN|aBEXP
200	42153 31322	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9FEWX|aAEPOI
201	42153 31324	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9FEWX|aBBNT
202	42153 31342	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9CGEN|aERES
203	42153 31362	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9RMIN|aERES
204	42153 32133	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9AME|aAAC
205	42153 32143	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8LHND|9ERES|aAAC
206	42153 32213	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DMG|2TLV|37VULN|4LEGI|56RCR|8AME|9RCVC|aCDMG
207	42153 32216	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|37VULN|4LEGI|56RCR|8AME|9RCVC|aDUR
208	42153 32233	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AME|9FEWX|aAAC
209	42153 32253	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|37VULN|4LEGI|56RCR|8AME|9AART|aFEWX
210	42153 33152	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7CGEN|9AART|aERES
211	42153 35231	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TLV|38VULN|4LEGI|56RCR|7FEWX|9DUR|aDUST
212	42653 32233	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|3LWND|4LEGI|56RCR|78VULN|9AME|aAAC
213	25453 31332	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AART	18VULN|2DMG|3AME|4LEGI|56RCR|7AART|9TLV|aERES
214	42153 31211	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|3aVULN|4LEGI|56RCR|7AART|8ERES|9AEBURN
215	42153 31311	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AART|1SELL	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9AEBURN|aSELL
216	42153 31313	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9AEBURN|aAEWIND
217	42153 31314	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|38VULN|4LEGI|56RCR|7AART|9AEBURN|aERES
218	42153 32252	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2TLV|37VULN|4LEGI|56RCR|8AME|9AART|aERES
219	42153 32313	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4LEGI|56RCR|8MSE|9CGEN|aAAC
220	42153 32333	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AAC|1MSE	1DMG|2TLV|37VULN|4LEGI|56RCR|8MSE|9DUR|aAAC
221	42153 32343	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4LEGI|56RCR|8MSE|9ERES|aAAC
222	42153 32353	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4LEGI|56RCR|8MSE|9LWND|aAAC
223	42153 32363	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4LEGI|56RCR|8MSE|9FEWX|aAAC
224	42153 32511	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9RCVC|aLHND
225	42153 32512	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9RCVC|aCGEN
226	42153 32521	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9BLASTR|aMULHEA
227	42153 32522	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9BLASTR|aRPLT
228	42153 32523	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9BLASTR|aDLOT
229	42153 32531	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9FEWX|aLIT
230	42153 32532	   	254.84	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1MSE	1DMG|2TLV|37VULN|4LEGI|56RCR|8AAC|9FEWX|aMSE
231	35253 36332	 * 	254.81	ACR|DCR|3VULN|2DMG	18DUST|29DMG|38aVULN|48ERES|56RCR|7RPLT|8BPWR
232	43131 36523	   	254.81	ACR|DCR|3VULN|2DMG	18DMG|2MDPS|3AEFBLL|46RCR|58ERES|78aVULN|8BPWR|9RCVC
