0	Index      	 *	Score 	Summary	Detail	
38	34453 13133	   	197.38	ACR|1BASARM|2ASPD|1BEXP	16ERES|2CGEN|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aMLV
39	34453 23131	   	197.38	ACR|1BASARM|2ASPD|1BEXP	1ERES|26CGEN|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aLEGI
40	52453 23313	   	197.38	ACR|1BASARM|2ASPD|1CDMG	1AME|2ERES|3RCR|4BASARM|5aASPD|6CGEN|7FEWX|8VULN|9CDMG
41	34453 11112	   	197.38	ACR|1BASARM|2ASPD|1AART	16ERES|2CGEN|3RCR|4BASARM|58ASPD|7FEWX|9VULN|aAART
42	52453 11112	   	197.28	ACR|1BASARM|2ASPD|1AART	1AME|26ERES|3RCR|4BASARM|58ASPD|7FEWX|9VULN|aAART
43	34453 13131	   	197.28	ACR|1BASARM|2ASPD|1BEXP	16ERES|2CGEN|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aLEGI
44	52453 13133	   	197.28	ACR|1BASARM|2ASPD|1BEXP	1AME|26ERES|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aMLV
45	52453 13131	   	197.18	ACR|1BASARM|2ASPD|1BEXP	1AME|26ERES|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aLEGI
46	34453 23113	 * 	196.86	ACR|1BASARM|2ASPD|2VULN	1ERES|26CGEN|3RCR|4BASARM|58ASPD|79VULN|aMLV
47	34453 13113	   	196.76	ACR|1BASARM|2ASPD|2VULN	16ERES|2CGEN|3RCR|4BASARM|58ASPD|79VULN|aMLV
48	34453 23111	   	196.76	ACR|1BASARM|2ASPD|2VULN	1aERES|26CGEN|3RCR|4BASARM|58ASPD|79VULN
49	34453 23112	   	196.76	ACR|1BASARM|2ASPD|2VULN	1ERES|26CGEN|3RCR|4BASARM|58ASPD|79VULN|aMDPS
50	34453 13111	   	196.66	ACR|1BASARM|2ASPD|2VULN	16aERES|2CGEN|3RCR|4BASARM|58ASPD|79VULN
51	34453 13112	   	196.66	ACR|1BASARM|2ASPD|2VULN	16ERES|2CGEN|3RCR|4BASARM|58ASPD|79VULN|aMDPS
52	52453 13113	   	196.66	ACR|1BASARM|2ASPD|2VULN	1AME|26ERES|3RCR|4BASARM|58ASPD|79VULN|aMLV
53	52453 13111	   	196.56	ACR|1BASARM|2ASPD|2VULN	1AME|26aERES|3RCR|4BASARM|58ASPD|79VULN
54	52453 13112	   	196.56	ACR|1BASARM|2ASPD|2VULN	1AME|26ERES|3RCR|4BASARM|58ASPD|79VULN|aMDPS
55	34453 31131	   	196.10	ACR|1BASARM|2BEXP|1ASPD|1AAC	1ERES|2CGEN|3RCR|4BASARM|5ASPD|6LIT|7AAC|8RCVC|9aBEXP
56	34453 31331	   	196.10	ACR|1BASARM|2BEXP|1ASPD|1AAC	1ERES|2CGEN|3RCR|4BASARM|5ASPD|6LIT|7AAC|8LWND|9aBEXP
57	34451 22233	   	194.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1ERES|29CGEN|3RCR|4BASARM|5BEXP|6ZMB|7CDMG|8AAC|aASPD
58	34451 22213	   	194.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1ERES|2CGEN|3RCR|4BASARM|5BEXP|6ZMB|7CDMG|8AAC|9MBVNT|aASPD
59	25114 21315	   	194.04	ACR|1BASARM|2BEXP|1ASPD|2AAC	1DUR|26AAC|3LWND|4ASPD|5RCR|7FEWX|89BEXP|aBASARM
60	25334 43112	 * 	193.71	ACR|3BEXP|2DMG|1ASPD|1AAC	1DUR|2AAC|36DMG|469BEXP|5RCR|6BPWR|7LIT|8VULN|aASPD
61	34451 13213	   	193.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|28CGEN|3RCR|4BASARM|5BEXP|6DUR|7VULN|9CDMG|aASPD
62	34451 22113	   	193.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2CGEN|3RCR|4BASARM|5BEXP|6ZMB|7CDMG|8VULN|9DMSP|aASPD
63	34451 22132	   	193.55	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ERES|2aCGEN|3RCR|4BASARM|5BEXP|6ZMB|7CDMG|8VULN|9DMG
64	34452 32111	   	193.55	ACR|1BASARM|1DMG|1AART|1CDMG	1ERES|2CGEN|3RCR|4BASARM|5aLWND|6DMG|7CDMG|8VULN|9AART
65	34453 32123	   	193.55	ACR|1BASARM|1ASPD|1CDMG|1AART	1ERES|2CGEN|3RCR|4BASARM|5ASPD|6LIT|7CDMG|8RCVC|9AART|aVULN
66	34451 21313	   	193.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2CGEN|3RCR|4BASARM|5BEXP|6ZMB|7AME|8VULN|9CDMG|aASPD
67	34451 22123	   	193.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG	19ERES|2CGEN|3RCR|4BASARM|5BEXP|6ZMB|7CDMG|8VULN|aASPD
68	34451 22131	   	193.45	ACR|1BASARM|1DMG|1BEXP|1CDMG	1aERES|2CGEN|3RCR|4BASARM|5BEXP|6ZMB|7CDMG|8VULN|9DMG
69	34452 32112	   	193.45	ACR|1BASARM|1DMG|1AART|1CDMG	1ERES|2CGEN|3RCR|4BASARM|5LWND|6DMG|7CDMG|8VULN|9AART|aAME
70	34452 32113	   	193.45	ACR|1BASARM|1DMG|1AART|1CDMG	1aERES|2CGEN|3RCR|4BASARM|5LWND|6DMG|7CDMG|8VULN|9AART
71	34452 12112	   	193.02	ACR|1BASARM|1ASPD|1DMG|1AART	1ERES|2CGEN|3RCR|4BASARM|5LWND|6RCVC|7RMIN|8ASPD|9AART|aDMG
72	34453 21221	   	193.02	ACR|1BASARM|1ASPD|1BASICY|1BEXP	1ERES|26CGEN|3RCR|4BASARM|5ASPD|79FEWX|8BASICY|aBEXP
73	34453 33211	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ERES|27CGEN|3RCR|4BASARM|5ASPD|6LIT|8DMG|9LWND|aBEXP
74	34453 33232	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ERES|27aCGEN|3RCR|4BASARM|5ASPD|6LIT|8DMG|9BEXP
75	52452 12112	   	192.92	ACR|1BASARM|1ASPD|1DMG|1AART	1AME|2ERES|3RCR|4BASARM|5LWND|6RCVC|7RMIN|8ASPD|9AART|aDMG
76	34453 11221	   	192.92	ACR|1BASARM|1ASPD|1BASICY|1BEXP	16ERES|2CGEN|3RCR|4BASARM|5ASPD|79FEWX|8BASICY|aBEXP
77	34453 21211	   	192.92	ACR|1BASARM|1ASPD|1BASICY|1BEXP	19ERES|26CGEN|3RCR|4BASARM|5ASPD|7FEWX|8BASICY|aBEXP
78	34453 33233	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ERES|27CGEN|3RCR|4BASARM|5ASPD|6LIT|8DMG|9BEXP|aTLV
79	52452 31111	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	17AME|2ERES|3RCR|4BASARM|5LWND|6DMG|8ASPD|9AART|aFEWX
80	52452 31132	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	17AME|2ERES|3RCR|4BASARM|5LWND|6DMG|8ASPD|9ZMB|aAART
81	52452 32213	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AME|2ERES|3RCR|4BASARM|5LWND|6DMG|7DUST|8CGEN|9CDMG|aASPD
82	52453 32133	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	1AME|2ERES|3RCR|4BASARM|5ASPD|6MDPS|7LIT|8AART|9DMG|aDUR
83	34452 21112	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	1ERES|2CGEN|3RCR|4BASARM|5LWND|67AME|8ASPD|9AART|aDMG
84	34452 32132	   	192.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1ERES|2CGEN|3RCR|4BASARM|5LWND|6DMG|7CDMG|8aVULN|9DUST
85	34453 11211	   	192.82	ACR|1BASARM|1ASPD|1BASICY|1BEXP	169ERES|2CGEN|3RCR|4BASARM|5ASPD|7FEWX|8BASICY|aBEXP
86	52452 21112	   	192.72	ACR|1BASARM|1ASPD|1DMG|1AART	17AME|2ERES|3RCR|4BASARM|5LWND|6TLV|8ASPD|9AART|aDMG
87	52453 13221	   	192.72	ACR|1BASARM|2VULN|1ASPD|1BEXP	1AME|26ERES|3RCR|4BASARM|5ASPD|79VULN|8VENTOX|aBEXP
88	52453 32132	   	192.72	ACR|1BASARM|1ASPD|1DMG|1AART	1AME|2ERES|3RCR|4BASARM|5ASPD|6MDPS|7LIT|8AART|9DMG|aAEMAG
89	33463 33133	   	191.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1ERES|2MDPS|3LWND|4ASPD|5RCR|6LHND|79BEXP|8BASARM|aCDMG
90	34453 21123	   	190.54	ACR|1BASARM|2ASPD|1BEXP	1ERES|26CGEN|3RCR|4BASARM|58ASPD|7FEWX|9ZMB|aBEXP
91	52453 22123	   	190.44	ACR|1BASARM|2ASPD|1BEXP	1AME|2ERES|3RCR|4BASARM|58ASPD|6CGEN|7RMIN|9ZMB|aBEXP
92	52453 22133	   	190.44	ACR|1BASARM|2ASPD|1AART	1AME|2ERES|3RCR|4BASARM|58ASPD|6CGEN|7RMIN|9FEWX|aAART
93	34452 31212	   	190.44	ACR|1BASARM|2DMG|1AART	1ERES|28CGEN|3RCR|4BASARM|5LWND|6aDMG|7AME|9AART
94	34453 11123	   	190.44	ACR|1BASARM|2ASPD|1BEXP	16ERES|2CGEN|3RCR|4BASARM|58ASPD|7FEWX|9ZMB|aBEXP
95	52453 11123	   	190.34	ACR|1BASARM|2ASPD|1BEXP	1AME|26ERES|3RCR|4BASARM|58ASPD|7FEWX|9ZMB|aBEXP
96	52122 51162	   	190.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1AME|2ERES|3LWND|4BELT|5RCR|6AART|7BASARM|8BEXP|9ASPD|aCDMG
97	56352 22131	   	189.81	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1AME|2LIT|3AAC|4RCR|5VENICY|6AART|7BASARM|8MLV|9ASPD|aCDMG
98	56352 22133	   	189.81	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1AME|2LIT|3AAC|4RCR|5VENICY|6AART|7BASARM|8MLV|9ASPD|aBEXP
99	56352 22231	   	189.71	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AME|2LIT|3AAC|4RCR|5VENICY|6AART|7BASARM|8ERES|9ASPD|aCDMG
100	56352 22331	   	189.71	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1AME|2LIT|3AAC|4RCR|5VENICY|6AART|7BASARM|8TLV|9ASPD|aCDMG
101	56352 22333	   	189.71	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1AME|2LIT|3AAC|4RCR|5VENICY|6AART|7BASARM|8TLV|9ASPD|aBEXP
102	34451 22221	   	189.69	ACR|1BASARM|2BEXP|1CDMG|1AAC	1ERES|2CGEN|3RCR|4BASARM|59BEXP|6ZMB|7CDMG|8AAC|aFEWX
103	34451 22222	   	189.69	ACR|1BASARM|2BEXP|1CDMG|1AAC	1ERES|2CGEN|3RCR|4BASARM|59BEXP|6ZMB|7CDMG|8AAC|aLHND
104	34451 21332	 * 	189.25	ACR|2BASARM|2BEXP	1ERES|2CGEN|3RCR|4aBASARM|5aBEXP|6ZMB|7aAME|8VULN|9LHND|aBPWR
105	34453 31333	   	189.11	ACR|1BASARM|1ASPD|2AAC|1BEXP	1ERES|2CGEN|3RCR|4BASARM|5ASPD|6LIT|7aAAC|8LWND|9BEXP
106	25334 43133	 * 	189.06	ACR|2DMG|2BEXP|2VULN|1CDMG|1AAC	1DUR|2AAC|36DMG|46BEXP|5RCR|6BPWR|7LIT|89VULN|aCDMG
107	52423 51112	   	188.22	ACR|1BASARM|2BEXP|1AART	1AME|2ERES|3RCR|4BELT|5LHND|6AART|7BASARM|8aBEXP|9VULN
108	34452 32122	   	188.20	ACR|1BASARM|1DMG|1CDMG|1AAC	1ERES|2aCGEN|3RCR|4BASARM|5LWND|6DMG|7CDMG|8VULN|9AAC
109	34452 32121	   	188.10	ACR|1BASARM|1DMG|1CDMG|1AAC	1aERES|2CGEN|3RCR|4BASARM|5LWND|6DMG|7CDMG|8VULN|9AAC
110	52451 23111	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1AME|2ERES|3RCR|4BASARM|57BEXP|6ZMB|8ASPD|9DMSP|aRPLT
111	52451 23131	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1AME|2ERES|3RCR|4BASARM|57BEXP|6ZMB|8ASPD|9CGEN|aLHND
112	34453 33213	   	187.68	ACR|1BASARM|1ASPD|1DMG|1AAC	1ERES|27CGEN|3RCR|4BASARM|5ASPD|6LIT|8DMG|9LWND|aAAC
113	52451 21113	   	187.59	ACR|1BASARM|2BEXP|1ASPD	17AME|2ERES|3RCR|4BASARM|5aBEXP|6ZMB|8ASPD|9DMSP
114	52451 21121	   	187.59	ACR|1BASARM|2BEXP|1ASPD	17AME|2ERES|3RCR|4BASARM|59BEXP|6ZMB|8ASPD|aRPLT
115	52451 23112	   	187.59	ACR|1BASARM|2BEXP|1ASPD	1AME|2ERES|3RCR|4BASARM|57BEXP|6ZMB|8ASPD|9DMSP|aTLV
116	52451 23132	   	187.59	ACR|1BASARM|2BEXP|1ASPD	1aAME|2ERES|3RCR|4BASARM|57BEXP|6ZMB|8ASPD|9CGEN
117	34453 31231	 * 	187.58	ACR|1BASARM|1ASPD|2CDMG|1AAC	1ERES|2CGEN|3RCR|4BASARM|5ASPD|6LIT|7AAC|8RMIN|9aCDMG
118	52451 12332	   	187.49	ACR|1BASARM|2BEXP|1DMG	1AME|2ERES|3RCR|4BASARM|59BEXP|6DUR|7MBVNT|8MDPS|aDMG
119	52451 12333	   	187.49	ACR|1BASARM|2BEXP|1ASPD	1AME|2ERES|3RCR|4BASARM|59BEXP|6DUR|7MBVNT|8MDPS|aASPD
120	52451 21122	   	187.49	ACR|1BASARM|2BEXP|1ASPD	17AME|2ERES|3RCR|4BASARM|59BEXP|6ZMB|8ASPD|aTLV
121	52453 11231	   	187.48	ACR|1BASARM|1ASPD|1BASICY|1AAC	1AME|26ERES|3RCR|4BASARM|5ASPD|7FEWX|8BASICY|9AAC|aLIT
122	52453 11232	   	187.48	ACR|1BASARM|1ASPD|1BASICY|1AAC	1AME|26ERES|3RCR|4BASARM|5ASPD|7FEWX|8BASICY|9AAC|aLWND
123	22432 42423	   	186.93	ACR|1BASARM|1AART|1CDMG|1BEXP	1DUR|2AEMAG|3RCR|4BEXP|5CDMG|6MDPS|7VULN|8BASARM|9SPLARM|aAART
124	34451 31213	   	186.61	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|28CGEN|3RCR|4BASARM|5BEXP|6FEWX|7DUR|9CDMG|aASPD
125	34451 33213	   	186.61	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|28CGEN|3RCR|4BASARM|5BEXP|6FEWX|7LHND|9CDMG|aASPD
126	34453 32122	   	186.61	ACR|1BASARM|1ASPD|1CDMG|1AART	1ERES|2CGEN|3RCR|4BASARM|5ASPD|6LIT|7CDMG|8RCVC|9AART|aRPLT
