0	Index      	 *	Score 	Summary	Detail	
1	24418 44453	 * 	433.91	DCR|4VULN|1MDPS|1DMG	1379VULN|2MBVNT|4CANSTR|5DUR|6DMG|8RCR|aMDPS
2	24438 44453	   	433.91	DCR|4VULN|1MDPS|1DMG	1379VULN|2MBVNT|4SPLJET|5DUR|6DMG|8RCR|aMDPS
3	24464 13474	   	413.95	DCR|4VULN|1MDPS	1367VULN|2MBVNT|4BEXP|5LHND|8DUR|9RCR|aMDPS
4	21215 11453	   	413.95	DCR|4VULN|1MDPS	1389VULN|25RMIN|3BPWR|4DUR|6DUST|7RCR|aMDPS
5	21213 36453	   	413.85	DCR|4VULN|1MDPS	1369VULN|2RMIN|3BPWR|4DUR|5SPLARM|7MBVNT|8RCR|aMDPS
6	24418 24453	   	413.85	DCR|4VULN|1MDPS	1379VULN|2MBVNT|4CANSTR|5DUR|6CGEN|8RCR|aMDPS
7	24423 74453	   	413.85	DCR|4VULN|1MDPS	1379VULN|2MBVNT|4RMIN|5SPLARM|6DUR|8RCR|aMDPS
8	24438 24453	   	413.85	DCR|4VULN|1MDPS	1379VULN|2MBVNT|4SPLJET|5DUR|6CGEN|8RCR|aMDPS
9	23216 11633	 * 	411.58	DCR|2MDPS|2VULN	13VULN|239ERES|3BPWR|4DUR|5DMSP|6DUST|7RCR|8aMDPS
10	22331 34166	   	405.58	DCR|2MDPS|1VULN|1CDMG|1DMG	1VULN|2CGEN|3RPLT|4FLTFST|5DUR|6RCR|7DMG|8CDMG|9aMDPS
