0	Index      	Bounty	 *	Score 	Summary	Detail	
42	21111 11414	9	   	278.60	DCR|4VULN|2DUR|1DMG|2CDMG	1679VULN|29DUR|3MLV|4RPLT|5DMG|89CDMG|9BPWR|aRCR
43	21111 11464	8	   	278.60	DCR|4VULN|2DUR|1DMG|2CDMG	1679VULN|29DUR|3MLV|4RPLT|5DMG|89CDMG|9BPWR|aRCR
44	12121 32455	1	   	278.40	DCR|4VULN|2DUR|3LIT|2TLV	129LIT|269BPWR|3BBNT|46DUR|569aVULN|79TLV|8RCR
45	23325 16312	9	   	278.26	DCR|4VULN|2DUR|2CDMG|1DMG|1SELL	139aVULN|2SELL|49CDMG|5DMG|6ERES|79DUR|8RCR|9BPWR
46	23325 16314	10	   	278.26	DCR|4VULN|2DUR|2CDMG|1DMG|1SELL	139aVULN|2SELL|49CDMG|5DMG|6ERES|79DUR|8RCR|9BPWR
47	23325 16362	8	   	278.26	DCR|4VULN|2DUR|2CDMG|1DMG|1SELL	139aVULN|2SELL|49CDMG|5DMG|6ERES|79DUR|8RCR|9BPWR
48	21325 11322	2	   	278.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	13VULN|235DUR|3BPWR|4aDMG|6RCR|7TLV|8LIT|9CDMG
49	23142 31632	7	   	277.73	DCR|5VULN|2DUR|2CDMG|1SELL	1579aVULN|2SELL|36DUR|46CDMG|6BPWR|8RCR
50	26251 12236	4	   	277.29	DCR|4VULN|3DMG|1DUR	1459VULN|2RPLT|345DMG|45BPWR|6DUR|7BEXP|8ZMB|aRCR
51	26251 23236	4	   	277.19	DCR|4VULN|3DMG|1DUR	1459VULN|2RPLT|345DMG|45BPWR|6DUST|7DUR|8ZMB|aRCR
52	21325 15116	2	   	276.38	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	13aVULN|235DUR|3BPWR|4DMG|6RCR|7ASPD|8ZMB|9TLV
53	21321 63161	2	   	276.32	DCR|4VULN|2DMG|2DUR	1389VULN|23DUR|39BPWR|49DMG|579LHND|6RCR|aBEXP
54	21321 63164	2	   	276.32	DCR|4VULN|2DMG|2DUR	1389VULN|23DUR|39BPWR|49DMG|579LHND|6RCR|aZMB
55	21321 63165	2	   	276.32	DCR|4VULN|2DMG|2DUR	1389VULN|23DUR|39BPWR|49DMG|579LHND|6RCR|aFEWX
56	21321 63662	2	   	276.32	DCR|4VULN|2DMG|2DUR	139aVULN|23DUR|39BPWR|49DMG|579LHND|6RCR|8RCVC
57	21662 43331	5	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9LIT|aRPLT
58	21662 43332	5	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9LIT|aRCVC
59	21662 43333	5	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9LIT|aZMB
60	21663 43331	4	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9LIT|aRPLT
61	21663 43332	4	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9LIT|aRCVC
62	21663 43333	4	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9LIT|aZMB
63	21662 43321	5	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9DMSP|aLIT
64	21663 43321	4	   	276.26	DCR|4VULN|3DUR|1TLV	1467VULN|234DUR|4BPWR|5TLV|8RCR|9DMSP|aLIT
65	21663 33511	5	   	276.25	DCR|4VULN|3DUR|1CDMG|1ASPD	1457VULN|234DUR|45BPWR|6ASPD|8CDMG|9TBNT|aRCR
66	21321 63163	2	   	276.22	DCR|4VULN|2DMG|2DUR	1389VULN|23DUR|39BPWR|49DMG|579LHND|6RCR|aDUST
67	21621 63162	3	   	276.22	DCR|4VULN|2DMG|2DUR	189aVULN|23DUR|49DMG|579LHND|6RCR|9BPWR
68	26551 12133	6	 * 	276.02	DCR|4VULN|2DMG|3ASPD	1459VULN|2RPLT|348ASPD|4BPWR|67DMG|aRCR
69	26251 16133	6	   	276.02	DCR|4VULN|2DMG|3ASPD	1459VULN|2RPLT|34DMG|4BPWR|678ASPD|aRCR
