0	Index      	Bounty	 *	Score 	Summary	Detail	
42	51621 13125	4	   	269.65	DCR|3VULN|3DUR|3ASPD|1NUKE|1AART	17aDUR|2AART|3NUKE|4aLHND|579ASPD|67aVULN|7aBPWR|8RCR
43	51621 13125	3	   	269.65	DCR|3VULN|3DUR|3ASPD|1NUKE|1AART	17aDUR|2AART|3NUKE|4aLWND|579ASPD|67aVULN|7aBPWR|8RCR
44	51631 13125	4	   	269.65	DCR|3VULN|3DUR|3ASPD|1NUKE|1AART	17aDUR|2AART|3NUKE|4aBEXP|579ASPD|67aVULN|7aBPWR|8RCR
45	62225 23141	9	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1TLV|24DMG|356VULN|7CGEN|8aDUR|9RCR
46	51132 11425	9	 * 	269.45	DCR|4VULN|2DUR|2ASPD|1AART	1aDUR|2AART|3LHND|4RPLT|5aASPD|689aVULN|7RCR|aBPWR
47	51332 11425	9	   	269.45	DCR|4VULN|2DUR|2ASPD|1AART	1aDUR|2AART|3RPLT|4FEWX|5aASPD|689aVULN|7RCR|aBPWR
48	51232 11425	9	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	1aDUR|2AART|3LEGI|4RPLT|5aASPD|689aVULN|7RCR|aBPWR
49	52524 33332	5	   	269.34	DCR|3VULN|3DMG|2DUR	19DUR|257BEXP|3RCVC|459DMG|59BPWR|689VULN|aRCR
50	52624 33332	5	   	269.34	DCR|3VULN|3DMG|2DUR	19DUR|257BEXP|3DMSP|459DMG|59BPWR|689VULN|aRCR
51	62223 26621	7	   	269.31	DCR|3VULN|3DMG|1TLV|2LIT	1TLV|24aDMG|379VULN|56LIT|8RCR
52	62223 53621	7	   	269.31	DCR|3VULN|3DMG|1TLV|2LIT	1TLV|24aDMG|369VULN|57LIT|8RCR
53	31325 23262	9	 * 	268.78	ACR|3VULN|3DUR|2DMG|3CDMG|1SELL	1SELL|268CDMG|39DMG|4RCR|589VULN|789DUR|89BPWR|aLIT
54	31325 23263	10	 * 	268.78	ACR|3VULN|3DUR|2DMG|3CDMG|1SELL	1SELL|268CDMG|39DMG|4RCR|589VULN|789DUR|89BPWR|aLIT
55	62212 24343	5	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1TLV|2DMG|3589VULN|4RPLT|6RCR|7DUR|aLIT
56	56132 44252	3	   	267.75	DCR|4VULN|3DUR|1TLV	157DUR|2478VULN|3MBVNT|6TBNT|7BPWR|9RCR|aTLV
57	56131 23842	3	   	266.94	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	19DUR|249VULN|3MBVNT|5BEXP|6TLV|79ASPD|8RCR|9BPWR|aCDMG
58	53332 26222	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|24aVULN|3aLHND|6aDMG|7RCR|9RMIN|aBPWR
59	53332 26231	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aBEXP
60	53332 26232	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aDMSP
61	53332 26233	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aLWND
62	53332 26235	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aCGEN
63	53522 26222	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|23aVULN|4aLHND|6aDMG|7RCR|9RMIN|aBPWR
64	53522 26231	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|239VULN|49LHND|69DMG|7RCR|9BPWR|aBEXP
65	53522 26232	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|239VULN|49LHND|69DMG|7RCR|9BPWR|aDMSP
66	53522 26233	1	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|239VULN|49LHND|69DMG|7RCR|9BPWR|aLWND
67	56332 26222	2	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|24aVULN|3aLHND|6aDMG|7RCR|9RMIN|aBPWR
68	56332 26231	2	   	266.81	DCR|3VULN|3DUR|2DMG	158DUR|249VULN|39LHND|69DMG|7RCR|9BPWR|aBEXP
