0	Index      	 *	Score 	Summary	Detail	
39	42322 53512	 * 	257.19	ACR|DCR|3VULN|2CDMG	19RCR|23aVULN|4aLWND|5BEXP|6MBVNT|7LHND|8aCDMG|aBPWR
40	42332 53512	   	256.99	ACR|DCR|3VULN|2CDMG	19RCR|23aVULN|4aDUST|5BEXP|6MBVNT|7LHND|8aCDMG|aBPWR
41	46133 22522	   	256.81	ACR|DCR|2VULN|1DMG|1CDMG|1MSE	18RCR|2SPLARM|3CDMG|4DMG|5AAC|69VULN|7DUR|aMSE
42	46133 22523	   	256.81	ACR|DCR|2VULN|1DMG|1CDMG	18RCR|2SPLARM|3CDMG|4DMG|5AAC|69VULN|7DUR|aMGNSTR
43	46133 22533	   	256.81	ACR|DCR|2VULN|1DMG|1CDMG	18RCR|2SPLARM|3CDMG|4DMG|5AAC|6aVULN|7DUR|9DUST
44	13234 11123	   	255.72	DCR|DCR|1VULN|1DMG|1AART	1DUR|2TBNT|3TLV|4BBNT|5VULN|6DMG|7AART|8LHND|9aRCR
45	13234 11223	   	255.72	DCR|DCR|1VULN|1DMG|1AART	1DUR|2TBNT|3TLV|4BBNT|5VULN|6DMG|7AART|8BEXP|9aRCR
46	22234 11123	   	255.72	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2DUR|3TLV|4BBNT|5VULN|6DMG|7AART|8LHND|9aRCR
47	22234 11223	   	255.72	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2DUR|3TLV|4BBNT|5VULN|6DMG|7AART|8BEXP|9aRCR
48	63234 11323	   	255.72	DCR|DCR|1VULN|1DMG|1AART	1BEXP|2TBNT|3TLV|4BBNT|5VULN|6DMG|7AART|8DUR|9aRCR
