0	Index      	 *	Score 	Summary	Detail	
37	14113 82523	 * 	198.38	DCR|3VULN|2ASPD|1NUKE|1DUR	13AME|236VULN|36BPWR|4MBVNT|56ASPD|7CGEN|8DUR|9RCR|aNUKE
38	14133 63412	   	198.05	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13AME|23VULN|3BPWR|4DMG|5CDMG|6AART|7ASPD|8LHND|9RCR|aMLV
39	34133 63412	   	198.05	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13CGEN|23VULN|3BPWR|4DMG|5CDMG|6AART|7ASPD|8LHND|9RCR|aMLV
40	14133 63411	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13AME|23VULN|3BPWR|4DMG|5CDMG|6AART|7ASPD|8LHND|9RCR|aDUST
41	34133 63411	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13CGEN|23VULN|3BPWR|4DMG|5CDMG|6AART|7ASPD|8LHND|9RCR|aDUST
42	34114 22813	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13CGEN|23VULN|3BPWR|4MBVNT|5CDMG|6AART|7ERES|8ASPD|9RCR|aDMG
43	36148 24513	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2AART|3MBVNT|48VULN|5CDMG|6ERES|7ASPD|9RCR|aDMG
44	54114 24813	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13ERES|23VULN|3BPWR|4MBVNT|5CDMG|6AART|7CGEN|8ASPD|9RCR|aDMG
45	34114 21333	 * 	197.72	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|239VULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|8RCR|aDMG
46	34114 23333	   	197.72	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|239VULN|3BPWR|4MBVNT|5CDMG|6AART|7LHND|8RCR|aDMG
47	34114 26333	   	197.72	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|239VULN|3BPWR|4MBVNT|5CDMG|6AART|7LWND|8RCR|aDMG
48	36148 24344	 * 	197.52	DCR|3VULN|1AART|1ASPD|1CDMG	1CGEN|2AART|3MBVNT|49aVULN|5CDMG|6ERES|7ASPD|8RCR
49	61531 61141	 * 	197.43	DCR|2VULN|2ASPD|1DMG|1CDMG	19LIT|2RMIN|3DMSP|4MBVNT|5DMG|69VULN|79ASPD|8RCR|9BPWR|aCDMG
50	44213 23122	 * 	196.27	DCR|3VULN|2ASPD|1CDMG|1DUR	1LEGI|269VULN|3aASPD|4DUR|5ERES|7CDMG|8RCR
51	44213 42122	   	196.27	DCR|3VULN|2ASPD|1CDMG|1DUR	1LEGI|279VULN|3aASPD|4DUR|5ERES|6CDMG|8RCR
52	12233 63315	   	196.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AME|2MLV|3ZMB|4DMG|5CDMG|6AART|7ASPD|8VULN|9RCR|aDUR
53	36261 51233	 * 	196.20	ACR|3VULN|2AART|2ASPD|1DUR	1CGEN|29AART|36ASPD|4RCR|567VULN|6BPWR|8DUR|aRCVC
54	36261 51231	   	195.88	ACR|3VULN|2AART|2ASPD|1DUR	1CGEN|29AART|36ASPD|4RCR|567VULN|6BPWR|8DUR|aRPLT
55	36261 51232	   	195.78	ACR|3VULN|2AART|2ASPD|1DUR|1SELL	1CGEN|29AART|36ASPD|4RCR|567VULN|6BPWR|8DUR|aSELL
56	14114 21513	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	13AME|238VULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|9RCR|aDMG
57	14114 23513	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	13AME|238VULN|3BPWR|4MBVNT|5CDMG|6AART|7LHND|9RCR|aDMG
58	14114 26513	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	13AME|238VULN|3BPWR|4MBVNT|5CDMG|6AART|7LWND|9RCR|aDMG
59	34114 21513	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|238VULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|9RCR|aDMG
60	34114 23513	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|238VULN|3BPWR|4MBVNT|5CDMG|6AART|7LHND|9RCR|aDMG
61	34114 26513	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|238VULN|3BPWR|4MBVNT|5CDMG|6AART|7LWND|9RCR|aDMG
62	36261 51223	   	195.65	ACR|4VULN|2ASPD|1AART|1DUR	1CGEN|2AART|36ASPD|4RCR|567aVULN|6BPWR|8DUR|9VENFST
63	34114 22814	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	13CGEN|23aVULN|3BPWR|4MBVNT|5CDMG|6AART|7ERES|8ASPD|9RCR
64	36148 24514	   	195.52	DCR|3VULN|1AART|1ASPD|1CDMG	1CGEN|2AART|3MBVNT|48aVULN|5CDMG|6ERES|7ASPD|9RCR
65	54114 21513	   	195.52	DCR|3VULN|1AART|1DMG|1CDMG	13ERES|238VULN|3BPWR|4MBVNT|5CDMG|6AART|7FEWX|9RCR|aDMG
66	54114 24814	   	195.52	DCR|3VULN|1AART|1ASPD|1CDMG	13ERES|23aVULN|3BPWR|4MBVNT|5CDMG|6AART|7CGEN|8ASPD|9RCR
67	14133 61413	 * 	195.48	DCR|2VULN|2DMG|1AART|1NUKE|1CDMG	13AME|23VULN|3BPWR|4aDMG|5CDMG|6AART|7NUKE|8LHND|9RCR
68	34133 61413	   	195.48	DCR|2VULN|2DMG|1AART|1NUKE|1CDMG	13CGEN|23VULN|3BPWR|4aDMG|5CDMG|6AART|7NUKE|8LHND|9RCR
69	34435 42131	   	195.44	DCR|3VULN|2DMG|1ASPD	17CGEN|27aVULN|3LIT|4MBVNT|5ASPD|67DMG|7BPWR|8RCR|9LWND
70	61534 61143	 * 	195.23	DCR|2VULN|2ASPD|1AART|1ZMB	19LIT|2RMIN|3DMSP|4MBVNT|5ZMB|69VULN|79ASPD|8RCR|9BPWR|aAART
71	24441 22312	   	195.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1BEXP|2CDMG|3ASPD|46DMG|5AART|7TLV|8VULN|9RCR|aMLV
72	45233 63313	   	195.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LEGI|2AME|3DMSP|4aDMG|5CDMG|6AART|7ASPD|8VULN|9RCR
73	24441 22311	   	194.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1BEXP|2CDMG|3ASPD|46DMG|5AART|7TLV|8VULN|9RCR|aDUST
