0	Index      	 *	Score 	Summary	Detail	
36	23236 36326	 * 	193.49	DCR|3VULN|1AART|2CDMG|1DUR	1MLV|2DMSP|35CDMG|45aVULN|5BPWR|6AART|7AELBLL|8RCR|9DUR
37	23236 21261	   	192.79	DCR|3VULN|3CDMG|1DMG	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aRMIN
38	25236 21233	 * 	192.36	DCR|3VULN|3CDMG|1NUKE	1MLV|2RCVC|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9CGEN|aNUKE
39	25236 21235	   	192.36	DCR|3VULN|3CDMG|1DMG	1MLV|2RCVC|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9CGEN|aDMG
40	25236 21262	   	192.36	DCR|3VULN|3CDMG|1DMG	1MLV|2RCVC|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aLWND
41	23236 21245	 * 	192.34	DCR|3VULN|3CDMG|1AART	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9LHND|aAART
42	25236 21263	   	192.26	DCR|3VULN|3CDMG|1DMG|1SELL	1MLV|2RCVC|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aSELL
43	64312 31212	   	192.03	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|379VULN|4LWND|5AART|6DMG|8RCR|aRCVC
44	15112 24132	   	191.95	DCR|2VULN|2AART|1DMG|1ZMB	1FEWX|2ZMB|3CGEN|4DUST|58AART|6aVULN|7RCR|9DMG
45	61332 43312	   	191.92	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1MDPS|29VULN|3CGEN|4FEWX|57AART|6RCR|8DMG|aDUR
46	61232 43312	   	191.82	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1MDPS|29VULN|3TLV|4FEWX|57AART|6RCR|8DMG|aDUR
47	61622 43312	   	191.82	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1MDPS|29VULN|3FEWX|4TLV|57AART|6RCR|8DMG|aDUR
48	64312 36212	   	191.79	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	1MDPS|2ZMB|39VULN|4LWND|5AART|67DMG|8RCR|aRCVC
49	64312 31211	   	191.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|379VULN|4LWND|5AART|6DMG|8RCR|aMLV
50	64312 31213	   	191.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|379VULN|4LWND|5AART|6DMG|8RCR|aLIT
51	64312 31214	   	191.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|379VULN|4LWND|5AART|6DMG|8RCR|aAME
52	64312 31215	   	191.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|379VULN|4LWND|5AART|6DMG|8RCR|aFEWX
53	64312 31241	   	191.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|37aVULN|4LWND|5AART|6DMG|8RCR|9LIT
54	15112 24133	   	191.63	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2ZMB|3CGEN|4DUST|58AART|6VULN|7RCR|9DMG|aASPD
55	61232 31213	   	191.60	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|279VULN|3TLV|4FEWX|5AART|6DMG|8RCR|aZMB
56	61622 31213	   	191.60	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|279VULN|3FEWX|4TLV|5AART|6DMG|8RCR|aZMB
57	64312 31216	   	191.60	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|379VULN|4LWND|5AART|6DMG|8RCR|aTLV
58	61232 45333	 * 	191.50	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1DUR	1MDPS|2VULN|3TLV|4FEWX|5aAART|6RCR|7ASPD|8DUR|9DMG
59	61332 36213	   	191.46	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB	1MDPS|29VULN|3CGEN|4FEWX|5AART|67DMG|8RCR|aZMB
60	64312 31242	   	191.46	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB	1MDPS|2ZMB|37VULN|4LWND|5AART|6aDMG|8RCR|9LIT
61	64312 36211	   	191.46	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	1MDPS|2ZMB|39VULN|4LWND|5AART|67DMG|8RCR|aMLV
62	64312 36213	   	191.46	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB	1MDPS|2ZMB|39VULN|4LWND|5AART|67DMG|8RCR|aLIT
63	61232 36213	   	191.36	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	1MDPS|29VULN|3TLV|4FEWX|5AART|67DMG|8RCR|aZMB
64	61622 36213	   	191.36	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	1MDPS|29VULN|3FEWX|4TLV|5AART|67DMG|8RCR|aZMB
65	12112 22662	 * 	191.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1FEWX|2CDMG|3BEXP|48VULN|5DUST|6ASPD|7RCR|9AART|aMDPS
66	32212 16642	   	190.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3ZMB|4DMG|5CGEN|69VULN|7AART|8RCR|aAELBLL
67	32212 16643	   	190.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3ZMB|4DMG|5CGEN|69VULN|7AART|8RCR|aBEXP
68	12112 22664	   	190.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1FEWX|2CDMG|3BEXP|48VULN|5DUST|6ASPD|7RCR|9AART|aDUR
69	64312 31223	 * 	190.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1MDPS|2ZMB|37VULN|4LWND|5AART|6DMG|8RCR|9ERES|aCDMG
70	32212 16616	   	189.90	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3ZMB|4DMG|5CGEN|6VULN|7AART|8RCR|9MLV|aASPD
71	12216 23562	   	189.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	17FEWX|2CDMG|3ZMB|4DMG|5LEGI|6ASPD|8RCR|9AART|aVULN
72	32212 16636	   	189.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3ZMB|4DMG|5CGEN|6VULN|7AART|8RCR|9TLV|aASPD
73	22352 11342	   	189.78	DCR|3VULN|1AART|1ASPD|1DUR	1MLV|2DUR|3LWND|45aVULN|6AART|7ASPD|8RCR|9LHND
74	22352 11352	   	189.78	DCR|3VULN|1AART|1ASPD|1DUR	1MLV|2DUR|3LWND|45aVULN|6AART|7ASPD|8RCR|9CGEN
