0	Index      	 *	Score 	Summary	Detail	
37	13162 34231	   	176.37	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9AART|aRCVC
38	13162 34235	   	176.37	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9AART|aCGEN
39	13162 34243	   	176.37	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9FEWX|aAART
40	13162 62212	 * 	176.37	ACR|2BEXP|1ASPD|1DMG|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6DMG|7CDMG|8LIT|aASPD
41	13162 64333	   	176.37	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6DMG|8CGEN|9AART|aASPD
42	21355 12323	 * 	176.36	ACR|1BASARM|2VULN|1BEXP|1CDMG|1SELL	1LHND|24VULN|3CDMG|5RCR|6LWND|7LIT|8BEXP|9SELL|aBASARM
43	53355 32323	 * 	176.36	ACR|1BASARM|2VULN|1BEXP|1CDMG|1SELL	14VULN|2LWND|3CDMG|5RCR|6DUR|7LIT|8BEXP|9SELL|aBASARM
44	13162 34232	   	176.27	ACR|2BEXP|1DMG|1ASPD|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8DMG|9AART|aERES
45	13162 36236	   	176.27	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|5aBEXP|6ASPD|7AEMAG|8DMG|9AART
46	12335 36432	   	175.11	ACR|1BASARM|3CDMG|1DMG	1NUKE|269CDMG|3ERES|4FEWX|5RCR|7DMG|8MDPS|aBASARM
47	12125 56123	 * 	175.11	ACR|2DMG|2BEXP|2CDMG|1AAC	1NUKE|27CDMG|37BEXP|47AME|5RCR|6MDPS|7BPWR|8AAC|9aDMG
48	13232 61413	   	175.10	ACR|1BASARM|2ASPD|1AAC	1NUKE|2AAC|3LIT|4SNIHEL|5RCR|6CGEN|79ASPD|8RCVC|aBASARM
49	12145 11252	   	175.06	ACR|3DMG|1CDMG|1AART|1BEXP	1NUKE|2CDMG|3BEXP|4CGEN|5RCR|6LWND|78aDMG|9AART
50	13232 31413	   	175.00	ACR|1BASARM|2ASPD|1AAC	1NUKE|2AAC|3LIT|4SNIHEL|5RCR|6ERES|79ASPD|8RCVC|aBASARM
51	12125 11252	   	174.96	ACR|3DMG|1BEXP|1AART|1CDMG	1NUKE|2CDMG|3BEXP|4AME|5RCR|6LWND|78aDMG|9AART
52	21355 12613	 * 	174.89	ACR|1BASARM|3VULN|1CDMG	1LHND|248VULN|3CDMG|5RCR|6LWND|7LIT|9RPLT|aBASARM
53	35512 34541	 * 	174.65	ACR|4VULN|2ASPD|1AAC	1aASPD|2789VULN|3BELT|4RCR|5AAC|6MBVNT
54	52152 34212	   	174.59	ACR|1BASARM|3VULN|1BEXP	19aVULN|2DUR|3AME|4TLV|5RCR|6LEGI|7BASARM|8BEXP
55	22513 11161	 * 	174.37	ACR|1BASARM|1DMG|1BASICY	1LHND|29MLV|3BELT|4RCR|5AIRHEL|6DMG|7CGEN|8BASICY|aBASARM
56	13165 31231	   	174.31	ACR|3DMG|2CDMG|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|5aAEFBLL|6VULN|78aDMG|9aCDMG|aBPWR
57	35516 22122	   	174.27	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|36BELT|4RCR|7DMSP|8LHND|9TLV|aBASARM
58	35516 22132	   	174.27	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|36BELT|4RCR|7DMSP|8LHND|9ERES|aBASARM
59	35516 32122	   	174.27	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|3BELT|4RCR|6RCVC|7DMSP|8LHND|9TLV|aBASARM
60	35516 32132	   	174.27	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|3BELT|4RCR|6RCVC|7DMSP|8LHND|9ERES|aBASARM
61	35516 11222	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|3BELT|4RCR|69ERES|7LHND|8RCVC|aBASARM
62	35516 21122	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|36BELT|4RCR|79ERES|8DUR|aBASARM
63	35516 21222	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|36BELT|4RCR|79ERES|8FEWX|aBASARM
64	35516 22322	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|36BELT|4RCR|7DMSP|8DUST|9TLV|aBASARM
65	35516 22332	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|36BELT|4RCR|7DMSP|8DUST|9ERES|aBASARM
66	35516 31122	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|3BELT|4RCR|6RCVC|79ERES|8DUR|aBASARM
67	35516 31222	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|3BELT|4RCR|6RCVC|79ERES|8FEWX|aBASARM
68	35516 32322	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|3BELT|4RCR|6RCVC|7DMSP|8DUST|9TLV|aBASARM
69	35516 32332	   	174.17	ACR|1BASARM|2VULN|1ASPD	1ASPD|25VULN|3BELT|4RCR|6RCVC|7DMSP|8DUST|9ERES|aBASARM
70	13162 35212	   	173.99	ACR|2AART|1ASPD|1DMG|1BEXP|1AAC	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6ASPD|78AART|9RCVC|aDMG
71	13162 65223	   	173.99	ACR|2AART|1ASPD|1DMG|1BEXP|1AAC	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6DMG|78AART|9CGEN|aASPD
72	13162 32212	 * 	173.90	ACR|2ASPD|2BEXP|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6aASPD|7CDMG|8LIT
73	13162 35353	   	173.90	ACR|2ASPD|2BEXP|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6aASPD|7AART|8MLV
74	13162 64232	   	173.90	ACR|2DMG|2BEXP|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|68DMG|9CDMG|aLIT
75	13162 64233	   	173.90	ACR|2DMG|2BEXP|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|68DMG|9CDMG|aDUR
76	13162 34433	   	173.80	ACR|2ASPD|2BEXP|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6aASPD|8AME|9AART
77	13162 64231	   	173.80	ACR|2DMG|2BEXP|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|68DMG|9CDMG|aFLTARM
78	23525 22126	   	172.85	ACR|2ASPD|1DMG|1BEXP|1AART|1VULN	1LHND|2DUR|3AART|4RPLT|5RCR|68ASPD|7BEXP|9VULN|aDMG
79	12145 11226	 * 	172.75	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	1NUKE|2CDMG|3BEXP|4CGEN|5RCR|6LWND|78DMG|9ASPD|aVULN
80	12125 34412	   	172.55	ACR|2DMG|2CDMG|1BEXP|1AART|1VULN	1NUKE|26CDMG|3BEXP|4AME|5RCR|7AART|8aDMG|9VULN
81	21355 33226	 * 	172.37	ACR|3VULN|2AART|1ASPD|1CDMG|1SELL	1LHND|249VULN|3CDMG|5RCR|6SELL|7ASPD|8aAART
82	13162 36223	   	172.31	ACR|2DMG|1ASPD|1BEXP|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6ASPD|7AEMAG|8aDMG|9VULN
83	21355 11221	 * 	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|78DMG|9ASPD|aBELT
84	21355 11222	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|78DMG|9ASPD|aFEWX
85	21355 11226	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|78DMG|9ASPD|aCGEN
86	21355 41221	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6FEWX|78DMG|9ASPD|aRCVC
87	21355 41222	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6FEWX|78DMG|9ASPD|aCGEN
88	21355 41223	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6aFEWX|78DMG|9ASPD
89	53355 31221	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	14VULN|2LWND|3CDMG|5RCR|6DUR|78DMG|9ASPD|aBELT
90	53355 31222	   	172.23	ACR|2DMG|2VULN|1ASPD|1CDMG	14VULN|2LWND|3CDMG|5RCR|6DUR|78DMG|9ASPD|aFEWX
