0	Index      	 *	Score 	Summary	Detail	
160	12145 23423	   	168.80	ACR|2DMG|2BEXP|1CDMG|1AAC	1NUKE|2CDMG|37BEXP|4CGEN|5RCR|6AAC|8MDPS|9aDMG
161	13162 35235	   	168.76	ACR|2BEXP|2AART|1ASPD|1AAC	1NUKE|2AAC|3RPLT|4RCR|5aBEXP|6ASPD|78AART|9FEWX
162	13162 35251	   	168.76	ACR|2BEXP|2AART|1ASPD|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6ASPD|78AART|aFEWX
163	13162 35253	   	168.76	ACR|2BEXP|2AART|1ASPD|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6ASPD|78AART|aLHND
164	12125 23423	   	168.70	ACR|2DMG|2BEXP|1CDMG|1AAC	1NUKE|2CDMG|37BEXP|4AME|5RCR|6AAC|8MDPS|9aDMG
165	13162 34333	   	168.66	ACR|2BEXP|2AART|1ASPD|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8ERES|9aAART
166	35512 43323	   	168.47	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6AME|7DMG|8BEXP|9LWND|aCDMG
167	35512 43333	   	168.47	ACR|1DMG|1ASPD|1CDMG|1BEXP|1AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5AAC|6AME|7DMG|8BEXP|9LHND|aCDMG
168	13162 32143	   	168.37	ACR|2CDMG|1ASPD|1AART|1BEXP|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6ASPD|7aCDMG|8VULN|9AART
169	13162 35126	   	168.37	ACR|1DMG|1ASPD|1AART|1BEXP|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6ASPD|7AART|8MDPS|9VULN|aDMG
170	13162 62143	   	168.37	ACR|2CDMG|1DMG|1AART|1BEXP|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6DMG|7aCDMG|8VULN|9AART
171	52525 23132	   	168.19	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	18VULN|2DUR|3AART|4RPLT|5RCR|6ASPD|7MDPS|9DMG|aBEXP
172	53525 23132	   	168.19	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	18VULN|2LWND|3AART|4RPLT|5RCR|6ASPD|7MDPS|9DMG|aBEXP
173	56225 23132	   	168.19	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	18VULN|2AART|3FEWX|4RPLT|5RCR|6ASPD|7MDPS|9DMG|aBEXP
174	22512 15332	   	168.06	ACR|1BASARM|1DMG|1BEXP	19LHND|2MLV|3BELT|4RCR|5DUR|6RCVC|7BEXP|8DMG|aBASARM
175	22512 15342	   	168.06	ACR|1BASARM|1DMG|1BEXP	1LHND|2MLV|39BELT|4RCR|5DUR|6RCVC|7BEXP|8DMG|aBASARM
176	22512 15362	   	168.06	ACR|1BASARM|1DMG|1BEXP	1LHND|2MLV|3BELT|4RCR|59DUR|6RCVC|7BEXP|8DMG|aBASARM
177	22512 46332	   	168.06	ACR|1BASARM|1DMG|1BEXP	19LHND|2MLV|3BELT|4RCR|57DUR|6BEXP|8DMG|aBASARM
178	22512 55332	   	168.06	ACR|1BASARM|1DMG|1BEXP	19LHND|2MLV|3BELT|4RCR|56DUR|7BEXP|8DMG|aBASARM
179	21355 33212	 * 	168.05	ACR|2VULN|1ASPD|1DMG|1CDMG|1AART|1SELL	1LHND|24VULN|3CDMG|5RCR|6SELL|7ASPD|8AART|9MLV|aDMG
180	24512 15332	   	167.96	ACR|1BASARM|1DMG|1BEXP	19LHND|2AME|3BELT|4RCR|5DUR|6RCVC|7BEXP|8DMG|aBASARM
181	13166 13116	 * 	167.95	ACR|1ASPD|1DMG|1BASICY|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|5ASPD|6MLV|7CDMG|8BELT|9BASICY|aDMG
182	51152 26133	 * 	167.92	ACR|5VULN|1DMG|1BEXP	12678VULN|37LWND|47DUR|5RCR|7BPWR|9BEXP|aDMG
183	52362 26133	   	167.92	ACR|5VULN|1DMG|1BEXP	13678VULN|27DUR|47LWND|5RCR|7BPWR|9BEXP|aDMG
184	13165 31252	   	167.90	ACR|3DMG|1AART|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|5AEFBLL|6VULN|78aDMG|9AART
185	35512 34121	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8DMG|9BEXP|aDUR
186	35512 34123	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8DMG|9BEXP|aFEWX
187	35512 34124	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8DMG|9BEXP|aRMIN
188	35512 34125	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8DMG|9BEXP|aCGEN
189	35512 34127	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8DMG|9BEXP|aMLV
190	35512 34128	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8DMG|9BEXP|aDMSP
191	35512 34183	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8DMG|9RPLT|aBEXP
192	35512 37122	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|2aVULN|3BELT|4RCR|5AAC|6MBVNT|7RCVC|8DMG|9BEXP
193	35512 43312	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|2aVULN|3BELT|4RCR|5AAC|6AME|7DMG|8BEXP|9RMIN
194	35512 43321	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|2aVULN|3BELT|4RCR|5AAC|6AME|7DMG|8BEXP|9LWND
195	35512 43331	   	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1ASPD|2aVULN|3BELT|4RCR|5AAC|6AME|7DMG|8BEXP|9LHND
196	21355 11231	   	167.82	ACR|3DMG|2VULN|1CDMG	1aLHND|24VULN|3CDMG|5RCR|6LWND|789DMG
197	21355 11232	   	167.82	ACR|3DMG|2VULN|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|789DMG|aDUR
198	21355 41231	   	167.82	ACR|3DMG|2VULN|1CDMG	1aLHND|24VULN|3CDMG|5RCR|6FEWX|789DMG
199	21355 41232	   	167.82	ACR|3DMG|2VULN|1CDMG	1LHND|24VULN|3CDMG|5RCR|6FEWX|789DMG|aDUR
200	53355 31231	   	167.82	ACR|3DMG|2VULN|1CDMG	14VULN|2LWND|3CDMG|5RCR|6DUR|789DMG|aLHND
201	53355 31232	   	167.82	ACR|3DMG|2VULN|1CDMG	14VULN|2LWND|3CDMG|5RCR|6DUR|789DMG|aCGEN
202	53355 31233	   	167.82	ACR|3DMG|2VULN|1CDMG	14VULN|2LWND|3CDMG|5RCR|6DUR|789DMG|aRMIN
203	21355 11235	   	167.72	ACR|3DMG|2VULN|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|789DMG|aTLV
204	21355 11236	   	167.72	ACR|3DMG|2VULN|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|789DMG|aDUST
205	13166 16131	 * 	167.68	ACR|3ASPD|2CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|57aASPD|67MLV|7aBPWR|8aCGEN|9aCDMG
206	26345 31233	   	167.62	ACR|3DMG|2VULN|1CDMG	1LHND|24DUST|3CDMG|5RCR|6aVULN|789DMG
207	13162 35215	 * 	167.57	ACR|2AART|1ASPD|1BEXP|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6ASPD|78AART|9RCVC|aCDMG
208	12125 31421	   	167.52	ACR|3DMG|2CDMG|1BEXP	1NUKE|26CDMG|3BEXP|4AME|5RCR|7DLOT|89aDMG
209	13162 34336	   	167.47	ACR|3BEXP|1ASPD|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57aBEXP|6ASPD|8ERES|9AART
210	35512 12234	   	167.38	ACR|3ASPD|2VULN|1AAC	17aASPD|2aVULN|3BELT|4RCR|5AAC|6VENFST|8LWND|9aAME|aBPWR
211	13162 64323	   	167.18	ACR|2DMG|2BEXP|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6aDMG|8CGEN|9VULN
212	35512 12623	   	167.08	ACR|2ASPD|2BEXP|1AAC|1VULN	17ASPD|2VULN|3BELT|4RCR|5AAC|6VENFST|8aBEXP|9AEMAG
213	12125 31451	   	166.70	ACR|2DMG|2BEXP|2CDMG	1NUKE|26CDMG|39BEXP|4AME|5RCR|7DLOT|8aDMG
214	22516 33135	   	166.68	ACR|1ASPD|1DMG|1BASICY|1CDMG|1VULN	1LHND|2MLV|3BELT|4RCR|5VULN|6CDMG|7DMG|8RPLT|9ASPD|aBASICY
215	35512 43111	 * 	166.60	ACR|2DMG|1ASPD|2AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5aAAC|6AME|78DMG|9CGEN
216	35512 43121	   	166.50	ACR|2DMG|1ASPD|2AAC|1VULN	1ASPD|2VULN|3BELT|4RCR|5aAAC|6AME|78DMG|9ERES
