0	Index      	 *	Score 	Summary	Detail	
34	21238 42554	 * 	222.48	ACR|1BASARM|3BEXP|1VULN|1ASPD|1AART	1MBVNT|248BEXP|3VULN|5RCR|6ASPD|7FEWX|9AART|aBASARM
35	14331 26533	 * 	221.73	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP	1DUR|2RCR|3CGEN|4aVULN|5aCDMG|6BEXP|7aDMG|8MSLFST|9ASPD|aBPWR
36	21218 41144	   	221.48	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1MBVNT|2BEXP|3VULN|4RCVC|5RCR|6aASPD|7DMG|8CGEN|9BASARM
37	21218 41544	   	221.38	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1MBVNT|2BEXP|3VULN|4RCVC|5RCR|6aASPD|7DMG|8TLV|9BASARM
38	24322 25467	   	221.16	ACR|1BASARM|2DMG|1AART|1ASPD|1BEXP	1MBVNT|2RPLT|3TLV|4AART|5RCR|6aDMG|7ASPD|8BASARM|9BEXP
39	34242 15311	   	220.55	ACR|2VULN|3BEXP|2DMG|1AART	167BEXP|2RCR|39VULN|459ZMB|89DMG|9BPWR|aAART
40	34532 15311	   	220.55	ACR|2VULN|3BEXP|2DMG|1AART	167BEXP|2RCR|359ZMB|49VULN|89DMG|9BPWR|aAART
41	34233 36161	   	220.25	ACR|2VULN|3BEXP|2DMG|1AART	149BEXP|2RCR|39VULN|5MDPS|6AEFBLL|7ERES|89DMG|9BPWR|aAART
42	34334 31363	   	219.76	ACR|3DMG|2VULN|3BEXP	189BEXP|2RCR|389CGEN|45VULN|6DUR|789DMG|89BPWR|aLIT
43	34232 62363	 * 	219.68	ACR|1BASARM|3BEXP|1VULN|1DMG|1SELL	148BEXP|2RCR|3VULN|5SELL|6LIT|7FEWX|9BASARM|aDMG
44	34232 63363	 * 	219.68	ACR|1BASARM|3BEXP|1VULN|1DMG|1SELL	148BEXP|2RCR|3VULN|5SELL|6LIT|7LWND|9BASARM|aDMG
45	34334 31362	   	219.66	ACR|3DMG|2VULN|3BEXP	189BEXP|2RCR|389CGEN|45VULN|6DUR|789DMG|89BPWR|aTLV
46	34335 32123	   	219.56	ACR|3DMG|2VULN|3BEXP	19aBEXP|2RCR|36CGEN|49VULN|579DMG|8RPLT|9BPWR
47	21238 14224	   	219.48	ACR|1BASARM|3BEXP|1VULN|1ASPD|1CDMG	1MBVNT|246BEXP|3VULN|5RCR|7CGEN|8BASARM|9CDMG|aASPD
48	21238 16224	   	219.38	ACR|1BASARM|3BEXP|1VULN|1ASPD|1CDMG	1MBVNT|246BEXP|3VULN|5RCR|7ERES|8BASARM|9CDMG|aASPD
49	44136 22133	   	219.09	ACR|2VULN|1BASARM|2BEXP|1ASPD	17VULN|2RCR|3FLTARM|4aBEXP|5LWND|6BASARM|8AEMAG|9ASPD
50	44336 22133	   	219.09	ACR|2VULN|1BASARM|2BEXP|1ASPD	17VULN|2RCR|3LSRREG|4aBEXP|5LWND|6BASARM|8AEMAG|9ASPD
51	34133 22156	   	218.74	ACR|2BASARM|3BEXP|1ASPD	14aBEXP|2RCR|3MULARM|5BELT|6aZMB|7ASPD|8AEFBLL|9aBASARM|aBPWR
52	34133 22356	   	218.74	ACR|2BASARM|3BEXP|1ASPD	14aBEXP|2RCR|3aMULARM|58BELT|6ZMB|7ASPD|9aBASARM|aBPWR
53	34133 12156	   	218.64	ACR|2BASARM|3BEXP|1ASPD	14aBEXP|2RCR|3aMULARM|5BELT|6RMIN|7ASPD|8AEFBLL|9aBASARM|aBPWR
54	21288 41144	   	218.27	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1MBVNT|2BEXP|3VULN|4AEFBLL|5RCR|6aASPD|7DMG|8CGEN|9BASARM
55	21288 41544	   	218.17	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1MBVNT|2BEXP|3VULN|4AEFBLL|5RCR|6aASPD|7DMG|8TLV|9BASARM
56	34233 63521	 * 	217.89	ACR|1VULN|2BEXP|1ASPD|1DMG|1BASICY|1AART	14BEXP|2RCR|3VULN|5MDPS|6MLV|7ASPD|8DMG|9BASICY|aAART
