0	Index      	 *	Score 	Summary	Detail	
1	11243 32364	 * 	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1FEWX|2AEPOI|3TLV|4CDMG|5DUR|6RAT|7RCR|89VULN|aMDPS
2	13243 32364	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1FEWX|2AEFRZ|3TLV|4CDMG|5DUR|6RAT|7RCR|89VULN|aMDPS
3	31243 32364	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1BEXP|2AEPOI|3TLV|4CDMG|5DUR|6RAT|7RCR|89VULN|aMDPS
4	33243 32364	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1BEXP|2AEFRZ|3TLV|4CDMG|5DUR|6RAT|7RCR|89VULN|aMDPS
5	16315 23235	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1FEWX|2CDMG|3AME|47VULN|5DUR|6TLV|8RCR|9TSLARM|aMDPS
6	22351 12551	 * 	380.21	DCR|4VULN|2CDMG|2DUR|1AART	1RMIN|2AART|38DUR|4TBNT|58CDMG|689aVULN|7RCR|8BPWR
7	32215 22364	 * 	371.10	DCR|2VULN|1MDPS|1CDMG|2DUR	15BEXP|2RAT|3CDMG|45DUR|5BPWR|6AME|7RCR|89VULN|aMDPS
8	22313 61126	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RMIN|2AART|3DUR|4LHND|58VULN|6BBNT|7RCR|9DMG|aMDPS
9	25333 11166	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1RMIN|23ZMB|4LIT|5DUR|6RCR|7CDMG|89VULN|aMDPS
10	16323 32364	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2CDMG|3AME|4AEWIND|5DUR|6RAT|7RCR|89VULN|aMDPS
11	36323 32364	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BEXP|2CDMG|3AME|4AEWIND|5DUR|6RAT|7RCR|89VULN|aMDPS
12	26364 32112	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RMIN|2TLV|3DUR|49VULN|5TBNT|6RCR|7LIT|8BELT|aMDPS
13	26361 13136	 * 	354.97	2MDPS|2VULN|2TLV|1DUR	1RMIN|27TLV|3DUR|47VULN|5LEGI|67AEFBLL|7BPWR|8RPLT|9aMDPS
