0	Index      	 *	Score 	Summary	Detail	
47	32188 31433	   	292.13	DCR|3VULN|1LIT|2DMG|1MLV|1CDMG	1LHND|2MBVNT|35aVULN|45DMG|5BPWR|6LIT|7CDMG|8RCR|9MLV
48	52342 58141	 * 	291.28	DCR|3LIT|2FLTARM|3DMG	1MBVNT|24aDMG|3DMSP|4aBPWR|5RPLT|68aLIT|7RCR|9aFLTARM
49	42143 35412	   	290.90	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	135VULN|2MBVNT|4MLV|69LIT|7CDMG|8RCR|aASPD
50	42148 15412	   	290.90	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	136VULN|2MBVNT|4MLV|59LIT|7CDMG|8RCR|aASPD
51	42148 54412	   	290.90	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	137VULN|2MBVNT|4MLV|59LIT|6CDMG|8RCR|aASPD
52	57143 35412	   	290.90	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	1MBVNT|235VULN|4MLV|69LIT|7CDMG|8RCR|aASPD
53	42134 23784	   	290.61	DCR|2LIT|3VULN|1MLV|1DMG	139VULN|2MBVNT|4ZMB|5DMG|67LIT|8RCR|aMLV
54	41333 21414	   	290.20	DCR|4VULN|1LIT|1FLTARM|1MLV	1679VULN|2FLTARM|3MLV|4LIT|5FEWX|8LHND|aRCR
55	41333 21614	   	290.20	DCR|4VULN|1LIT|1FLTARM|1MLV	1679VULN|2FLTARM|3MLV|4LIT|5FEWX|8LWND|aRCR
56	41332 16622	   	290.16	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1VULN|2FLTARM|3MLV|45LIT|6AART|7ZMB|8DMG|9CDMG|aRCR
57	41333 21114	   	290.10	DCR|4VULN|1LIT|1FLTARM|1MLV	1679VULN|2FLTARM|3MLV|4LIT|5FEWX|8DUST|aRCR
58	41334 21514	   	290.10	DCR|4VULN|1LIT|1FLTARM|1MLV	1679VULN|2FLTARM|3MLV|4LIT|5MBVNT|8LHND|aRCR
59	42812 42541	   	289.96	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	18VULN|2MBVNT|38MLV|4TLV|5ASPD|68DMG|7RCR|8BPWR|9LIT|aDMSP
60	42812 42543	   	289.96	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	18VULN|2MBVNT|38MLV|4TLV|5ASPD|68DMG|7RCR|8BPWR|9LIT|aBEXP
61	42812 42544	   	289.96	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	18VULN|2MBVNT|38MLV|4TLV|5ASPD|68DMG|7RCR|8BPWR|9LIT|aRPLT
62	41125 21533	   	289.91	DCR|2LIT|2FLTARM|2VULN|1DMG	18VULN|28FLTARM|3LHND|4FEWX|5AART|6RCR|78LIT|8BPWR|9DMG|aRMIN
63	41125 21531	   	289.81	DCR|2LIT|2FLTARM|2VULN|1DMG	18VULN|28FLTARM|3LHND|4FEWX|5AART|6RCR|78LIT|8BPWR|9DMG|aDUST
64	41332 35114	   	289.27	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	19VULN|2FLTARM|3MLV|45LIT|6RMIN|7ASPD|8DUST|aRCR
65	42813 22344	   	287.40	DCR|2LIT|2MLV|3VULN	19aVULN|2MBVNT|39MLV|4TLV|5BEXP|69LIT|7RCR|8RMIN|9BPWR
66	55813 22344	   	287.40	DCR|2LIT|2MLV|3VULN	1MBVNT|29MLV|39aVULN|4TLV|5BEXP|69LIT|7RCR|8RMIN|9BPWR
67	57813 22344	   	287.40	DCR|2LIT|2MLV|3VULN	1MBVNT|29aVULN|39MLV|4TLV|5BEXP|69LIT|7RCR|8RMIN|9BPWR
68	42164 72134	   	287.25	DCR|2LIT|2MLV|3VULN	13aVULN|2MBVNT|4FEWX|5aLIT|6LHND|7RCR|8ERES|9aMLV|aBPWR
69	42143 35435	   	287.20	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	135aVULN|2MBVNT|4MLV|6LIT|7CDMG|8RCR|9ASPD
70	42163 22433	 * 	287.06	DCR|3LIT|5VULN	1389aVULN|2MBVNT|4FEWX|58aBEXP|68aLIT|7RCR|8aBPWR
71	57163 22433	   	287.06	DCR|3LIT|5VULN	1MBVNT|2389aVULN|4FEWX|58aBEXP|68aLIT|7RCR|8aBPWR
