0	Index      	Bounty	 *	Score 	Summary	Detail	
38	34333 31562	7	   	256.75	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1AART|26DUR|3LIT|48VULN|5CDMG|7TLV|9DMG|aRCR
39	34164 32314	5	   	256.46	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1AART|27DUR|3MBVNT|4LHND|57CDMG|678VULN|7BPWR|9ASPD|aRCR
40	34164 32614	5	   	256.46	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1AART|27DUR|3MBVNT|4LHND|57CDMG|679VULN|7BPWR|8ASPD|aRCR
41	35332 42261	3	   	256.44	DCR|4VULN|2DUR|1AART	1AART|26BEXP|3LIT|48DUR|5679VULN|6BPWR|aRCR
42	31636 32311	6	   	256.36	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1AART|27DUST|3aDUR|478VULN|57CDMG|6RCR|7BPWR|9ASPD
43	31636 32511	6	   	256.36	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	1AART|27DUST|3aDUR|479VULN|57CDMG|6RCR|7BPWR|8ASPD
44	34332 31361	4	   	256.34	DCR|4VULN|2DUR|1AART	1AART|29DUR|3LIT|4568VULN|7LHND|aRCR
45	34332 35261	4	   	256.34	DCR|4VULN|2DUR|1AART	1AART|28DUR|3LIT|4569VULN|7BEXP|aRCR
46	34332 36331	4	   	256.34	DCR|4VULN|2DUR|1AART	1AART|29DUR|3LIT|4568VULN|7LWND|aRCR
47	34332 52331	4	   	256.34	DCR|4VULN|2DUR|1AART	1AART|29DUR|3LIT|4578VULN|6LWND|aRCR
48	35332 33261	4	   	256.34	DCR|4VULN|2DUR|1AART	1AART|2BEXP|3LIT|4569VULN|78DUR|aRCR
49	34332 33112	4	   	255.43	DCR|3VULN|1DMG|1DUR|1TLV|1AART	1AART|2DUR|3LIT|456VULN|7DMG|8LHND|9RCR|aTLV
50	34332 33312	4	   	255.43	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1AART|2DUR|3LIT|456VULN|7DMG|8BEXP|9RCR|aTLV
51	34334 21212	8	   	255.43	DCR|3VULN|1DMG|1DUR|1TLV|1AART	1AART|2DUR|3LIT|489VULN|5DMG|6RCR|7LHND|aTLV
52	34334 21231	10	   	255.43	DCR|3VULN|1DMG|1DUR|1TLV|1AART	1AART|2DUR|3LIT|489VULN|5DMG|6RCR|7LHND|aTLV
53	34334 21232	9	   	255.43	DCR|3VULN|1DMG|1DUR|1TLV|1AART	1AART|2DUR|3LIT|489VULN|5DMG|6RCR|7LHND|aTLV
54	21422 61215	10	 * 	254.82	DCR|4VULN|3ASPD|1DUR	19aLWND|2FEWX|379aVULN|4ERES|5DUR|6RCR|89aASPD|9aBPWR
55	26312 61215	10	   	254.82	DCR|4VULN|3ASPD|1DUR	19aLWND|2ERES|379aVULN|4FEWX|5DUR|6RCR|89aASPD|9aBPWR
56	26332 52315	10	 * 	254.55	DCR|3VULN|3DMG|1DUR	19aLWND|2ERES|39aVULN|47DUST|5DUR|69aDMG|8RCR|9aBPWR
57	34332 33431	4	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1AART|29DUR|3LIT|456VULN|7DMG|8RMIN|aRCR
58	34331 22331	4	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1AART|29DUR|3LIT|478VULN|5MLV|6DMG|aRCR
59	34334 21235	10	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1AART|2aDUR|3LIT|489VULN|5DMG|6RCR|7LHND
60	34336 21321	9	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1AART|25DUR|3LIT|479VULN|6CGEN|8DMG|aRCR
61	34363 11321	9	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1AART|24DUR|3LIT|5CGEN|679VULN|8DMG|aRCR
62	32444 22331	1	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1AART|2ERES|3LIT|478VULN|59DUR|6DMG|aRCR
63	33644 22331	3	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1AART|2LIT|3ERES|478VULN|59DUR|6DMG|aRCR
