0	Index      	 *	Score 	Summary	Detail	
169	33366 43113	   	159.55	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4DMG|5ZMB|68CGEN|7VULN|9CDMG|aAART
170	33366 43313	   	159.55	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4DMG|5ZMB|6CGEN|7VULN|8RCVC|9CDMG|aAART
171	33233 34423	   	159.50	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1TLV|2ASPD|3ERES|4DUR|5FEWX|6RCR|78VULN|9AART|aDMG
172	22223 31544	 * 	159.35	DCR|1AART|1VULN|1DMG|2CDMG|1FLTHEA	1ERES|2LWND|3VULN|4aCDMG|5LHND|6DMG|7RCR|8FLTHEA|9AART
173	23315 53224	 * 	159.31	DCR|3VULN|1AART|2ASPD|1DUR	14ERES|26ASPD|3DUR|5AART|79aVULN|8RCR
174	21255 12283	   	159.30	ACR|3VULN|1AART|1DMG	1ERES|2CGEN|378VULN|4RCR|5MBVNT|6BEXP|9AART|aDMG
175	21255 41236	   	159.30	ACR|3VULN|1AART|2CDMG	18ERES|2CGEN|38aVULN|4RCR|5MBVNT|6BELT|78CDMG|8BPWR|9AART
176	21256 22283	   	159.30	ACR|3VULN|1AART|1DMG	1ERES|2CGEN|378VULN|4RCR|5FEWX|6MBVNT|9AART|aDMG
177	22314 33345	   	159.19	ACR|2DMG|1AART|1VULN|1CDMG	1ERES|2LWND|3RCR|46LHND|57DMG|8CDMG|9VULN|aAART
178	23335 12442	   	159.18	ACR|2VULN|1AART|1DMG|1DUR|1ASPD|1SELL	1ERES|2ASPD|3DUR|4RCR|5BELT|6AART|7SELL|89VULN|aDMG
179	23124 63335	   	159.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2ASPD|3LHND|4FEWX|5VULN|6RCR|7DMG|8CDMG|9ZMB|aAART
180	11521 15316	   	159.13	DCR|2DMG|1AART|1VULN|1ZMB	1LHND|2LWND|3RPLT|4DUST|5AART|6RCR|79DMG|8ZMB|aVULN
181	21324 23324	   	159.09	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|3RCR|4FEWX|59VULN|6MBVNT|7DMG|8CDMG|aAART
182	22324 23324	   	159.09	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2LWND|3RCR|4CGEN|59VULN|6MBVNT|7DMG|8CDMG|aAART
183	26315 42331	   	159.09	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2DUST|3RCR|4LHND|5BELT|6CDMG|7DMG|89VULN|aAART
184	36332 62423	   	159.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2DUST|3ZMB|4DUR|5RCR|68VULN|7ERES|9AART|aDMG
185	11662 12361	 * 	159.05	ACR|2VULN|1AART|1DMG|1FLTHEA|1SELL	1LHND|2LWND|3SELL|4RCR|5BELT|6AART|7aVULN|8FLTHEA|9DMG
186	25324 23324	   	158.99	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2LEGI|3RCR|4CGEN|59VULN|6MBVNT|7DMG|8CDMG|aAART
187	26324 23324	   	158.99	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2DUST|3RCR|4CGEN|59VULN|6MBVNT|7DMG|8CDMG|aAART
188	21344 22143	   	158.88	ACR|2VULN|1AART|1DMG|2DUR	1ERES|2CGEN|3RCR|49DUR|57VULN|6MBVNT|8AART|aDMG
189	33316 16236	   	158.88	ACR|3VULN|1AART|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4ERES|5ZMB|6DUST|789VULN|aAART
190	22226 65231	 * 	158.82	DCR|4VULN|2ASPD|1CDMG	1ERES|2LWND|378aVULN|4CDMG|59ASPD|6RCR
191	26342 14322	   	158.69	ACR|2VULN|2AART|1DMG	1ERES|2DUST|3RCR|4LIT|5FEWX|6DMG|79AART|8aVULN
192	31362 36621	   	158.69	ACR|2VULN|2AART|1DMG	1TLV|2CGEN|3RCR|4DMG|5RCVC|69VULN|7aAART|8ERES
193	11151 61263	   	158.60	DCR|3VULN|2AART|1DUR	14LHND|2LWND|39AART|567VULN|8RCR|aDUR
194	33361 41232	   	158.58	ACR|3VULN|1DMG|1CDMG|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|689VULN|7MLV|aCDMG
195	33361 44132	   	158.58	ACR|3VULN|1DMG|1CDMG|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|679VULN|8CGEN|aCDMG
196	33365 41232	   	158.48	ACR|3VULN|1DMG|1CDMG|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUST|689VULN|7MLV|aCDMG
197	23334 16335	   	158.47	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|5VULN|6BEXP|7CDMG|8aDMG|9ZMB
198	23334 33335	   	158.47	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|5VULN|6LHND|7aDMG|8CDMG|9ZMB
199	31361 16523	   	158.35	ACR|2DMG|1AART|1VULN|1ZMB	1TLV|2CGEN|3RCR|4aDMG|5BEXP|6RCVC|7AART|8ZMB|9VULN
200	31361 36523	   	158.35	ACR|2DMG|1AART|1VULN|1ZMB	1TLV|2CGEN|3RCR|4aDMG|5BEXP|6DMSP|7AART|8ZMB|9VULN
201	31363 16523	   	158.35	ACR|2DMG|1AART|1VULN|1ZMB	1TLV|2CGEN|3RCR|4aDMG|5FEWX|6RCVC|7AART|8ZMB|9VULN
202	31363 36523	   	158.35	ACR|2DMG|1AART|1VULN|1ZMB	1TLV|2CGEN|3RCR|4aDMG|5FEWX|6DMSP|7AART|8ZMB|9VULN
203	36333 25223	 * 	158.28	DCR|2AART|1VULN|1DMG|2ZMB|1DUR	1TLV|2DUST|35ZMB|4DUR|67AART|8RCR|9VULN|aDMG
204	21344 23723	 * 	158.28	ACR|2DMG|1AART|1VULN|2DUR	1ERES|2CGEN|3RCR|48DUR|5VULN|6MBVNT|7aDMG|9AART
205	33363 55123	   	158.27	ACR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|47DMG|5BELT|6RMIN|8AART|9CDMG|aZMB
206	23334 36123	   	158.22	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|57VULN|69LHND|8AART|aDMG
207	41366 22122	 * 	158.17	ACR|2DMG|3ZMB|2ASPD|1CDMG	19ASPD|29CGEN|3RCR|49DMG|567ZMB|8DMSP|9BPWR|aCDMG
208	23334 36113	   	158.12	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|57VULN|6LHND|8AART|9DUST|aDMG
209	21324 23845	 * 	158.09	ACR|2DMG|2AART|1VULN	1ERES|2CGEN|3RCR|4FEWX|5VULN|6MBVNT|79DMG|8aAART
210	22324 22883	   	158.09	ACR|2VULN|2AART|1DMG	1ERES|2LWND|3RCR|4CGEN|57VULN|6MBVNT|89AART|aDMG
211	21254 22243	   	157.99	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|35VULN|4RCR|6RPLT|7BEXP|8AART|9CDMG|aDMG
212	23315 43224	   	157.99	DCR|3VULN|1AART|2DUR|1ASPD	14ERES|2ASPD|36DUR|5AART|79aVULN|8RCR
213	41363 34131	 * 	157.99	ACR|2DMG|1VULN|2ZMB|2ASPD|1DUR	18ASPD|28CGEN|3RCR|4aDMG|5BELT|6DUR|78ZMB|8BPWR|9VULN
214	33366 22122	   	157.97	ACR|2DMG|3ZMB|1CDMG|2ASPD	19TLV|29ASPD|3RCR|49DMG|567ZMB|8DMSP|9BPWR|aCDMG
215	11115 36315	   	157.93	DCR|2VULN|1AART|1DMG|1ZMB	1LHND|2LWND|3AART|4ERES|5aVULN|6RPLT|7RCR|8ZMB|9DMG
216	23334 36336	 * 	157.91	ACR|3VULN|1AART|2DUR|1ASPD	1ERES|2ASPD|38DUR|4RCR|579VULN|6LHND|aAART
217	43135 41123	 * 	157.89	ACR|2VULN|1AART|1DMG|2ASPD	12ASPD|3LHND|4RCR|5DUST|69VULN|7MLV|8AART|aDMG
218	33366 43133	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4aDMG|5ZMB|68CGEN|79VULN
219	33366 43333	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4aDMG|5ZMB|6CGEN|79VULN|8RCVC
220	33363 34131	   	157.79	ACR|2DMG|1VULN|2ZMB|2ASPD|1DUR	18TLV|28ASPD|3RCR|4aDMG|5BELT|6DUR|78ZMB|8BPWR|9VULN
221	33363 34135	 * 	157.79	ACR|2VULN|1DMG|2ZMB|2ASPD|1DUR	18TLV|28ASPD|3RCR|4DMG|5BELT|6DUR|78ZMB|8BPWR|9aVULN
222	33364 14131	   	157.79	ACR|2DMG|1VULN|2ZMB|2ASPD|1DUR	18TLV|28ASPD|3RCR|4aDMG|5DUR|6BELT|78ZMB|8BPWR|9VULN
223	31366 13236	   	157.77	ACR|2VULN|2DMG|1ZMB|1DUR	1TLV|2CGEN|3RCR|47DMG|5ZMB|6DUST|89VULN|aDUR
224	13521 32115	   	157.75	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUST|3DUR|4RCR|5CDMG|6ZMB|7LIT|8VULN|9AART|aDMG
225	22314 21255	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2LWND|3RCR|4LHND|5DMG|6RPLT|7ZMB|8AART|9aVULN
226	23315 63243	 * 	157.70	DCR|2AART|2VULN|3DUR|1ASPD	149ERES|2ASPD|39aDUR|56AART|79VULN|8RCR|9BPWR
227	23345 63223	   	157.70	DCR|2AART|2VULN|3DUR|1ASPD	1ERES|2ASPD|34aDUR|56AART|79VULN|8RCR
228	31366 22243	 * 	157.67	ACR|2VULN|3ZMB|1DMG|1ASPD	1TLV|2CGEN|3RCR|4DMG|567ZMB|89VULN|aASPD
229	15551 13133	 * 	157.67	DCR|3VULN|1AART|1CDMG	17LHND|278BEXP|3RPLT|47aVULN|5AART|6RCR|7BPWR|9CDMG
230	21324 23842	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2CGEN|3RCR|4FEWX|5VULN|6MBVNT|79DMG|8AART|aZMB
231	22324 23842	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2LWND|3RCR|4CGEN|5VULN|6MBVNT|79DMG|8AART|aZMB
232	23331 24423	   	157.62	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|5MLV|6FEWX|78VULN|9AART|aDMG
233	23332 34423	   	157.62	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|5RMIN|6LHND|78VULN|9AART|aDMG
234	23334 33165	   	157.62	ACR|2DMG|1AART|1VULN|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|5VULN|6LHND|7aDMG|8RPLT|9AART
235	23334 33422	   	157.62	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|58VULN|6LHND|7DMG|9AART|aRPLT
236	23334 33425	   	157.62	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|58VULN|6LHND|7DMG|9AART|aBELT
237	23334 35423	   	157.62	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|58VULN|6LHND|7MLV|9AART|aDMG
238	23334 36523	   	157.62	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|57VULN|6LHND|8CGEN|9AART|aDMG
239	22223 31114	   	157.58	DCR|2DMG|1AART|1VULN|1CDMG	1ERES|2LWND|3VULN|4CDMG|59LHND|6aDMG|7RCR|8AART
240	22223 31154	   	157.58	DCR|2DMG|1AART|1VULN|1CDMG	1ERES|29LWND|3VULN|4CDMG|5LHND|6aDMG|7RCR|8AART
241	21224 21243	   	157.58	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|35VULN|4FEWX|6RPLT|7RCR|8AART|9CDMG|aDMG
242	22254 21143	   	157.58	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2LWND|35VULN|4CGEN|6RPLT|7RCR|8AART|9CDMG|aDMG
243	21335 46123	   	157.55	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3RCR|4ZMB|5DUST|6TLV|79VULN|8AART|aDMG
244	25324 23842	   	157.55	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2LEGI|3RCR|4CGEN|5VULN|6MBVNT|79DMG|8AART|aZMB
245	31316 16123	   	157.55	ACR|2VULN|1AART|1DMG|1ZMB	1TLV|2CGEN|3RCR|4ERES|5ZMB|6DUST|79VULN|8AART|aDMG
246	23334 33421	   	157.52	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1aERES|2ASPD|3DUR|4RCR|58VULN|6LHND|7DMG|9AART
247	23334 33423	   	157.52	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|58VULN|6LHND|7DMG|9AART|aNUKE
248	23335 13633	   	157.52	ACR|2VULN|2AART|2ASPD|1DUR	19ERES|29ASPD|3DUR|4RCR|5BELT|6aAART|7LWND|89VULN|9BPWR
249	21324 23525	   	157.49	ACR|2VULN|2AART|1DMG	1ERES|2CGEN|3RCR|4FEWX|58VULN|6MBVNT|7DMG|9aAART
250	22223 31132	   	157.48	DCR|2DMG|1AART|1VULN|1CDMG	1ERES|2LWND|3VULN|4CDMG|5LHND|6aDMG|7RCR|8AART|9VENICY
251	25224 21143	   	157.48	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2LEGI|35VULN|4CGEN|6RPLT|7RCR|8AART|9CDMG|aDMG
252	13221 51525	   	157.39	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2DUST|3LWND|4RCR|5CDMG|6DMG|7BEXP|8aVULN|9AART
253	25234 21143	   	157.38	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2LEGI|35VULN|4TLV|6RPLT|7RCR|8AART|9CDMG|aDMG
254	21233 35513	   	157.33	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|37VULN|4ZMB|5FEWX|6RCR|8AART|9LWND|aDMG
255	23215 63243	   	157.30	DCR|3VULN|2AART|1ASPD	139ERES|2ASPD|49BEXP|56AART|79aVULN|8RCR|9BPWR
256	33363 56131	 * 	157.27	ACR|3DMG|1VULN|2DUR|1ASPD	18TLV|2ASPD|3RCR|48aDMG|5BELT|6RMIN|78DUR|8BPWR|9VULN
257	23215 63224	   	157.20	DCR|3VULN|2AART|1ASPD	13ERES|2ASPD|4BEXP|56AART|79aVULN|8RCR
258	13525 15133	   	157.18	ACR|2VULN|1AART|1DMG|2DUR	1LHND|2DUST|35DUR|4RCR|6BEXP|7AART|89VULN|aDMG
259	23334 36232	   	157.16	ACR|4VULN|1CDMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|5789VULN|6LHND|aCDMG
260	21315 62252	 * 	157.16	ACR|2AART|1VULN|1DMG|2ZMB	14ERES|2CGEN|3RCR|56AART|79ZMB|8VULN|aDMG
261	21331 24423	   	157.15	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3RCR|4ZMB|5BEXP|6FEWX|78VULN|9AART|aDMG
262	21333 24423	   	157.15	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3RCR|4ZMB|5FEWX|6BEXP|78VULN|9AART|aDMG
263	21324 23522	   	157.05	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3RCR|4FEWX|58VULN|6MBVNT|7DMG|9AART|aZMB
264	21335 24423	   	157.05	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3RCR|4ZMB|5DUST|6FEWX|78VULN|9AART|aDMG
265	23334 63136	   	157.02	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|59VULN|6RCVC|7DMG|8CGEN|aAART
266	13221 54152	   	156.99	ACR|2VULN|1AART|1DMG|1CDMG	19LHND|2DUST|39LWND|4RCR|5CDMG|6DMG|7BELT|89VULN|9BPWR|aAART
267	25324 23522	   	156.95	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2LEGI|3RCR|4CGEN|58VULN|6MBVNT|7DMG|9AART|aZMB
268	26324 23522	   	156.95	ACR|2VULN|1AART|1DMG|1ZMB	1ERES|2DUST|3RCR|4CGEN|58VULN|6MBVNT|7DMG|9AART|aZMB
269	21123 34423	   	156.73	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3LHND|4FEWX|5ZMB|6RCR|78VULN|9AART|aDMG
270	21133 34423	   	156.73	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3LHND|4ZMB|5FEWX|6RCR|78VULN|9AART|aDMG
271	23334 63633	 * 	156.70	ACR|2VULN|2DMG|2DUR|1ASPD	1ERES|2ASPD|38DUR|4RCR|59VULN|6RCVC|7aDMG
272	21154 23324	   	156.69	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|3LHND|4RCR|59VULN|6MBVNT|7DMG|8CDMG|aAART
273	21255 13324	   	156.69	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|39VULN|4RCR|5MBVNT|6BEXP|7DMG|8CDMG|aAART
274	21255 33324	   	156.69	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|39VULN|4RCR|5MBVNT|6LHND|7DMG|8CDMG|aAART
275	21255 83324	   	156.69	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|39VULN|4RCR|5MBVNT|6LWND|7DMG|8CDMG|aAART
276	21256 23324	   	156.69	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|39VULN|4RCR|5FEWX|6MBVNT|7DMG|8CDMG|aAART
277	21454 23324	   	156.69	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|3LWND|4RCR|59VULN|6MBVNT|7DMG|8CDMG|aAART
278	21554 23324	   	156.69	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2CGEN|3FEWX|4RCR|59VULN|6MBVNT|7DMG|8CDMG|aAART
279	22226 64213	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ERES|2LWND|38VULN|4CDMG|5ASPD|6RCR|7ZMB|9RCVC|aAART
280	35123 34423	   	156.53	DCR|2VULN|1AART|1DMG|1ZMB	1TLV|2LEGI|3ERES|4FEWX|5ZMB|6RCR|78VULN|9AART|aDMG
281	35133 34423	   	156.53	DCR|2VULN|1AART|1DMG|1ZMB	1TLV|2LEGI|3ERES|4ZMB|5FEWX|6RCR|78VULN|9AART|aDMG
282	35313 34423	   	156.53	DCR|2VULN|1AART|1DMG|1ZMB	1TLV|2LEGI|3ZMB|4ERES|5FEWX|6RCR|78VULN|9AART|aDMG
283	36355 21323	   	156.45	ACR|2VULN|1AART|1DMG|1ZMB	1TLV|2DUST|3ZMB|4RCR|5RCVC|6AART|79VULN|8BEXP|aDMG
284	23345 25223	 * 	156.36	DCR|2AART|1VULN|1DMG|2DUR|1ASPD	1ERES|2ASPD|34DUR|57AART|6BEXP|8RCR|9VULN|aDMG
285	23345 63213	   	156.36	DCR|2AART|1VULN|1DMG|2DUR|1ASPD	1ERES|2ASPD|34DUR|56AART|7VULN|8RCR|9LHND|aDMG
286	35332 26143	   	156.35	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2LEGI|3ZMB|4DUR|5RCR|6MBVNT|7AART|8VULN|9DMG|aCDMG
287	36332 26143	   	156.35	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2DUST|3ZMB|4DUR|5RCR|6MBVNT|7AART|8VULN|9DMG|aCDMG
288	25336 31252	   	156.35	ACR|2VULN|1AART|2CDMG|1ZMB	18ERES|2LEGI|3RCR|4TLV|5BELT|68VULN|78CDMG|8BPWR|9ZMB|aAART
289	36356 21323	   	156.35	ACR|2VULN|1AART|1DMG|1ZMB	15TLV|2DUST|3ZMB|4RCR|6AART|79VULN|8BEXP|aDMG
290	41132 53512	 * 	156.32	ACR|2DMG|1AART|2ASPD|1CDMG|1DUR	19ASPD|29CGEN|36LHND|4DUR|5RCR|79DMG|8AART|9BPWR|aCDMG
291	32355 12342	   	156.30	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1TLV|2LWND|3ZMB|4RCR|5BELT|6AART|7SELL|89VULN|aDMG
292	36356 22133	   	156.25	ACR|2VULN|1AART|1DMG|1ZMB	157TLV|2DUST|3ZMB|4RCR|6AART|89VULN|aDMG
293	41324 11323	 * 	156.15	ACR|2VULN|1DMG|2CDMG|2ASPD	19ASPD|2CGEN|3RCR|467BEXP|59VULN|89CDMG|9BPWR|aDMG
294	21233 31266	   	156.13	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|38VULN|4ZMB|5FEWX|6RCR|7MLV|9DMG|aAART
295	41324 25133	   	156.04	ACR|3VULN|1DMG|1ZMB|1ASPD	1ASPD|28CGEN|3RCR|4BEXP|579VULN|6ZMB|aDMG
296	41324 25333	   	156.04	ACR|3VULN|1DMG|1ZMB|1ASPD	1ASPD|2CGEN|3RCR|4BEXP|579VULN|6ZMB|8RCVC|aDMG
297	21233 34266	   	156.03	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|38VULN|4ZMB|5FEWX|6RCR|7TLV|9DMG|aAART
298	21333 46236	 * 	155.99	ACR|3VULN|1AART|2ZMB	19ERES|2CGEN|3RCR|49ZMB|5FEWX|6TLV|789VULN|9BPWR|aAART
299	33364 62112	 * 	155.98	ACR|2AART|1DMG|2ASPD|1CDMG|1DUR	19TLV|29ASPD|3RCR|4DMG|5DUR|67AART|89BEXP|9BPWR|aCDMG
300	11151 11213	 * 	155.97	DCR|2AART|2VULN|1DMG	14LHND|2LWND|36AART|57VULN|8RCR|9LEGI|aDMG
301	32352 26333	   	155.95	ACR|2VULN|1AART|1DMG|1ZMB	1TLV|2LWND|3ZMB|4RCR|5RMIN|6RCVC|7AART|89VULN|aDMG
302	21236 33413	 * 	155.94	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1ERES|2CGEN|3VULN|45ZMB|6RCR|7TLV|8DMG|9CDMG|aAART
303	11151 61261	 * 	155.94	DCR|3VULN|3AART	14LHND|2LWND|39aAART|567VULN|8RCR
304	21315 32442	   	155.91	ACR|2VULN|1AART|1CDMG|1DUR|1ASPD	14ERES|2CGEN|3RCR|5AART|6CDMG|7ASPD|8DUR|9aVULN
305	23134 26242	   	155.87	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ERES|2ASPD|3LHND|4RCR|57VULN|6RPLT|8AART|9CDMG|aZMB
306	34315 31523	   	155.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1TLV|2LIT|3ZMB|4VULN|56DMG|7DUR|8CGEN|9RCR|aAART
307	34315 31623	   	155.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1TLV|2LIT|3ZMB|4VULN|56DMG|7DUR|8RMIN|9RCR|aAART
308	34315 51212	   	155.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1TLV|26LIT|3ZMB|4VULN|56DMG|6BPWR|7DUR|8DUST|9RCR|aAART
309	21313 25561	   	155.78	ACR|3VULN|2DMG	148ERES|2aCGEN|3RCR|58LHND|6RPLT|78aVULN|8aBPWR|9aDMG
310	34312 22512	   	155.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2LIT|3ZMB|48VULN|5DUST|6DMG|7DUR|9RCR|aAART
311	34312 24112	   	155.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1TLV|2LIT|3ZMB|4VULN|5DUST|67DMG|8DUR|9RCR|aAART
312	34315 31212	   	155.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1TLV|2LIT|3ZMB|4VULN|56DMG|7DUR|8DUST|9RCR|aAART
313	23362 46123	   	155.72	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4DUST|5RCR|6RCVC|79VULN|8AART|aDMG
314	33364 62131	   	155.68	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUR|67AART|8BEXP|9RCVC|aVULN
315	33364 62312	   	155.68	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUR|67AART|8VULN|9LWND|aRCVC
316	33364 62313	   	155.68	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUR|67AART|8VULN|9LWND|aMLV
317	33361 62412	   	155.68	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|67AART|8VULN|9LWND|aDUR
318	21233 35524	   	155.65	DCR|2VULN|2AART|1ZMB|1DUR	1ERES|2CGEN|37VULN|4ZMB|5FEWX|6RCR|8aAART|9DUR
319	21363 46233	   	155.58	ACR|3VULN|2DMG	19ERES|2CGEN|3RCR|49DMG|5FEWX|6TLV|789VULN|9BPWR|aRMIN
320	31363 56233	   	155.58	ACR|3VULN|2DMG	19TLV|2CGEN|3RCR|49DMG|5FEWX|6ERES|789VULN|9BPWR|aRMIN
321	33364 62221	   	155.58	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1aTLV|2ASPD|3RCR|4DMG|5DUR|67AART|8RCVC|9VULN
322	33364 62223	   	155.58	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUR|67AART|8RCVC|9VULN|aDUST
323	33364 62311	   	155.58	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUR|67AART|8VULN|9LWND|aERES
324	33364 62332	   	155.58	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUR|67AART|8VULN|9ERES|aRPLT
325	33365 62312	   	155.58	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUST|67AART|8VULN|9LWND|aDUR
326	33361 62421	   	155.58	ACR|2AART|1VULN|1DMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|67AART|8VULN|9DUR|aERES
327	32313 34436	 * 	155.57	DCR|3VULN|1AART|2ZMB	19TLV|2LWND|39ZMB|4ERES|5FEWX|6RCR|789VULN|9BPWR|aAART
328	11124 32233	   	155.53	DCR|2VULN|1AART|1DMG|1ZMB	1LHND|2LWND|3AART|4CGEN|5DUST|69VULN|7ZMB|8RCR|aDMG
329	13126 62233	   	155.53	DCR|2VULN|1AART|1DMG|1ZMB	1LHND|2DUST|3AART|4CGEN|59VULN|6LWND|7ZMB|8RCR|aDMG
330	15124 32233	   	155.53	DCR|2VULN|1AART|1DMG|1ZMB	1LHND|2BEXP|3AART|4CGEN|5DUST|69VULN|7ZMB|8RCR|aDMG
331	51124 32233	   	155.53	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2LWND|3AART|4CGEN|5DUST|69VULN|7ZMB|8RCR|aDMG
332	33331 55524	   	155.51	ACR|3VULN|1AART|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DUR|5MLV|6MBVNT|78aVULN|9AART
