0	Index      	Bounty	 *	Score 	Summary	Detail	
40	35163 15131	5	   	270.57	DCR|5VULN|2DUR|1TLV	1RMIN|23479VULN|57LHND|67DUR|7BPWR|8TLV|aRCR
41	63161 12612	9	   	270.57	DCR|5VULN|2DUR|1TLV	13468VULN|2TLV|58DUR|78ZMB|8BPWR|9MLV|aRCR
42	63161 13631	4	   	270.57	DCR|5VULN|2DUR|1TLV	13489VULN|2TLV|58FEWX|68DUR|7RMIN|8BPWR|aRCR
43	63161 15231	4	   	270.57	DCR|5VULN|2DUR|1TLV	13479VULN|2TLV|57FEWX|67DUR|7BPWR|8RMIN|aRCR
44	63161 15312	7	   	270.57	DCR|5VULN|2DUR|1TLV	13468VULN|2TLV|58DUR|78MLV|8BPWR|9ZMB|aRCR
45	63161 15321	7	   	270.57	DCR|5VULN|2DUR|1TLV	13468VULN|2TLV|58DUR|78MLV|8BPWR|9LHND|aRCR
46	63161 25231	6	   	270.57	DCR|5VULN|2DUR|1TLV	13479VULN|2TLV|57DUR|67LHND|7BPWR|8RMIN|aRCR
47	63161 26231	7	   	270.57	DCR|5VULN|2DUR|1TLV	13479VULN|2TLV|57DUR|67LHND|7BPWR|8RMIN|aRCR
48	63161 33631	5	   	270.57	DCR|5VULN|2DUR|1TLV	13489VULN|2TLV|58DUR|68FEWX|7RMIN|8BPWR|aRCR
49	63161 35231	5	   	270.57	DCR|5VULN|2DUR|1TLV	13479VULN|2TLV|57DUR|67FEWX|7BPWR|8RMIN|aRCR
50	63161 61312	6	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58DUR|68CGEN|8BPWR|9ZMB|aRCR
51	63161 61321	6	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58DUR|68CGEN|8BPWR|9LHND|aRCR
52	63162 11312	5	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9ZMB|aRCR
53	63162 11321	5	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9LHND|aRCR
54	63162 11351	5	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9FEWX|aRCR
55	63162 33631	4	   	270.57	DCR|5VULN|2DUR|1TLV	13489VULN|2TLV|58DUR|68FEWX|7RMIN|8BPWR|aRCR
56	63162 35231	4	   	270.57	DCR|5VULN|2DUR|1TLV	13479VULN|2TLV|57DUR|67FEWX|7BPWR|8RMIN|aRCR
57	63163 11312	4	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9ZMB|aRCR
58	63163 11321	4	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9LHND|aRCR
