0	Index      	Bounty	 *	Score 	Summary	Detail	
38	32223 35635	2	 * 	237.99	DCR|3VULN|2DMG|1TLV	168MLV|28DMG|3CGEN|4TLV|58aVULN|7DMSP|8BPWR|9RCR
39	32223 36635	2	   	237.99	DCR|3VULN|2DMG|1TLV	168MLV|28DMG|37CGEN|4TLV|58aVULN|8BPWR|9RCR
40	32435 15331	9	   	237.99	DCR|3VULN|2DMG|1TLV	159MLV|29DMG|3TLV|4RCVC|6FEWX|79aVULN|8RCR|9BPWR
41	33223 35635	1	   	237.99	DCR|3VULN|2DMG|1TLV	168MLV|28DMG|3CGEN|4TLV|58aVULN|7DMSP|8BPWR|9RCR
42	33223 36635	1	   	237.99	DCR|3VULN|2DMG|1TLV	168MLV|28DMG|37CGEN|4TLV|58aVULN|8BPWR|9RCR
43	22213 31284	1	   	237.96	DCR|3VULN|3DUR|1DMG	1RMIN|248DUR|3TBNT|589VULN|6RCR|7MBVNT|8BPWR|aDMG
44	22423 31284	1	   	237.96	DCR|3VULN|3DUR|1DMG	1RMIN|238DUR|4TBNT|589VULN|6RCR|7MBVNT|8BPWR|aDMG
45	52215 15213	10	   	237.96	DCR|3VULN|3DUR|1DMG|1NUKE	1aERES|2DMG|3RPLT|47aVULN|58aDUR|6NUKE|9RCR|aBPWR
46	52212 21526	6	   	237.59	DCR|3VULN|2DMG|1TLV	1ERES|28DMG|3RPLT|456VULN|7TLV|9TBNT|aRCR
47	52212 23526	6	   	237.59	DCR|3VULN|2DMG|1TLV	1ERES|27DMG|3RPLT|456VULN|8TLV|9TBNT|aRCR
48	22322 14345	1	   	237.34	DCR|4VULN|1TLV|1DUR	1RMIN|2DUR|3ERES|478aVULN|5TLV|6BEXP|9RCR
49	23322 53345	3	   	237.34	DCR|4VULN|1TLV|1DUR	1RMIN|2ERES|3FEWX|478aVULN|5TLV|6DUR|9RCR
50	31322 53345	2	   	237.34	DCR|4VULN|1TLV|1DUR	1MLV|2BEXP|3ERES|478aVULN|5TLV|6DUR|9RCR
51	22322 53345	2	   	237.24	DCR|4VULN|1TLV|1DUR	1RMIN|2DUST|3ERES|478aVULN|5TLV|6DUR|9RCR
52	22322 63345	1	   	237.24	DCR|4VULN|1TLV|1DUR	1RMIN|2DUR|3ERES|478aVULN|5TLV|6DUST|9RCR
53	31322 53345	1	   	237.24	DCR|4VULN|1TLV|1DUR	1MLV|2DUST|3ERES|478aVULN|5TLV|6DUR|9RCR
54	31225 21721	6	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1MLV|2BEXP|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
55	31225 28721	7	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1MLV|2BEXP|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
56	36225 21721	6	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1MLV|2FEWX|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
57	36225 28321	8	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1MLV|2FEWX|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
58	32322 63234	2	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	1MLV|2aDMG|3ERES|4TLV|5aVULN|6MBVNT|7ASPD|8aLIT|9RCR|aBPWR
59	32412 63234	3	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	1MLV|2aDMG|3TLV|4ERES|5aVULN|6MBVNT|7ASPD|8aLIT|9RCR|aBPWR
60	32444 53234	3	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	1MLV|2aDMG|3TLV|4MBVNT|5ERES|6aVULN|7ASPD|8aLIT|9RCR|aBPWR
61	33322 63234	1	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	1MLV|2aDMG|3ERES|4TLV|5aVULN|6MBVNT|7ASPD|8aLIT|9RCR|aBPWR
62	52224 63234	2	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	1ERES|2aDMG|3CGEN|4TLV|5aVULN|6MBVNT|7ASPD|8aLIT|9RCR|aBPWR
63	53224 63234	1	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	1ERES|2aDMG|3CGEN|4TLV|5aVULN|6MBVNT|7ASPD|8aLIT|9RCR|aBPWR
64	54211 53234	1	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	1ERES|2aVULN|3TLV|4MBVNT|5CGEN|6aDMG|7ASPD|8aLIT|9RCR|aBPWR
65	22225 21721	6	   	236.25	DCR|3VULN|1TLV|1DMG|1DUR	1RMIN|2DUST|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
66	22225 28321	8	   	236.25	DCR|3VULN|1TLV|1DMG|1DUR	1RMIN|2DUST|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
67	22225 28721	7	   	236.25	DCR|3VULN|1TLV|1DMG|1DUR	1RMIN|2DUST|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
68	35225 21721	6	   	236.25	DCR|3VULN|1TLV|1DMG|1DUR	1MLV|2DUST|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
69	35225 28321	8	   	236.25	DCR|3VULN|1TLV|1DMG|1DUR	1MLV|2DUST|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
70	51222 27721	6	   	236.25	DCR|3VULN|1TLV|1DMG|1DUR	1ERES|2BEXP|3MBVNT|4DMG|5DUR|6RCR|79aVULN|8TLV
71	51225 21721	6	   	236.25	DCR|3VULN|1TLV|1DMG|1DUR	1ERES|2BEXP|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
72	42225 21721	6	   	236.15	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2ERES|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
73	42225 28321	8	   	236.15	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2ERES|3MBVNT|4DMG|59aVULN|6RCR|7DUR|8TLV
74	42262 21721	6	   	236.15	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2ERES|3MBVNT|49aVULN|5DMG|6RCR|7DUR|8TLV
75	42262 28321	8	   	236.15	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2ERES|3MBVNT|49aVULN|5DMG|6RCR|7DUR|8TLV
76	46333 26122	1	   	235.96	DCR|3VULN|3DUR|1AART	19DUST|2AART|389VULN|4LIT|5CGEN|679DUR|9BPWR|aRCR
77	52235 21136	2	   	235.65	DCR|3VULN|3DMG	189ERES|289DMG|36CGEN|4LIT|589VULN|7RPLT|89BPWR|aRCR
78	53235 21136	1	   	235.65	DCR|3VULN|3DMG	189ERES|289DMG|36CGEN|4LIT|589VULN|7RPLT|89BPWR|aRCR
79	52623 34137	6	   	235.30	DCR|3VULN|3DMG|1SELL	189ERES|289DMG|3SELL|4MLV|5LIT|6MBVNT|789VULN|89BPWR|aRCR
80	32144 33613	1	 * 	235.11	DCR|4VULN|1DMG|2CDMG	1MLV|24CDMG|34CGEN|4BPWR|589aVULN|6RCR|7DMG
81	32412 26161	10	 * 	235.11	DCR|3DMG|1VULN|1TLV|2CDMG|1DUR	1MLV|257DMG|3TLV|48CDMG|6DUR|9VULN|aRCR
82	52144 33213	1	   	235.01	DCR|4VULN|1DMG|2CDMG	1ERES|24CDMG|34CGEN|4BPWR|589aVULN|6RCR|7DMG
83	21414 23383	10	 * 	234.48	ACR|4VULN|2DMG|2TLV|1SELL	1RMIN|2RCR|3SELL|489aVULN|5MBVNT|68TLV|78DMG|8BPWR
84	54122 13235	1	 * 	234.45	DCR|3VULN|3CDMG|1TLV	1ERES|247VULN|345CDMG|4BPWR|6CGEN|8LIT|9RCR|aTLV
85	54122 23235	1	   	234.45	DCR|3VULN|3CDMG|1TLV	1ERES|247VULN|345CDMG|4BPWR|6MLV|8LIT|9RCR|aTLV
86	32632 63412	2	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3CDMG|4LIT|57VULN|6TLV|8RMIN|9DUR|aRCR
87	32632 64332	2	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3CDMG|4LIT|59VULN|6TLV|7RMIN|8DUR|aRCR
88	33632 63412	1	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3CDMG|4LIT|57VULN|6TLV|8RMIN|9DUR|aRCR
89	33632 64332	1	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3CDMG|4LIT|59VULN|6TLV|7RMIN|8DUR|aRCR
90	26632 13112	2	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1RMIN|2CGEN|3CDMG|4LIT|57VULN|6DMG|8TLV|9DUR|aRCR
91	32132 13132	1	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2CDMG|3CGEN|4LIT|57VULN|6DMG|8TLV|9DUR|aRCR
92	32413 43412	5	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3TLV|4CDMG|5LIT|67VULN|8RMIN|9DUR|aRCR
93	32413 44332	5	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3TLV|4CDMG|5LIT|69VULN|7RMIN|8DUR|aRCR
94	23632 13112	2	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1RMIN|2ERES|3CDMG|4LIT|57VULN|6DMG|8TLV|9DUR|aRCR
95	32632 13132	1	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2CDMG|3ERES|4LIT|57VULN|6DMG|8TLV|9DUR|aRCR
96	32636 43132	2	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3CDMG|4LIT|5ERES|67VULN|8TLV|9DUR|aRCR
97	33636 43132	1	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2DMG|3CDMG|4LIT|5ERES|67VULN|8TLV|9DUR|aRCR
98	34632 13132	1	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|2ERES|3CDMG|4LIT|57VULN|6DMG|8TLV|9DUR|aRCR
99	44113 43112	5	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|2DMG|3DMSP|4CDMG|5LIT|67VULN|8TLV|9DUR|aRCR
100	44313 43112	5	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|2DMG|3RCVC|4CDMG|5LIT|67VULN|8TLV|9DUR|aRCR
101	52413 43132	5	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2DMG|3TLV|4CDMG|5LIT|67VULN|8MLV|9DUR|aRCR
102	52632 43132	2	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2DMG|3CDMG|4LIT|57VULN|6MLV|8TLV|9DUR|aRCR
103	53632 43132	1	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2DMG|3CDMG|4LIT|57VULN|6MLV|8TLV|9DUR|aRCR
104	54163 13112	1	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|27VULN|3CDMG|4RMIN|5LIT|6DMG|8TLV|9DUR|aRCR
105	22223 52554	5	   	233.28	DCR|2VULN|3DMG|2DUR	1RMIN|2aDUST|3MBVNT|459DMG|6aVULN|7aDUR|8RCR|aBPWR
106	22223 82554	6	   	233.28	DCR|2VULN|3DMG|2DUR	1RMIN|2aDUST|3MBVNT|459DMG|6aVULN|7aDUR|8RCR|aBPWR
107	22222 22356	8	   	233.28	DCR|2VULN|3DMG|2DUR	1RMIN|27DUST|3MBVNT|479DMG|57DUR|6RCR|7BPWR|8aVULN
108	22213 33243	1	   	233.26	DCR|2VULN|3DUR|1TLV|1CDMG	1RMIN|248DUR|3TBNT|58VULN|6RCR|78BEXP|8BPWR|9CDMG|aTLV
109	22213 34243	1	   	233.26	DCR|2VULN|3DUR|1TLV|1CDMG	1RMIN|248DUR|3TBNT|58VULN|6RCR|78LWND|8BPWR|9CDMG|aTLV
110	22423 33243	1	   	233.26	DCR|2VULN|3DUR|1TLV|1CDMG	1RMIN|238DUR|4TBNT|58VULN|6RCR|78BEXP|8BPWR|9CDMG|aTLV
111	22423 34243	1	   	233.26	DCR|2VULN|3DUR|1TLV|1CDMG	1RMIN|238DUR|4TBNT|58VULN|6RCR|78LWND|8BPWR|9CDMG|aTLV
112	44211 13423	2	   	233.18	DCR|2VULN|3DMG|2DUR	1DUST|257DMG|3TBNT|45DUR|5BPWR|69VULN|8BBNT|aRCR
113	21212 21623	10	 * 	233.14	ACR|2VULN|3DUR|2DMG|2TLV	1RMIN|2RCR|3RPLT|4aDMG|57VULN|69aDUR|8aTLV|aBPWR
114	22213 31253	1	   	233.06	DCR|2VULN|3DUR|1TLV|1CDMG	1RMIN|248DUR|3TBNT|58VULN|6RCR|7MBVNT|8BPWR|9CDMG|aTLV
115	22423 31253	1	   	233.06	DCR|2VULN|3DUR|1TLV|1CDMG	1RMIN|238DUR|4TBNT|58VULN|6RCR|7MBVNT|8BPWR|9CDMG|aTLV
116	46323 33433	1	   	232.23	DCR|2VULN|2TLV|2DUR|1AART	19DUST|2AART|39VULN|4aTLV|5LIT|6RCR|7LEGI|89DUR|9BPWR
