0	Index      	 *	Score 	Summary	Detail	
151	41421 61321	   	208.36	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1SELL	1BASARM|2DUST|3DMG|4RCR|5SELL|6AART|7BEXP|8ASPD|9VULN|aLHND
152	41421 61322	   	208.36	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1SELL	1BASARM|2DUST|3DMG|4RCR|5SELL|6AART|7BEXP|8ASPD|9VULN|aFEWX
153	41421 61323	   	208.26	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1SELL	1BASARM|2DUST|3DMG|4RCR|5SELL|6AART|7BEXP|8ASPD|9VULN|aERES
154	41422 31531	   	207.98	ACR|1BASARM|1ASPD|1DMG|1BASICY|1CDMG	1BASARM|2DUST|3DMG|4RCR|5MLV|6DUR|7AME|8CDMG|9BASICY|aASPD
155	41426 22312	   	207.98	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1BASARM|2DUST|3DMG|4RCR|5AART|6DUR|7RPLT|8ASPD|9aVULN
156	42126 13322	   	207.98	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1BASARM|2CGEN|3LHND|4RCR|5AART|6MDPS|79VULN|8ASPD|aDMG
157	41421 31612	   	207.89	ACR|3DMG|1BASARM|1BEXP|1SELL	1BASARM|26DUST|368DMG|4RCR|5SELL|6BPWR|7FEWX|9BEXP|aVULN
158	41422 11363	   	207.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1BASARM|2DUST|3DMG|4RCR|5MLV|68VULN|7AME|9BEXP|aASPD
159	41423 33363	   	207.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1BASARM|2DUST|3DMG|4RCR|58VULN|6AEMAG|7LWND|9BEXP|aASPD
160	41426 32312	   	207.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1BASARM|2DUST|3DMG|4RCR|5AART|6LEGI|7RPLT|8ASPD|9aVULN
161	43126 15322	   	207.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1BASARM|2AME|3LHND|4RCR|5AART|6MDPS|79VULN|8ASPD|aDMG
162	44123 35213	   	207.81	ACR|1BASARM|3BEXP|1ASPD|1AART	1BASARM|2LWND|39ZMB|4RCR|56aBEXP|7AART|8ASPD
163	41421 32612	   	207.79	ACR|3DMG|1BASARM|1BEXP|1SELL	1BASARM|26DUST|368DMG|4RCR|5SELL|6BPWR|7LEGI|9BEXP|aVULN
164	42331 45122	   	207.71	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|79AART|8AME|aBEXP
165	42331 55222	   	207.71	ACR|1BASARM|2AART|1ASPD|1BEXP|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6ERES|79AART|8ASPD|aBEXP
166	42333 12432	   	207.71	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RCVC|689BEXP|7LEGI|aASPD
167	42332 12432	   	207.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5AEFBLL|689BEXP|7LEGI|aASPD
168	26351 62244	   	207.55	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DMG|2LWND|3aASPD|4VULN|5RCR|6BEXP|7BASARM|8MBVNT|9MLV
169	22522 63252	   	207.50	ACR|1BASARM|2DMG|1BEXP|1CDMG|1AAC	17DMG|2VENFST|3DUR|4RCR|5MLV|6BASARM|8AAC|9CDMG|aBEXP
170	42126 13352	   	207.41	ACR|1BASARM|2AART|1ASPD|1DMG	1BASARM|2CGEN|3LHND|4RCR|59AART|6MDPS|7VULN|8ASPD|aDMG
171	42123 63332	   	207.37	ACR|2BASARM|2DMG|1BEXP	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9ZMB|aVULN
172	42123 63342	   	207.37	ACR|2BASARM|2DMG|1BEXP	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9RMIN|aVULN
173	42123 63352	   	207.37	ACR|2BASARM|2DMG|1BEXP	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9MLV|aVULN
174	41421 31633	 * 	207.37	ACR|3DMG|1BASARM|1ASPD|1SELL	1BASARM|26DUST|368DMG|4RCR|5SELL|6BPWR|7FEWX|9MLV|aASPD
175	41423 35221	   	207.31	ACR|1BASARM|2AART|1ASPD|1DMG	1BASARM|2DUST|3DMG|4RCR|5VULN|6AEMAG|79AART|8ASPD|aLWND
176	41423 35223	   	207.31	ACR|1BASARM|2AART|1ASPD|1DMG	1BASARM|2DUST|3DMG|4RCR|5VULN|6AEMAG|79AART|8ASPD|aRPLT
177	44121 14121	   	207.27	ACR|2BASARM|2ASPD|1AART	1aBASARM|2aLWND|38ZMB|4RCR|5NUKE|6VULN|7AART|9aASPD|aBPWR
178	44121 14221	   	207.27	ACR|2BASARM|2ASPD|1AART	1aBASARM|29aLWND|3ZMB|4RCR|5NUKE|6VULN|7AART|8aASPD|aBPWR
179	44121 14231	   	207.27	ACR|2BASARM|2ASPD|1AART	1aBASARM|2aLWND|39ZMB|4RCR|5NUKE|6VULN|7AART|8aASPD|aBPWR
180	44121 14321	   	207.27	ACR|2BASARM|2ASPD|1AART	1aBASARM|2aLWND|3ZMB|4RCR|5NUKE|6VULN|7AART|8RCVC|9aASPD|aBPWR
181	42123 63133	   	207.27	ACR|2BASARM|2DMG|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8DUST|9FEWX|aVULN
182	42123 63143	   	207.27	ACR|2BASARM|2DMG|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8DUST|9LWND|aVULN
183	42123 63362	   	207.27	ACR|2BASARM|2DMG|1BEXP	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9ERES|aVULN
184	42123 63613	   	207.27	ACR|2BASARM|2DMG|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8FEWX|9MDPS|aVULN
185	41423 13531	   	207.07	ACR|2BASARM|2DMG|1AART	1aBASARM|2DUST|3aDMG|4RCR|5VULN|69LWND|7AART|8aAEFBLL|aBPWR
186	41423 13511	   	206.97	ACR|2BASARM|2DMG|1AART	1aBASARM|29DUST|3aDMG|4RCR|5VULN|6LWND|7AART|8aAEFBLL|aBPWR
187	41423 23511	   	206.97	ACR|2BASARM|2DMG|1AART	1aBASARM|29DUST|3aDMG|4RCR|5VULN|6LHND|7AART|8aAEFBLL|aBPWR
188	44423 13111	   	206.74	ACR|2BASARM|2DMG|2VULN	18BASARM|267LWND|38DMG|4RCR|58VULN|8BPWR|9RCVC|aDUR
189	44423 13121	   	206.74	ACR|2BASARM|2DMG|2VULN	18BASARM|267LWND|38DMG|4RCR|58VULN|8BPWR|9LIT|aCGEN
190	42125 63323	 * 	206.74	ACR|2BASARM|2DMG|2CDMG	17BASARM|278CGEN|3LHND|4RCR|5FEWX|67DMG|7BPWR|9aCDMG
191	44423 13112	   	206.64	ACR|2BASARM|2DMG|2VULN	18BASARM|267LWND|38DMG|4RCR|58VULN|8BPWR|9RCVC|aMSLFST
192	44423 13122	   	206.64	ACR|2BASARM|2DMG|2VULN	18BASARM|267LWND|38DMG|4RCR|58VULN|8BPWR|9LIT|aLEGI
193	44121 13523	 * 	206.54	ACR|2BASARM|2ASPD|2VULN	17BASARM|2LWND|37ZMB|4RCR|5NUKE|67VULN|7BPWR|8aASPD|9DUST
194	42534 12233	   	206.54	ACR|2BASARM|1ASPD|1BEXP|1AART|1AAC	13BASARM|23CGEN|3BPWR|4BEXP|5RCR|6AART|7VULN|8ASPD|9DLOT|aAAC
195	56313 22421	   	206.44	ACR|1BASARM|2BEXP|1DMG|1AART	1LHND|2RCR|3FEWX|4AME|58BEXP|6MLV|7BASARM|9AART|aDMG
196	56332 22421	   	206.44	ACR|1BASARM|2BEXP|1DMG|1AART	1LHND|2RCR|3FEWX|48BEXP|5AME|6MLV|7BASARM|9AART|aDMG
197	41422 11323	   	206.34	ACR|2BASARM|2DMG|2VULN	1aBASARM|29DUST|3aDMG|4RCR|5MLV|68VULN|7aAME|aBPWR
198	41422 15323	   	206.34	ACR|2BASARM|2DMG|2VULN	1aBASARM|29DUST|3aDMG|4RCR|5MLV|68VULN|7aERES|aBPWR
199	41423 63131	   	206.34	ACR|2BASARM|2DMG|2VULN	17BASARM|28DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|9ZMB|aMBVNT
200	41423 63133	   	206.34	ACR|2BASARM|2DMG|2VULN	17BASARM|28DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|9ZMB|aFLTARM
201	41423 26232	 * 	206.26	ACR|1BASARM|3VULN|1ASPD|1DMG	1BASARM|2DUST|3DMG|4RCR|57aVULN|6LHND|8BELT|9ASPD
202	41424 11323	   	206.24	ACR|2BASARM|2DMG|2VULN	1aBASARM|29DUST|3aDMG|4RCR|5ERES|68VULN|7aAME|aBPWR
203	44126 32223	   	206.23	ACR|1BASARM|2ASPD|1AART|1BEXP	1BASARM|2LWND|3ZMB|4RCR|5AART|6DMSP|7VULN|89ASPD|aBEXP
204	42534 32131	   	206.23	ACR|2BASARM|2BEXP|1ASPD|1CDMG	13BASARM|23CGEN|3BPWR|49BEXP|5RCR|6ASPD|7BELT|8DMSP|aCDMG
205	42534 32331	   	206.23	ACR|2BASARM|2BEXP|1ASPD|1CDMG	13BASARM|238CGEN|3BPWR|49BEXP|5RCR|6ASPD|7BELT|aCDMG
206	41422 42321	   	206.13	ACR|1BASARM|2DMG|1BEXP|1CDMG	1BASARM|2DUST|36DMG|4RCR|5MLV|7BELT|8CDMG|9VULN|aBEXP
207	41422 43233	   	206.13	ACR|1BASARM|2DMG|1BEXP|1CDMG	1BASARM|2DUST|36DMG|4RCR|5MLV|7LIT|8CDMG|9VULN|aBEXP
208	41126 62222	   	206.13	ACR|1BASARM|2ASPD|1BEXP|1AART	1BASARM|2DUST|36ZMB|4RCR|5AART|7VULN|89ASPD|aBEXP
209	41423 12134	   	206.13	ACR|1BASARM|2DMG|1AART|1BEXP	1BASARM|2DUST|3aDMG|4RCR|5VULN|6LWND|7DUR|8BEXP|9AART
210	41423 13152	   	206.13	ACR|1BASARM|2DMG|1AART|1BEXP	1BASARM|2DUST|39DMG|4RCR|5VULN|6LWND|7AART|8BEXP|aFEWX
211	41423 23152	   	206.13	ACR|1BASARM|2DMG|1AART|1BEXP	1BASARM|2DUST|39DMG|4RCR|5VULN|6LHND|7AART|8BEXP|aFEWX
212	42534 11121	   	206.13	ACR|2BASARM|2BEXP|1DMG|1AART	13BASARM|23CGEN|3BPWR|48BEXP|5RCR|6AART|7MDPS|9LWND|aDMG
213	26351 62223	 * 	206.11	ACR|1BASARM|1ASPD|1DMG|2AAC|1BEXP	1DMG|2LWND|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8MBVNT|9aAAC
214	41423 13151	   	206.03	ACR|1BASARM|2DMG|1AART|1BEXP	1BASARM|2DUST|39DMG|4RCR|5VULN|6LWND|7AART|8BEXP|aNUKE
215	41423 23151	   	206.03	ACR|1BASARM|2DMG|1BEXP|1AART	1BASARM|2DUST|39DMG|4RCR|5VULN|6LHND|7AART|8BEXP|aNUKE
216	42534 11111	   	206.03	ACR|2BASARM|2BEXP|1DMG|1AART	13BASARM|23CGEN|3BPWR|48BEXP|5RCR|6AART|7MDPS|9DUST|aDMG
217	42534 11132	 * 	206.03	ACR|2BASARM|2BEXP|2VULN|1AART	13BASARM|23CGEN|3BPWR|48BEXP|5RCR|6AART|7MDPS|9aVULN
218	43634 32131	   	206.03	ACR|2BASARM|2BEXP|1ASPD|1CDMG	13BASARM|23AME|3BPWR|49BEXP|5RCR|6ASPD|7BELT|8DMSP|aCDMG
219	24351 62223	   	206.01	ACR|1BASARM|1ASPD|1DMG|2AAC|1BEXP	1DMG|2DUST|3ASPD|4VULN|5RCR|6BEXP|7BASARM|8MBVNT|9aAAC
220	43634 11121	   	205.93	ACR|2BASARM|2BEXP|1DMG|1AART	13BASARM|23AME|3BPWR|48BEXP|5RCR|6AART|7MDPS|9LWND|aDMG
221	41421 13512	   	205.89	ACR|1BASARM|2DMG|1BEXP|1CDMG|1SELL	1BASARM|2DUST|38DMG|4RCR|5SELL|6CGEN|7CDMG|9BEXP|aVULN
222	43634 11111	   	205.83	ACR|2BASARM|2BEXP|1DMG|1AART	13BASARM|23AME|3BPWR|48BEXP|5RCR|6AART|7MDPS|9DUST|aDMG
223	42122 11543	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2CGEN|36LHND|4RCR|5RPLT|7BEXP|8DMG|9aASPD
224	42122 14241	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2CGEN|36LHND|4RCR|5RPLT|79ASPD|8BEXP|aDMG
225	42122 14253	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2CGEN|36LHND|4RCR|5RPLT|7aASPD|8BEXP|9DMG
226	42122 21543	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2CGEN|3LHND|4RCR|5RPLT|6RCVC|7BEXP|8DMG|9aASPD
227	42122 24241	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2CGEN|3LHND|4RCR|5RPLT|6RCVC|79ASPD|8BEXP|aDMG
228	42122 24253	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2CGEN|3LHND|4RCR|5RPLT|6RCVC|7aASPD|8BEXP|9DMG
229	42331 46131	   	205.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6aDMG|7BELT|8LHND|9ASPD
230	42331 46311	   	205.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6aDMG|7BELT|8ASPD|9LWND
231	42331 46331	   	205.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6aDMG|7BELT|8ASPD|9LHND
232	42123 61231	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1BASARM|2CGEN|3LHND|4RCR|5BEXP|6aDMG|7AME|8BELT|9ASPD
233	42123 65231	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1BASARM|2CGEN|3LHND|4RCR|5BEXP|6aDMG|7ERES|8BELT|9ASPD
234	43122 11543	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2AME|36LHND|4RCR|5RPLT|7BEXP|8DMG|9aASPD
235	43122 14241	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2AME|36LHND|4RCR|5RPLT|79ASPD|8BEXP|aDMG
236	43122 14253	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2AME|36LHND|4RCR|5RPLT|7aASPD|8BEXP|9DMG
237	43122 21543	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2AME|3LHND|4RCR|5RPLT|6RCVC|7BEXP|8DMG|9aASPD
238	43122 24241	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2AME|3LHND|4RCR|5RPLT|6RCVC|79ASPD|8BEXP|aDMG
239	43122 24253	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BASARM|2AME|3LHND|4RCR|5RPLT|6RCVC|7aASPD|8BEXP|9DMG
240	43261 11521	   	205.61	ACR|1BASARM|2ASPD|1DMG|1AART	1BASARM|2aAME|3CGEN|4RCR|5AART|6DUST|7aZMB|8DMG|9aASPD|aBPWR
241	41423 13353	   	205.51	ACR|1BASARM|2DMG|2VULN|1AART	1BASARM|2DUST|39DMG|4RCR|5aVULN|6LWND|7AART|8LHND
242	43261 32521	   	205.51	ACR|1BASARM|2DMG|2VULN|1AART	1BASARM|2AME|3CGEN|4RCR|5AART|68DMG|79VULN|aMLV
243	43261 32522	   	205.51	ACR|1BASARM|2DMG|2VULN|1AART	1BASARM|2AME|3CGEN|4RCR|5AART|68DMG|79VULN|aFEWX
244	43261 32533	   	205.51	ACR|1BASARM|2DMG|2VULN|1AART	1BASARM|2AME|3CGEN|4RCR|5AART|68DMG|7aVULN|9LWND
245	44421 31131	   	205.46	ACR|1BASARM|2DMG|1ASPD|1BEXP|1SELL	1BASARM|26LWND|36DMG|4RCR|5SELL|6BPWR|7BEXP|8TLV|9LHND|aASPD
246	44421 31232	   	205.46	ACR|1BASARM|2DMG|2VULN|1BEXP|1SELL	1BASARM|26LWND|36DMG|4RCR|5SELL|6BPWR|7BEXP|8RCVC|9aVULN
247	41421 13522	   	205.36	ACR|1BASARM|2DMG|1ASPD|1CDMG|1SELL	1BASARM|2DUST|38DMG|4RCR|5SELL|6aCGEN|7CDMG|9ASPD
248	41421 13523	   	205.36	ACR|1BASARM|2DMG|1ASPD|1CDMG|1SELL	1BASARM|2DUST|38DMG|4RCR|5SELL|6CGEN|7CDMG|9ASPD|aLIT
249	41421 31431	   	205.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1SELL	1BASARM|26DUST|36DMG|4RCR|5SELL|6BPWR|7FEWX|8BEXP|9MLV|aASPD
