0	Index      	 *	Score 	Summary	Detail	
35	41422 41331	   	219.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1BASARM|2DUST|36DMG|4RCR|5MLV|7DUR|8BEXP|9CDMG|aASPD
36	41423 13153	   	219.16	ACR|1BASARM|2DMG|2VULN|1AART|1BEXP	1BASARM|2DUST|39DMG|4RCR|5aVULN|6LWND|7AART|8BEXP
37	41423 23153	   	219.16	ACR|1BASARM|2DMG|2VULN|1AART|1BEXP	1BASARM|2DUST|39DMG|4RCR|5aVULN|6LHND|7AART|8BEXP
38	44423 13123	   	218.67	ACR|2BASARM|2DMG|3VULN	18BASARM|267LWND|38DMG|4RCR|58aVULN|8BPWR|9LIT
39	44423 13131	   	218.67	ACR|2BASARM|2DMG|3VULN	18BASARM|267LWND|38DMG|4RCR|589VULN|8BPWR|aDUR
40	44423 13132	   	218.57	ACR|2BASARM|2DMG|3VULN	18BASARM|267LWND|38DMG|4RCR|589VULN|8BPWR|aMSLFST
41	41423 63132	   	218.37	ACR|2BASARM|2DMG|3VULN	17BASARM|28DUST|37DMG|4RCR|57aVULN|6NUKE|7BPWR|9ZMB
42	43634 12122	   	218.09	ACR|2BASARM|1ASPD|1DMG|1BEXP|1AART	13BASARM|238AME|3BPWR|4BEXP|5RCR|6AART|7VULN|9DMG|aASPD
43	43634 12322	   	218.09	ACR|2BASARM|1ASPD|1DMG|1BEXP|1AART	13BASARM|23AME|3BPWR|4BEXP|5RCR|6AART|7VULN|8MDPS|9DMG|aASPD
44	43261 32523	   	217.44	ACR|1BASARM|2DMG|3VULN|1AART	1BASARM|2AME|3CGEN|4RCR|5AART|68DMG|79aVULN
45	44423 32133	 * 	216.51	ACR|1BASARM|2BEXP|2VULN|1DMG|1AART	1BASARM|2LWND|3DMG|4RCR|5aVULN|68BEXP|7DUR|9AART
46	42123 63161	 * 	215.98	ACR|2BASARM|3DMG|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|679DMG|7BPWR|8DUST|aFEWX
47	26351 62323	 * 	215.95	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AAC	1DMG|29LWND|3aASPD|4VULN|5RCR|6BEXP|7BASARM|8AAC
48	42626 32222	   	215.94	ACR|1BASARM|2BEXP|2AART|1ASPD	1BASARM|2CGEN|3aBEXP|4RCR|59AART|6DMSP|7VULN|8ASPD
49	42123 63163	   	215.88	ACR|2BASARM|3DMG|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|679DMG|7BPWR|8DUST|aMDPS
50	24351 62333	   	215.85	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AAC	1DMG|2DUST|3aASPD|4VULN|5RCR|6BEXP|7BASARM|8AAC|9RCVC
51	24351 62313	   	215.75	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AAC	1DMG|29DUST|3aASPD|4VULN|5RCR|6BEXP|7BASARM|8AAC
52	42123 63312	   	215.67	ACR|2BASARM|2DMG|1BEXP|1AAC	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9AAC|aVULN
53	42331 45231	   	215.32	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|7AART|8ASPD|9DLOT|aBEXP
54	41423 33531	 * 	214.92	ACR|1BASARM|1ASPD|1DMG|1BASICY|1CDMG	1BASARM|2DUST|3DMG|4RCR|5VULN|6AEMAG|7LWND|8CDMG|9BASICY|aASPD
55	41423 63111	   	214.65	ACR|2BASARM|2DMG|2VULN|1AAC	17BASARM|28DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|9AAC|aMBVNT
56	41423 63113	   	214.65	ACR|2BASARM|2DMG|2VULN|1AAC	17BASARM|28DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|9AAC|aFLTARM
57	42331 45221	   	214.22	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|79AART|8ASPD|aLWND
58	42331 45223	   	214.22	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|79AART|8ASPD|aZMB
59	44123 35221	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1AART	1BASARM|2aLWND|3ZMB|4RCR|56BEXP|7AART|89ASPD
60	44123 15223	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1AART	1BASARM|26LWND|3ZMB|4RCR|5aBEXP|7AART|89ASPD
