0	Index      	 *	Score 	Summary	Detail	
37	14351 13112	   	180.40	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2RCR|3aAART|4DUR|5RCVC|6VULN|7DMG|8CDMG|9ZMB
38	34333 65233	   	179.88	ACR|3VULN|2DMG|1AART|1ZMB|1DUR|3MSE	147MSE|2RCR|3AART|57DMG|67aVULN|7BPWR|8DUR|9ZMB
39	11242 41133	   	179.59	ACR|3VULN|2AART|1DMG|1DUR	1DUST|29AART|3DUR|4DMG|5RCR|6LHND|78aVULN
40	14325 51311	   	179.45	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1DUST|2RCR|3AART|4CGEN|5RMIN|6DMG|78VULN|9FLTHEA|aCDMG
41	14342 13311	   	179.45	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1DUST|2RCR|3AART|4DMG|5RMIN|68VULN|7CGEN|9FLTHEA|aCDMG
42	14315 51311	   	179.35	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1DUST|2RCR|3AART|4ERES|5RMIN|6DMG|78VULN|9FLTHEA|aCDMG
43	14342 12311	   	179.35	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1DUST|2RCR|3AART|4DMG|5RMIN|68VULN|7ERES|9FLTHEA|aCDMG
44	14342 13326	   	179.25	ACR|3VULN|2AART|1DMG	1DUST|2RCR|39AART|4DMG|5RMIN|68aVULN|7CGEN
45	14342 12326	   	179.15	ACR|3VULN|2AART|1DMG	1DUST|2RCR|39AART|4DMG|5RMIN|68aVULN|7ERES
46	21481 44463	   	178.97	DCR|3VULN|2DMG|1AART	1MLV|247VULN|3MBVNT|5LIT|6RCR|8aDMG|9AART
47	14341 11316	   	178.88	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3AART|48DMG|5CGEN|6aVULN|7RCVC|9ASPD
48	14341 11333	   	178.88	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2RCR|3AART|48DMG|5CGEN|6aVULN|7RCVC|9DUR
49	14342 11316	   	178.88	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3AART|48DMG|5RMIN|6aVULN|7RCVC|9ASPD
50	11415 41131	 * 	178.83	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1DUST|24AART|35DMG|6CDMG|7MLV|8ZMB|9RCR|aVULN
51	14325 51333	   	178.80	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4CGEN|5RMIN|6DMG|78aVULN|9ZMB
52	14342 13333	   	178.80	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4DMG|5RMIN|68aVULN|7CGEN|9ZMB
53	14343 11316	   	178.78	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3AART|48DMG|5ERES|6aVULN|7RCVC|9ASPD
54	14343 11333	   	178.78	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2RCR|3AART|48DMG|5ERES|6aVULN|7RCVC|9DUR
55	14312 51323	 * 	178.77	ACR|3AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39aAART|4ERES|5ZMB|6DMG|78VULN
56	14312 51353	   	178.70	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|78aVULN|9CGEN
57	14315 51333	   	178.70	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4ERES|5RMIN|6DMG|78aVULN|9ZMB
58	14341 51333	   	178.70	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4DMG|5CGEN|6NUKE|78aVULN|9ZMB
59	14342 12333	   	178.70	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4DMG|5RMIN|68aVULN|7ERES|9ZMB
60	14361 51333	   	178.70	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4NUKE|5CGEN|6DMG|78aVULN|9ZMB
61	11241 12323	 * 	178.70	DCR|2AART|2VULN|2DMG|1DUR	1DUST|27AART|3DUR|48DMG|5CGEN|6aVULN|9RCR
62	14312 51363	   	178.60	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|78aVULN|9LEGI
63	14343 51333	   	178.60	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4DMG|5ERES|6NUKE|78aVULN|9ZMB
64	14363 51333	   	178.60	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3AART|4NUKE|5ERES|6DMG|78aVULN|9ZMB
65	14312 55122	   	178.45	ACR|2AART|2DMG|1VULN|2ZMB	17DUST|2RCR|39AART|4ERES|57ZMB|67DMG|7BPWR|8VULN|aLHND
66	14312 51321	 * 	178.35	ACR|2AART|2VULN|1DMG|2ZMB	1DUST|2RCR|39AART|4ERES|5aZMB|6DMG|78VULN
