0	Index      	 *	Score 	Summary	Detail	
37	24611 24352	   	166.22	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|3MBVNT|49DUR|5DMG|6RCR|7AART|8VULN|aCDMG
38	54311 35312	   	166.22	DCR|3VULN|3DMG	167DMG|2RMIN|3DUST|47aVULN|57FEWX|7BPWR|8RCR|9LHND
39	12681 23383	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3MBVNT|47VULN|5DMG|6RCR|8MLV|9AART|aCDMG
40	12681 23483	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3MBVNT|47VULN|5DMG|6RCR|8CGEN|9AART|aCDMG
41	34611 22352	   	166.12	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1DUST|2ZMB|3MBVNT|49DUR|5DMG|6RCR|7AART|8VULN|aCDMG
42	52213 16261	   	165.95	DCR|2VULN|2DMG|1AART|2DUR	18DMG|24DUR|358DUST|6RPLT|78VULN|8BPWR|9AART|aRCR
43	52311 25343	   	165.91	DCR|3DMG|2VULN|1ZMB|1DUR	17aDMG|2DUR|3TLV|48VULN|5FEWX|6ZMB|9RCR
44	12681 24348	   	165.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ERES|2aDUR|3MBVNT|49VULN|5DMG|6RCR|7ASPD|8AART
45	12681 23514	   	165.29	DCR|2VULN|2DMG|1CDMG|2DUR	1ERES|2aDUR|3MBVNT|47VULN|59DMG|6RCR|8CDMG
46	42612 33224	   	164.92	DCR|2VULN|2DMG|1AART|1ZMB	13CGEN|23DMG|3BPWR|47VULN|5RPLT|6MLV|8ZMB|9AART|aRCR
47	51612 33224	   	164.92	DCR|2VULN|2DMG|1AART|1ZMB	13DMG|23CGEN|3BPWR|47VULN|5RPLT|6MLV|8ZMB|9AART|aRCR
48	24611 24321	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aDMSP
49	24611 24324	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aLWND
50	24611 24325	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aRCVC
51	24611 24326	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aLIT
52	24611 24327	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aBEXP
53	24611 24223	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8BEXP|9VULN
54	24611 24523	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8LHND|9VULN
55	24611 24172	 * 	164.78	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1FEWX|28ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|9VULN|aCDMG
