0	Index      	 *	Score 	Summary	Detail	
17	22154 12324	   	176.98	ACR|2VULN|2DMG|1AART|1FLTHEA	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9MLV|aFLTHEA
18	22154 12326	   	176.98	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9MLV|aCDMG
19	32154 16122	   	176.98	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7aVULN|8RPLT|9CDMG
20	22412 61326	   	176.74	DCR|2AART|2VULN|1DMG|2CDMG	1LWND|23AART|46CDMG|56VULN|6BPWR|79CGEN|8RCR|aDMG
21	22412 61353	   	176.74	DCR|2AART|2VULN|1DMG|2CDMG	1LWND|23AART|46CDMG|56VULN|6BPWR|7CGEN|8RCR|9BEXP|aDMG
22	22512 61336	   	176.74	DCR|2AART|2VULN|1DMG|2CDMG	13LWND|29AART|46CDMG|56VULN|6BPWR|7CGEN|8RCR|aDMG
23	22163 22253	 * 	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|3LIT|4CGEN|5ZMB|6aVULN|7RCR|89DMG
24	32163 22253	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|2AART|3LIT|4CGEN|5ZMB|6aVULN|7RCR|89DMG
25	52163 22253	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|2AART|3LIT|4CGEN|5ZMB|6aVULN|7RCR|89DMG
26	22143 22253	   	176.12	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|3LIT|4ERES|5ZMB|6aVULN|7RCR|89DMG
27	32143 22253	   	176.12	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|2AART|3LIT|4ERES|5ZMB|6aVULN|7RCR|89DMG
28	52143 22253	   	176.12	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|2AART|3LIT|4ERES|5ZMB|6aVULN|7RCR|89DMG
29	32154 11326	 * 	174.78	ACR|2AART|2DMG|2VULN	1LHND|2aAART|36LIT|46DMG|5RCR|6BPWR|7LWND|89VULN
30	22412 62411	   	174.34	DCR|2AART|2VULN|1DMG|2CDMG	1LWND|23AART|46CDMG|56VULN|6BPWR|7LIT|8LHND|9RCR|aDMG
31	22412 62511	   	174.34	DCR|2AART|2VULN|1DMG|2CDMG	1LWND|23AART|46CDMG|56VULN|6BPWR|7LIT|8FEWX|9RCR|aDMG
32	22412 65311	   	174.34	DCR|2AART|2VULN|1DMG|2CDMG	1LWND|23AART|46CDMG|56VULN|6BPWR|7FEWX|8LIT|9RCR|aDMG
33	32412 62511	   	174.34	DCR|2AART|2VULN|1DMG|2CDMG	1LHND|23AART|46CDMG|56VULN|6BPWR|7LIT|8FEWX|9RCR|aDMG
34	32412 65311	   	174.34	DCR|2AART|2VULN|1DMG|2CDMG	1LHND|23AART|46CDMG|56VULN|6BPWR|7FEWX|8LIT|9RCR|aDMG
35	22154 12361	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9LHND|aZMB
36	22154 12521	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|79VULN|8LHND|aZMB
37	22154 12613	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7aVULN|8ZMB|9CGEN
38	22154 15331	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7FEWX|89VULN|aZMB
39	32154 11321	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7LWND|89VULN|aZMB
40	32154 15321	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7FEWX|89VULN|aZMB
41	52154 11331	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|7LWND|89VULN|aZMB
42	22163 22233	 * 	174.28	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|2AART|3LIT|4CGEN|5ZMB|69aVULN|7RCR|8DMG
43	32163 22223	   	174.28	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|2AART|3LIT|4CGEN|5ZMB|69aVULN|7RCR|8DMG
44	52163 22233	   	174.28	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|2AART|3LIT|4CGEN|5ZMB|69aVULN|7RCR|8DMG
45	22412 62211	   	174.24	DCR|2AART|2VULN|1DMG|2CDMG	1LWND|23AART|46CDMG|56VULN|6BPWR|7LIT|8DUST|9RCR|aDMG
46	32412 62211	   	174.24	DCR|2AART|2VULN|1DMG|2CDMG	1LHND|23AART|46CDMG|56VULN|6BPWR|7LIT|8DUST|9RCR|aDMG
47	22154 12351	   	174.24	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9DUST|aZMB
48	22154 12633	   	174.24	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7aVULN|8ZMB|9ERES
49	52154 13331	   	174.24	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|7LEGI|89VULN|aZMB
50	22143 22233	   	174.18	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|2AART|3LIT|4ERES|5ZMB|69aVULN|7RCR|8DMG
51	32143 22223	   	174.18	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|2AART|3LIT|4ERES|5ZMB|69aVULN|7RCR|8DMG
52	52143 22233	   	174.18	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|2AART|3LIT|4ERES|5ZMB|69aVULN|7RCR|8DMG
53	25313 21254	 * 	172.67	DCR|3VULN|2DMG|2CDMG|1ASPD	1LWND|289VULN|3CGEN|4ERES|59DMG|6ASPD|79CDMG|9BPWR|aRCR
54	22154 12623	   	171.70	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7VULN|8ZMB|9FLTHEA|aRCVC
