0	Index      	 *	Score 	Summary	Detail	
39	21523 14214	   	259.94	ACR|3VULN|3DMG|2MLV|2RPLT|1AART	127DMG|37aVULN|4RCR|57MLV|69RPLT|7BPWR|8AART
40	31265 32623	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2DMG|3FEWX|4VULN|5RCVC|6aRCR|7MDPS|8LWND|9DUR
41	31265 32523	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2DMG|3FEWX|4VULN|5RCVC|6aRCR|7MDPS|8DUST|9DUR
42	21523 14322	 * 	259.35	ACR|3VULN|3DMG|3MLV|1RPLT	127DMG|37aVULN|4RCR|57aMLV|6RPLT|7aBPWR|8BBNT|9aLHND
43	21523 14332	   	259.35	ACR|3VULN|3DMG|3MLV|1RPLT	127DMG|37aVULN|4RCR|57aMLV|6RPLT|7aBPWR|8BBNT|9aBEXP
44	21523 53612	   	257.80	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9FEWX|aDUR
45	21523 53632	   	257.70	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9DUST|aDUR
46	21521 31363	   	257.52	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	12DMG|3VULN|4aRCR|5BBNT|6CDMG|7BEXP|8MSLTOX|9MLV
47	21525 31363	   	257.52	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	12DMG|3VULN|4aRCR|5TBNT|6CDMG|7BEXP|8MSLTOX|9MLV
48	23621 53323	   	256.81	ACR|DCR|2VULN|1DMG|1CDMG	1DMG|2DUR|3FEWX|4aRCR|5CDMG|6DUST|79VULN|8LSRHEA
49	41322 12432	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2DMG|3LIT|4TBNT|5AME|6RCVC|78RCR|9LHND|aVULN
50	41322 12452	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2DMG|3LIT|4TBNT|5AME|6RCVC|78RCR|9BEXP|aVULN
51	41332 22412	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2DMG|3LIT|4TLV|5MDPS|6FEWX|78RCR|9BEXP|aVULN
52	41332 22432	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2DMG|3LIT|4TLV|5MDPS|6FEWX|78RCR|9LWND|aVULN
53	41332 22462	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2DMG|3LIT|4TLV|5MDPS|6FEWX|78RCR|9LHND|aVULN
54	31132 24356	 * 	255.00	DCR|2VULN|2DMG|2ASPD|1MLV|1RPLT	19ASPD|29DMG|3DUR|4MLV|59VULN|6TBNT|7AAC|8RCR|9BPWR|aRPLT
55	21523 14251	   	254.98	ACR|2VULN|3DMG|3MLV|1AART|1RPLT	127DMG|37VULN|4RCR|57aMLV|6RPLT|7BPWR|8AART|9DUR
56	31132 63414	   	254.82	DCR|3VULN|2DMG|1MLV|1ASPD	1ASPD|29DMG|3DUR|4MLV|56aVULN|7FEWX|8RCR
57	21523 14231	   	254.75	ACR|3VULN|3DMG|2MLV|1AART|1RPLT	127DMG|379VULN|4RCR|57MLV|6RPLT|7BPWR|8AART|aTLV
58	21523 14232	   	254.75	ACR|3VULN|3DMG|2MLV|1AART|1RPLT	127DMG|379VULN|4RCR|57MLV|6RPLT|7BPWR|8AART|aCGEN
59	21523 14233	   	254.75	ACR|3VULN|3DMG|2MLV|1AART|1RPLT	127DMG|379VULN|4RCR|57MLV|6RPLT|7BPWR|8AART|aRCVC
60	21523 14236	   	254.75	ACR|3VULN|3DMG|2MLV|1AART|1RPLT	127DMG|379VULN|4RCR|57MLV|6RPLT|7BPWR|8AART|aLWND
61	21523 14252	   	254.57	ACR|2VULN|3DMG|2MLV|1CDMG|1AART|1RPLT	127DMG|37VULN|4RCR|57MLV|6RPLT|7BPWR|8AART|9DUR|aCDMG
62	31231 35616	   	253.99	DCR|DCR|2DMG|1MLV|1ASPD|1SELL	1ASPD|28DMG|3FEWX|4MLV|5AME|6aRCR|7AELOIC|9SELL
63	21223 48114	   	253.53	ACR|DCR|2DMG|1VULN|1MLV|1AART	12DMG|3LWND|4aRCR|5MLV|6MBVNT|7VULN|8AART|9CGEN
64	21523 47114	   	253.53	ACR|DCR|2DMG|1VULN|1MLV|1AART	12DMG|3VULN|4aRCR|5MLV|6MBVNT|7FEWX|8AART|9CGEN
65	64232 33223	   	253.20	DCR|DCR|1VULN|1ASPD|1CDMG	1LWND|2RMIN|3VULN|4ASPD|5DUR|6LSRREG|7aRCR|8TLV|9CDMG
