0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64222 21523	4	 * 	268.10	DCR|4VULN|2DUR|1DMG|1AART	1LHND|2AART|34DUR|5DMG|679aVULN|8RCR
2	31235 65231	10	 * 	267.98	DCR|5VULN|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45678VULN|9RCR|aDUR
3	31351 11243	1	 * 	267.04	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	1MLV|25aVULN|3CDMG|4CGEN|6aDUR|7TLV|8aASPD|9RCR|aBPWR
4	31552 34225	1	 * 	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1MLV|249VULN|34DMG|4BPWR|5MBVNT|6CDMG|78DUR|aRCR
5	64222 21533	4	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1LHND|2AART|34DUR|59DMG|67aVULN|8RCR
6	31625 16323	10	 * 	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|579VULN|6RCR|7BPWR|aDMG
7	64221 11533	5	 * 	260.57	DCR|2VULN|3DUR|2DMG|1ASPD|1AART	1aLHND|2AART|34aDUR|57VULN|6ASPD|8RCR|9aDMG|aBPWR
8	64222 21533	5	   	260.57	DCR|2VULN|3DUR|2DMG|1ASPD|1AART	1aLHND|2AART|34aDUR|5ASPD|67VULN|8RCR|9aDMG|aBPWR
9	31235 65232	10	   	260.04	DCR|5VULN|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45678VULN|9RCR|aLIT
10	54121 11533	5	   	259.66	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	1aLWND|2AART|37aVULN|4DUR|5RCVC|6ASPD|8RCR|9aDMG|aBPWR
11	54123 11533	4	   	259.66	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	15aLWND|2AART|37aVULN|4DUR|6ASPD|8RCR|9aDMG|aBPWR
12	64121 11533	5	   	259.66	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	1aLHND|2AART|37aVULN|4DUR|5RCVC|6ASPD|8RCR|9aDMG|aBPWR
13	64123 11533	5	   	259.66	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	15aLHND|2AART|37aVULN|4DUR|6ASPD|8RCR|9aDMG|aBPWR
14	64221 11523	5	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	1LHND|2AART|34DUR|579aVULN|6ASPD|8RCR
15	64222 21523	5	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	1LHND|2AART|34DUR|5ASPD|679aVULN|8RCR
16	33346 61133	1	 * 	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1MLV|2aDMG|3ERES|4CGEN|57aVULN|6DUR|8aCDMG|9RCR|aBPWR
17	31615 32433	8	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1MLV|2CDMG|34DUR|5LIT|689VULN|7RCR|aDMG
18	11325 65333	7	   	256.88	DCR|5VULN|1TLV|1CDMG	1ERES|2CDMG|3567aVULN|4TLV|8RCR|9RPLT
19	11325 65322	7	   	256.78	DCR|5VULN|1TLV|1CDMG	19ERES|2CDMG|3567aVULN|4TLV|8RCR
20	36312 11115	6	 * 	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	1MLV|29DUR|3DMG|4ZMB|579VULN|6CGEN|89CDMG|9BPWR|aRCR
21	36312 51115	5	   	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	1MLV|29DUR|3DMG|4ZMB|579VULN|6CGEN|89CDMG|9BPWR|aRCR
22	36312 41115	6	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1MLV|29DUR|3DMG|4ZMB|579VULN|6ERES|89CDMG|9BPWR|aRCR
23	36332 31133	6	   	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	1MLV|2aDUR|3DMG|4CGEN|57aVULN|6ERES|8aCDMG|9RCR|aBPWR
24	31625 16223	7	   	255.20	DCR|3VULN|2DUR|2CDMG|1ASPD	17MLV|27CDMG|38DUR|4ASPD|579VULN|6RCR|7BPWR|aLIT
25	16431 35112	3	   	255.00	DCR|3VULN|2DUR|1DMG|1ASPD	1ERES|23DUR|4LIT|5DMG|679VULN|8ASPD|aRCR
26	31231 21255	4	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|457VULN|6DMG|8LIT|9DUR|aRCR
27	31231 21625	4	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|457VULN|6DMG|8DUR|9LIT|aRCR
28	31235 21255	5	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|457VULN|6DMG|8LIT|9DUR|aRCR
29	31235 21625	5	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|457VULN|6DMG|8DUR|9LIT|aRCR
30	31521 21255	1	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|257VULN|3DMG|4CDMG|6ASPD|8LIT|9DUR|aRCR
31	31521 21625	1	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|257VULN|3DMG|4CDMG|6ASPD|8DUR|9LIT|aRCR
32	11231 21255	4	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1ERES|2CDMG|3ASPD|457VULN|6DMG|8LIT|9DUR|aRCR
33	11235 21255	5	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1ERES|2CDMG|3ASPD|457VULN|6DMG|8LIT|9DUR|aRCR
34	43326 31363	4	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1BEXP|2ZMB|3DMG|467aVULN|5TLV|8RCR|9AART
35	54212 21523	4	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	14LWND|2AART|3DUR|5DMG|679aVULN|8RCR
36	54222 21523	3	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1LWND|2AART|3DUR|4RCVC|5DMG|679aVULN|8RCR
37	64212 21523	3	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	14LHND|2AART|3DUR|5DMG|679aVULN|8RCR
38	36332 51321	8	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1MLV|2DUR|3DMG|4CGEN|589aVULN|6RCR|7AART
39	36332 51331	9	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1MLV|2DUR|3DMG|4CGEN|589aVULN|6RCR|7AART
40	54231 21523	4	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1LWND|2AART|3DUR|4DMG|5RCVC|679aVULN|8RCR
41	54231 21523	3	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1LWND|2AART|3DUR|4DMG|5RCVC|679aVULN|8RCR
42	64231 21523	5	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	15LHND|2AART|3DUR|4DMG|679aVULN|8RCR
