0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23232 66326	4	 * 	282.65	DCR|4VULN|2DMG|2ASPD|1TLV	16ASPD|2DUST|3TLV|4567VULN|6BPWR|8aDMG|9RCR
2	23112 66412	1	   	282.65	DCR|4VULN|2DMG|2ASPD|1DUR	16ASPD|2579VULN|3DUR|46DMG|6BPWR|8BBNT|aRCR
3	56241 21123	8	 * 	281.60	DCR|4VULN|2DMG|3LIT|1DUR	149LIT|2RCVC|3479VULN|49BPWR|59DMG|6BELT|8RCR|aDUR
4	24433 31262	2	 * 	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	19ASPD|2RMIN|37aVULN|459DMG|69CDMG|8RCR|9BPWR
5	23641 33215	1	 * 	279.39	DCR|3VULN|2DMG|3ASPD|1DUR|1AART	139ASPD|29aVULN|4DUR|5BEXP|6RCR|79DMG|8AART|9BPWR
6	21512 13418	1	 * 	278.80	DCR|3VULN|3DMG|3ASPD|1AART	189ASPD|2AART|3LHND|4LEGI|589VULN|689DMG|7MBVNT|89BPWR|aRCR
7	23232 66321	4	   	278.72	DCR|4VULN|2ASPD|1DMG|1TLV|1CDMG	16ASPD|2DUST|3TLV|4567VULN|6BPWR|8DMG|9RCR|aCDMG
8	13212 66326	2	 * 	275.92	DCR|4VULN|2DMG|2DUR	14DUST|2567VULN|36DUR|6BPWR|8aDMG|9RCR
9	13212 66326	1	   	275.92	DCR|4VULN|2DMG|2DUR	14DUST|2567VULN|36DUR|6BPWR|8aDMG|9RCR
10	23232 66322	4	   	274.73	DCR|4VULN|2ASPD|1DMG|1TLV|1AART	16ASPD|2DUST|3TLV|4567VULN|6BPWR|8DMG|9RCR|aAART
11	23112 61412	1	 * 	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	16ASPD|259VULN|37DUR|46DMG|6BPWR|8BBNT|aRCR
12	23232 66323	4	 * 	274.59	DCR|4VULN|3ASPD|1DMG|1TLV	16aASPD|2DUST|3TLV|4567VULN|6BPWR|8DMG|9RCR
13	22265 21261	8	 * 	274.15	DCR|5VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|4789aVULN|5DMG|6RCR
14	22265 21211	8	   	272.20	DCR|4VULN|2DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|478aVULN|59DMG|6RCR
15	13212 66136	2	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	14DUST|2567VULN|36DUR|6BPWR|8CDMG|9RCR|aDMG
16	13212 66136	1	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	14DUST|2567VULN|36DUR|6BPWR|8CDMG|9RCR|aDMG
17	13212 66321	2	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aCDMG
18	13212 66321	1	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aCDMG
19	13212 66131	2	 * 	271.46	DCR|5VULN|2DUR|1CDMG	14DUST|2567aVULN|36DUR|6BPWR|8CDMG|9RCR
20	13212 66131	1	   	271.46	DCR|5VULN|2DUR|1CDMG	14DUST|2567aVULN|36DUR|6BPWR|8CDMG|9RCR
21	23131 33212	1	   	271.10	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG|1AART	19ASPD|29VULN|35DUR|4DUST|6RCR|79DMG|8AART|9BPWR|aCDMG
22	52111 63241	7	 * 	271.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	18LIT|2BEXP|38DMG|49aDUR|5TLV|6RCR|78VULN|8BPWR
23	22262 21214	8	   	270.86	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|478aVULN|5TLV|6RCR|9DMG
24	22262 21266	8	   	270.86	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|4789VULN|5TLV|6RCR|aDMG
25	22262 25114	7	   	270.86	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|489aVULN|5TLV|6RCR|7DMG
26	23131 33213	1	 * 	270.67	DCR|2VULN|3DUR|2DMG|2ASPD|1AART	19ASPD|29VULN|35aDUR|4DUST|6RCR|79DMG|8AART|9BPWR
27	22262 21261	8	   	270.34	DCR|5VULN|1TLV|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|4789aVULN|5TLV|6RCR
28	26412 13418	3	   	269.04	DCR|3VULN|3DMG|3ASPD	189ASPD|2LHND|3DLOT|4LEGI|589VULN|689DMG|7MBVNT|89BPWR|aRCR
29	23641 33212	1	   	268.74	DCR|2VULN|2DMG|3ASPD|1TLV|1DUR|1AART	139ASPD|29VULN|4DUR|5BEXP|6RCR|79DMG|8AART|9BPWR|aTLV
30	23641 33211	1	 * 	267.07	DCR|2VULN|2DMG|3ASPD|2DUR|1AART	139ASPD|29VULN|4aDUR|5BEXP|6RCR|79DMG|8AART|9BPWR
31	23212 66412	1	   	266.30	DCR|4VULN|2DMG|2ASPD	16ASPD|2579VULN|3DUST|46DMG|6BPWR|8BBNT|aRCR
32	22262 21221	8	   	265.38	DCR|4VULN|2DUR|1TLV|1ASPD|1SELL	1ASPD|2SELL|39DUR|478aVULN|5TLV|6RCR
33	56241 21122	8	   	265.35	DCR|4VULN|2DMG|3LIT	149LIT|2aRCVC|3479VULN|49BPWR|59DMG|6BELT|8RCR
34	56231 21126	8	   	265.25	DCR|4VULN|2DMG|3LIT	149LIT|2RCVC|379aVULN|59DMG|6BELT|8RCR|9BPWR
35	56241 21121	8	   	265.25	DCR|4VULN|2DMG|3LIT	149LIT|2RCVC|3479VULN|49BPWR|59DMG|6BELT|8RCR|aBBNT
36	23232 66324	4	   	265.06	DCR|4VULN|2ASPD|1DMG|1TLV	16ASPD|2DUST|3TLV|4567VULN|6BPWR|8DMG|9RCR|aFEWX
37	23232 66325	4	   	264.96	DCR|4VULN|2ASPD|1DMG|1TLV	16ASPD|2DUST|3TLV|4567VULN|6BPWR|8DMG|9RCR|aTBNT
38	12132 61415	5	   	264.11	DCR|3VULN|3DMG|1DUR|1AART	189DUST|2ZMB|3AART|4MBVNT|589DMG|6RCR|789VULN|89BPWR|aDUR
39	12134 61415	4	   	264.11	DCR|3VULN|3DMG|1DUR|1AART	189DUST|2ZMB|3AART|4MBVNT|589DMG|6RCR|789VULN|89BPWR|aDUR
40	23233 66326	4	 * 	263.72	DCR|3VULN|2DMG|2ASPD|2TLV	16ASPD|2DUST|35TLV|467VULN|6BPWR|8aDMG|9RCR
41	23112 62126	1	 * 	263.44	DCR|2VULN|3DMG|2DUR|2ASPD	16ASPD|25VULN|38DUR|46aDMG|6BPWR|7RMIN|9RCR
42	23112 63126	1	   	263.44	DCR|2VULN|3DMG|2DUR|2ASPD	16ASPD|25VULN|38DUR|46aDMG|6BPWR|7CGEN|9RCR
43	22223 25422	10	   	263.20	DCR|2VULN|3DMG|2DUR|2ASPD|1SELL	1aASPD|2SELL|3aDUR|4ERES|59VULN|6RCR|78aDMG|aBPWR
44	23611 33215	1	   	263.04	DCR|3VULN|2DMG|3ASPD|1AART	139ASPD|29aVULN|4DUST|5BEXP|6RCR|79DMG|8AART|9BPWR
45	22262 21226	8	   	262.80	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD|1SELL	1ASPD|2SELL|39DUR|478VULN|5TLV|6RCR|aDMG
46	23532 66321	4	   	262.47	DCR|4VULN|2ASPD|1DMG|1CDMG	16ASPD|2DUST|3MLV|4567VULN|6BPWR|8DMG|9RCR|aCDMG
47	22262 21256	8	   	261.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1SELL	1ASPD|2SELL|3DUR|478VULN|5TLV|6RCR|9CDMG|aDMG
48	23112 62121	1	   	261.44	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	16ASPD|25VULN|38DUR|46DMG|6BPWR|7RMIN|9RCR|aCDMG
49	23112 63121	1	   	261.44	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	16ASPD|25VULN|38DUR|46DMG|6BPWR|7CGEN|9RCR|aCDMG
50	12232 66326	4	   	261.34	DCR|4VULN|2DMG|1TLV	16DUST|2ZMB|3TLV|4567VULN|6BPWR|8aDMG|9RCR
51	13113 13112	1	 * 	260.50	DCR|4VULN|3DMG|1SELL	1DUST|2689VULN|345DMG|7SELL|aRCR
52	13113 13112	2	 * 	260.50	DCR|4VULN|3DMG|1SELL	1DUST|2689VULN|345DMG|7SELL|aRCR
53	23112 66243	1	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	16ASPD|257VULN|3DUR|46DMG|6BPWR|8BEXP|9LHND|aRCR
54	23211 66326	5	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	16ASPD|2DUST|3TLV|4DMSP|567VULN|6BPWR|8aDMG|9RCR
55	23232 66326	5	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	16ASPD|2DUST|3TLV|467VULN|5RCVC|6BPWR|8aDMG|9RCR
56	13331 34116	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|239aVULN|4DMG|5BEXP|6RCR|7DUR|8TLV
57	13331 34116	1	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|239aVULN|4DMG|5BEXP|6RCR|7DUR|8TLV
58	53135 12273	3	   	259.95	DCR|4VULN|2DMG|2LIT	18LIT|2ERES|38DMG|4MBVNT|5LEGI|6RCR|789aVULN|8BPWR
59	13334 34116	2	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|239aVULN|4DMG|5LEGI|6RCR|7DUR|8TLV
60	13334 34116	1	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|239aVULN|4DMG|5LEGI|6RCR|7DUR|8TLV
61	23233 66321	4	   	259.79	DCR|3VULN|2ASPD|2TLV|1DMG|1CDMG	16ASPD|2DUST|35TLV|467VULN|6BPWR|8DMG|9RCR|aCDMG
62	22262 25412	10	 * 	259.62	DCR|3DMG|3DUR|1VULN|2ASPD|1TLV|1SELL	1aASPD|2SELL|39aDUR|4VULN|5TLV|6RCR|78aDMG|aBPWR
63	56231 21123	8	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	149LIT|2RCVC|379VULN|59DMG|6BELT|8RCR|9BPWR|aDUR
64	13333 36114	2	   	258.74	DCR|4VULN|2DMG|1CDMG	1DUST|239aVULN|45DMG|6CDMG|7RCR|8LWND
65	13333 36114	1	   	258.74	DCR|4VULN|2DMG|1CDMG	1DUST|239aVULN|45DMG|6CDMG|7RCR|8LWND
66	13333 36314	1	   	258.74	DCR|4VULN|2DMG|1CDMG	1DUST|239aVULN|45DMG|6CDMG|7RCR|8LHND
67	13333 36314	2	   	258.74	DCR|4VULN|2DMG|1CDMG	1DUST|239aVULN|45DMG|6CDMG|7RCR|8LHND
68	13333 36414	2	   	258.74	DCR|4VULN|2DMG|1CDMG	1DUST|239aVULN|45DMG|6CDMG|7RCR|8FEWX
69	13333 36414	1	   	258.74	DCR|4VULN|2DMG|1CDMG	1DUST|239aVULN|45DMG|6CDMG|7RCR|8FEWX
70	23532 66322	4	   	258.48	DCR|4VULN|2ASPD|1DMG|1AART	16ASPD|2DUST|3MLV|4567VULN|6BPWR|8DMG|9RCR|aAART
