0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33412 61621	2	 * 	282.63	DCR|4VULN|3DUR|3ASPD	12RMIN|369aVULN|49aDUR|5TBNT|79aASPD|8RCR|9aBPWR
2	33611 24621	4	 * 	282.56	DCR|3VULN|3DMG|3DUR	12RMIN|3DMSP|49aDMG|59aDUR|69aVULN|7BBNT|8RCR|9aBPWR
3	33612 24621	5	   	282.56	DCR|3VULN|3DMG|3DUR	12RMIN|3DMSP|49aDMG|59aDUR|69aVULN|7BBNT|8RCR|9aBPWR
4	42321 21161	5	   	276.25	DCR|4VULN|3DUR|1CDMG|1ASPD	1ERES|248aVULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG
5	42321 51161	6	   	276.25	DCR|4VULN|3DUR|1CDMG|1ASPD	1ERES|248aVULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG
6	42321 11155	5	   	274.92	DCR|3VULN|3DUR|2DMG	1ERES|248VULN|345DUR|4BPWR|6aDMG|7RCR|9LIT
7	42321 21162	5	   	273.68	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG|aDMG
8	42321 51162	6	   	273.68	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG|aDMG
9	42321 12521	5	 * 	271.66	DCR|4VULN|3DUR|1DMG	1ERES|247aVULN|345DUR|4BPWR|6DMG|8RPLT|9RCR
10	42321 11121	5	   	271.56	DCR|4VULN|3DUR|1DMG	1ERES|248aVULN|345DUR|4BPWR|6DMG|7RCR|9DUST
11	42321 11154	5	   	270.98	DCR|3VULN|3DUR|1DMG|1CDMG	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9LIT|aCDMG
12	42321 62623	4	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1ERES|2489VULN|34DUR|4BPWR|5BEXP|6RCR|7TLV|aCDMG
13	42322 62623	5	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	1ERES|2489VULN|34DUR|4BPWR|5DUST|6RCR|7TLV|aCDMG
14	42321 11143	5	   	266.61	DCR|3VULN|3DUR|2DMG	1ERES|248VULN|345DUR|4BPWR|69DMG|7RCR|aCGEN
15	42321 11144	5	   	266.61	DCR|3VULN|3DUR|2DMG	1ERES|248VULN|345DUR|4BPWR|69DMG|7RCR|aLHND
16	42321 11141	5	   	266.51	DCR|3VULN|3DUR|2DMG	1ERES|248VULN|345DUR|4BPWR|69DMG|7RCR|aMBVNT
17	42321 11142	5	   	266.51	DCR|3VULN|3DUR|2DMG	1ERES|248VULN|345DUR|4BPWR|69DMG|7RCR|aBBNT
18	42321 11145	5	   	266.51	DCR|3VULN|3DUR|2DMG	1aERES|248VULN|345DUR|4BPWR|69DMG|7RCR
19	64231 22353	9	 * 	265.29	DCR|5VULN|1TLV|1CDMG	1LIT|2CGEN|3479aVULN|5TLV|6CDMG|8RCR
20	42321 12522	5	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1ERES|247VULN|345DUR|4BPWR|6DMG|8RPLT|9RCR|aTLV
21	42321 32462	10	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	1aERES|24aVULN|345DUR|4aBPWR|6CGEN|7DMG|8RCR|9aLIT
22	32235 11261	2	 * 	263.37	ACR|5VULN|2DMG|2DUR	1RMIN|2RCR|3567aVULN|4aDUR|8aDMG|9TBNT|aBPWR
23	32235 11261	4	   	263.37	ACR|5VULN|2DMG|2DUR	1RMIN|2RCR|3aDUR|4567aVULN|8aDMG|9TBNT|aBPWR
24	42321 22521	5	   	262.60	DCR|4VULN|3DUR|1ASPD	1ERES|247aVULN|345DUR|4BPWR|6ASPD|8RPLT|9RCR
25	42321 52521	6	   	262.60	DCR|4VULN|3DUR|1ASPD	1ERES|247aVULN|345DUR|4BPWR|6ASPD|8RPLT|9RCR
26	42321 52521	7	   	262.60	DCR|4VULN|3DUR|1ASPD	1ERES|247aVULN|345DUR|4BPWR|6ASPD|8RPLT|9RCR
27	42321 21121	5	   	262.50	DCR|4VULN|3DUR|1ASPD	1ERES|248aVULN|345DUR|4BPWR|6ASPD|7RCR|9DUST
28	42321 51121	6	   	262.50	DCR|4VULN|3DUR|1ASPD	1ERES|248aVULN|345DUR|4BPWR|6ASPD|7RCR|9DUST
29	64231 22352	8	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1LIT|2CGEN|347aVULN|5TLV|6CDMG|8RCR|9DUR
30	42321 21165	5	   	261.92	DCR|3VULN|3DUR|1CDMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG|aLIT
31	36511 11231	4	 * 	261.44	DCR|4VULN|2DMG|1DUR	1RMIN|2ZMB|367aVULN|4DUR|58DMG|9RCR
32	36551 11231	3	   	261.44	DCR|4VULN|2DMG|1DUR	1RMIN|2ZMB|367aVULN|4DUR|58DMG|9RCR
33	31221 11231	1	   	261.34	DCR|4VULN|2DMG|1TLV	1RMIN|2MBVNT|367aVULN|4TLV|58DMG|9RCR
34	13461 13621	1	 * 	260.94	DCR|4VULN|3DMG	19LWND|2RMIN|379DMG|4BBNT|569aVULN|8RCR|9BPWR
35	64234 22321	10	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|2CGEN|347VULN|5aDMG|6CDMG|8RCR|9TLV
36	36361 13621	1	   	260.74	DCR|4VULN|3DMG	1RMIN|279DMG|3LEGI|4BBNT|569aVULN|8RCR|9BPWR
37	62214 16311	10	   	260.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1ASPD	12LIT|3ASPD|4CDMG|5DUR|678VULN|9RCR|aDMG
38	31222 32684	1	 * 	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1RMIN|2MBVNT|378VULN|4TLV|57ASPD|67DMG|7BPWR|9DMSP|aRCR
39	42321 21143	5	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9DMG|aCGEN
40	42321 21146	5	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9DMG|aBEXP
41	42321 21541	5	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|24aVULN|345DUR|4BPWR|6ASPD|7RCR|8CGEN|9DMG
42	42321 31441	8	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|24aVULN|345DUR|4BPWR|6CGEN|7ASPD|8RCR|9DMG
43	42321 51143	6	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9DMG|aCGEN
44	33653 61221	3	   	259.99	DCR|3VULN|3DUR|3ASPD	12RMIN|3DMSP|4BBNT|59aDUR|6RCR|79aASPD|89aVULN|9aBPWR
45	42321 21142	5	   	259.93	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9DMG|aDUST
