0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64326 11332	2	 * 	296.00	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	179aVULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|8TBNT
2	14322 11553	1	 * 	292.87	ACR|4VULN|3DMG|3DUR|3TLV	145TLV|2RCR|389DMG|689DUR|789aVULN|89BPWR
3	61642 31133	5	 * 	288.30	DCR|4VULN|3DMG|1DUR|1ASPD	1567VULN|2FEWX|3ASPD|456DMG|56BPWR|8BELT|9DUR|aRCR
4	63212 52132	8	 * 	287.39	DCR|5VULN|3DUR|1TLV	1489aVULN|234DUR|4BPWR|5DUST|6RCR|7TLV
5	61342 23422	1	 * 	283.32	DCR|4VULN|2DMG|2CDMG	1359VULN|29CDMG|4LIT|6LWND|79DMG|8AART|9BPWR|aRCR
6	61361 41322	1	 * 	283.13	DCR|4VULN|2ASPD|2CDMG|1DUR	1369VULN|29CDMG|4AART|5DUR|7LIT|89ASPD|9BPWR|aRCR
7	13234 11263	1	 * 	282.92	DCR|3VULN|3DMG|2TLV|1DUR	17TLV|27aVULN|3ZMB|4DUR|579DMG|6RCR|7BPWR|8LIT
8	63314 11263	2	   	282.92	DCR|3VULN|3DMG|2TLV|1DUR	17aVULN|2DUR|3RMIN|47TLV|579DMG|6RCR|7BPWR|8LIT
9	64114 11332	2	 * 	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	179aVULN|27ASPD|3LWND|4TLV|57DMG|6RCR|7BPWR|8TBNT
10	64214 11332	3	   	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	179aVULN|27ASPD|3LWND|4TLV|57DMG|6RCR|7BPWR|8TBNT
11	64314 11332	3	   	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	179aVULN|27ASPD|3LHND|4TLV|57DMG|6RCR|7BPWR|8TBNT
12	61361 42111	1	   	281.75	DCR|4VULN|2DUR|1DMG|1CDMG	1367VULN|2CDMG|4AART|59DUR|8DMG|aRCR
13	13234 11332	1	 * 	281.50	DCR|4VULN|2DMG|2TLV|1DUR	17TLV|279aVULN|3ZMB|4DUR|57DMG|6RCR|7BPWR|8TBNT
14	63314 11332	2	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	179aVULN|2DUR|3RMIN|47TLV|57DMG|6RCR|7BPWR|8TBNT
15	63212 52161	10	   	281.50	DCR|4VULN|3DUR|1TLV|1CDMG	148aVULN|234DUR|4BPWR|5DUST|6RCR|7TLV|9CDMG
16	63212 52135	8	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1489VULN|234DUR|4BPWR|5DUST|6RCR|7TLV|aASPD
17	13326 11316	1	 * 	278.60	DCR|4VULN|2DUR|2TLV|1DMG	17TLV|279aVULN|3DMG|4MLV|57DUR|6RCR|7BPWR|8LHND
18	13326 11632	1	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	17TLV|279aVULN|3DMG|4MLV|57DUR|6RCR|7BPWR|8TBNT
19	13346 11332	1	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	17TLV|279aVULN|3DMG|4ZMB|57DUR|6RCR|7BPWR|8TBNT
20	16252 16233	5	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	17TLV|2ERES|3789VULN|4BELT|57DUR|6RCR|7BPWR|aDMG
21	62424 11211	1	 * 	277.58	DCR|3VULN|2DMG|2ASPD|2TLV|1CDMG	157VULN|2BELT|3CDMG|47ASPD|67DMG|7BPWR|8RCR|9aTLV
