0	Index      	Bounty	 *	Score 	Summary	Detail	
20	21325 24622	9	 * 	260.08	DCR|2VULN|2DMG|2DUR|3CDMG|2ASPD	157CDMG|23DUR|47ASPD|67DMG|7BPWR|89VULN|aRCR
21	23153 31615	9	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CDMG|2CGEN|3TLV|4DUR|568VULN|7AART|9RCR|aDMG
22	43336 62133	10	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	139VULN|2CGEN|49TLV|58DUR|6DMG|79LWND|9BPWR|aRCR
23	21312 44352	2	   	259.24	DCR|3VULN|2DUR|1TLV|2CDMG	17CDMG|27DUR|3LIT|4ERES|5BBNT|67aVULN|7BPWR|8TLV|9RCR
24	23153 33116	9	 * 	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	19CDMG|29CGEN|37TLV|48DUR|569VULN|9BPWR|aRCR
25	23563 33116	9	   	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	19CDMG|29CGEN|38DUR|47TLV|569VULN|9BPWR|aRCR
26	23153 33366	9	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	1CDMG|2CGEN|37TLV|4DUR|5689VULN|aRCR
27	41312 34335	1	   	258.45	DCR|3VULN|3DMG|1DUR|2LIT	167VULN|24LIT|347ERES|467BPWR|567DMG|8DUR|9LHND|aRCR
28	24111 56111	4	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2LIT|3TLV|4DUR|5DMG|689VULN|7RCR|aBEXP
29	24111 56113	4	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2LIT|3TLV|4DUR|5DMG|689VULN|7RCR|aRPLT
30	24111 36115	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2LIT|3TLV|489VULN|5DMG|6FEWX|7RCR|aDUR
31	24111 66111	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2LIT|3TLV|489VULN|5DMG|6DUR|7RCR|aBEXP
32	24111 66113	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2LIT|3TLV|489VULN|5DMG|6DUR|7RCR|aRPLT
33	15363 13612	6	   	258.28	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	18BEXP|2ERES|389VULN|4DUR|5CDMG|6RCR|78TLV|8BPWR|aDMG
34	23432 13241	3	 * 	258.11	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	17CDMG|24CGEN|347VULN|47BPWR|5BBNT|67TLV|8AART|9DMG|aRCR
35	45332 13241	3	   	257.91	DCR|3VULN|2TLV|2CDMG|1DMG|1AART	137VULN|2ERES|47CDMG|5BBNT|67TLV|7BPWR|8AART|9DMG|aRCR
