0	Index      	 *	Score 	Summary	Detail	
153	31153 66231	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	17DMG|2FEWX|3DUST|4TLV|5RCR|6aVULN|8CDMG|9ASPD
154	32433 11534	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	19DMG|26ERES|3aVULN|4CDMG|5RCR|7ZMB|8ASPD
155	35433 12333	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	18DMG|2AME|39VULN|4CDMG|5RCR|6ERES|7LIT|aASPD
156	35433 32333	   	172.03	ACR|2DMG|2VULN|1ASPD|1CDMG	18DMG|2AME|39VULN|4CDMG|5RCR|6LIT|7TLV|aASPD
157	33433 23333	   	172.00	ACR|2BEXP|1DMG|1AART|1CDMG|1AAC|1VULN	1DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7aBEXP|8AART|9RPLT
158	33115 34313	   	171.95	DCR|2ASPD|2DMG|3VULN|1AART	17DMG|26CGEN|37ASPD|4AART|578VULN|7BPWR|9LHND|aRCR
159	33144 34313	   	171.95	DCR|2ASPD|2DMG|3VULN|1AART	17DMG|26CGEN|37ASPD|478VULN|5AART|7BPWR|9LHND|aRCR
160	33115 34333	   	171.85	DCR|2ASPD|2DMG|3VULN|1AART	17DMG|26CGEN|37ASPD|4AART|578VULN|7BPWR|9DUST|aRCR
161	33144 34333	   	171.85	DCR|2ASPD|2DMG|3VULN|1AART	17DMG|26CGEN|37ASPD|478VULN|5AART|7BPWR|9DUST|aRCR
162	36156 32213	 * 	171.66	ACR|3ASPD|2DMG	19DMG|2LIT|3TLV|4MDPS|5RCR|67aASPD|8FEWX
163	31364 42222	 * 	171.64	DCR|2BASARM|2DMG|2VULN	15DMG|2FEWX|3DUR|45BASARM|5BPWR|6LHND|78VULN|9CGEN|aRCR
164	31364 42232	   	171.64	DCR|2BASARM|2DMG|2VULN	15DMG|2FEWX|3DUR|45BASARM|5BPWR|6LHND|78VULN|9MLV|aRCR
165	31164 42222	   	171.54	DCR|2BASARM|2DMG|2VULN	15DMG|2FEWX|3DUST|45BASARM|5BPWR|6LHND|78VULN|9CGEN|aRCR
166	31164 42232	   	171.54	DCR|2BASARM|2DMG|2VULN	15DMG|2FEWX|3DUST|45BASARM|5BPWR|6LHND|78VULN|9MLV|aRCR
167	24316 63331	   	171.37	ACR|2BEXP|2VULN|1ASPD|1CDMG|1AAC	1DUR|26BEXP|3LIT|49VULN|5RCR|7AAC|8ASPD|aCDMG
168	33433 23661	   	171.37	ACR|2BEXP|2VULN|1DMG|1CDMG|1AAC	1DMG|2CGEN|3aVULN|4CDMG|5RCR|6AAC|79BEXP|8LWND
169	33433 51331	   	171.27	ACR|2BEXP|2VULN|1DMG|1CDMG|1AAC	1DMG|2CGEN|37VULN|4CDMG|5RCR|6MDPS|8AAC|9aBEXP
170	36215 22253	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1DMG|2LIT|3BELT|4CDMG|5RCR|6DUR|7MBVNT|8CGEN|9AAC|aBASARM
171	36215 32253	   	171.26	ACR|1BASARM|1DMG|1CDMG|1AAC	1DMG|2LIT|3BELT|4CDMG|5RCR|6LWND|7MBVNT|8CGEN|9AAC|aBASARM
172	32433 21331	   	171.17	ACR|2BEXP|2VULN|1DMG|1CDMG|1AAC	1DMG|2ERES|37VULN|4CDMG|5RCR|6MDPS|8AAC|9aBEXP
173	35433 51331	   	171.17	ACR|2BEXP|2VULN|1DMG|1CDMG|1AAC	1DMG|2AME|37VULN|4CDMG|5RCR|6MDPS|8AAC|9aBEXP
174	36215 12343	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1DMG|2LIT|3BELT|4CDMG|5RCR|6AME|7DUST|8LHND|9AAC|aBASARM
175	36215 22453	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1DMG|2LIT|3BELT|4CDMG|5RCR|6DUR|7MBVNT|8ERES|9AAC|aBASARM
176	36215 32453	   	171.16	ACR|1BASARM|1DMG|1CDMG|1AAC	1DMG|2LIT|3BELT|4CDMG|5RCR|6LWND|7MBVNT|8ERES|9AAC|aBASARM
177	33433 43151	 * 	171.16	ACR|4VULN|1DMG|1CDMG|1BEXP	1DMG|2CGEN|3689VULN|4CDMG|5RCR|7LIT|aBEXP
178	35433 41132	   	171.06	ACR|4VULN|1DMG|1BEXP|1CDMG	1DMG|2AME|369aVULN|4CDMG|5RCR|7ZMB|8BEXP
179	36432 11114	   	170.92	DCR|2DMG|2BEXP|2VULN|1ASPD|1CDMG	17DMG|27LIT|35BEXP|4CDMG|67VULN|7BPWR|8CGEN|9ASPD|aRCR
