0	Index      	 *	Score 	Summary	Detail	
35	32433 13531	   	182.72	ACR|1BASARM|2VULN|1DMG|1CDMG	1DMG|26ERES|3aVULN|4CDMG|5RCR|7RPLT|8LSRREG|9BASARM
36	33433 23531	   	181.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aLWND
37	33433 23533	   	181.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aLIT
38	33433 23536	   	181.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aFEWX
39	33433 23532	   	181.06	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aAEMAG
40	33433 23534	   	181.06	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aERES
41	33433 23535	   	181.06	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aAME
42	33116 31252	 * 	180.52	1BASARM|2ASPD|2DMG|2CDMG|1BEXP|1AART|1AAC	1aDMG|2CGEN|3aASPD|4AART|5BASARM|6AAC|7BELT|8BEXP|9aCDMG|aBPWR
43	33433 25531	   	180.43	ACR|2DMG|2VULN|1ASPD|1CDMG|1AAC	19DMG|2CGEN|37VULN|4CDMG|5RCR|6AAC|8ASPD|aMSLTOX
44	33433 25532	   	180.43	ACR|2DMG|2VULN|1ASPD|1CDMG|1AAC	19DMG|2CGEN|37VULN|4CDMG|5RCR|6AAC|8ASPD|aDUST
45	32116 31252	   	180.42	1BASARM|2ASPD|2DMG|2CDMG|1AART|1BEXP|1AAC	1aDMG|2ERES|3aASPD|4AART|5BASARM|6AAC|7BELT|8BEXP|9aCDMG|aBPWR
46	35116 31252	   	180.42	1BASARM|2ASPD|2DMG|2CDMG|1BEXP|1AART|1AAC	1aDMG|2AME|3aASPD|4AART|5BASARM|6AAC|7BELT|8BEXP|9aCDMG|aBPWR
47	33433 43116	 * 	180.22	ACR|3VULN|1ASPD|1DMG|1BEXP|1CDMG	1DMG|2CGEN|368VULN|4CDMG|5RCR|7LIT|9ASPD|aBEXP
48	32433 21535	   	180.02	ACR|3VULN|1ASPD|1DMG|1BEXP|1CDMG	1DMG|2ERES|379VULN|4CDMG|5RCR|6MDPS|8BEXP|aASPD
49	36432 11214	 * 	179.22	DCR|2DMG|2BEXP|2VULN|1ASPD|1CDMG|1AAC	17DMG|27LIT|35BEXP|4CDMG|67VULN|7BPWR|8AAC|9ASPD|aRCR
50	33433 35115	 * 	178.54	ACR|2ASPD|2VULN|1DMG|2CDMG	1DMG|2CGEN|38VULN|47CDMG|5RCR|6LIT|9aASPD
51	33433 43131	 * 	177.74	ACR|2DMG|3VULN|1CDMG|1BEXP	19DMG|2CGEN|368VULN|4CDMG|5RCR|7LIT|aBEXP
52	36156 21322	   	177.58	ACR|1BASARM|1ASPD|1DMG|1AAC	1DMG|2LIT|3TLV|4MDPS|5RCR|6RPLT|7BASARM|8ASPD|9LWND|aAAC
53	32116 22266	 * 	177.55	DCR|1BASARM|2ASPD|1DMG|1AART|1VULN	1DMG|2ERES|39ASPD|4AART|5BASARM|6VULN|7FEWX|8DUR|aRCR
54	33433 23315	 * 	177.22	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART|1AAC|1VULN	1DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8AART|9FEWX|aASPD
55	33433 23365	   	177.22	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART|1AAC|1VULN	1DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8AART|9DUR|aASPD
56	24316 32213	 * 	176.79	ACR|2ASPD|2DMG|1BEXP|1VULN	1DUR|2BEXP|3LIT|4VULN|5RCR|67ASPD|8FEWX|9aDMG
57	24336 32433	   	176.79	ACR|2ASPD|2DMG|1BEXP|1VULN	1DUR|2BEXP|3LIT|4FEWX|5RCR|67ASPD|8aDMG|9VULN
58	33433 14533	   	176.69	ACR|2ASPD|2DMG|1CDMG|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6ERES|7RCVC|8aASPD
59	33433 23511	   	176.60	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CGEN|39VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aLWND
60	33433 23513	   	176.60	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CGEN|39VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aLIT
61	33433 23516	   	176.60	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CGEN|39VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aFEWX
62	33433 23541	   	176.60	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CGEN|3aVULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|9RMIN
63	32433 11533	   	176.59	ACR|2ASPD|2DMG|1CDMG|1VULN	19DMG|26ERES|3VULN|4CDMG|5RCR|7ZMB|8aASPD
64	32433 14533	   	176.59	ACR|2ASPD|2DMG|1CDMG|1VULN	19DMG|26ERES|3VULN|4CDMG|5RCR|7RMIN|8aASPD
65	32433 21523	 * 	176.52	ACR|2BEXP|2VULN|1DMG|1AART|1CDMG	1DMG|2ERES|37VULN|4CDMG|5RCR|6MDPS|89BEXP|aAART
66	33433 23245	   	176.50	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CGEN|3aVULN|4CDMG|5RCR|6AAC|7BEXP|8AIRARM|9ASPD
67	33433 23512	   	176.50	ACR|2VULN|1DMG|1ASPD|1CDMG|1BEXP|1AAC	1DMG|2CGEN|39VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aAEMAG
68	33433 23514	   	176.50	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CGEN|39VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aERES
69	33433 23515	   	176.50	ACR|2VULN|1ASPD|1DMG|1CDMG|1BEXP|1AAC	1DMG|2CGEN|39VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aAME
70	33433 23521	   	176.50	ACR|2VULN|1ASPD|1DMG|1CDMG|1BEXP|1AAC	1DMG|2CGEN|3aVULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|9AME
71	33433 51335	   	176.50	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CGEN|37VULN|4CDMG|5RCR|6MDPS|8AAC|9BEXP|aASPD
72	32433 23653	 * 	176.40	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG|1AAC	1DMG|2ERES|38VULN|4CDMG|5RCR|6MDPS|7ASPD|9AAC|aAART
73	36156 21323	   	176.21	ACR|1BASARM|1ASPD|1DMG|1VULN	1DMG|2LIT|3TLV|4MDPS|5RCR|6RPLT|7BASARM|8ASPD|9LWND|aVULN
74	24316 32336	 * 	176.13	ACR|3ASPD|2VULN|1BEXP|1AAC	1DUR|2BEXP|3LIT|49VULN|5RCR|678ASPD|aAAC
75	33115 34141	 * 	175.67	DCR|3ASPD|2DMG|2VULN|1AART	17DMG|26CGEN|379ASPD|4AART|57VULN|7BPWR|8DUR|aRCR
76	33115 34241	   	175.57	DCR|3ASPD|2DMG|2VULN|1AART	17DMG|26CGEN|379ASPD|4AART|57VULN|7BPWR|8LEGI|aRCR
77	33115 54331	 * 	175.57	DCR|3DMG|2ASPD|2VULN|1AART	167DMG|28CGEN|37ASPD|4AART|57VULN|7BPWR|9DUST|aRCR
78	24316 33113	 * 	175.51	ACR|2ASPD|2BEXP|2VULN|1AAC	179DUR|2aBEXP|3LIT|4aVULN|5RCR|6aASPD|8AAC|aBPWR
79	33115 54131	   	175.47	DCR|3DMG|2ASPD|2VULN|1AART	167DMG|2CGEN|37ASPD|4AART|57VULN|7BPWR|8AME|9ERES|aRCR
80	32115 54111	   	175.47	DCR|3DMG|2ASPD|2VULN|1AART	167DMG|2ERES|37ASPD|4AART|57VULN|7BPWR|8AME|9CGEN|aRCR
81	32115 54131	   	175.47	DCR|3DMG|2ASPD|2VULN|1AART	167DMG|2ERES|37ASPD|4AART|57VULN|7BPWR|8AME|9MLV|aRCR
82	32113 42614	   	175.38	DCR|2ASPD|2DMG|2BEXP|1AART|1VULN	17DMG|2ERES|37ASPD|4AART|5RMIN|67BEXP|7BPWR|8VULN|9LIT|aRCR
83	24316 32134	   	175.31	ACR|2ASPD|2BEXP|2VULN|1AAC	1DUR|2aBEXP|3LIT|49VULN|5RCR|67ASPD|8AAC
84	34131 25212	 * 	175.25	2BASARM|3DMG|2ASPD|2CDMG	179DMG|2RMIN|3aASPD|47CDMG|57aLWND|6MDPS|7aBPWR|8aBASARM
85	34132 25212	   	175.25	2BASARM|3DMG|2ASPD|2CDMG	179DMG|2RMIN|3aASPD|47CDMG|57aLHND|6MDPS|7aBPWR|8aBASARM
86	33116 31153	   	175.08	DCR|1BASARM|1ASPD|1DMG|1CDMG|1AART|1AAC	1DMG|2CGEN|3ASPD|4AART|5BASARM|6AAC|7BELT|8DUR|9CDMG|aRCR
87	33433 41152	 * 	174.99	ACR|3VULN|2BEXP|1DMG|1CDMG	1DMG|2CGEN|36aVULN|4CDMG|5RCR|7ZMB|89BEXP
88	32116 31153	   	174.98	DCR|1BASARM|1ASPD|1DMG|1AART|1CDMG|1AAC	1DMG|2ERES|3ASPD|4AART|5BASARM|6AAC|7BELT|8DUR|9CDMG|aRCR
