0	Index      	 *	Score 	Summary	Detail	
24	54311 32133	   	214.14	ACR|1BASARM|2VULN|2DMG|1BEXP	18FEWX|2TLV|38VULN|4RCR|5LIT|6BASARM|78DMG|8BPWR|9CGEN|aBEXP
25	14311 32113	   	213.94	ACR|1BASARM|2VULN|2DMG|1BEXP	18DUST|2TLV|38VULN|4RCR|59LIT|6BASARM|78DMG|8BPWR|aBEXP
26	14311 32123	   	213.84	ACR|1BASARM|2VULN|2DMG|1BEXP	18DUST|2TLV|38VULN|4RCR|5LIT|6BASARM|78DMG|8BPWR|9MDPS|aBEXP
27	34313 22511	 * 	213.21	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1LHND|2TLV|3VULN|4RCR|57BEXP|6CDMG|8BASARM|9BELT|aASPD
28	44313 22511	   	213.21	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1LWND|2TLV|3VULN|4RCR|57BEXP|6CDMG|8BASARM|9BELT|aASPD
29	32313 21416	 * 	211.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1LHND|2RMIN|3VULN|4RCR|58BEXP|6CDMG|7AART|9AME|aBASARM
30	32313 21466	   	211.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1LHND|2RMIN|3VULN|4RCR|58BEXP|6CDMG|7AART|9ERES|aBASARM
31	42313 21416	   	211.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1LWND|2RMIN|3VULN|4RCR|58BEXP|6CDMG|7AART|9AME|aBASARM
32	52313 21416	   	211.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1FEWX|2RMIN|3VULN|4RCR|58BEXP|6CDMG|7AART|9AME|aBASARM
33	12313 21416	   	211.70	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1DUST|2RMIN|3VULN|4RCR|58BEXP|6CDMG|7AART|9AME|aBASARM
34	12313 21466	   	211.70	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1DUST|2RMIN|3VULN|4RCR|58BEXP|6CDMG|7AART|9ERES|aBASARM
35	14311 35222	 * 	211.58	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1AAC	1DUST|2TLV|3VULN|4RCR|5LIT|6BASARM|7AART|8BEXP|9AAC|aASPD
36	14311 35223	 * 	211.58	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1DUST|2TLV|3VULN|4RCR|5LIT|6BASARM|7AART|8BEXP|9AAC|aDMG
37	32313 25616	   	210.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1LHND|2RMIN|3VULN|4RCR|57BEXP|6CDMG|8AART|9AME|aBASARM
38	32316 32422	 * 	209.10	ACR|3DMG|2VULN|1AART|1CDMG	19LHND|2RMIN|39VULN|4RCR|5AART|6MLV|7CDMG|89aDMG|9BPWR
39	44311 32111	   	208.80	ACR|1BASARM|2VULN|2DMG|1AAC	18LWND|2TLV|38VULN|4RCR|59LIT|6BASARM|78DMG|8BPWR|aAAC
40	54311 32111	   	208.80	ACR|1BASARM|2VULN|2DMG|1AAC	18FEWX|2TLV|38VULN|4RCR|59LIT|6BASARM|78DMG|8BPWR|aAAC
41	34311 32125	   	208.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1LHND|2TLV|3VULN|4RCR|5LIT|6ASPD|7DMG|8FEWX|9AART|aBASARM
42	14311 32111	   	208.60	ACR|1BASARM|2VULN|2DMG|1AAC	18DUST|2TLV|38VULN|4RCR|59LIT|6BASARM|78DMG|8BPWR|aAAC
43	14311 32146	   	208.50	ACR|1BASARM|2VULN|2DMG|1AAC	18DUST|2TLV|38VULN|4RCR|5LIT|6BASARM|78DMG|8BPWR|9SNIHEL|aAAC
44	14311 32166	   	208.50	ACR|1BASARM|2VULN|2DMG|1AAC	18DUST|2TLV|38VULN|4RCR|5LIT|6BASARM|78DMG|8BPWR|9VENICY|aAAC
45	32316 13416	 * 	206.95	ACR|3VULN|1BASARM|1AART|1CDMG	1LHND|2RMIN|368VULN|4RCR|5AART|7CDMG|9ERES|aBASARM
46	44311 32252	   	206.62	ACR|3DMG|1BASARM|1VULN	1LWND|2TLV|3VULN|4RCR|5LIT|6BASARM|789DMG|aRCVC
47	54311 32252	   	206.62	ACR|3DMG|1BASARM|1VULN	1FEWX|2TLV|3VULN|4RCR|5LIT|6BASARM|789DMG|aRCVC
