0	Index      	 *	Score 	Summary	Detail	
160	31343 31263	   	196.71	DCR|2VULN|1MDPS|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	15VULN|2CDMG|3BELT|4MDPS|6DUR|7RCR|8ZMB|9ASPD|aNUKE
161	36115 32136	 * 	196.65	DCR|3VULN|3CDMG|1AART|1DUR	137VULN|2DUR|467CDMG|57LWND|7BPWR|8BELT|9AART|aRCR
162	31333 36363	   	196.47	DCR|3VULN|2ASPD|1CDMG|1DUR	156VULN|2CDMG|3BELT|4AELBLL|7DUR|8RCR|9aASPD
163	21153 51513	   	196.45	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	14DUR|29CDMG|3VULN|5ASPD|6TSLFST|7DMG|8AART|aRCR
164	21323 51513	   	196.45	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	13DUR|29CDMG|4VULN|5ASPD|6TSLFST|7DMG|8AART|aRCR
165	24313 51513	   	196.45	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	12DUR|2BPWR|3VULN|49CDMG|5ASPD|6TSLFST|7DMG|8AART|aRCR
166	36213 51513	   	196.45	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	1VULN|23DUR|49CDMG|5ASPD|6TSLFST|7DMG|8AART|aRCR
167	33312 53263	   	196.36	DCR|4VULN|1ASPD|1DMG	1368VULN|2MLV|4DMG|5LIT|7RCR|9RCVC|aASPD
168	35312 53263	   	196.36	DCR|4VULN|1ASPD|1DMG	1368VULN|2CGEN|4DMG|5LIT|7RCR|9RCVC|aASPD
169	36322 24151	 * 	196.27	DCR|3VULN|1AART|1ASPD|3DUR	148VULN|289DUR|3FEWX|5ASPD|68CGEN|7AART|8BPWR|aRCR
170	34113 16234	   	196.21	DCR|3VULN|1ASPD|1DMG|1CDMG	139VULN|29LWND|4CDMG|5ASPD|689LHND|7RCR|9BPWR|aDMG
171	36322 14151	   	196.07	DCR|3VULN|1AART|1ASPD|3DUR	148VULN|289DUR|3FEWX|5ASPD|68ERES|7AART|8BPWR|aRCR
172	36322 43151	   	196.07	DCR|3VULN|1AART|1ASPD|3DUR	148VULN|289DUR|3FEWX|5ASPD|6AART|78TLV|8BPWR|aRCR
173	14633 35213	   	196.07	DCR|1MDPS|2DMG|1AART|1VULN|2CDMG|2DUR	1MDPS|2aDMG|3ERES|4aDUR|5AME|6VULN|7AART|8aCDMG|9RCR|aBPWR
174	14633 63213	   	196.07	DCR|1MDPS|2DMG|1AART|1VULN|2CDMG|2DUR	1MDPS|2aDMG|3ERES|4aDUR|5AME|6AART|7VULN|8aCDMG|9RCR|aBPWR
175	33312 23221	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2MLV|4DMG|5LIT|6FEWX|7RCR|8ZMB|9ASPD|aAART
176	35312 23221	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2CGEN|4DMG|5LIT|6FEWX|7RCR|8ZMB|9ASPD|aAART
177	35343 53221	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2CGEN|4FEWX|5LIT|6ZMB|7RCR|8DMG|9ASPD|aAART
178	34113 16511	   	196.01	DCR|3VULN|1ASPD|1NUKE|1CDMG	139VULN|2LWND|4CDMG|5ASPD|6LHND|7RCR|8RMIN|aNUKE
179	34113 36611	   	196.01	DCR|3VULN|1ASPD|1NUKE|1CDMG	139VULN|2LWND|4CDMG|5ASPD|6BEXP|7RCR|8CGEN|aNUKE
180	32312 23221	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2ERES|4DMG|5LIT|6FEWX|7RCR|8ZMB|9ASPD|aAART
181	36114 52112	 * 	195.92	DCR|5VULN|2CDMG|1DUR	13579VULN|2DUR|47CDMG|67FEWX|7BPWR|8LHND|aRCR
182	36114 52312	   	195.92	DCR|5VULN|2CDMG|1DUR	13579VULN|2DUR|47CDMG|67FEWX|7BPWR|8LWND|aRCR
183	32342 35433	 * 	195.68	DCR|2VULN|2AART|1ASPD|1DMG	13VULN|2ERES|4FEWX|57AART|6DMG|8ASPD|9BELT|aRCR
184	11663 13324	   	195.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2BELT|356VULN|4CDMG|7AART|8ASPD|9RCR|aFEWX
185	11663 13326	   	195.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2BELT|356VULN|4CDMG|7AART|8ASPD|9RCR|aMLV
186	31343 13324	   	195.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	156VULN|2CDMG|3BELT|4MDPS|7AART|8ASPD|9RCR|aFEWX
187	31343 13326	   	195.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	156VULN|2CDMG|3BELT|4MDPS|7AART|8ASPD|9RCR|aMLV
188	33312 53243	   	195.60	DCR|4VULN|1ASPD|1DMG	1368VULN|2MLV|4DMG|5LIT|7RCR|9DMSP|aASPD
189	33312 53512	   	195.60	DCR|4VULN|1ASPD|1DMG	136aVULN|2MLV|4DMG|5LIT|7RCR|8CGEN|9ASPD
190	35312 53233	   	195.60	DCR|4VULN|1DMG|1ASPD	1368VULN|29CGEN|4DMG|5LIT|7RCR|aASPD
191	35312 53243	   	195.60	DCR|4VULN|1ASPD|1DMG	1368VULN|2CGEN|4DMG|5LIT|7RCR|9DMSP|aASPD
192	11663 13321	   	195.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1SELL	1MDPS|2BELT|356VULN|4CDMG|7AART|8ASPD|9RCR|aSELL
193	11663 13322	   	195.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2BELT|356VULN|4CDMG|7AART|8ASPD|9RCR|aERES
194	11663 13325	   	195.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|2BELT|356VULN|4CDMG|7AART|8ASPD|9RCR|aDUST
195	31343 13321	   	195.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1SELL	156VULN|2CDMG|3BELT|4MDPS|7AART|8ASPD|9RCR|aSELL
196	31343 13322	   	195.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	156VULN|2CDMG|3BELT|4MDPS|7AART|8ASPD|9RCR|aERES
197	31343 13325	   	195.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	156VULN|2CDMG|3BELT|4MDPS|7AART|8ASPD|9RCR|aDUST
198	34132 31312	 * 	195.45	DCR|3VULN|2AART|1DMG|1AAC	137VULN|2LWND|4AAC|5aAART|6DMG|8LIT|9RCR
199	36113 36141	   	195.44	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	13VULN|29DUR|4CDMG|5ASPD|6BEXP|7RCR|8LWND|aAART
200	21323 36354	   	195.44	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	13DUR|2CDMG|4aVULN|5ASPD|6BEXP|7RCR|8MLV|9AART
201	33312 53125	   	195.36	DCR|4VULN|1ASPD|1DMG|1SELL	136aVULN|2MLV|4DMG|5LIT|7RCR|8SELL|9ASPD
202	35312 53125	   	195.36	DCR|4VULN|1DMG|1ASPD|1SELL	136aVULN|2CGEN|4DMG|5LIT|7RCR|8SELL|9ASPD
203	32366 11361	 * 	195.20	DCR|4VULN|1AART|1CDMG	135aVULN|24ERES|6AART|7RCR|8DUST|9CDMG
204	11634 23125	 * 	195.06	DCR|3VULN|2DMG|1MDPS|1AART	1MDPS|2BELT|368VULN|46DMG|5AART|6BPWR|7AME|9LWND|aRCR
205	31332 52611	 * 	194.88	DCR|3ASPD|2VULN|2CDMG	19VULN|29CDMG|3BELT|4AELBLL|5LIT|6RCR|7RMIN|89aASPD|9BPWR
206	35323 33112	   	194.87	DCR|3VULN|3DMG|1MDPS	13aVULN|2CGEN|4MDPS|59aDMG|6RCVC|7RCR|8aDUST|aBPWR
207	14242 14514	   	194.68	DCR|2VULN|2DMG|1MDPS|2CDMG|2DUR	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9aDUR
208	34113 16411	   	194.59	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	13VULN|2LWND|4CDMG|5ASPD|6LHND|7RCR|8AART|9MDPS|aAAC
209	36113 46233	   	194.57	DCR|3VULN|2ASPD|1CDMG|1DUR	136VULN|2DUR|4CDMG|56ASPD|6BPWR|7SNIFST|8AELBLL|9RCR|aLWND
210	31342 54331	   	194.56	DCR|2MDPS|2VULN|2DMG|2CDMG|1SELL	18VULN|28CDMG|3BELT|4aMDPS|5SELL|6RCR|78DMG|8BPWR|9BEXP
211	23432 31121	 * 	194.52	DCR|2VULN|2AART|1DMG|3DUR	138DUR|28MLV|4LWND|59AART|6DMG|78VULN|8BPWR|aRCR
212	23444 31121	   	194.52	DCR|2VULN|2AART|1DMG|3DUR	138DUR|28MLV|4FEWX|59AART|6DMG|78VULN|8BPWR|aRCR
213	24362 24121	 * 	194.52	DCR|2VULN|2AART|1ASPD|3DUR	128DUR|28BPWR|38VULN|4BEXP|5ASPD|68CGEN|79AART|aRCR
214	24362 42121	   	194.52	DCR|2VULN|2AART|1ASPD|3DUR	128DUR|28BPWR|38VULN|4BEXP|5ASPD|69AART|78CGEN|aRCR
215	36262 24121	   	194.52	DCR|2VULN|2AART|1ASPD|3DUR	18VULN|238DUR|4BEXP|5ASPD|68CGEN|79AART|8BPWR|aRCR
216	36262 42121	   	194.52	DCR|2VULN|2AART|1ASPD|3DUR	18VULN|238DUR|4BEXP|5ASPD|69AART|78CGEN|8BPWR|aRCR
217	36113 46232	   	194.47	DCR|3VULN|2ASPD|1CDMG|1DUR	136VULN|2DUR|4CDMG|56ASPD|6BPWR|7SNIFST|8AELBLL|9RCR|aAIRARM
218	31342 54311	   	194.46	DCR|2MDPS|2VULN|2DMG|2CDMG|1SELL|1MSE	18VULN|28CDMG|3BELT|4aMDPS|5SELL|6RCR|78DMG|8BPWR|9MSE
219	35422 25123	 * 	194.45	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR|1SELL	14VULN|2CGEN|3DUR|58ASPD|6SELL|7CDMG|9DMG|aRCR
220	31141 54121	 * 	194.42	DCR|2VULN|1AART|1NUKE|1CDMG|1ZMB	18VULN|2CDMG|38AELBLL|4RPLT|58CGEN|6RCR|7AART|8BPWR|9ZMB|aNUKE
221	26222 33142	   	194.41	DCR|2VULN|2DMG|1ASPD|3DUR|1AAC	17aDUR|2AAC|37AME|4aVULN|5ASPD|67FEWX|7aBPWR|8aDMG|9RCR
222	35316 21152	 * 	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8BEXP|aLIT
223	35316 21153	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8BEXP|aLHND
224	35316 21243	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7aASPD|8LWND|9LHND
225	35316 21252	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8LWND|aLIT
226	35316 21253	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8LWND|aLHND
227	35316 21352	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8FEWX|aLIT
228	35316 21353	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8FEWX|aLHND
229	35316 21433	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7aASPD|8LIT|9RPLT
230	22432 31121	   	194.32	DCR|2VULN|2AART|1DMG|3DUR	138DUR|28ERES|4LWND|59AART|6DMG|78VULN|8BPWR|aRCR
231	22444 31121	   	194.32	DCR|2VULN|2AART|1DMG|3DUR	138DUR|28ERES|4FEWX|59AART|6DMG|78VULN|8BPWR|aRCR
232	24362 14121	   	194.32	DCR|2VULN|2AART|1ASPD|3DUR	128DUR|28BPWR|38VULN|4BEXP|5ASPD|68ERES|79AART|aRCR
233	24632 31121	   	194.32	DCR|2VULN|2AART|1DMG|3DUR	128DUR|28BPWR|38ERES|4LWND|59AART|6DMG|78VULN|aRCR
234	36262 14121	   	194.32	DCR|2VULN|2AART|1ASPD|3DUR	18VULN|238DUR|4BEXP|5ASPD|68ERES|79AART|8BPWR|aRCR
235	24422 22142	   	194.31	DCR|2VULN|2DMG|1ASPD|3DUR	12aDUR|2aBPWR|3BEXP|4aVULN|5ASPD|6CGEN|7RMIN|8aDMG|9RCR
236	24422 33141	   	194.31	DCR|2VULN|2DMG|1ASPD|3DUR	12aDUR|2aBPWR|37BEXP|4aVULN|5ASPD|6FEWX|8aDMG|9RCR
237	35316 21151	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8BEXP|aTLV
238	35316 21251	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8LWND|aTLV
239	35316 21351	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|79ASPD|8FEWX|aTLV
240	35316 23151	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2CGEN|4DMG|5CDMG|6RCR|7FEWX|8BEXP|9AART|aZMB
241	24422 12142	   	194.21	DCR|2VULN|2DMG|1ASPD|3DUR	12aDUR|2aBPWR|3BEXP|4aVULN|5ASPD|6ERES|7RMIN|8aDMG|9RCR
242	26222 41142	   	194.21	DCR|2VULN|2DMG|1ASPD|3DUR|1AAC	16aDUR|2AAC|3AME|4aVULN|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
243	26122 41142	   	194.11	DCR|2VULN|2DMG|1ASPD|3DUR|1AAC	16aDUR|2AAC|3TLV|4aVULN|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
244	14324 22312	 * 	194.11	DCR|1SPLARM|1MDPS|1VULN|1AART|2CDMG|1ASPD|1DMG	1MDPS|2DMG|37CDMG|4AART|5VULN|6RPLT|8RCR|9SPLARM|aASPD
245	35333 56321	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2CGEN|4LWND|5LIT|6ZMB|7DMG|8RCR|9ASPD|aAART
246	31333 32365	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	156VULN|2CDMG|3BELT|4AELBLL|7LWND|8RCR|9ASPD|aDMG
247	31333 33365	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	156VULN|2CDMG|3BELT|4AELBLL|7BEXP|8RCR|9ASPD|aDMG
248	35333 36312	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13aVULN|2CGEN|4LWND|5LIT|6ASPD|7DMG|8RCR|9CDMG
249	44323 36312	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|2LWND|34aVULN|5LIT|6ASPD|7DMG|8RCR|9CDMG
250	35316 21163	   	193.84	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8BEXP|9ZMB|aAAC
251	35316 21363	   	193.84	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8FEWX|9ZMB|aAAC
252	35323 33614	   	193.71	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	138VULN|2CGEN|4MDPS|5DMG|6RCVC|7RCR|9DUR|aAART
253	32114 51621	   	193.69	DCR|4VULN|1ASPD|1CDMG	158aVULN|2ERES|3AME|4CDMG|6RCR|7ASPD|9RPLT
254	31231 25266	 * 	193.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2CDMG|3FEWX|4CGEN|5DMG|6ASPD|7aAART|8LHND|9RCR
255	11663 13334	   	193.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|29BELT|356VULN|4CDMG|7AART|8ASPD|aRCR
256	31343 13334	   	193.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	156VULN|2CDMG|39BELT|4MDPS|7AART|8ASPD|aRCR
257	32214 51621	   	193.59	DCR|4VULN|1ASPD|1CDMG	158aVULN|2ERES|3TLV|4CDMG|6RCR|7ASPD|9RPLT
258	32214 51632	   	193.59	DCR|4VULN|1ASPD|1CDMG	158aVULN|2ERES|3TLV|4CDMG|6RCR|7ASPD|9MLV
259	62311 51611	 * 	193.55	DCR|3DMG|2VULN|1CDMG	1aAELBLL|2CDMG|3RPLT|49aDMG|5LHND|6RCR|7LWND|8aVULN|aBPWR
260	34162 33141	   	193.54	DCR|3VULN|2DMG|1ASPD	13aVULN|2LWND|47aBEXP|5ASPD|6FEWX|8aDMG|9RCR|aBPWR
261	35342 22142	   	193.54	DCR|3VULN|2DMG|1ASPD	13aVULN|2CGEN|4aFEWX|5ASPD|6LHND|7RMIN|8aDMG|9RCR|aBPWR
262	46322 22142	   	193.54	DCR|3VULN|2DMG|1ASPD	1aCGEN|2BEXP|34aVULN|5ASPD|6LHND|7RMIN|8aDMG|9RCR|aBPWR
263	32325 23324	 * 	193.50	DCR|3VULN|1MDPS|1AART|1DMG|1NUKE|1ZMB	135VULN|2ERES|4MDPS|6NUKE|7RCR|8ZMB|9DMG|aAART
264	32325 33324	   	193.50	DCR|3VULN|1MDPS|1AART|1DMG|1AAC|1ZMB	135VULN|2ERES|4MDPS|6AAC|7RCR|8ZMB|9DMG|aAART
265	35323 33214	   	193.46	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	13VULN|2CGEN|4MDPS|59DMG|6RCVC|7RCR|8DUR|aAART
266	62311 52211	   	193.45	DCR|3DMG|2VULN|1CDMG	1aAELBLL|2CDMG|3RPLT|49aDMG|5LHND|6RCR|7DUST|8aVULN|aBPWR
267	22413 51611	   	193.38	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1SELL	13DUR|2ERES|4DMG|5SELL|6RCR|7ASPD|8aVULN|9CDMG
268	31342 54322	   	193.29	DCR|2VULN|1MDPS|2DMG|2CDMG|1DUR|1SELL	18VULN|28CDMG|3BELT|4MDPS|5SELL|6RCR|78DMG|8BPWR|9AME|aDUR
269	34322 35141	   	193.24	DCR|3VULN|2DMG|1ASPD	14aVULN|2LWND|37aDUST|5ASPD|6FEWX|8aDMG|9RCR|aBPWR
270	33312 23542	   	193.13	DCR|4VULN|2DMG	138aVULN|2MLV|49DMG|5LIT|6FEWX|7RCR
271	33312 53254	   	193.13	DCR|4VULN|2DMG	1368VULN|2MLV|49DMG|5LIT|7RCR|aBEXP
272	35312 23542	   	193.13	DCR|4VULN|2DMG	138aVULN|2CGEN|49DMG|5LIT|6FEWX|7RCR
273	32312 23542	   	193.03	DCR|4VULN|2DMG	138aVULN|2ERES|49DMG|5LIT|6FEWX|7RCR
274	33312 53251	   	193.03	DCR|4VULN|2DMG|1SELL	1368VULN|2MLV|49DMG|5LIT|7RCR|aSELL
275	33312 53252	   	193.03	DCR|4VULN|2DMG	1368VULN|2MLV|49DMG|5LIT|7RCR|aDUST
276	33312 53255	   	193.03	DCR|4VULN|2DMG	1368VULN|2MLV|49DMG|5LIT|7RCR|aMBVNT
277	35312 53251	   	193.03	DCR|4VULN|2DMG|1SELL	1368VULN|2CGEN|49DMG|5LIT|7RCR|aSELL
278	35312 53252	   	193.03	DCR|4VULN|2DMG	1368VULN|2CGEN|49DMG|5LIT|7RCR|aDUST
279	35323 33322	   	192.86	DCR|3VULN|2DMG|1MDPS|1NUKE|2ZMB	13aVULN|2CGEN|4MDPS|5aDMG|6RCVC|7RCR|8aZMB|9NUKE|aBPWR
280	35323 23112	   	192.83	DCR|3VULN|3DMG|1MDPS	13aVULN|26CGEN|4MDPS|59aDMG|7RCR|8aDUST|aBPWR
281	33312 23565	   	192.83	DCR|3VULN|1MDPS|1AART|1DMG	138VULN|2MLV|4DMG|5LIT|6FEWX|7RCR|9AART|aMDPS
282	32325 23523	   	192.83	DCR|4VULN|1MDPS|2DMG|1NUKE	135aVULN|2ERES|4MDPS|6NUKE|7RCR|8aTLV|9aDMG|aBPWR
283	32325 33523	   	192.83	DCR|4VULN|1MDPS|2DMG|1AAC	135aVULN|2ERES|4MDPS|6AAC|7RCR|8aTLV|9aDMG|aBPWR
284	32312 23565	   	192.73	DCR|3VULN|1MDPS|1AART|1DMG	138VULN|2ERES|4DMG|5LIT|6FEWX|7RCR|9AART|aMDPS
285	36113 21643	   	192.70	DCR|3ASPD|2VULN|1CDMG|2DUR	13VULN|28DUR|4CDMG|569ASPD|7ERES|aRCR
286	36213 41243	   	192.70	DCR|3ASPD|2VULN|1CDMG|2DUR	16VULN|23DUR|4CDMG|569ASPD|6BPWR|78ERES|aRCR
287	24323 25512	   	192.68	DCR|2VULN|2DMG|1AART|1NUKE|2DUR	12DUR|2BPWR|34VULN|5NUKE|6aDMG|7AART|8LIT|9RCR
288	24333 25512	   	192.68	DCR|2VULN|2DMG|1AART|2DUR|1AAC	12DUR|2BPWR|35VULN|4AAC|6aDMG|7AART|8LIT|9RCR
289	24334 31512	   	192.68	DCR|2VULN|2DMG|1AART|2DUR|1AAC	12DUR|2BPWR|37VULN|4AAC|5AART|6aDMG|8LIT|9RCR
290	36223 25512	   	192.68	DCR|2VULN|2DMG|1AART|1NUKE|2DUR	14VULN|23DUR|5NUKE|6aDMG|7AART|8LIT|9RCR
291	36233 25512	   	192.68	DCR|2VULN|2DMG|1AART|2DUR|1AAC	15VULN|23DUR|4AAC|6aDMG|7AART|8LIT|9RCR
292	36234 31512	   	192.68	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|23DUR|4AAC|5AART|6aDMG|8LIT|9RCR
293	36123 23611	 * 	192.30	DCR|3VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	134VULN|2DUR|5NUKE|6DMG|7LIT|8ZMB|9ASPD|aRCR
294	35316 23123	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	13VULN|2CGEN|4DMG|5CDMG|6RCR|7FEWX|8BEXP|9DUR|aAART
295	21121 56135	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|37VULN|4LHND|5MULFIG|6RCR|8RMIN|9AART|aDMG
296	34113 16421	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	13VULN|2LWND|4CDMG|5ASPD|6LHND|7RCR|8AART|9TLV|aZMB
297	21111 56133	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|37VULN|4DUST|5MULFIG|6RCR|8RMIN|9AART|aDMG
298	21111 56433	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|37VULN|4DUST|5MULFIG|6RCR|8CGEN|9AART|aDMG
299	21121 56335	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|37VULN|4LHND|5MULFIG|6RCR|8TLV|9AART|aDMG
300	36321 32321	   	192.08	DCR|4VULN|1DMG|1ZMB|1DUR	1456VULN|2DUR|3FEWX|7CANSTR|8RCR|9DMG|aZMB
301	33312 23241	   	192.05	DCR|2VULN|2AART|1DMG|1ZMB	13VULN|2MLV|4DMG|5LIT|6FEWX|7RCR|8ZMB|9aAART
302	35312 23241	   	192.05	DCR|2VULN|2AART|1DMG|1ZMB	13VULN|2CGEN|4DMG|5LIT|6FEWX|7RCR|8ZMB|9aAART
303	54121 25322	   	192.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RPLT|2CGEN|34VULN|5DMG|6ASPD|7AART|8LIT|9RCR|aZMB
304	11663 23323	   	192.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1MDPS|2BELT|35VULN|4CDMG|6AELBLL|7AART|8aASPD|9RCR
305	31343 23323	   	192.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	15VULN|2CDMG|3BELT|4MDPS|6AELBLL|7AART|8aASPD|9RCR
306	31121 42562	   	192.01	DCR|3VULN|1NUKE|1DMG|1CDMG	148VULN|2CDMG|3AELBLL|5MULARM|6DMG|7RPLT|9RCR|aNUKE
307	16363 23353	   	191.99	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1MDPS|2SPLJET|3DUR|4ASPD|57VULN|6RCR|8TLV|9CDMG|aAART
308	21111 56333	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|37VULN|4DUST|5MULFIG|6RCR|8TLV|9AART|aDMG
309	24361 21141	 * 	191.98	DCR|3VULN|2DMG|1NUKE|3DUR	12aDUR|2aBPWR|35aVULN|4BEXP|6NUKE|7FEWX|8aDMG|9RCR
310	24361 31141	   	191.98	DCR|3VULN|2DMG|3DUR|1AAC	12aDUR|2aBPWR|35aVULN|4BEXP|6AAC|7FEWX|8aDMG|9RCR
311	36261 21141	   	191.98	DCR|3VULN|2DMG|1NUKE|3DUR	15aVULN|23aDUR|4BEXP|6NUKE|7FEWX|8aDMG|9RCR|aBPWR
312	36261 31141	   	191.98	DCR|3VULN|2DMG|3DUR|1AAC	15aVULN|23aDUR|4BEXP|6AAC|7FEWX|8aDMG|9RCR|aBPWR
313	32312 23241	   	191.95	DCR|2VULN|2AART|1DMG|1ZMB	13VULN|2ERES|4DMG|5LIT|6FEWX|7RCR|8ZMB|9aAART
314	31331 36365	   	191.91	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	16VULN|25CDMG|3BELT|4AELBLL|7DUR|8RCR|9ASPD|aDMG
315	31124 22562	   	191.91	DCR|3VULN|1DMG|1NUKE|1CDMG	148VULN|2CDMG|3AELBLL|5RPLT|6DMG|7CANSTR|9RCR|aNUKE
316	31143 22562	   	191.91	DCR|3VULN|1DMG|1NUKE|1CDMG	158VULN|2CDMG|3AELBLL|4RPLT|6DMG|7CANSTR|9RCR|aNUKE
317	31421 23341	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2CDMG|3CGEN|4BEXP|5DMG|6ASPD|7RCR|8MLV|9ZMB|aAART
318	35621 23341	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2CGEN|3CDMG|4BEXP|5DMG|6ASPD|7RCR|8MLV|9ZMB|aAART
319	24322 21141	   	191.88	DCR|3VULN|2DMG|1NUKE|3DUR	12aDUR|2aBPWR|34aVULN|5DUST|6NUKE|7FEWX|8aDMG|9RCR
320	24322 24141	   	191.88	DCR|3VULN|2DMG|1NUKE|3DUR	12aDUR|2aBPWR|34aVULN|5DUST|6NUKE|7BEXP|8aDMG|9RCR
321	24322 31141	   	191.88	DCR|3VULN|2DMG|3DUR|1AAC	12aDUR|2aBPWR|34aVULN|5DUST|6AAC|7FEWX|8aDMG|9RCR
322	24322 34141	   	191.88	DCR|3VULN|2DMG|3DUR|1AAC	12aDUR|2aBPWR|34aVULN|5DUST|6AAC|7BEXP|8aDMG|9RCR
323	36222 21141	   	191.88	DCR|3VULN|2DMG|1NUKE|3DUR	14aVULN|23aDUR|5DUST|6NUKE|7FEWX|8aDMG|9RCR|aBPWR
324	36222 24141	   	191.88	DCR|3VULN|2DMG|1NUKE|3DUR	14aVULN|23aDUR|5DUST|6NUKE|7BEXP|8aDMG|9RCR|aBPWR
